Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-12 13:27:03.55;0.00:00:00:053;-0.73;-0.58;0.36;3.103E-05;-2.636E-05;-2.083E-05;1.292E-05;-70.85;10.52;116.00;41.63;108.27;3.103E-05;3.6E-05;-4.964E-06;-45.082;-44.437;-99.990;0.13;148.19;
2025-12-12 13:27:03.61;0.00:00:00:108;-0.74;-0.57;0.36;3.102E-05;-2.695E-05;-2.053E-05;1.288E-05;-71.35;10.40;116.86;41.51;109.23;3.102E-05;3.624E-05;-5.228E-06;-45.084;-44.408;-99.990;0.13;147.90;
2025-12-12 13:27:03.65;0.00:00:00:155;-0.74;-0.58;0.35;3.049E-05;-2.715E-05;-2.114E-05;1.287E-05;-71.05;10.26;120.48;42.21;112.84;3.049E-05;3.674E-05;-6.245E-06;-45.158;-44.349;-99.990;0.13;148.66;
2025-12-12 13:27:03.70;0.00:00:00:202;-0.74;-0.57;0.36;3.025E-05;-2.76E-05;-2.116E-05;1.322E-05;-71.26;10.41;122.97;43.70;114.95;3.025E-05;3.72E-05;-6.951E-06;-45.192;-44.294;-99.990;0.13;148.00;
2025-12-12 13:27:03.74;0.00:00:00:248;-0.75;-0.56;0.35;3.013E-05;-2.768E-05;-2.085E-05;1.316E-05;-71.51;10.39;123.03;43.67;115.02;3.013E-05;3.707E-05;-6.939E-06;-45.210;-44.310;-99.990;0.13;147.74;
2025-12-12 13:27:03.79;0.00:00:00:294;-0.74;-0.58;0.35;3.086E-05;-2.645E-05;-2.081E-05;1.273E-05;-70.90;10.36;116.56;41.23;109.03;3.086E-05;3.598E-05;-5.112E-06;-45.105;-44.440;-99.990;0.13;148.55;
2025-12-12 13:27:03.84;0.00:00:00:341;-0.75;-0.55;0.36;3.067E-05;-2.702E-05;-1.961E-05;1.298E-05;-72.01;10.62;116.79;42.32;108.85;3.067E-05;3.582E-05;-5.149E-06;-45.132;-44.458;-99.990;0.12;146.50;
2025-12-12 13:27:03.88;0.00:00:00:387;-0.75;-0.55;0.37;3.052E-05;-2.716E-05;-1.992E-05;1.338E-05;-71.87;10.83;118.78;43.86;110.38;3.052E-05;3.625E-05;-5.73E-06;-45.155;-44.407;-99.990;0.13;146.11;
2025-12-12 13:27:03.93;0.00:00:00:433;-0.72;-0.59;0.36;3.101E-05;-2.678E-05;-2.179E-05;1.324E-05;-70.43;10.49;119.24;42.68;111.34;3.101E-05;3.698E-05;-5.966E-06;-45.085;-44.321;-99.990;0.14;148.73;
2025-12-12 13:27:03.98;0.00:00:00:479;-0.73;-0.58;0.36;3.073E-05;-2.699E-05;-2.116E-05;1.326E-05;-70.95;10.57;119.64;43.15;111.59;3.073E-05;3.677E-05;-6.035E-06;-45.124;-44.346;-99.990;0.13;147.92;
2025-12-12 13:27:04.02;0.00:00:00:526;-0.74;-0.58;0.36;3.059E-05;-2.673E-05;-2.088E-05;1.29E-05;-71.01;10.41;118.64;42.17;110.89;3.059E-05;3.629E-05;-5.702E-06;-45.145;-44.402;-99.990;0.13;148.29;
2025-12-12 13:27:04.07;0.00:00:00:573;-0.74;-0.56;0.36;3.054E-05;-2.713E-05;-2.055E-05;1.329E-05;-71.43;10.67;119.63;43.53;111.43;3.054E-05;3.653E-05;-5.995E-06;-45.151;-44.373;-99.990;0.13;147.10;
2025-12-12 13:27:04.12;0.00:00:00:620;-0.75;-0.57;0.34;3.062E-05;-2.755E-05;-2.076E-05;1.263E-05;-71.50;10.06;119.97;41.26;112.65;3.062E-05;3.673E-05;-6.115E-06;-45.140;-44.349;-99.990;0.13;148.67;
2025-12-12 13:27:04.16;0.00:00:00:666;-0.74;-0.56;0.37;3.096E-05;-2.656E-05;-2.032E-05;1.347E-05;-71.29;10.97;116.46;43.51;108.03;3.096E-05;3.606E-05;-5.096E-06;-45.092;-44.430;-99.990;0.13;146.46;
2025-12-12 13:27:04.21;0.00:00:00:713;-0.73;-0.59;0.35;3.021E-05;-2.693E-05;-2.17E-05;1.296E-05;-70.57;10.27;122.25;42.88;114.49;3.021E-05;3.693E-05;-6.723E-06;-45.198;-44.326;-99.990;0.14;149.16;
