Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-12 13:34:11.85;0.00:00:00:052;-0.89;0.44;-0.07;3.106E-05;-3.039E-05;1.514E-05;-2.335E-06;76.76;-1.97;109.56;7.52;109.30;3.106E-05;3.403E-05;-2.969E-06;-45.078;-44.681;-99.990;0.05;-8.77;
2025-12-12 13:34:11.90;0.00:00:00:107;-0.89;0.46;-0.08;2.973E-05;-3.211E-05;1.653E-05;-3.006E-06;76.38;-2.38;121.92;10.11;121.50;2.973E-05;3.624E-05;-6.515E-06;-45.269;-44.408;-99.990;0.06;-10.31;
2025-12-12 13:34:11.95;0.00:00:00:155;-0.88;0.47;-0.07;3.031E-05;-3.042E-05;1.619E-05;-2.577E-06;75.99;-2.14;114.00;8.50;113.68;3.031E-05;3.456E-05;-4.243E-06;-45.184;-44.615;-99.990;0.06;-9.05;
2025-12-12 13:34:12.00;0.00:00:00:201;-0.90;0.43;-0.08;2.972E-05;-3.191E-05;1.54E-05;-2.751E-06;77.12;-2.22;119.59;9.26;119.23;2.972E-05;3.554E-05;-5.822E-06;-45.270;-44.493;-99.990;0.05;-10.13;
2025-12-12 13:34:12.04;0.00:00:00:248;-0.89;0.45;-0.07;2.942E-05;-3.181E-05;1.595E-05;-2.644E-06;76.69;-2.13;121.27;8.99;120.94;2.942E-05;3.568E-05;-6.258E-06;-45.314;-44.476;-99.990;0.05;-9.42;
2025-12-12 13:34:12.09;0.00:00:00:294;-0.89;0.45;-0.08;2.942E-05;-3.211E-05;1.627E-05;-2.867E-06;76.57;-2.28;122.76;9.75;122.38;2.942E-05;3.611E-05;-6.696E-06;-45.314;-44.424;-99.990;0.06;-9.99;
2025-12-12 13:34:12.14;0.00:00:00:341;-0.88;0.48;-0.08;3.037E-05;-3.139E-05;1.711E-05;-2.789E-06;75.70;-2.23;118.10;9.19;117.74;3.037E-05;3.586E-05;-5.497E-06;-45.176;-44.453;-99.990;0.06;-9.26;
2025-12-12 13:34:12.19;0.00:00:00:389;-0.87;0.48;-0.08;3.032E-05;-3.06E-05;1.671E-05;-2.866E-06;75.68;-2.35;115.40;9.45;115.01;3.032E-05;3.499E-05;-4.668E-06;-45.183;-44.561;-99.990;0.06;-9.73;
2025-12-12 13:34:12.23;0.00:00:00:436;-0.88;0.47;-0.08;3.056E-05;-3.058E-05;1.626E-05;-2.664E-06;76.00;-2.20;113.69;8.72;113.36;3.056E-05;3.474E-05;-4.184E-06;-45.149;-44.592;-99.990;0.06;-9.31;
2025-12-12 13:34:12.28;0.00:00:00:483;-0.90;0.43;-0.10;3.021E-05;-3.155E-05;1.51E-05;-3.348E-06;77.22;-2.73;116.32;11.08;115.79;3.021E-05;3.514E-05;-4.931E-06;-45.199;-44.542;-99.990;0.05;-12.50;
2025-12-12 13:34:12.33;0.00:00:00:529;-0.87;0.48;-0.09;2.989E-05;-3.125E-05;1.723E-05;-3.14E-06;75.57;-2.51;119.87;10.51;119.40;2.989E-05;3.582E-05;-5.937E-06;-45.245;-44.458;-99.990;0.06;-10.33;
2025-12-12 13:34:12.37;0.00:00:00:576;-0.88;0.46;-0.08;3.026E-05;-3.1E-05;1.626E-05;-2.839E-06;76.16;-2.32;116.05;9.38;115.67;3.026E-05;3.512E-05;-4.857E-06;-45.191;-44.544;-99.990;0.06;-9.90;
2025-12-12 13:34:12.42;0.00:00:00:623;-0.89;0.46;-0.06;2.928E-05;-3.233E-05;1.677E-05;-2.235E-06;76.29;-1.76;124.61;7.63;124.37;2.928E-05;3.649E-05;-7.206E-06;-45.334;-44.378;-99.990;0.06;-7.59;
2025-12-12 13:34:12.47;0.00:00:00:670;-0.87;0.48;-0.08;3.031E-05;-3.032E-05;1.683E-05;-2.762E-06;75.48;-2.28;114.79;9.11;114.43;3.031E-05;3.479E-05;-4.484E-06;-45.185;-44.585;-99.990;0.06;-9.32;
2025-12-12 13:34:12.51;0.00:00:00:717;-0.88;0.46;-0.08;2.998E-05;-3.14E-05;1.636E-05;-2.849E-06;76.24;-2.30;118.49;9.50;118.11;2.998E-05;3.552E-05;-5.544E-06;-45.232;-44.495;-99.990;0.06;-9.88;
2025-12-12 13:34:12.56;0.00:00:00:764;-0.89;0.44;-0.09;2.999E-05;-3.2E-05;1.589E-05;-3.115E-06;76.79;-2.49;119.57;10.39;119.12;2.999E-05;3.586E-05;-5.871E-06;-45.230;-44.453;-99.990;0.05;-11.09;
2025-12-12 13:34:12.61;0.00:00:00:812;-0.89;0.46;-0.09;3.062E-05;-3.041E-05;1.568E-05;-3.106E-06;76.36;-2.59;112.18;10.14;111.72;3.062E-05;3.436E-05;-3.731E-06;-45.139;-44.640;-99.990;0.06;-11.21;
2025-12-12 13:34:12.65;0.00:00:00:858;-0.89;0.45;-0.09;3.002E-05;-3.124E-05;1.597E-05;-3.159E-06;76.46;-2.57;117.34;10.52;116.86;3.002E-05;3.523E-05;-5.205E-06;-45.226;-44.531;-99.990;0.06;-11.19;
