Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-17 15:36:25.57;0.00:00:00:050;-1.00;0.00;0.01;1.089E-05;-1.036E-05;3.518E-08;1.141E-07;89.90;0.32;95.19;1.05;95.18;1.089E-05;1.036E-05;5.242E-07;-49.630;-49.844;-62.805;0.00;72.86;
2025-12-17 15:36:25.63;0.00:00:00:103;-1.00;0.00;0.01;1.086E-05;-1.038E-05;3.026E-08;9.862E-08;89.92;0.27;95.60;0.91;95.60;1.086E-05;1.038E-05;4.778E-07;-49.642;-49.838;-63.207;0.00;72.95;
2025-12-17 15:36:25.68;0.00:00:00:153;-1.00;0.00;0.01;1.085E-05;-1.036E-05;3.155E-08;9.734E-08;89.91;0.27;95.47;0.90;95.47;1.085E-05;1.036E-05;4.918E-07;-49.644;-49.845;-63.082;0.00;72.04;
2025-12-17 15:36:25.72;0.00:00:00:199;-1.00;0.00;0.01;1.086E-05;-1.037E-05;2.249E-08;9.928E-08;89.94;0.27;95.46;0.91;95.45;1.086E-05;1.037E-05;4.937E-07;-49.640;-49.842;-63.065;0.00;77.24;
2025-12-17 15:36:25.77;0.00:00:00:249;-1.00;0.00;0.01;1.09E-05;-1.041E-05;2.039E-08;9.317E-08;89.94;0.26;95.51;0.85;95.51;1.09E-05;1.041E-05;4.892E-07;-49.627;-49.826;-63.105;0.00;77.66;
2025-12-17 15:36:25.82;0.00:00:00:299;-1.00;0.00;0.01;1.09E-05;-1.041E-05;1.959E-08;9.929E-08;89.95;0.27;95.49;0.91;95.49;1.09E-05;1.041E-05;4.914E-07;-49.627;-49.827;-63.085;0.00;78.84;
2025-12-17 15:36:25.89;0.00:00:00:366;-1.00;0.00;0.01;1.087E-05;-1.04E-05;3.037E-08;1.075E-07;89.92;0.30;95.67;0.99;95.66;1.087E-05;1.04E-05;4.709E-07;-49.637;-49.830;-63.270;0.00;74.22;
2025-12-17 15:36:25.94;0.00:00:00:416;-1.00;0.00;0.01;1.086E-05;-1.038E-05;4.313E-08;1.058E-07;89.88;0.29;95.56;0.97;95.56;1.086E-05;1.038E-05;4.818E-07;-49.643;-49.840;-63.172;0.00;67.83;
2025-12-17 15:36:25.99;0.00:00:00:469;-1.00;0.00;0.01;1.085E-05;-1.038E-05;3.585E-08;1.029E-07;89.90;0.28;95.67;0.95;95.67;1.085E-05;1.038E-05;4.699E-07;-49.644;-49.836;-63.280;0.00;70.78;
2025-12-17 15:36:26.04;0.00:00:00:518;-1.00;0.00;0.01;1.086E-05;-1.037E-05;3.543E-08;1.065E-07;89.90;0.29;95.52;0.98;95.51;1.086E-05;1.038E-05;4.868E-07;-49.641;-49.840;-63.127;0.00;71.60;
2025-12-17 15:36:26.10;0.00:00:00:570;-1.00;0.00;0.01;1.086E-05;-1.038E-05;4.082E-08;1.115E-07;89.89;0.31;95.52;1.03;95.52;1.086E-05;1.038E-05;4.865E-07;-49.641;-49.840;-63.129;0.00;69.90;
2025-12-17 15:36:26.14;0.00:00:00:616;-1.00;0.00;0.01;1.086E-05;-1.038E-05;3.056E-08;1.042E-07;89.92;0.29;95.53;0.96;95.53;1.086E-05;1.038E-05;4.856E-07;-49.640;-49.839;-63.137;0.00;73.65;
