Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-29 11:56:44.39;0.00:00:00:059;0.00;-1.00;0.00;0.02682;9.297E-05;-0.0267;-2.982E-05;-44.90;-0.03;99.54;0.11;99.54;0.02682;0.0267;0.0001237;-15.715;-15.735;-39.077;0.50;-179.94;
2025-12-29 11:56:44.45;0.00:00:00:116;0.00;-1.00;0.00;0.02676;8.389E-05;-0.02661;-2.205E-05;-44.91;-0.02;99.47;0.08;99.47;0.02676;0.02661;0.0001415;-15.726;-15.749;-38.493;0.50;-179.95;
2025-12-29 11:56:44.49;0.00:00:00:163;0.00;-1.00;0.00;0.02671;9.335E-05;-0.02659;-2.799E-05;-44.90;-0.03;99.53;0.10;99.53;0.02671;0.02659;0.0001253;-15.733;-15.753;-39.020;0.50;-179.94;
2025-12-29 11:56:44.54;0.00:00:00:210;0.00;-1.00;0.00;0.02666;8.279E-05;-0.02652;-2.633E-05;-44.91;-0.03;99.48;0.10;99.48;0.02666;0.02652;0.0001382;-15.741;-15.764;-38.594;0.50;-179.94;
2025-12-29 11:56:44.59;0.00:00:00:256;0.00;-1.00;0.00;0.02671;8.209E-05;-0.02657;-2.305E-05;-44.91;-0.02;99.46;0.09;99.46;0.02671;0.02657;0.0001441;-15.733;-15.757;-38.415;0.50;-179.95;
2025-12-29 11:56:44.65;0.00:00:00:317;0.00;-1.00;0.00;0.02683;8.61E-05;-0.02669;-2.209E-05;-44.91;-0.02;99.49;0.08;99.49;0.02683;0.02669;0.0001381;-15.714;-15.736;-38.598;0.50;-179.95;
2025-12-29 11:56:44.70;0.00:00:00:364;0.00;-1.00;0.00;0.02679;8.552E-05;-0.02666;-2.927E-05;-44.91;-0.03;99.51;0.11;99.51;0.02679;0.02666;0.0001312;-15.720;-15.742;-38.819;0.50;-179.94;
2025-12-29 11:56:44.74;0.00:00:00:411;0.00;-1.00;0.00;0.02684;8.768E-05;-0.0267;-2.745E-05;-44.91;-0.03;99.47;0.10;99.47;0.02684;0.0267;0.000141;-15.713;-15.736;-38.507;0.50;-179.94;
2025-12-29 11:56:44.79;0.00:00:00:457;0.00;-1.00;0.00;0.02686;8.11E-05;-0.02671;-2.416E-05;-44.91;-0.03;99.47;0.09;99.47;0.02686;0.02672;0.0001421;-15.709;-15.732;-38.474;0.50;-179.95;
2025-12-29 11:56:44.83;0.00:00:00:503;0.00;-1.00;0.00;0.02685;8.547E-05;-0.02672;-2.612E-05;-44.91;-0.03;99.50;0.10;99.50;0.02685;0.02672;0.0001334;-15.710;-15.732;-38.747;0.50;-179.94;
2025-12-29 11:56:44.88;0.00:00:00:549;0.00;-1.00;0.00;0.02683;8.858E-05;-0.0267;-2.786E-05;-44.90;-0.03;99.51;0.10;99.51;0.02683;0.0267;0.0001328;-15.713;-15.735;-38.768;0.50;-179.94;
2025-12-29 11:56:44.93;0.00:00:00:596;0.00;-1.00;0.00;0.02682;8.735E-05;-0.02669;-2.254E-05;-44.91;-0.02;99.50;0.08;99.50;0.02682;0.02669;0.0001331;-15.715;-15.736;-38.757;0.50;-179.95;
