LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,05-Jan-2026 13:11:15,0                 
Time,Ampl
-0.0500001387,-0.00086
-0.0499999387,-0.00182
-0.0499997387,-0.00202
-0.0499995387,-0.00406
-0.0499993387,-0.00254
-0.0499991387,-0.00382
-0.0499989387,-0.0043
-0.0499987387,-0.00434
-0.0499985387,-0.00426
-0.0499983387,-0.0037
-0.0499981387,-0.00362
-0.0499979387,-0.00302
-0.0499977387,-0.00354
-0.0499975387,-0.00234
-0.0499973387,-0.00426
-0.0499971387,-0.00218
-0.0499969387,-0.00338
-0.0499967387,-0.00314
-0.0499965387,-0.00318
-0.0499963387,-0.00402
-0.0499961387,-0.0035
-0.0499959387,-0.00202
-0.0499957387,-0.00302
-0.0499955387,-0.00334
-0.0499953387,-0.00406
-0.0499951387,-0.0031
-0.0499949387,-0.00302
-0.0499947387,-0.0029
-0.0499945387,-0.00306
-0.0499943387,-0.0017
-0.0499941387,-0.0017
-0.0499939387,-0.00114
-0.0499937387,-0.00062
-0.0499935387,-0.00286
-0.0499933387,-0.00462
-0.0499931387,-0.00394
-0.0499929387,-0.0045
-0.0499927387,-0.00378
-0.0499925387,-0.00562
-0.0499923387,-0.00462
-0.0499921387,-0.00474
-0.0499919387,-0.00426
-0.0499917387,-0.00426
-0.0499915387,-0.00358
-0.0499913387,-0.00486
-0.0499911387,-0.00542
-0.0499909387,-0.00574
-0.0499907387,-0.0045
-0.0499905387,-0.00446
-0.0499903387,-0.00406
-0.0499901387,-0.0033
-0.0499899387,-0.0033
-0.0499897387,-0.00074
-0.0499895387,-0.00254
-0.0499893387,-0.0027
-0.0499891387,-0.00242
-0.0499889387,-0.00218
-0.0499887387,-0.00098
-0.0499885387,-0.00054
-0.0499883387,-0.00098
-0.0499881387,-0.0017
-0.0499879387,-0.00182
-0.0499877387,-0.00366
-0.0499875387,-0.0031
-0.0499873387,-0.00466
-0.0499871387,-0.00302
-0.0499869387,-0.00186
-0.0499867387,-0.00118
-0.0499865387,-0.00014
-0.0499863387,-0.00086
-0.0499861387,-0.00242
-0.0499859387,-0.00154
-0.0499857387,-0.00442
-0.0499855387,-0.00546
-0.0499853387,-0.00538
-0.0499851387,-0.00622
-0.0499849387,-0.00582
-0.0499847387,-0.00558
-0.0499845387,-0.0037
-0.0499843387,-0.0049
-0.0499841387,-0.00546
-0.0499839387,-0.00466
-0.0499837387,-0.00578
-0.0499835387,-0.00534
-0.0499833387,-0.0051
-0.0499831387,-0.00566
-0.0499829387,-0.00486
-0.0499827387,-0.00586
-0.0499825387,-0.00438
-0.0499823387,-0.00658
-0.0499821387,-0.00362
-0.0499819387,-0.0027
-0.0499817387,-0.00326
-0.0499815387,-0.0025
-0.0499813387,-0.00298
-0.0499811387,-0.00074
-0.0499809387,-0.0023
-0.0499807387,-0.00162
-0.0499805387,-0.00286
-0.0499803387,-0.0029
-0.0499801387,-0.00258
-0.0499799387,-0.00398
-0.0499797387,-0.00402
-0.0499795387,-0.00406
-0.0499793387,-0.00526
-0.0499791387,-0.00374
-0.0499789387,-0.00402
-0.0499787387,-0.00382
-0.0499785387,-0.00326
-0.0499783387,-0.00422
-0.0499781387,-0.0033
-0.0499779387,-0.00354
-0.0499777387,-0.0023
-0.0499775387,-0.0003
-0.0499773387,-0.00274
-0.0499771387,-0.00026
-0.0499769387,-0.00238
-0.0499767387,-0.00158
-0.0499765387,-0.00238
-0.0499763387,-0.0015
-0.0499761387,-0.00218
-0.0499759387,-0.00274
-0.0499757387,-0.00446
-0.0499755387,-0.00182
-0.0499753387,-0.00154
-0.0499751387,-0.00078
-0.0499749387,-0.0015
-0.0499747387,-0.00206
-0.0499745387,-0.00198
-0.0499743387,-0.0017
-0.0499741387,-0.00174
-0.0499739387,-0.00062
-0.0499737387,-0.00058
-0.0499735387,0.00098
-0.0499733387,-0.0011
-0.0499731387,-0.00106
-0.0499729387,-0.00298
-0.0499727387,-0.00078
-0.0499725387,-0.00054
-0.0499723387,-0.00434
-0.0499721387,-0.0013
-0.0499719387,-0.0029
-0.0499717387,-0.00142
-0.0499715387,-0.0029
-0.0499713387,-0.0017
-0.0499711387,-0.00362
-0.0499709387,-0.00378
-0.0499707387,-0.00382
-0.0499705387,-0.00478
-0.0499703387,-0.00306
-0.0499701387,-0.0065
-0.0499699387,-0.00566
-0.0499697387,-0.00406
-0.0499695387,-0.0043
-0.0499693387,-0.0025
-0.0499691387,-0.00354
-0.0499689387,-0.00226
-0.0499687387,-0.00274
-0.0499685387,-0.00318
-0.0499683387,-0.00282
-0.0499681387,-0.00278
-0.0499679387,-0.0043
-0.0499677387,-0.00286
-0.0499675387,-0.0033
-0.0499673387,-0.00354
-0.0499671387,-0.00362
-0.0499669387,-0.00442
-0.0499667387,-0.00562
-0.0499665387,-0.00446
-0.0499663387,-0.00458
-0.0499661387,-0.00474
-0.0499659387,-0.00314
-0.0499657387,-0.00374
-0.0499655387,-0.00346
-0.0499653387,-0.00438
-0.0499651387,-0.00494
-0.0499649387,-0.00326
-0.0499647387,-0.00278
-0.0499645387,-0.00274
-0.0499643387,-0.0027
-0.0499641387,-0.00322
-0.0499639387,-0.00262
-0.0499637387,-0.00414
-0.0499635387,-0.0023
-0.0499633387,-0.00334
-0.0499631387,-0.00358
-0.0499629387,-0.00334
-0.0499627387,-0.0037
-0.0499625387,-0.00298
-0.0499623387,-0.00338
-0.0499621387,-0.00254
-0.0499619387,-0.00238
-0.0499617387,-0.00158
-0.0499615387,-0.00186
-0.0499613387,-0.00122
-0.0499611387,-0.0017
-0.0499609387,-0.00242
-0.0499607387,-0.0023
-0.0499605387,-0.00378
-0.0499603387,-0.00422
-0.0499601387,-0.00418
-0.0499599387,-0.00466
-0.0499597387,-0.0051
-0.0499595387,-0.00302
-0.0499593387,-0.0047
-0.0499591387,-0.00394
-0.0499589387,-0.0043
-0.0499587387,-0.00422
-0.0499585387,-0.00342
-0.0499583387,-0.00422
-0.0499581387,-0.0047
-0.0499579387,-0.00478
-0.0499577387,-0.00618
-0.0499575387,-0.00638
-0.0499573387,-0.00602
-0.0499571387,-0.00602
-0.0499569387,-0.0069
-0.0499567387,-0.0061
-0.0499565387,-0.0067
-0.0499563387,-0.0061
-0.0499561387,-0.0059
-0.0499559387,-0.00514
-0.0499557387,-0.00494
-0.0499555387,-0.00714
-0.0499553387,-0.00614
-0.0499551387,-0.00618
-0.0499549387,-0.00666
-0.0499547387,-0.00646
-0.0499545387,-0.00546
-0.0499543387,-0.0055
-0.0499541387,-0.0051
-0.0499539387,-0.0045
-0.0499537387,-0.00422
-0.0499535387,-0.00506
-0.0499533387,-0.00474
-0.0499531387,-0.00586
-0.0499529387,-0.00478
-0.0499527387,-0.00454
-0.0499525387,-0.00418
-0.0499523387,-0.00394
-0.0499521387,-0.0003
-0.0499519387,-0.00162
-0.0499517387,-0.0017
-0.0499515387,-0.00034
-0.0499513387,0.00034
-0.0499511387,-0.00038
-0.0499509387,-0.0009
-0.0499507387,-0.00206
-0.0499505387,-0.00254
-0.0499503387,-0.00266
-0.0499501387,-0.00214
-0.0499499387,-0.00258
-0.0499497387,-0.00278
-0.0499495387,-0.00326
-0.0499493387,-0.00398
-0.0499491387,-0.0037
-0.0499489387,-0.00322
-0.0499487387,-0.00326
-0.0499485387,-0.00334
-0.0499483387,-0.0033
-0.0499481387,-0.00294
-0.0499479387,-0.00366
-0.0499477387,-0.00182
-0.0499475387,-0.00358
-0.0499473387,-0.0053
-0.0499471387,-0.0037
-0.0499469387,-0.00426
-0.0499467387,-0.00558
-0.0499465387,-0.0047
-0.0499463387,-0.00698
-0.0499461387,-0.00534
-0.0499459387,-0.0053
-0.0499457387,-0.00526
-0.0499455387,-0.00522
-0.0499453387,-0.00478
-0.0499451387,-0.0057
-0.0499449387,-0.00474
-0.0499447387,-0.00462
-0.0499445387,-0.00602
-0.0499443387,-0.00566
-0.0499441387,-0.00438
-0.0499439387,-0.00458
-0.0499437387,-0.00242
-0.0499435387,-0.00342
-0.0499433387,-0.0033
-0.0499431387,-0.00206
-0.0499429387,-0.0059
-0.0499427387,-0.00286
-0.0499425387,-0.00374
-0.0499423387,-0.00294
-0.0499421387,-0.00378
-0.0499419387,-0.00274
-0.0499417387,-0.0035
-0.0499415387,-0.0037
-0.0499413387,-0.00454
-0.0499411387,-0.00486
-0.0499409387,-0.00598
-0.0499407387,-0.00578
-0.0499405387,-0.0055
-0.0499403387,-0.00474
-0.0499401387,-0.00526
-0.0499399387,-0.0045
-0.0499397387,-0.00582
-0.0499395387,-0.00494
-0.0499393387,-0.00514
-0.0499391387,-0.00342
-0.0499389387,-0.0051
-0.0499387387,-0.00318
-0.0499385387,-0.0041
-0.0499383387,-0.00394
-0.0499381387,-0.00382
-0.0499379387,-0.00522
-0.0499377387,-0.00518
-0.0499375387,-0.0059
-0.0499373387,-0.00566
-0.0499371387,-0.00514
-0.0499369387,-0.0037
-0.0499367387,-0.00362
-0.0499365387,-0.00386
-0.0499363387,-0.00242
-0.0499361387,-0.00278
-0.0499359387,-0.00066
-0.0499357387,-0.00126
-0.0499355387,-0.00074
-0.0499353387,-0.00134
-0.0499351387,-0.00114
-0.0499349387,-0.00166
-0.0499347387,-0.00394
-0.0499345387,-0.00326
-0.0499343387,-0.0049
-0.0499341387,-0.0035
-0.0499339387,-0.00238
-0.0499337387,-0.0027
-0.0499335387,-0.00482
-0.0499333387,-0.00486
-0.0499331387,-0.00314
-0.0499329387,-0.0047
-0.0499327387,-0.0037
-0.0499325387,-0.0047
-0.0499323387,-0.0045
-0.0499321387,-0.0037
-0.0499319387,-0.0061
-0.0499317387,-0.00398
-0.0499315387,-0.00322
-0.0499313387,-0.00294
-0.0499311387,-0.00138
-0.0499309387,-0.00078
-0.0499307387,-0.00386
-0.0499305387,-0.00038
-0.0499303387,-0.00202
-0.0499301387,-0.0007
-0.0499299387,-0.00162
-0.0499297387,-0.00186
-0.0499295387,-0.0013
-0.0499293387,-0.0023
-0.0499291387,-0.00294
-0.0499289387,-0.00486
-0.0499287387,-0.00414
-0.0499285387,-0.00394
-0.0499283387,-0.00462
-0.0499281387,-0.0027
-0.0499279387,-0.00154
-0.0499277387,-0.00142
-0.0499275387,-0.00242
-0.0499273387,-0.0035
-0.0499271387,-0.0013
-0.0499269387,-0.00254
-0.0499267387,-0.00278
-0.0499265387,-0.0027
-0.0499263387,-0.0045
-0.0499261387,-0.0029
-0.0499259387,-0.00506
-0.0499257387,-0.00362
-0.0499255387,-0.0045
-0.0499253387,-0.00418
-0.0499251387,-0.00494
-0.0499249387,-0.00354
-0.0499247387,-0.00162
-0.0499245387,-0.00174
-0.0499243387,-0.00294
-0.0499241387,-0.0021
-0.0499239387,-0.0027
-0.0499237387,-0.00278
-0.0499235387,-0.00398
-0.0499233387,-0.0047
-0.0499231387,-0.00486
-0.0499229387,-0.00362
-0.0499227387,-0.00362
-0.0499225387,-0.0023
-0.0499223387,-0.00254
-0.0499221387,-0.00298
-0.0499219387,-0.00226
-0.0499217387,-0.00174
-0.0499215387,-0.00262
-0.0499213387,-0.00218
-0.0499211387,-0.00322
-0.0499209387,-0.00258
-0.0499207387,-0.00346
-0.0499205387,-0.00206
-0.0499203387,-0.00494
-0.0499201387,-0.00258
-0.0499199387,-0.00294
-0.0499197387,-0.00282
-0.0499195387,-0.00218
-0.0499193387,-0.00326
-0.0499191387,-0.00262
-0.0499189387,-0.00198
-0.0499187387,-0.0019
-0.0499185387,-0.00062
-0.0499183387,-0.00238
-0.0499181387,-0.00238
-0.0499179387,-0.0035
-0.0499177387,-0.00286
-0.0499175387,-0.00218
-0.0499173387,-0.0027
-0.0499171387,-0.00222
-0.0499169387,-0.0017
-0.0499167387,0.00038
-0.0499165387,-0.00046
-0.0499163387,-0.00158
-0.0499161387,-0.00234
-0.0499159387,-0.00354
-0.0499157387,-0.0029
-0.0499155387,-0.00418
-0.0499153387,-0.00498
-0.0499151387,-0.00398
-0.0499149387,-0.00658
-0.0499147387,-0.00414
-0.0499145387,-0.00634
-0.0499143387,-0.00674
-0.0499141387,-0.00626
-0.0499139387,-0.00518
-0.0499137387,-0.00514
-0.0499135387,-0.00482
-0.0499133387,-0.0055
-0.0499131387,-0.00422
-0.0499129387,-0.00378
-0.0499127387,-0.00354
-0.0499125387,-0.00038
-0.0499123387,-0.00018
-0.0499121387,-0.0011
-0.0499119387,-2e-005
-0.0499117387,-0.00102
-0.0499115387,2e-005
-0.0499113387,-0.00114
-0.0499111387,0.00134
-0.0499109387,-0.00034
-0.0499107387,-0.00082
-0.0499105387,-0.0023
-0.0499103387,-0.0035
-0.0499101387,-0.00458
-0.0499099387,-0.0037
-0.0499097387,-0.00418
-0.0499095387,-0.00354
-0.0499093387,-0.00254
-0.0499091387,-0.00258
-0.0499089387,-0.00366
-0.0499087387,-0.00334
-0.0499085387,-0.00478
-0.0499083387,-0.00306
-0.0499081387,-0.0037
-0.0499079387,-0.00618
-0.0499077387,-0.00454
-0.0499075387,-0.0055
-0.0499073387,-0.00478
-0.0499071387,-0.00486
-0.0499069387,-0.00442
-0.0499067387,-0.0037
-0.0499065387,-0.00314
-0.0499063387,-0.00302
-0.0499061387,-0.00266
-0.0499059387,-0.00334
-0.0499057387,-0.00186
-0.0499055387,-0.00226
-0.0499053387,-0.00278
-0.0499051387,-0.0029
-0.0499049387,-0.00314
-0.0499047387,-0.0025
-0.0499045387,-0.00286
-0.0499043387,-0.00226
-0.0499041387,-0.00214
-0.0499039387,-0.00242
-0.0499037387,-0.00186
-0.0499035387,-0.00386
-0.0499033387,-0.00314
-0.0499031387,-0.0031
-0.0499029387,-0.00206
-0.0499027387,-0.00302
-0.0499025387,-0.0025
-0.0499023387,-0.0021
-0.0499021387,-0.00242
-0.0499019387,-0.00158
-0.0499017387,-0.00346
-0.0499015387,-0.00258
-0.0499013387,-0.00326
-0.0499011387,-0.00322
-0.0499009387,-0.00438
-0.0499007387,-0.00422
-0.0499005387,-0.00498
-0.0499003387,-0.0041
-0.0499001387,-0.00438
-0.0498999387,-0.00434
-0.0498997387,-0.00346
-0.0498995387,-0.00338
-0.0498993387,-0.00286
-0.0498991387,-0.00394
-0.0498989387,-0.00242
-0.0498987387,-0.00266
-0.0498985387,-0.00318
-0.0498983387,-0.0031
-0.0498981387,-0.00158
-0.0498979387,-0.00386
-0.0498977387,-0.00206
-0.0498975387,-0.00174
-0.0498973387,-0.00294
-0.0498971387,-0.00274
-0.0498969387,-0.00226
-0.0498967387,-0.00354
-0.0498965387,-0.00382
-0.0498963387,-0.00462
-0.0498961387,-0.00482
-0.0498959387,-0.0049
-0.0498957387,-0.0053
-0.0498955387,-0.00454
-0.0498953387,-0.00426
-0.0498951387,-0.0045
-0.0498949387,-0.00366
-0.0498947387,-0.00446
-0.0498945387,-0.00674
-0.0498943387,-0.00654
-0.0498941387,-0.00586
-0.0498939387,-0.00594
-0.0498937387,-0.00654
-0.0498935387,-0.00614
-0.0498933387,-0.0061
-0.0498931387,-0.00602
-0.0498929387,-0.00574
-0.0498927387,-0.00478
-0.0498925387,-0.00358
-0.0498923387,-0.0045
-0.0498921387,-0.00462
-0.0498919387,-0.00438
-0.0498917387,-0.00494
-0.0498915387,-0.00442
-0.0498913387,-0.0035
-0.0498911387,-0.00414
-0.0498909387,-0.00298
-0.0498907387,-0.00242
-0.0498905387,-0.00202
-0.0498903387,-0.00354
-0.0498901387,-0.00218
-0.0498899387,-0.0013
-0.0498897387,-0.00214
-0.0498895387,-0.00254
-0.0498893387,-0.00306
-0.0498891387,-0.00118
-0.0498889387,-0.00074
-0.0498887387,-0.00226
-0.0498885387,-0.00142
-0.0498883387,-0.0033
-0.0498881387,-0.00394
-0.0498879387,-0.00426
-0.0498877387,-0.00574
-0.0498875387,-0.00446
-0.0498873387,-0.00394
-0.0498871387,-0.00278
-0.0498869387,-0.00254
-0.0498867387,-0.0027
-0.0498865387,-0.0017
-0.0498863387,-0.0011
-0.0498861387,-0.0017
-0.0498859387,-0.00174
-0.0498857387,-0.00146
-0.0498855387,-0.00214
-0.0498853387,-0.00242
-0.0498851387,-0.00142
-0.0498849387,-0.00242
-0.0498847387,-0.0015
-0.0498845387,-0.00114
-0.0498843387,-0.00394
-0.0498841387,-0.0019
-0.0498839387,-0.0023
-0.0498837387,-0.00338
-0.0498835387,-0.00334
-0.0498833387,-0.0031
-0.0498831387,-0.00226
-0.0498829387,-0.00386
-0.0498827387,-0.00454
-0.0498825387,-0.00418
-0.0498823387,-0.00402
-0.0498821387,-0.00358
-0.0498819387,-0.00302
-0.0498817387,-0.0037
-0.0498815387,-0.00406
-0.0498813387,-0.00418
-0.0498811387,-0.00574
-0.0498809387,-0.0017
-0.0498807387,-0.00458
-0.0498805387,-0.00494
-0.0498803387,-0.00418
-0.0498801387,-0.00562
-0.0498799387,-0.00386
-0.0498797387,-0.00414
-0.0498795387,-0.00382
-0.0498793387,-0.00122
-0.0498791387,-0.00222
-0.0498789387,-0.00074
-0.0498787387,-0.00134
-0.0498785387,-0.00134
-0.0498783387,-0.00134
-0.0498781387,-0.00226
-0.0498779387,-0.00186
-0.0498777387,-0.00234
-0.0498775387,-0.00406
-0.0498773387,-0.0041
-0.0498771387,-0.0037
-0.0498769387,-0.0039
-0.0498767387,-0.0043
-0.0498765387,-0.00362
-0.0498763387,-0.00494
-0.0498761387,-0.00518
-0.0498759387,-0.00574
-0.0498757387,-0.0065
-0.0498755387,-0.0045
-0.0498753387,-0.0043
-0.0498751387,-0.00386
-0.0498749387,-0.00418
-0.0498747387,-0.00238
-0.0498745387,-0.00318
-0.0498743387,-0.00258
-0.0498741387,-0.00306
-0.0498739387,-0.00138
-0.0498737387,-0.00222
-0.0498735387,-0.00242
-0.0498733387,-0.00126
-0.0498731387,-0.0017
-0.0498729387,-0.0017
-0.0498727387,-0.00222
-0.0498725387,-0.0039
-0.0498723387,-0.00338
-0.0498721387,-0.00334
-0.0498719387,-0.00366
-0.0498717387,-0.00254
-0.0498715387,-0.00194
-0.0498713387,-0.00298
-0.0498711387,-0.00178
-0.0498709387,-0.00138
-0.0498707387,-0.0029
-0.0498705387,-0.0025
-0.0498703387,-0.00114
-0.0498701387,-0.00366
-0.0498699387,-0.00322
-0.0498697387,-0.0039
-0.0498695387,-0.00366
-0.0498693387,-0.00274
-0.0498691387,-0.00358
-0.0498689387,-0.00366
-0.0498687387,-0.00398
-0.0498685387,-0.00542
-0.0498683387,-0.00482
-0.0498681387,-0.0041
-0.0498679387,-0.00482
-0.0498677387,-0.00606
-0.0498675387,-0.00462
-0.0498673387,-0.00334
-0.0498671387,-0.00438
-0.0498669387,-0.00342
-0.0498667387,-0.00406
-0.0498665387,-0.0027
-0.0498663387,-0.00398
-0.0498661387,-0.00466
-0.0498659387,-0.00434
-0.0498657387,-0.00458
-0.0498655387,-0.0045
-0.0498653387,-0.00414
-0.0498651387,-0.00538
-0.0498649387,-0.00394
-0.0498647387,-0.00422
-0.0498645387,-0.00414
-0.0498643387,-0.00274
-0.0498641387,-0.00298
-0.0498639387,-0.00214
-0.0498637387,-0.00402
-0.0498635387,-0.00446
-0.0498633387,-0.0049
-0.0498631387,-0.00558
-0.0498629387,-0.00618
-0.0498627387,-0.00494
-0.0498625387,-0.00566
-0.0498623387,-0.0059
-0.0498621387,-0.00458
-0.0498619387,-0.00418
-0.0498617387,-0.00466
-0.0498615387,-0.00394
-0.0498613387,-0.00442
-0.0498611387,-0.00518
-0.0498609387,-0.00382
-0.0498607387,-0.00434
-0.0498605387,-0.00486
-0.0498603387,-0.00374
-0.0498601387,-0.00542
-0.0498599387,-0.00538
-0.0498597387,-0.00518
-0.0498595387,-0.00598
-0.0498593387,-0.00542
-0.0498591387,-0.00418
-0.0498589387,-0.00526
-0.0498587387,-0.0035
-0.0498585387,-0.0037
-0.0498583387,-0.00318
-0.0498581387,-0.00338
-0.0498579387,-0.00302
-0.0498577387,-0.00442
-0.0498575387,-0.00238
-0.0498573387,-0.0039
-0.0498571387,-0.00322
-0.0498569387,-0.0035
-0.0498567387,-0.00414
-0.0498565387,-0.00422
-0.0498563387,-0.00478
-0.0498561387,-0.00478
-0.0498559387,-0.00598
-0.0498557387,-0.00446
-0.0498555387,-0.00614
-0.0498553387,-0.00594
-0.0498551387,-0.0045
-0.0498549387,-0.0055
-0.0498547387,-0.0055
-0.0498545387,-0.00474
-0.0498543387,-0.00366
-0.0498541387,-0.0041
-0.0498539387,-0.00434
-0.0498537387,-0.00542
-0.0498535387,-0.00394
-0.0498533387,-0.00422
-0.0498531387,-0.00506
-0.0498529387,-0.00454
-0.0498527387,-0.0059
-0.0498525387,-0.00346
-0.0498523387,-0.0051
-0.0498521387,-0.0037
-0.0498519387,-0.00418
-0.0498517387,-0.00274
-0.0498515387,-0.00054
-0.0498513387,-0.0007
-0.0498511387,-0.00066
-0.0498509387,-0.00062
-0.0498507387,-0.00102
-0.0498505387,-0.00318
-0.0498503387,-0.00262
-0.0498501387,-0.0041
-0.0498499387,-0.00402
-0.0498497387,-0.00474
-0.0498495387,-0.00366
-0.0498493387,-0.00378
-0.0498491387,-0.00322
-0.0498489387,-0.00402
-0.0498487387,-0.0041
-0.0498485387,-0.00474
-0.0498483387,-0.0065
-0.0498481387,-0.00618
-0.0498479387,-0.00614
-0.0498477387,-0.0057
-0.0498475387,-0.00766
-0.0498473387,-0.00574
-0.0498471387,-0.00618
-0.0498469387,-0.00454
-0.0498467387,-0.0039
-0.0498465387,-0.0035
-0.0498463387,-0.00334
-0.0498461387,-0.00298
-0.0498459387,-0.00186
-0.0498457387,-0.0035
-0.0498455387,-0.00482
-0.0498453387,-0.00514
-0.0498451387,-0.00478
-0.0498449387,-0.00346
-0.0498447387,-0.0037
-0.0498445387,-0.00338
-0.0498443387,-0.00426
-0.0498441387,-0.00494
-0.0498439387,-0.00454
-0.0498437387,-0.00258
-0.0498435387,-0.0013
-0.0498433387,-0.00218
-0.0498431387,-0.00246
-0.0498429387,-0.00282
-0.0498427387,-0.00378
-0.0498425387,-0.00114
-0.0498423387,-0.00526
-0.0498421387,-0.00302
-0.0498419387,-0.00526
-0.0498417387,-0.00586
-0.0498415387,-0.00478
-0.0498413387,-0.00554
-0.0498411387,-0.00562
-0.0498409387,-0.00462
-0.0498407387,-0.00474
-0.0498405387,-0.00362
-0.0498403387,-0.00246
-0.0498401387,-0.00306
-0.0498399387,-0.00146
-0.0498397387,-0.0015
-0.0498395387,-0.0029
-0.0498393387,-0.0023
-0.0498391387,-0.00374
-0.0498389387,-0.00194
-0.0498387387,-0.0031
-0.0498385387,-0.00294
-0.0498383387,-0.00366
-0.0498381387,-0.00422
-0.0498379387,-0.00382
-0.0498377387,-0.00518
-0.0498375387,-0.00622
-0.0498373387,-0.00682
-0.0498371387,-0.00682
-0.0498369387,-0.0063
-0.0498367387,-0.0057
-0.0498365387,-0.0051
-0.0498363387,-0.00434
-0.0498361387,-0.00494
-0.0498359387,-0.00298
-0.0498357387,-0.00522
-0.0498355387,-0.00318
-0.0498353387,-0.00334
-0.0498351387,-0.00334
-0.0498349387,-0.00606
-0.0498347387,-0.0059
-0.0498345387,-0.00482
-0.0498343387,-0.00834
-0.0498341387,-0.00526
-0.0498339387,-0.0081
-0.0498337387,-0.0059
-0.0498335387,-0.00626
-0.0498333387,-0.00834
-0.0498331387,-0.00678
-0.0498329387,-0.00686
-0.0498327387,-0.00526
-0.0498325387,-0.0041
-0.0498323387,-0.00442
-0.0498321387,-0.00286
-0.0498319387,-0.00162
-0.0498317387,-0.00122
-0.0498315387,-0.00154
-0.0498313387,-0.00198
-0.0498311387,-0.0033
-0.0498309387,-0.00242
-0.0498307387,-0.0049
-0.0498305387,-0.00318
-0.0498303387,-0.00566
-0.0498301387,-0.00438
-0.0498299387,-0.00518
-0.0498297387,-0.00566
-0.0498295387,-0.00602
-0.0498293387,-0.00646
-0.0498291387,-0.00702
-0.0498289387,-0.00602
