LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,05-Jan-2026 13:07:08,0                 
Time,Ampl
-0.0500001374,-0.00532
-0.0499999374,-0.0048
-0.0499997374,-0.00526
-0.0499995374,-0.00302
-0.0499993374,-0.00488
-0.0499991374,-0.00592
-0.0499989374,-0.00408
-0.0499987374,-0.00426
-0.0499985374,-0.00524
-0.0499983374,-0.00434
-0.0499981374,-0.00446
-0.0499979374,-0.00446
-0.0499977374,-0.00314
-0.0499975374,-0.00376
-0.0499973374,-0.00314
-0.0499971374,-0.00314
-0.0499969374,-0.0023
-0.0499967374,-0.00282
-0.0499965374,-0.00138
-0.0499963374,-0.00192
-0.0499961374,4e-005
-0.0499959374,-0.00268
-0.0499957374,-0.0028
-0.0499955374,-0.0031
-0.0499953374,-0.00338
-0.0499951374,-0.00396
-0.0499949374,-0.00346
-0.0499947374,-0.00214
-0.0499945374,-0.00546
-0.0499943374,-0.00326
-0.0499941374,-0.00516
-0.0499939374,-0.00458
-0.0499937374,-0.0058
-0.0499935374,-0.00564
-0.0499933374,-0.00582
-0.0499931374,-0.00672
-0.0499929374,-0.00344
-0.0499927374,-0.00644
-0.0499925374,-0.00342
-0.0499923374,-0.00312
-0.0499921374,-0.00306
-0.0499919374,-0.00098
-0.0499917374,-0.00326
-0.0499915374,-0.00072
-0.0499913374,-0.0011
-0.0499911374,-0.00114
-0.0499909374,-0.00194
-0.0499907374,-0.00192
-0.0499905374,-0.00196
-0.0499903374,-0.00232
-0.0499901374,-0.00168
-0.0499899374,-0.0025
-0.0499897374,-0.00168
-0.0499895374,-0.00152
-0.0499893374,-0.00082
-0.0499891374,-0.00428
-0.0499889374,-0.00254
-0.0499887374,-0.00352
-0.0499885374,-0.00176
-0.0499883374,-0.00404
-0.0499881374,-0.00532
-0.0499879374,-0.00398
-0.0499877374,-0.00556
-0.0499875374,-0.00458
-0.0499873374,-0.00358
-0.0499871374,-0.00434
-0.0499869374,-0.00212
-0.0499867374,-0.00084
-0.0499865374,-0.00154
-0.0499863374,-0.0017
-0.0499861374,-0.0039
-0.0499859374,-0.00394
-0.0499857374,-0.00402
-0.0499855374,-0.00562
-0.0499853374,-0.00564
-0.0499851374,-0.00742
-0.0499849374,-0.00558
-0.0499847374,-0.00708
-0.0499845374,-0.00628
-0.0499843374,-0.00674
-0.0499841374,-0.00756
-0.0499839374,-0.0066
-0.0499837374,-0.00776
-0.0499835374,-0.00526
-0.0499833374,-0.00482
-0.0499831374,-0.00386
-0.0499829374,-0.00366
-0.0499827374,-0.0032
-0.0499825374,-0.00232
-0.0499823374,-0.00448
-0.0499821374,-0.0029
-0.0499819374,-0.00312
-0.0499817374,-0.00266
-0.0499815374,-0.00388
-0.0499813374,-0.00258
-0.0499811374,-0.00464
-0.0499809374,-0.00168
-0.0499807374,-0.00306
-0.0499805374,-0.00338
-0.0499803374,-0.0037
-0.0499801374,-0.00418
-0.0499799374,-0.0027
-0.0499797374,-0.00542
-0.0499795374,-0.00426
-0.0499793374,-0.00446
-0.0499791374,-0.00462
-0.0499789374,-0.00442
-0.0499787374,-0.0052
-0.0499785374,-0.0047
-0.0499783374,-0.0045
-0.0499781374,-0.00498
-0.0499779374,-0.00518
-0.0499777374,-0.0047
-0.0499775374,-0.00746
-0.0499773374,-0.00708
-0.0499771374,-0.00692
-0.0499769374,-0.00626
-0.0499767374,-0.00562
-0.0499765374,-0.00468
-0.0499763374,-0.00394
-0.0499761374,-0.00364
-0.0499759374,-0.00346
-0.0499757374,-0.00294
-0.0499755374,-0.0032
-0.0499753374,-0.00364
-0.0499751374,-0.00392
-0.0499749374,-0.00428
-0.0499747374,-0.00606
-0.0499745374,-0.0031
-0.0499743374,-0.00452
-0.0499741374,-0.00624
-0.0499739374,-0.0054
-0.0499737374,-0.00636
-0.0499735374,-0.00644
-0.0499733374,-0.0062
-0.0499731374,-0.0053
-0.0499729374,-0.00402
-0.0499727374,-0.00224
-0.0499725374,-0.00158
-0.0499723374,-0.00192
-0.0499721374,-0.00212
-0.0499719374,-0.00218
-0.0499717374,-0.0022
-0.0499715374,-0.00186
-0.0499713374,-0.00276
-0.0499711374,-0.00288
-0.0499709374,-0.0036
-0.0499707374,-0.00272
-0.0499705374,-0.0032
-0.0499703374,-0.00068
-0.0499701374,-0.00106
-0.0499699374,-0.0003
-0.0499697374,-0.00124
-0.0499695374,-0.00148
-0.0499693374,-0.00156
-0.0499691374,-0.00188
-0.0499689374,-0.00196
-0.0499687374,-0.00332
-0.0499685374,-0.00276
-0.0499683374,-0.00254
-0.0499681374,-0.00188
-0.0499679374,-0.00214
-0.0499677374,-0.0013
-0.0499675374,-0.00188
-0.0499673374,-0.00372
-0.0499671374,-0.00306
-0.0499669374,-0.0019
-0.0499667374,-0.00314
-0.0499665374,-0.00232
-0.0499663374,-0.00172
-0.0499661374,-0.00282
-0.0499659374,-0.00386
-0.0499657374,-0.0034
-0.0499655374,-0.00502
-0.0499653374,-0.0046
-0.0499651374,-0.00426
-0.0499649374,-0.00366
-0.0499647374,-0.0037
-0.0499645374,-0.00462
-0.0499643374,-0.00466
-0.0499641374,-0.00256
-0.0499639374,-0.00328
-0.0499637374,-0.00254
-0.0499635374,-0.00242
-0.0499633374,-0.00252
-0.0499631374,-0.0019
-0.0499629374,-0.00152
-0.0499627374,-0.00282
-0.0499625374,-0.00202
-0.0499623374,-0.00226
-0.0499621374,-0.00172
-0.0499619374,-0.00206
-0.0499617374,-0.00118
-0.0499615374,-0.00216
-0.0499613374,-0.00296
-0.0499611374,-0.0033
-0.0499609374,-0.00312
-0.0499607374,-0.0018
-0.0499605374,-0.0011
-0.0499603374,-0.00326
-0.0499601374,-0.00232
-0.0499599374,-0.00248
-0.0499597374,-0.00418
-0.0499595374,-0.0043
-0.0499593374,-0.00502
-0.0499591374,-0.00468
-0.0499589374,-0.00562
-0.0499587374,-0.0061
-0.0499585374,-0.00554
-0.0499583374,-0.0043
-0.0499581374,-0.00338
-0.0499579374,-0.00294
-0.0499577374,-0.00246
-0.0499575374,-0.00318
-0.0499573374,-0.00266
-0.0499571374,-0.00328
-0.0499569374,-0.0022
-0.0499567374,-0.00356
-0.0499565374,-0.00362
-0.0499563374,-0.00562
-0.0499561374,-0.0055
-0.0499559374,-0.00656
-0.0499557374,-0.00682
-0.0499555374,-0.00796
-0.0499553374,-0.00634
-0.0499551374,-0.0072
-0.0499549374,-0.00694
-0.0499547374,-0.00902
-0.0499545374,-0.00614
-0.0499543374,-0.007
-0.0499541374,-0.00898
-0.0499539374,-0.00594
-0.0499537374,-0.0061
-0.0499535374,-0.00492
-0.0499533374,-0.00542
-0.0499531374,-0.00618
-0.0499529374,-0.00442
-0.0499527374,-0.00548
-0.0499525374,-0.0058
-0.0499523374,-0.00526
-0.0499521374,-0.00662
-0.0499519374,-0.0051
-0.0499517374,-0.00306
-0.0499515374,-0.00256
-0.0499513374,-0.00334
-0.0499511374,-0.00392
-0.0499509374,-0.00266
-0.0499507374,-0.0044
-0.0499505374,-0.00316
-0.0499503374,-0.00316
-0.0499501374,-0.00334
-0.0499499374,-0.00194
-0.0499497374,-0.0029
-0.0499495374,-0.00316
-0.0499493374,-0.00268
-0.0499491374,-0.00284
-0.0499489374,-0.00374
-0.0499487374,-0.00282
-0.0499485374,-0.0043
-0.0499483374,-0.00534
-0.0499481374,-0.0043
-0.0499479374,-0.0048
-0.0499477374,-0.00442
-0.0499475374,-0.0036
-0.0499473374,-0.00362
-0.0499471374,-0.00292
-0.0499469374,-0.00304
-0.0499467374,-0.0049
-0.0499465374,-0.00644
-0.0499463374,-0.00752
-0.0499461374,-0.00898
-0.0499459374,-0.00666
-0.0499457374,-0.00782
-0.0499455374,-0.0049
-0.0499453374,-0.00592
-0.0499451374,-0.00328
-0.0499449374,-0.00432
-0.0499447374,-0.00514
-0.0499445374,-0.00292
-0.0499443374,-0.00474
-0.0499441374,-0.00348
-0.0499439374,-0.00362
-0.0499437374,-0.00358
-0.0499435374,-0.00372
-0.0499433374,-0.00226
-0.0499431374,-0.0044
-0.0499429374,-0.00274
-0.0499427374,-0.00234
-0.0499425374,-0.00372
-0.0499423374,-0.00364
-0.0499421374,-0.00354
-0.0499419374,-0.00322
-0.0499417374,-0.00346
-0.0499415374,-0.0054
-0.0499413374,-0.0049
-0.0499411374,-0.00564
-0.0499409374,-0.00578
-0.0499407374,-0.00572
-0.0499405374,-0.00486
-0.0499403374,-0.00366
-0.0499401374,-0.0026
-0.0499399374,-0.00204
-0.0499397374,-0.00224
-0.0499395374,-0.00138
-0.0499393374,-0.00106
-0.0499391374,-0.00042
-0.0499389374,-0.0006
-0.0499387374,-0.00144
-0.0499385374,-0.002
-0.0499383374,-0.00208
-0.0499381374,-0.00224
-0.0499379374,-0.00368
-0.0499377374,-0.00362
-0.0499375374,-0.00398
-0.0499373374,-0.006
-0.0499371374,-0.00508
-0.0499369374,-0.00532
-0.0499367374,-0.0059
-0.0499365374,-0.00514
-0.0499363374,-0.00586
-0.0499361374,-0.00574
-0.0499359374,-0.00492
-0.0499357374,-0.00422
-0.0499355374,-0.00448
-0.0499353374,-0.00422
-0.0499351374,-0.00328
-0.0499349374,-0.0022
-0.0499347374,-0.00228
-0.0499345374,-0.0019
-0.0499343374,-0.00236
-0.0499341374,-0.00348
-0.0499339374,-0.0037
-0.0499337374,-0.00328
-0.0499335374,-0.00466
-0.0499333374,-0.00512
-0.0499331374,-0.00348
-0.0499329374,-0.00382
-0.0499327374,-0.004
-0.0499325374,-0.00356
-0.0499323374,-0.00384
-0.0499321374,-0.00446
-0.0499319374,-0.00424
-0.0499317374,-0.00442
-0.0499315374,-0.00398
-0.0499313374,-0.00442
-0.0499311374,-0.00446
-0.0499309374,-0.00376
-0.0499307374,-0.0042
-0.0499305374,-0.00412
-0.0499303374,-0.0035
-0.0499301374,-0.00356
-0.0499299374,-0.00436
-0.0499297374,-0.00362
-0.0499295374,-0.00452
-0.0499293374,-0.00318
-0.0499291374,-0.00394
-0.0499289374,-0.00352
-0.0499287374,-0.00244
-0.0499285374,-0.0036
-0.0499283374,-0.0028
-0.0499281374,-0.00462
-0.0499279374,-0.00546
-0.0499277374,-0.00368
-0.0499275374,-0.00602
-0.0499273374,-0.00542
-0.0499271374,-0.00688
-0.0499269374,-0.00632
-0.0499267374,-0.00702
-0.0499265374,-0.00634
-0.0499263374,-0.00344
-0.0499261374,-0.00324
-0.0499259374,-0.00242
-0.0499257374,-0.00322
-0.0499255374,-0.00328
-0.0499253374,-0.00274
-0.0499251374,-0.00258
-0.0499249374,-0.00146
-0.0499247374,-0.00326
-0.0499245374,-0.0019
-0.0499243374,-0.00286
-0.0499241374,-0.0025
-0.0499239374,-0.0017
-0.0499237374,-0.00144
-0.0499235374,-0.0021
-0.0499233374,-0.00108
-0.0499231374,-0.00182
-0.0499229374,-0.0021
-0.0499227374,-0.00214
-0.0499225374,-0.0028
-0.0499223374,-0.003
-0.0499221374,-0.00168
-0.0499219374,-0.0025
-0.0499217374,-0.00066
-0.0499215374,-0.00204
-0.0499213374,-0.00122
-0.0499211374,-0.00192
-0.0499209374,-0.00208
-0.0499207374,-0.00426
-0.0499205374,-0.0036
-0.0499203374,-0.0065
-0.0499201374,-0.00488
-0.0499199374,-0.0063
-0.0499197374,-0.0062
-0.0499195374,-0.00628
-0.0499193374,-0.00772
-0.0499191374,-0.00574
-0.0499189374,-0.0039
-0.0499187374,-0.00402
-0.0499185374,-0.00388
-0.0499183374,-0.00448
-0.0499181374,-0.00424
-0.0499179374,-0.003
-0.0499177374,-0.00266
-0.0499175374,-0.0025
-0.0499173374,-0.0036
-0.0499171374,-0.0022
-0.0499169374,-0.00076
-0.0499167374,-0.00134
-0.0499165374,-0.00206
-0.0499163374,-0.0039
-0.0499161374,-0.00302
-0.0499159374,-0.00488
-0.0499157374,-0.00476
