Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-29 11:54:42.14;0.00:00:00:045;0.00;1.00;0.00;0.02665;7.243E-08;0.02656;9.302E-06;45.00;0.01;99.69;0.03;99.69;0.02665;0.02656;8.228E-05;-15.744;-15.757;-40.847;0.50;0.02;
2025-12-29 11:54:42.19;0.00:00:00:097;0.00;1.00;0.00;0.02673;7.555E-06;0.02665;1.502E-05;44.99;0.02;99.67;0.06;99.67;0.02673;0.02665;8.766E-05;-15.729;-15.743;-40.572;0.50;0.03;
2025-12-29 11:54:42.24;0.00:00:00:145;0.00;1.00;0.00;0.02677;7.828E-07;0.02669;6.591E-06;45.00;0.01;99.70;0.02;99.70;0.02677;0.02669;8.046E-05;-15.723;-15.736;-40.944;0.50;0.01;
2025-12-29 11:54:42.29;0.00:00:00:194;0.00;1.00;0.00;0.02668;3.719E-05;0.02657;3.618E-05;44.96;0.04;99.60;0.14;99.60;0.02668;0.02657;0.0001057;-15.739;-15.756;-39.761;0.50;0.08;
2025-12-29 11:54:42.34;0.00:00:00:247;0.00;1.00;0.00;0.02654;1.081E-05;0.02646;1.165E-05;44.99;0.01;99.69;0.04;99.69;0.02654;0.02646;8.339E-05;-15.761;-15.774;-40.789;0.50;0.03;
2025-12-29 11:54:42.39;0.00:00:00:297;0.00;1.00;0.00;0.02671;1.126E-05;0.02663;2.015E-05;44.99;0.02;99.71;0.08;99.71;0.02671;0.02663;7.77E-05;-15.734;-15.746;-41.096;0.50;0.04;
2025-12-29 11:54:42.44;0.00:00:00:347;0.00;1.00;0.00;0.02667;2.176E-05;0.02658;2.989E-05;44.98;0.03;99.64;0.11;99.64;0.02667;0.02658;9.711E-05;-15.739;-15.755;-40.127;0.50;0.06;
2025-12-29 11:54:42.49;0.00:00:00:397;0.00;1.00;0.00;0.02668;6.526E-06;0.0266;7.118E-06;44.99;0.01;99.70;0.03;99.70;0.02668;0.0266;7.978E-05;-15.738;-15.751;-40.981;0.50;0.02;
2025-12-29 11:54:42.54;0.00:00:00:446;0.00;1.00;0.00;0.02668;2.169E-05;0.02658;2.255E-05;44.98;0.02;99.66;0.08;99.66;0.02668;0.02658;9.085E-05;-15.739;-15.754;-40.417;0.50;0.05;
2025-12-29 11:54:42.59;0.00:00:00:494;0.00;1.00;0.00;0.02666;8.368E-06;0.02657;1.953E-05;44.99;0.02;99.67;0.07;99.67;0.02666;0.02657;8.681E-05;-15.742;-15.756;-40.614;0.50;0.04;
