Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-29 11:49:34.03;0.00:00:00:059;1.00;0.00;0.00;0.02627;0.02612;-4.591E-05;-3.218E-05;-0.05;-0.04;99.41;0.12;99.41;0.02627;0.02612;0.000156;-15.805;-15.831;-38.069;1.00;-144.97;
2025-12-29 11:49:34.08;0.00:00:00:116;1.00;0.00;0.00;0.02627;0.0261;-3.34E-05;-3.164E-05;-0.04;-0.03;99.38;0.12;99.38;0.02627;0.0261;0.000162;-15.806;-15.833;-37.905;1.00;-136.55;
2025-12-29 11:49:34.13;0.00:00:00:163;1.00;0.00;0.00;0.02632;0.02614;-2.151E-05;-3.754E-05;-0.02;-0.04;99.34;0.14;99.34;0.02632;0.02614;0.0001746;-15.798;-15.827;-37.579;1.00;-119.81;
2025-12-29 11:49:34.19;0.00:00:00:224;1.00;0.00;0.00;0.02638;0.02622;-4.203E-05;-3.041E-05;-0.05;-0.03;99.40;0.12;99.40;0.02638;0.02622;0.0001582;-15.788;-15.814;-38.007;1.00;-144.11;
2025-12-29 11:49:34.24;0.00:00:00:271;1.00;0.00;0.00;0.02629;0.02613;-4.439E-05;-3.475E-05;-0.05;-0.04;99.41;0.13;99.41;0.02629;0.02613;0.0001547;-15.803;-15.828;-38.104;1.00;-141.95;
2025-12-29 11:49:34.29;0.00:00:00:317;1.00;0.00;0.00;0.02628;0.02612;-3.743E-05;-3.233E-05;-0.04;-0.04;99.39;0.12;99.39;0.02628;0.02612;0.0001597;-15.804;-15.831;-37.966;1.00;-139.18;
2025-12-29 11:49:34.35;0.00:00:00:379;1.00;0.00;0.00;0.02633;0.02617;-3.953E-05;-2.694E-05;-0.04;-0.03;99.41;0.10;99.41;0.02633;0.02617;0.0001553;-15.796;-15.822;-38.087;1.00;-145.72;
2025-12-29 11:49:34.39;0.00:00:00:426;1.00;0.00;0.00;0.02619;0.02602;-4.435E-05;-4.818E-05;-0.05;-0.05;99.34;0.18;99.34;0.02619;0.02602;0.0001721;-15.819;-15.847;-37.642;1.00;-132.62;
2025-12-29 11:49:34.44;0.00:00:00:473;1.00;0.00;0.00;0.02641;0.02626;-5.309E-05;-3.56E-05;-0.06;-0.04;99.43;0.13;99.43;0.02641;0.02626;0.0001516;-15.782;-15.807;-38.192;1.00;-146.16;
2025-12-29 11:49:34.49;0.00:00:00:520;1.00;0.00;0.00;0.0264;0.02624;-3.627E-05;-3.055E-05;-0.04;-0.03;99.41;0.12;99.41;0.0264;0.02624;0.0001548;-15.785;-15.810;-38.103;1.00;-139.89;
2025-12-29 11:49:34.54;0.00:00:00:569;1.00;0.00;0.00;0.02636;0.02621;-3.865E-05;-3.493E-05;-0.04;-0.04;99.40;0.13;99.40;0.02636;0.02621;0.0001574;-15.790;-15.816;-38.029;1.00;-137.89;
2025-12-29 11:49:34.58;0.00:00:00:615;1.00;0.00;0.00;0.02641;0.02624;-1.158E-05;-3.822E-05;-0.01;-0.04;99.34;0.14;99.34;0.02641;0.02624;0.0001737;-15.782;-15.810;-37.601;1.00;-106.86;
2025-12-29 11:49:34.63;0.00:00:00:660;1.00;0.00;0.00;0.02646;0.02632;-5.948E-05;-1.845E-05;-0.06;-0.02;99.46;0.07;99.46;0.02646;0.02632;0.0001441;-15.774;-15.797;-38.415;1.00;-162.77;
2025-12-29 11:49:34.68;0.00:00:00:708;1.00;0.00;0.00;0.0264;0.02621;1.075E-05;-3.786E-05;0.01;-0.04;99.30;0.14;99.30;0.0264;0.02621;0.0001858;-15.785;-15.815;-37.310;1.00;-74.15;
2025-12-29 11:49:34.72;0.00:00:00:754;1.00;0.00;0.00;0.02653;0.02637;-3.002E-05;-2.839E-05;-0.03;-0.03;99.41;0.11;99.41;0.02653;0.02637;0.0001565;-15.763;-15.789;-38.054;1.00;-136.60;
2025-12-29 11:49:34.77;0.00:00:00:801;1.00;0.00;0.00;0.02644;0.02629;-5.7E-05;-2.81E-05;-0.06;-0.03;99.42;0.11;99.42;0.02644;0.02629;0.0001525;-15.777;-15.803;-38.167;1.00;-153.76;
2025-12-29 11:49:34.82;0.00:00:00:848;1.00;0.00;0.00;0.02618;0.02603;-4.933E-05;-3.058E-05;-0.05;-0.03;99.40;0.12;99.40;0.02618;0.02603;0.0001566;-15.820;-15.846;-38.051;1.00;-148.20;
2025-12-29 11:49:34.86;0.00:00:00:895;1.00;0.00;0.00;0.02616;0.02601;-3.295E-05;-3.277E-05;-0.04;-0.04;99.40;0.13;99.40;0.02616;0.02601;0.0001578;-15.823;-15.849;-38.020;1.00;-135.16;
2025-12-29 11:49:34.91;0.00:00:00:941;1.00;0.00;0.00;0.02626;0.02609;-1.512E-05;-3.934E-05;-0.02;-0.04;99.35;0.15;99.35;0.02626;0.02609;0.0001695;-15.807;-15.835;-37.707;1.00;-111.02;
2025-12-29 11:49:34.96;0.00:00:00:988;1.00;0.00;0.00;0.02644;0.02627;-7.583E-07;-3.449E-05;0.00;-0.04;99.33;0.13;99.33;0.02644;0.02627;0.000176;-15.777;-15.806;-37.544;1.00;-91.26;
2025-12-29 11:49:35.00;0.00:00:01:035;1.00;0.00;0.00;0.02652;0.02637;-4.574E-05;-2.802E-05;-0.05;-0.03;99.44;0.11;99.44;0.02652;0.02637;0.0001496;-15.764;-15.789;-38.251;1.00;-148.51;
2025-12-29 11:49:35.05;0.00:00:01:082;1.00;0.00;0.00;0.02639;0.02622;-2.071E-05;-3.49E-05;-0.02;-0.04;99.37;0.13;99.37;0.02639;0.02622;0.0001667;-15.785;-15.813;-37.779;1.00;-120.69;
