Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 512 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-05 13:17:24.23;0.00:00:00:049;0.99;-0.09;0.12;1.382E-05;1.2E-05;-1.061E-06;1.486E-06;-2.53;3.52;87.79;10.75;87.13;1.382E-05;1.213E-05;1.687E-06;-48.594;-49.160;-57.728;0.99;125.54;
2026-01-05 13:17:24.29;0.00:00:00:110;0.99;-0.09;0.12;1.385E-05;1.204E-05;-1.071E-06;1.5E-06;-2.54;3.54;87.92;10.82;87.25;1.385E-05;1.218E-05;1.674E-06;-48.584;-49.143;-57.763;0.99;125.54;
2026-01-05 13:17:24.34;0.00:00:00:158;0.99;-0.09;0.12;1.377E-05;1.195E-05;-1.096E-06;1.481E-06;-2.62;3.52;87.81;10.76;87.15;1.377E-05;1.209E-05;1.679E-06;-48.612;-49.176;-57.751;0.99;126.51;
2026-01-05 13:17:24.38;0.00:00:00:205;0.99;-0.09;0.12;1.371E-05;1.192E-05;-1.073E-06;1.48E-06;-2.57;3.52;87.98;10.80;87.31;1.371E-05;1.206E-05;1.649E-06;-48.629;-49.186;-57.829;0.99;125.92;
2026-01-05 13:17:24.43;0.00:00:00:252;0.99;-0.09;0.12;1.375E-05;1.194E-05;-1.054E-06;1.477E-06;-2.52;3.51;87.83;10.74;87.17;1.375E-05;1.208E-05;1.673E-06;-48.617;-49.180;-57.765;0.99;125.51;
2026-01-05 13:17:24.48;0.00:00:00:300;0.99;-0.09;0.12;1.375E-05;1.195E-05;-1.069E-06;1.469E-06;-2.56;3.49;87.91;10.69;87.25;1.375E-05;1.209E-05;1.663E-06;-48.617;-49.177;-57.791;0.99;126.03;
2026-01-05 13:17:24.54;0.00:00:00:361;0.99;-0.09;0.12;1.38E-05;1.197E-05;-1.051E-06;1.487E-06;-2.51;3.53;87.75;10.78;87.08;1.38E-05;1.211E-05;1.691E-06;-48.602;-49.169;-57.719;0.99;125.26;
2026-01-05 13:17:24.59;0.00:00:00:408;0.99;-0.09;0.12;1.382E-05;1.201E-05;-1.055E-06;1.485E-06;-2.51;3.51;87.89;10.75;87.23;1.382E-05;1.214E-05;1.673E-06;-48.596;-49.157;-57.765;0.99;125.40;
2026-01-05 13:17:24.63;0.00:00:00:456;0.99;-0.09;0.12;1.386E-05;1.204E-05;-1.061E-06;1.49E-06;-2.52;3.52;87.81;10.75;87.14;1.386E-05;1.217E-05;1.691E-06;-48.581;-49.146;-57.719;0.99;125.44;
2026-01-05 13:17:24.68;0.00:00:00:503;0.99;-0.09;0.12;1.387E-05;1.2E-05;-1.065E-06;1.495E-06;-2.54;3.54;87.48;10.78;86.82;1.387E-05;1.214E-05;1.737E-06;-48.578;-49.159;-57.603;0.99;125.46;
