Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-05 12:18:05.43;0.00:00:00:046;0.99;0.02;-0.11;0.02102;0.02086;0.0003815;-0.002205;0.52;-3.02;99.83;10.49;99.28;0.02102;0.02098;3.487E-05;-16.774;-16.782;-44.575;1.00;-80.18;
2026-01-05 12:18:05.48;0.00:00:00:095;0.99;0.02;-0.11;0.02101;0.02086;0.000381;-0.002203;0.52;-3.01;99.83;10.48;99.28;0.02101;0.02098;3.496E-05;-16.776;-16.783;-44.564;1.00;-80.19;
2026-01-05 12:18:05.53;0.00:00:00:143;0.99;0.02;-0.10;0.02099;0.02083;0.0003753;-0.002198;0.52;-3.01;99.83;10.47;99.28;0.02099;0.02095;3.586E-05;-16.781;-16.788;-44.453;1.00;-80.31;
2026-01-05 12:18:05.58;0.00:00:00:191;0.99;0.02;-0.11;0.02101;0.02085;0.0003822;-0.002203;0.52;-3.02;99.83;10.49;99.28;0.02101;0.02097;3.6E-05;-16.776;-16.784;-44.437;1.00;-80.16;
2026-01-05 12:18:05.63;0.00:00:00:244;0.99;0.02;-0.10;0.02103;0.02087;0.0003777;-0.002203;0.52;-3.01;99.83;10.48;99.28;0.02103;0.02099;3.579E-05;-16.773;-16.780;-44.463;1.00;-80.27;
2026-01-05 12:18:05.68;0.00:00:00:292;0.99;0.02;-0.10;0.02105;0.0209;0.0003807;-0.002206;0.52;-3.01;99.83;10.48;99.28;0.02105;0.02102;3.494E-05;-16.767;-16.775;-44.567;1.00;-80.21;
2026-01-05 12:18:05.73;0.00:00:00:341;0.99;0.02;-0.11;0.02101;0.02086;0.0003833;-0.002205;0.53;-3.02;99.84;10.50;99.29;0.02101;0.02098;3.369E-05;-16.775;-16.782;-44.725;1.00;-80.14;
2026-01-05 12:18:05.78;0.00:00:00:391;0.99;0.02;-0.10;0.02105;0.02089;0.0003748;-0.002204;0.51;-3.01;99.82;10.47;99.27;0.02105;0.02101;3.718E-05;-16.767;-16.775;-44.297;1.00;-80.35;
2026-01-05 12:18:05.83;0.00:00:00:441;0.99;0.02;-0.11;0.02101;0.02086;0.0003837;-0.002204;0.53;-3.02;99.83;10.49;99.28;0.02101;0.02098;3.528E-05;-16.776;-16.783;-44.524;1.00;-80.12;
2026-01-05 12:18:05.88;0.00:00:00:490;0.99;0.02;-0.11;0.02097;0.02082;0.0003814;-0.002203;0.52;-3.02;99.84;10.50;99.29;0.02097;0.02094;3.356E-05;-16.783;-16.790;-44.742;1.00;-80.18;
2026-01-05 12:18:05.93;0.00:00:00:537;0.99;0.02;-0.11;0.02105;0.02089;0.0003841;-0.002209;0.53;-3.02;99.84;10.49;99.29;0.02105;0.02101;3.388E-05;-16.768;-16.775;-44.700;1.00;-80.13;
2026-01-05 12:18:05.97;0.00:00:00:584;0.99;0.02;-0.10;0.02104;0.02088;0.0003729;-0.002201;0.51;-3.01;99.82;10.47;99.27;0.02104;0.021;3.777E-05;-16.771;-16.778;-44.228;1.00;-80.39;
2026-01-05 12:18:06.02;0.00:00:00:634;0.99;0.02;-0.11;0.02108;0.02093;0.000387;-0.002211;0.53;-3.02;99.84;10.49;99.29;0.02108;0.02105;3.402E-05;-16.761;-16.768;-44.683;1.00;-80.07;
2026-01-05 12:18:06.07;0.00:00:00:681;0.99;0.02;-0.11;0.02105;0.0209;0.000384;-0.002208;0.53;-3.01;99.83;10.49;99.28;0.02105;0.02102;3.559E-05;-16.767;-16.774;-44.487;1.00;-80.13;
