Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-05 12:30:40.81;0.00:00:00:047;1.00;0.00;0.00;0.02143;0.02123;-1.934E-06;5.028E-05;0.00;0.07;99.06;0.23;99.06;0.02143;0.02123;0.0002016;-16.690;-16.731;-36.956;1.00;92.20;
2026-01-05 12:30:40.86;0.00:00:00:105;1.00;0.00;0.00;0.02139;0.02121;-1.547E-05;6.022E-05;-0.02;0.08;99.12;0.28;99.12;0.02139;0.02121;0.0001873;-16.697;-16.735;-37.276;1.00;104.41;
2026-01-05 12:30:40.91;0.00:00:00:153;1.00;0.00;0.00;0.02149;0.0213;-7.54E-06;5.855E-05;-0.01;0.08;99.09;0.27;99.09;0.02149;0.0213;0.0001949;-16.678;-16.717;-37.101;1.00;97.34;
2026-01-05 12:30:40.96;0.00:00:00:199;1.00;0.00;0.00;0.02143;0.02124;-2.937E-05;5.381E-05;-0.04;0.07;99.13;0.25;99.13;0.02143;0.02124;0.0001861;-16.690;-16.728;-37.303;1.00;118.63;
2026-01-05 12:30:41.01;0.00:00:00:245;1.00;0.00;0.00;0.02139;0.02119;-6.335E-06;4.987E-05;-0.01;0.07;99.08;0.23;99.08;0.02139;0.02119;0.0001974;-16.699;-16.739;-37.047;1.00;97.24;
2026-01-05 12:30:41.05;0.00:00:00:295;1.00;0.00;0.00;0.02142;0.0212;3.405E-05;4.391E-05;0.05;0.06;98.94;0.20;98.94;0.02142;0.0212;0.0002265;-16.691;-16.737;-36.450;1.00;52.21;
2026-01-05 12:30:41.11;0.00:00:00:354;1.00;0.00;0.00;0.02143;0.02123;1.594E-06;4.891E-05;0.00;0.07;99.05;0.23;99.05;0.02143;0.02123;0.0002028;-16.689;-16.730;-36.929;1.00;88.13;
2026-01-05 12:30:41.16;0.00:00:00:400;1.00;0.00;0.00;0.02158;0.02137;2.536E-05;5.439E-05;0.03;0.07;99.01;0.25;99.01;0.02158;0.02137;0.0002133;-16.659;-16.702;-36.709;1.00;65.00;
2026-01-05 12:30:41.21;0.00:00:00:448;1.00;0.00;0.00;0.02157;0.02138;-3.166E-05;5.428E-05;-0.04;0.07;99.13;0.25;99.13;0.02157;0.02138;0.0001878;-16.662;-16.700;-37.263;1.00;120.25;
2026-01-05 12:30:41.25;0.00:00:00:494;1.00;0.00;0.00;0.02152;0.02133;-1.627E-05;5.28E-05;-0.02;0.07;99.11;0.25;99.11;0.02152;0.02133;0.0001924;-16.671;-16.710;-37.157;1.00;107.13;
2026-01-05 12:30:41.30;0.00:00:00:542;1.00;0.00;0.00;0.02151;0.02131;-1.697E-05;5.695E-05;-0.02;0.08;99.09;0.26;99.09;0.02151;0.02131;0.0001948;-16.675;-16.714;-37.104;1.00;106.59;
2026-01-05 12:30:41.35;0.00:00:00:588;1.00;0.00;0.00;0.02141;0.02121;-2.503E-06;5.147E-05;0.00;0.07;99.06;0.24;99.06;0.02141;0.02121;0.0002009;-16.694;-16.735;-36.970;1.00;92.78;
2026-01-05 12:30:41.39;0.00:00:00:634;1.00;0.00;0.00;0.02151;0.0213;1.306E-05;5.149E-05;0.02;0.07;99.02;0.24;99.02;0.02151;0.0213;0.0002098;-16.674;-16.717;-36.783;1.00;75.76;
2026-01-05 12:30:41.44;0.00:00:00:682;1.00;0.00;0.00;0.02155;0.02135;-1.555E-05;5.618E-05;-0.02;0.08;99.09;0.26;99.09;0.02155;0.02135;0.0001957;-16.666;-16.706;-37.083;1.00;105.47;
2026-01-05 12:30:41.50;0.00:00:00:744;1.00;0.00;0.00;0.0215;0.02131;-1.557E-05;5.236E-05;-0.02;0.07;99.11;0.24;99.11;0.0215;0.02131;0.0001916;-16.675;-16.714;-37.177;1.00;106.56;
2026-01-05 12:30:41.55;0.00:00:00:791;1.00;0.00;0.00;0.02163;0.02143;-3.817E-06;5.714E-05;-0.01;0.08;99.09;0.26;99.09;0.02163;0.02143;0.0001969;-16.650;-16.690;-37.057;1.00;93.82;
2026-01-05 12:30:41.60;0.00:00:00:836;1.00;0.00;0.00;0.02147;0.0213;-6.036E-05;6.165E-05;-0.08;0.08;99.21;0.29;99.21;0.02147;0.0213;0.0001701;-16.681;-16.715;-37.692;1.00;134.39;
2026-01-05 12:30:41.64;0.00:00:00:884;1.00;0.00;0.00;0.02138;0.02117;-1.909E-06;5.024E-05;0.00;0.07;99.05;0.24;99.05;0.02138;0.02117;0.0002022;-16.701;-16.742;-36.942;1.00;92.18;
2026-01-05 12:30:41.69;0.00:00:00:931;1.00;0.00;0.00;0.02134;0.02115;-5.758E-06;5.269E-05;-0.01;0.07;99.07;0.25;99.07;0.02134;0.02115;0.0001987;-16.707;-16.748;-37.018;1.00;96.24;
2026-01-05 12:30:41.74;0.00:00:00:978;1.00;0.00;0.00;0.02134;0.02115;-1.694E-05;5.57E-05;-0.02;0.08;99.12;0.26;99.12;0.02134;0.02115;0.0001885;-16.708;-16.746;-37.247;1.00;106.91;
2026-01-05 12:30:41.78;0.00:00:01:024;1.00;0.00;0.00;0.02135;0.02116;-1.59E-05;5.63E-05;-0.02;0.08;99.12;0.26;99.12;0.02135;0.02116;0.0001874;-16.707;-16.745;-37.273;1.00;105.77;
2026-01-05 12:30:41.83;0.00:00:01:072;1.00;0.00;0.00;0.02146;0.02122;5.666E-05;4.43E-05;0.08;0.06;98.90;0.21;98.90;0.02146;0.02122;0.0002358;-16.685;-16.733;-36.274;1.00;38.02;
2026-01-05 12:30:41.88;0.00:00:01:118;1.00;0.00;0.00;0.02162;0.02142;-6.205E-06;5.014E-05;-0.01;0.07;99.07;0.23;99.07;0.02162;0.02142;0.0002016;-16.651;-16.692;-36.956;1.00;97.06;
2026-01-05 12:30:41.92;0.00:00:01:164;1.00;0.00;0.00;0.02147;0.02128;-2.254E-05;5.159E-05;-0.03;0.07;99.10;0.24;99.10;0.02147;0.02128;0.0001927;-16.681;-16.721;-37.152;1.00;113.60;
2026-01-05 12:30:41.97;0.00:00:01:209;1.00;0.00;0.00;0.02147;0.02128;-1.568E-05;5.587E-05;-0.02;0.08;99.09;0.26;99.09;0.02147;0.02128;0.0001961;-16.681;-16.721;-37.074;1.00;105.68;
2026-01-05 12:30:42.02;0.00:00:01:258;1.00;0.00;0.00;0.02158;0.0214;-3.136E-05;5.331E-05;-0.04;0.07;99.15;0.25;99.15;0.02158;0.0214;0.0001841;-16.659;-16.696;-37.350;1.00;120.47;
2026-01-05 12:30:42.06;0.00:00:01:304;1.00;0.00;0.00;0.02148;0.02131;-3.601E-05;6.179E-05;-0.05;0.08;99.19;0.29;99.19;0.02148;0.02131;0.0001736;-16.680;-16.715;-37.603;1.00;120.23;
2026-01-05 12:30:42.11;0.00:00:01:350;1.00;0.00;0.00;0.02144;0.02123;1.429E-05;4.74E-05;0.02;0.06;98.99;0.22;98.99;0.02144;0.02123;0.0002169;-16.687;-16.731;-36.637;1.00;73.23;
2026-01-05 12:30:42.16;0.00:00:01:396;1.00;0.00;0.00;0.02144;0.02124;-1.439E-06;5.297E-05;0.00;0.07;99.07;0.25;99.07;0.02144;0.02124;0.0001993;-16.687;-16.728;-37.005;1.00;91.56;
2026-01-05 12:30:42.20;0.00:00:01:444;1.00;0.00;0.00;0.02151;0.0213;7.897E-06;5.387E-05;0.01;0.07;99.04;0.25;99.04;0.02151;0.0213;0.0002074;-16.674;-16.716;-36.832;1.00;81.66;
2026-01-05 12:30:42.25;0.00:00:01:491;1.00;0.00;0.00;0.02149;0.02131;-4.036E-05;5.881E-05;-0.05;0.08;99.17;0.27;99.17;0.02149;0.02131;0.0001792;-16.678;-16.714;-37.468;1.00;124.46;
2026-01-05 12:30:42.30;0.00:00:01:538;1.00;0.00;0.00;0.02158;0.02137;1.589E-05;5.133E-05;0.02;0.07;99.04;0.24;99.04;0.02158;0.02137;0.0002075;-16.660;-16.702;-36.830;1.00;72.80;
2026-01-05 12:30:42.34;0.00:00:01:584;1.00;0.00;0.00;0.0216;0.02141;-3.24E-05;6.386E-05;-0.04;0.09;99.13;0.30;99.13;0.0216;0.02141;0.0001868;-16.656;-16.694;-37.286;1.00;116.90;
2026-01-05 12:30:42.39;0.00:00:01:629;1.00;0.00;0.00;0.02159;0.02137;3.479E-05;4.254E-05;0.05;0.06;98.98;0.20;98.98;0.02159;0.02137;0.0002199;-16.658;-16.703;-36.578;1.00;50.72;
2026-01-05 12:30:42.44;0.00:00:01:677;1.00;0.00;0.00;0.02158;0.02138;-1.945E-05;5.327E-05;-0.03;0.07;99.08;0.25;99.08;0.02158;0.02138;0.0001976;-16.660;-16.700;-37.042;1.00;110.06;
2026-01-05 12:30:42.49;0.00:00:01:726;1.00;0.00;0.00;0.02155;0.02136;-1.675E-05;5.637E-05;-0.02;0.08;99.11;0.26;99.11;0.02155;0.02136;0.000191;-16.665;-16.704;-37.190;1.00;106.55;
2026-01-05 12:30:42.55;0.00:00:01:786;1.00;0.00;0.00;0.02147;0.02128;-7.169E-06;5.558E-05;-0.01;0.07;99.09;0.26;99.09;0.02147;0.02128;0.0001961;-16.681;-16.721;-37.075;1.00;97.35;
2026-01-05 12:30:42.59;0.00:00:01:833;1.00;0.00;0.00;0.02139;0.0212;-1.616E-05;5.233E-05;-0.02;0.07;99.09;0.24;99.09;0.02139;0.0212;0.0001955;-16.698;-16.737;-37.089;1.00;107.16;
2026-01-05 12:30:42.64;0.00:00:01:880;1.00;0.00;0.00;0.02141;0.02121;-4.864E-06;5.392E-05;-0.01;0.07;99.07;0.25;99.06;0.02141;0.02121;0.0002001;-16.694;-16.735;-36.988;1.00;95.15;
2026-01-05 12:30:42.69;0.00:00:01:929;1.00;0.00;0.00;0.02142;0.02123;-2.097E-05;5.393E-05;-0.03;0.07;99.11;0.25;99.11;0.02142;0.02123;0.0001909;-16.692;-16.730;-37.192;1.00;111.24;
2026-01-05 12:30:42.75;0.00:00:01:991;1.00;0.00;0.00;0.02142;0.02123;-9.277E-06;5.674E-05;-0.01;0.08;99.09;0.26;99.09;0.02142;0.02123;0.0001956;-16.691;-16.731;-37.086;1.00;99.29;
2026-01-05 12:30:42.81;0.00:00:02:052;1.00;0.00;0.00;0.02149;0.02129;-1.67E-06;5.336E-05;0.00;0.07;99.07;0.25;99.07;0.02149;0.02129;0.0001997;-16.678;-16.719;-36.996;1.00;91.79;
2026-01-05 12:30:42.86;0.00:00:02:098;1.00;0.00;0.00;0.02147;0.02128;-1.609E-05;5.675E-05;-0.02;0.08;99.11;0.26;99.11;0.02147;0.02128;0.0001914;-16.682;-16.721;-37.180;1.00;105.83;
2026-01-05 12:30:42.90;0.00:00:02:145;1.00;0.00;0.00;0.02144;0.02124;-1.894E-05;5.324E-05;-0.03;0.07;99.09;0.25;99.09;0.02144;0.02124;0.0001951;-16.688;-16.728;-37.098;1.00;109.58;
2026-01-05 12:30:42.95;0.00:00:02:192;1.00;0.00;0.00;0.02143;0.02123;-5.615E-08;4.87E-05;0.00;0.07;99.05;0.23;99.05;0.02143;0.02123;0.0002041;-16.689;-16.731;-36.902;1.00;90.07;
