Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-29 11:53:24.40;0.00:00:00:049;0.00;0.00;-1.00;0.02647;-6.236E-05;8.431E-05;-0.02648;63.25;-44.89;100.05;100.05;0.40;0.02647;0.02648;-1.384E-05;-15.772;-15.770;-99.990;0.50;-89.82;
2025-12-29 11:53:24.45;0.00:00:00:096;0.00;0.00;-1.00;0.02636;-7.365E-05;9.993E-05;-0.02637;63.20;-44.87;100.05;100.05;0.47;0.02636;0.02637;-1.347E-05;-15.791;-15.788;-99.990;0.50;-89.78;
2025-12-29 11:53:24.50;0.00:00:00:144;0.00;0.00;-1.00;0.02636;-5.197E-05;5.209E-05;-0.02637;67.47;-44.92;100.06;100.06;0.28;0.02636;0.02637;-1.534E-05;-15.791;-15.788;-99.990;0.50;-89.89;
2025-12-29 11:53:24.55;0.00:00:00:194;0.00;0.00;-1.00;0.02639;-7.828E-05;0.0001216;-0.0264;61.39;-44.84;100.04;100.04;0.55;0.02639;0.0264;-1.116E-05;-15.786;-15.784;-99.990;0.50;-89.74;
2025-12-29 11:53:24.60;0.00:00:00:246;0.00;0.00;-1.00;0.02653;-4.236E-05;5.263E-05;-0.02654;64.42;-44.93;100.06;100.06;0.25;0.02653;0.02654;-1.679E-05;-15.763;-15.760;-99.990;0.50;-89.89;
2025-12-29 11:53:24.65;0.00:00:00:295;0.00;0.00;-1.00;0.02643;-5.968E-05;5.382E-05;-0.02644;68.98;-44.91;100.06;100.06;0.30;0.02643;0.02644;-1.591E-05;-15.780;-15.777;-99.990;0.50;-89.88;
2025-12-29 11:53:24.70;0.00:00:00:344;0.00;0.00;-1.00;0.02647;-6.49E-05;8.71E-05;-0.02649;63.35;-44.88;100.06;100.06;0.41;0.02647;0.02649;-1.512E-05;-15.772;-15.769;-99.990;0.50;-89.81;
2025-12-29 11:53:24.74;0.00:00:00:391;0.00;0.00;-1.00;0.02658;-7.471E-05;0.0001245;-0.02659;60.48;-44.84;100.04;100.04;0.55;0.02658;0.02659;-1.186E-05;-15.754;-15.752;-99.990;0.50;-89.73;
2025-12-29 11:53:24.79;0.00:00:00:441;0.00;0.00;-1.00;0.02657;-3.286E-05;3.434E-05;-0.02659;66.87;-44.95;100.08;100.08;0.18;0.02657;0.02659;-2.051E-05;-15.756;-15.753;-99.990;0.50;-89.93;
2025-12-29 11:53:24.84;0.00:00:00:489;0.00;0.00;-1.00;0.02645;-6.704E-05;7.225E-05;-0.02646;66.43;-44.89;100.04;100.04;0.37;0.02645;0.02646;-1.116E-05;-15.776;-15.774;-99.990;0.50;-89.84;
2025-12-29 11:53:24.89;0.00:00:00:538;0.00;0.00;-1.00;0.02643;-5.928E-05;7.341E-05;-0.02644;64.46;-44.90;100.05;100.05;0.36;0.02643;0.02644;-1.374E-05;-15.779;-15.777;-99.990;0.50;-89.84;
2025-12-29 11:53:24.94;0.00:00:00:591;0.00;0.00;-1.00;0.02641;-5.523E-05;6.866E-05;-0.02643;64.41;-44.90;100.05;100.05;0.33;0.02641;0.02643;-1.447E-05;-15.782;-15.779;-99.990;0.50;-89.85;
2025-12-29 11:53:24.99;0.00:00:00:641;0.00;0.00;-1.00;0.02645;-6.177E-05;8.525E-05;-0.02646;62.96;-44.89;100.06;100.05;0.40;0.02645;0.02646;-1.463E-05;-15.776;-15.774;-99.990;0.50;-89.82;
2025-12-29 11:53:25.04;0.00:00:00:689;0.00;0.00;-1.00;0.02646;-5.939E-05;7.935E-05;-0.02648;63.41;-44.89;100.05;100.05;0.37;0.02646;0.02648;-1.447E-05;-15.774;-15.772;-99.990;0.50;-89.83;
