Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-29 11:52:05.38;0.00:00:00:049;0.00;0.00;1.00;0.0264;4.886E-05;7.039E-05;0.02641;27.62;44.91;100.05;100.05;0.32;0.0264;0.02641;-1.286E-05;-15.784;-15.782;-99.990;0.50;89.85;
2025-12-29 11:52:05.43;0.00:00:00:099;0.00;0.00;1.00;0.02634;5.154E-05;6.516E-05;0.02636;25.83;44.91;100.06;100.06;0.32;0.02634;0.02636;-1.504E-05;-15.794;-15.791;-99.990;0.50;89.86;
2025-12-29 11:52:05.48;0.00:00:00:149;0.00;0.00;1.00;0.02639;5.326E-05;6.512E-05;0.02641;25.36;44.91;100.06;100.06;0.32;0.02639;0.02641;-1.605E-05;-15.785;-15.783;-99.990;0.50;89.86;
2025-12-29 11:52:05.54;0.00:00:00:202;0.00;0.00;1.00;0.02646;5.631E-05;6.64E-05;0.02647;24.85;44.91;100.07;100.07;0.33;0.02646;0.02647;-1.749E-05;-15.775;-15.772;-99.990;0.50;89.86;
2025-12-29 11:52:05.58;0.00:00:00:250;0.00;0.00;1.00;0.02615;5.608E-05;7.437E-05;0.02617;26.49;44.90;100.05;100.05;0.36;0.02615;0.02617;-1.313E-05;-15.825;-15.823;-99.990;0.50;89.84;
2025-12-29 11:52:05.64;0.00:00:00:302;0.00;0.00;1.00;0.02633;4.877E-05;4.434E-05;0.02635;21.14;44.93;100.05;100.05;0.25;0.02633;0.02635;-1.261E-05;-15.795;-15.793;-99.990;0.50;89.90;
2025-12-29 11:52:05.69;0.00:00:00:353;0.00;0.00;1.00;0.02645;4.994E-05;6.892E-05;0.02646;27.04;44.91;100.05;100.05;0.32;0.02645;0.02646;-1.222E-05;-15.775;-15.773;-99.990;0.50;89.85;
2025-12-29 11:52:05.74;0.00:00:00:402;0.00;0.00;1.00;0.02645;5.404E-05;6.557E-05;0.02647;25.25;44.91;100.06;100.06;0.32;0.02645;0.02647;-1.563E-05;-15.776;-15.773;-99.990;0.50;89.86;
2025-12-29 11:52:05.79;0.00:00:00:452;0.00;0.00;1.00;0.02656;5.611E-05;6.03E-05;0.02658;23.53;44.91;100.06;100.06;0.31;0.02656;0.02658;-1.625E-05;-15.758;-15.755;-99.990;0.50;89.87;
2025-12-29 11:52:05.84;0.00:00:00:503;0.00;0.00;1.00;0.02661;4.804E-05;7.148E-05;0.02662;28.05;44.91;100.05;100.05;0.32;0.02661;0.02662;-1.229E-05;-15.750;-15.748;-99.990;0.50;89.85;
