Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-29 11:50:45.76;0.00:00:00:048;-1.00;0.00;0.00;0.02616;-0.02617;-1.237E-05;5.933E-05;-89.99;0.06;100.04;0.23;100.04;0.02616;0.02617;-9.548E-06;-15.824;-15.822;-99.990;0.00;101.78;
2025-12-29 11:50:45.81;0.00:00:00:095;-1.00;0.00;0.00;0.02614;-0.02614;-2.443E-05;6.633E-05;-89.97;0.07;100.03;0.25;100.02;0.02614;0.02614;-6.534E-06;-15.828;-15.826;-99.990;0.00;110.22;
2025-12-29 11:50:45.86;0.00:00:00:143;-1.00;0.00;0.00;0.02591;-0.02592;-1.764E-05;5.795E-05;-89.98;0.06;100.03;0.22;100.03;0.02591;0.02592;-8.319E-06;-15.865;-15.863;-99.990;0.00;106.94;
2025-12-29 11:50:45.91;0.00:00:00:196;-1.00;0.00;0.00;0.02598;-0.026;2.045E-06;5.338E-05;90.00;0.06;100.04;0.21;100.04;0.02598;0.026;-1.169E-05;-15.853;-15.851;-99.990;0.00;87.81;
2025-12-29 11:50:45.96;0.00:00:00:246;-1.00;0.00;0.00;0.02622;-0.02623;-2.042E-05;6.386E-05;-89.98;0.07;100.03;0.24;100.03;0.02622;0.02623;-7.028E-06;-15.813;-15.812;-99.990;0.00;107.74;
2025-12-29 11:50:46.00;0.00:00:00:292;-1.00;0.00;0.00;0.02614;-0.02615;-2.24E-05;5.876E-05;-89.98;0.06;100.03;0.22;100.03;0.02614;0.02615;-8.706E-06;-15.826;-15.825;-99.990;0.00;110.87;
2025-12-29 11:50:46.06;0.00:00:00:344;-1.00;0.00;0.00;0.02626;-0.02627;-7.792E-06;6.075E-05;-89.99;0.07;100.04;0.23;100.04;0.02626;0.02627;-1.016E-05;-15.808;-15.806;-99.990;0.00;97.31;
2025-12-29 11:50:46.10;0.00:00:00:393;-1.00;0.00;0.00;0.0262;-0.02621;-2.277E-05;6.617E-05;-89.98;0.07;100.02;0.25;100.02;0.0262;0.02621;-5.843E-06;-15.817;-15.816;-99.990;0.00;108.99;
2025-12-29 11:50:46.15;0.00:00:00:440;-1.00;0.00;0.00;0.02603;-0.02604;-1.762E-05;6.215E-05;-89.98;0.07;100.03;0.24;100.03;0.02603;0.02604;-7.368E-06;-15.844;-15.843;-99.990;0.00;105.83;
2025-12-29 11:50:46.20;0.00:00:00:491;-1.00;0.00;0.00;0.02597;-0.02598;-2.241E-05;5.947E-05;-89.98;0.07;100.03;0.23;100.03;0.02597;0.02598;-7.584E-06;-15.855;-15.853;-99.990;0.00;110.65;
2025-12-29 11:50:46.26;0.00:00:00:544;-1.00;0.00;0.00;0.02599;-0.026;-2.565E-05;6.16E-05;-89.97;0.07;100.03;0.24;100.03;0.02599;0.026;-6.707E-06;-15.851;-15.850;-99.990;0.00;112.61;
2025-12-29 11:50:46.31;0.00:00:00:595;-1.00;0.00;0.00;0.02602;-0.02603;-1.211E-07;5.403E-05;-90.00;0.06;100.05;0.21;100.05;0.02602;0.02603;-1.189E-05;-15.847;-15.845;-99.990;0.00;90.12;
2025-12-29 11:50:46.36;0.00:00:00:644;-1.00;0.00;0.00;0.02606;-0.02607;-1.436E-05;6.334E-05;-89.98;0.07;100.03;0.24;100.03;0.02606;0.02607;-8.68E-06;-15.839;-15.838;-99.990;0.00;102.77;
2025-12-29 11:50:46.40;0.00:00:00:692;-1.00;0.00;0.00;0.02601;-0.02602;-1.927E-05;5.707E-05;-89.98;0.06;100.04;0.22;100.03;0.02601;0.02602;-9.156E-06;-15.848;-15.847;-99.990;0.00;108.66;
2025-12-29 11:50:46.45;0.00:00:00:741;-1.00;0.00;0.00;0.02602;-0.02603;-1.277E-05;5.768E-05;-89.99;0.06;100.04;0.22;100.04;0.02602;0.02603;-9.808E-06;-15.847;-15.846;-99.990;0.00;102.48;
2025-12-29 11:50:46.50;0.00:00:00:792;-1.00;0.00;0.00;0.02607;-0.02607;-8.465E-06;6.132E-05;-89.99;0.07;100.04;0.24;100.03;0.02607;0.02608;-9.123E-06;-15.839;-15.838;-99.990;0.00;97.86;
2025-12-29 11:50:46.55;0.00:00:00:842;-1.00;0.00;0.00;0.02609;-0.0261;-6.332E-06;5.889E-05;-89.99;0.06;100.04;0.23;100.04;0.02609;0.0261;-9.678E-06;-15.836;-15.834;-99.990;0.00;96.14;
2025-12-29 11:50:46.60;0.00:00:00:890;-1.00;0.00;0.00;0.02617;-0.02618;-1.038E-05;6.002E-05;-89.99;0.07;100.04;0.23;100.04;0.02617;0.02618;-9.448E-06;-15.822;-15.820;-99.990;0.00;99.81;
2025-12-29 11:50:46.65;0.00:00:00:940;-1.00;0.00;0.00;0.0262;-0.02621;-1.7E-05;6.247E-05;-89.98;0.07;100.03;0.24;100.03;0.0262;0.02621;-8.044E-06;-15.816;-15.815;-99.990;0.00;105.23;
2025-12-29 11:50:46.70;0.00:00:00:993;-1.00;0.00;0.00;0.02613;-0.02614;-1.298E-05;6.07E-05;-89.99;0.07;100.03;0.23;100.03;0.02613;0.02614;-8.885E-06;-15.828;-15.827;-99.990;0.00;102.07;
2025-12-29 11:50:46.75;0.00:00:01:040;-1.00;0.00;0.00;0.02615;-0.02616;-1.001E-05;5.867E-05;-89.99;0.06;100.04;0.22;100.04;0.02615;0.02616;-9.622E-06;-15.826;-15.824;-99.990;0.00;99.68;
2025-12-29 11:50:46.80;0.00:00:01:091;-1.00;0.00;0.00;0.02623;-0.02624;-2.137E-05;6.367E-05;-89.98;0.07;100.03;0.24;100.03;0.02623;0.02624;-6.689E-06;-15.812;-15.811;-99.990;0.00;108.56;
2025-12-29 11:50:46.86;0.00:00:01:144;-1.00;0.00;0.00;0.0261;-0.02611;-1.553E-05;6.264E-05;-89.98;0.07;100.03;0.24;100.03;0.0261;0.02611;-7.1E-06;-15.833;-15.832;-99.990;0.00;103.92;
2025-12-29 11:50:46.90;0.00:00:01:192;-1.00;0.00;0.00;0.02606;-0.02607;-1.905E-05;6.208E-05;-89.98;0.07;100.03;0.24;100.03;0.02606;0.02607;-7.713E-06;-15.840;-15.839;-99.990;0.00;107.06;
2025-12-29 11:50:46.96;0.00:00:01:244;-1.00;0.00;0.00;0.02609;-0.0261;-9.101E-06;5.855E-05;-89.99;0.06;100.04;0.22;100.04;0.02609;0.0261;-9.968E-06;-15.835;-15.833;-99.990;0.00;98.83;
2025-12-29 11:50:47.01;0.00:00:01:295;-1.00;0.00;0.00;0.02609;-0.02609;-1.781E-05;6.251E-05;-89.98;0.07;100.03;0.24;100.03;0.02609;0.02609;-6.6E-06;-15.836;-15.834;-99.990;0.00;105.90;
2025-12-29 11:50:47.06;0.00:00:01:344;-1.00;0.00;0.00;0.02587;-0.02588;-2.952E-05;6.072E-05;-89.97;0.07;100.02;0.23;100.02;0.02587;0.02588;-5.847E-06;-15.872;-15.871;-99.990;0.00;115.93;
2025-12-29 11:50:47.11;0.00:00:01:395;-1.00;0.00;0.00;0.02607;-0.02609;1.844E-05;4.988E-05;89.98;0.05;100.06;0.19;100.06;0.02607;0.02609;-1.551E-05;-15.838;-15.836;-99.990;0.00;69.72;
