Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 512 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-05 13:18:36.28;0.00:00:00:049;-0.97;0.21;0.09;9.233E-07;-8.642E-07;1.862E-07;7.608E-08;83.92;2.46;96.10;8.24;95.75;9.233E-07;8.873E-07;3.602E-08;-60.347;-60.519;-74.435;0.01;22.23;
2026-01-05 13:18:36.33;0.00:00:00:100;-0.97;0.23;0.08;9.144E-07;-8.57E-07;1.992E-07;6.729E-08;83.46;2.19;96.50;7.36;96.22;9.144E-07;8.824E-07;3.199E-08;-60.389;-60.543;-74.950;0.01;18.66;
2026-01-05 13:18:36.38;0.00:00:00:148;-0.97;0.24;0.08;9.334E-07;-8.643E-07;2.101E-07;7.416E-08;83.17;2.38;95.63;7.95;95.30;9.334E-07;8.925E-07;4.082E-08;-60.300;-60.494;-73.891;0.02;19.44;
2026-01-05 13:18:36.43;0.00:00:00:197;-0.97;0.21;0.08;9.332E-07;-8.72E-07;1.921E-07;7.369E-08;83.79;2.36;96.00;7.90;95.68;9.332E-07;8.959E-07;3.728E-08;-60.300;-60.477;-74.285;0.01;20.99;
2026-01-05 13:18:36.48;0.00:00:00:248;-0.97;0.22;0.07;9.316E-07;-8.755E-07;1.994E-07;6.5E-08;83.58;2.07;96.64;6.98;96.39;9.316E-07;9.003E-07;3.131E-08;-60.308;-60.456;-75.044;0.01;18.05;
2026-01-05 13:18:36.53;0.00:00:00:299;-0.97;0.22;0.08;9.376E-07;-8.723E-07;1.947E-07;6.991E-08;83.71;2.24;95.62;7.46;95.33;9.376E-07;8.965E-07;4.109E-08;-60.280;-60.474;-73.863;0.01;19.75;
2026-01-05 13:18:36.58;0.00:00:00:349;-0.97;0.23;0.07;9.263E-07;-8.613E-07;2.016E-07;5.917E-08;83.41;1.91;95.71;6.39;95.50;9.263E-07;8.866E-07;3.971E-08;-60.333;-60.523;-74.011;0.01;16.36;
2026-01-05 13:18:36.63;0.00:00:00:400;-0.97;0.23;0.08;9.425E-07;-8.908E-07;2.129E-07;7.209E-08;83.28;2.25;97.48;7.65;97.18;9.425E-07;9.188E-07;2.377E-08;-60.257;-60.368;-76.239;0.02;18.71;
2026-01-05 13:18:36.68;0.00:00:00:448;-0.97;0.23;0.07;9.311E-07;-8.61E-07;2.082E-07;6.433E-08;83.20;2.08;95.39;6.91;95.14;9.311E-07;8.881E-07;4.294E-08;-60.310;-60.515;-73.671;0.02;17.17;
2026-01-05 13:18:36.73;0.00:00:00:497;-0.98;0.20;0.07;9.373E-07;-8.79E-07;1.761E-07;6.506E-08;84.34;2.08;95.89;6.94;95.64;9.373E-07;8.988E-07;3.85E-08;-60.281;-60.463;-74.145;0.01;20.28;
