Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-05 12:16:46.82;0.00:00:00:056;-0.99;-0.01;0.11;0.003949;-0.003606;-3.472E-05;0.0003818;-89.72;3.02;91.83;9.67;91.32;0.003949;0.003626;0.0003226;-24.036;-24.406;-34.913;0.00;95.20;
2026-01-05 12:16:46.87;0.00:00:00:115;-0.99;-0.01;0.11;0.00395;-0.003606;-3.562E-05;0.0003812;-89.72;3.02;91.82;9.65;91.31;0.00395;0.003626;0.0003233;-24.035;-24.405;-34.904;0.00;95.34;
2026-01-05 12:16:46.92;0.00:00:00:160;-0.99;-0.01;0.11;0.003955;-0.003611;-3.225E-05;0.0003813;-89.74;3.01;91.82;9.64;91.32;0.003955;0.003631;0.0003234;-24.029;-24.399;-34.903;0.00;94.83;
2026-01-05 12:16:46.97;0.00:00:00:207;-0.99;-0.01;0.11;0.003951;-0.003609;-3.304E-05;0.0003826;-89.74;3.03;91.84;9.68;91.33;0.003951;0.003629;0.0003224;-24.032;-24.402;-34.916;0.00;94.93;
2026-01-05 12:16:47.01;0.00:00:00:255;-0.99;-0.01;0.11;0.003947;-0.003607;-3.694E-05;0.0003809;-89.71;3.01;91.89;9.65;91.38;0.003947;0.003627;0.0003201;-24.037;-24.405;-34.947;0.00;95.54;
2026-01-05 12:16:47.06;0.00:00:00:301;-0.99;-0.01;0.11;0.003965;-0.003622;-3.506E-05;0.0003834;-89.72;3.02;91.86;9.67;91.35;0.003965;0.003643;0.0003227;-24.017;-24.386;-34.912;0.00;95.23;
2026-01-05 12:16:47.11;0.00:00:00:348;-0.99;-0.01;0.11;0.003946;-0.003605;-3.467E-05;0.000381;-89.72;3.02;91.87;9.66;91.36;0.003946;0.003625;0.0003207;-24.039;-24.407;-34.939;0.00;95.20;
2026-01-05 12:16:47.15;0.00:00:00:395;-0.99;-0.01;0.11;0.003943;-0.0036;-3.3E-05;0.0003803;-89.74;3.02;91.81;9.65;91.30;0.003943;0.00362;0.0003229;-24.042;-24.413;-34.910;0.00;94.96;
2026-01-05 12:16:47.20;0.00:00:00:441;-0.99;-0.01;0.11;0.003935;-0.003593;-3.197E-05;0.0003795;-89.75;3.01;91.82;9.64;91.31;0.003935;0.003613;0.000322;-24.050;-24.421;-34.922;0.00;94.82;
2026-01-05 12:16:47.25;0.00:00:00:487;-0.99;-0.01;0.11;0.003936;-0.003595;-3.464E-05;0.0003808;-89.72;3.02;91.84;9.68;91.33;0.003936;0.003615;0.0003211;-24.049;-24.419;-34.934;0.00;95.20;
2026-01-05 12:16:47.29;0.00:00:00:535;-0.99;-0.01;0.10;0.003937;-0.003593;-3.024E-05;0.0003792;-89.76;3.01;91.78;9.63;91.27;0.003937;0.003613;0.0003237;-24.049;-24.421;-34.899;0.00;94.56;
2026-01-05 12:16:47.34;0.00:00:00:582;-0.99;-0.01;0.11;0.003921;-0.00358;-3.385E-05;0.0003781;-89.73;3.01;91.81;9.64;91.30;0.003921;0.0036;0.0003212;-24.066;-24.437;-34.932;0.00;95.12;
2026-01-05 12:16:47.39;0.00:00:00:629;-0.99;-0.01;0.11;0.003923;-0.003581;-3.37E-05;0.0003788;-89.73;3.02;91.80;9.65;91.29;0.003923;0.003602;0.0003217;-24.064;-24.435;-34.926;0.00;95.08;
2026-01-05 12:16:47.44;0.00:00:00:676;-0.99;-0.01;0.10;0.003916;-0.003576;-3.282E-05;0.0003774;-89.74;3.01;91.82;9.64;91.31;0.003916;0.003596;0.0003204;-24.071;-24.442;-34.943;0.00;94.97;
2026-01-05 12:16:47.48;0.00:00:00:722;-0.99;-0.01;0.11;0.003918;-0.003578;-3.383E-05;0.0003784;-89.73;3.02;91.82;9.66;91.31;0.003918;0.003598;0.0003204;-24.069;-24.440;-34.943;0.00;95.11;
2026-01-05 12:16:47.53;0.00:00:00:769;-0.99;-0.01;0.11;0.003914;-0.003573;-3.247E-05;0.0003774;-89.74;3.01;91.81;9.64;91.30;0.003914;0.003593;0.0003207;-24.074;-24.445;-34.939;0.00;94.92;
2026-01-05 12:16:47.58;0.00:00:00:816;-0.99;-0.01;0.11;0.003915;-0.003574;-3.438E-05;0.0003782;-89.72;3.02;91.81;9.66;91.30;0.003915;0.003595;0.0003205;-24.073;-24.443;-34.941;0.00;95.19;
2026-01-05 12:16:47.62;0.00:00:00:862;-0.99;-0.01;0.11;0.003921;-0.00358;-3.469E-05;0.0003791;-89.72;3.02;91.81;9.67;91.30;0.003921;0.0036;0.000321;-24.066;-24.437;-34.935;0.00;95.23;
2026-01-05 12:16:47.67;0.00:00:00:915;-0.99;-0.01;0.11;0.003929;-0.003589;-3.582E-05;0.0003799;-89.71;3.02;91.86;9.67;91.35;0.003929;0.00361;0.0003197;-24.057;-24.425;-34.952;0.00;95.39;
2026-01-05 12:16:47.73;0.00:00:00:966;-0.99;-0.01;0.11;0.003941;-0.0036;-3.488E-05;0.0003807;-89.72;3.02;91.87;9.66;91.36;0.003941;0.00362;0.0003204;-24.044;-24.413;-34.943;0.00;95.24;
2026-01-05 12:16:47.78;0.00:00:01:016;-0.99;-0.01;0.11;0.003943;-0.0036;-3.237E-05;0.0003803;-89.74;3.02;91.82;9.65;91.31;0.003943;0.00362;0.0003227;-24.042;-24.412;-34.913;0.00;94.86;
2026-01-05 12:16:47.83;0.00:00:01:067;-0.99;-0.01;0.11;0.003937;-0.003596;-3.362E-05;0.0003801;-89.73;3.02;91.83;9.65;91.32;0.003937;0.003616;0.0003215;-24.048;-24.418;-34.928;0.00;95.05;
2026-01-05 12:16:47.88;0.00:00:01:120;-0.99;-0.01;0.10;0.003939;-0.003596;-3.435E-05;0.0003794;-89.73;3.01;91.81;9.63;91.30;0.003939;0.003616;0.0003226;-24.046;-24.418;-34.913;0.00;95.17;
2026-01-05 12:16:47.93;0.00:00:01:169;-0.99;-0.01;0.11;0.003946;-0.003605;-3.501E-05;0.0003818;-89.72;3.02;91.87;9.67;91.36;0.003946;0.003625;0.0003208;-24.038;-24.406;-34.937;0.00;95.24;
2026-01-05 12:16:47.98;0.00:00:01:221;-0.99;-0.01;0.11;0.003944;-0.003603;-3.558E-05;0.000381;-89.72;3.02;91.87;9.66;91.36;0.003944;0.003624;0.0003206;-24.040;-24.408;-34.940;0.00;95.34;
2026-01-05 12:16:48.03;0.00:00:01:271;-0.99;-0.01;0.11;0.003952;-0.003609;-3.491E-05;0.0003816;-89.72;3.02;91.81;9.65;91.30;0.003952;0.003629;0.0003236;-24.031;-24.402;-34.899;0.00;95.23;
2026-01-05 12:16:48.08;0.00:00:01:322;-0.99;-0.01;0.10;0.003953;-0.00361;-3.339E-05;0.0003809;-89.74;3.01;91.82;9.63;91.31;0.003953;0.00363;0.0003235;-24.030;-24.401;-34.901;0.00;95.01;
