Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-05 12:32:09.04;0.00:00:00:046;-1.00;0.01;0.01;0.003597;-0.003595;5.078E-05;2.174E-05;89.60;0.17;99.96;0.60;99.96;0.003597;0.003596;1.327E-06;-24.441;-24.442;-58.770;0.00;23.17;
2026-01-05 12:32:09.09;0.00:00:00:096;-1.00;0.01;0.01;0.003588;-0.003585;4.843E-05;2.221E-05;89.61;0.18;99.95;0.62;99.94;0.003588;0.003586;1.924E-06;-24.452;-24.454;-57.157;0.00;24.64;
2026-01-05 12:32:09.14;0.00:00:00:147;-1.00;0.01;0.01;0.003582;-0.00358;5.066E-05;2.065E-05;89.59;0.17;99.97;0.58;99.97;0.003582;0.003581;1.095E-06;-24.459;-24.460;-59.607;0.00;22.18;
2026-01-05 12:32:09.19;0.00:00:00:197;-1.00;0.01;0.01;0.003593;-0.003591;4.972E-05;2.16E-05;89.60;0.17;99.96;0.60;99.96;0.003593;0.003591;1.47E-06;-24.446;-24.448;-58.326;0.00;23.48;
2026-01-05 12:32:09.24;0.00:00:00:247;-1.00;0.01;0.01;0.003595;-0.003593;5.14E-05;2.118E-05;89.59;0.17;99.96;0.59;99.96;0.003595;0.003593;1.329E-06;-24.443;-24.445;-58.764;0.00;22.39;
2026-01-05 12:32:09.29;0.00:00:00:297;-1.00;0.01;0.01;0.00361;-0.003608;5.092E-05;2.139E-05;89.60;0.17;99.96;0.59;99.96;0.00361;0.003608;1.492E-06;-24.425;-24.427;-58.262;0.00;22.78;
2026-01-05 12:32:09.34;0.00:00:00:345;-1.00;0.01;0.01;0.003611;-0.003609;5.158E-05;2.135E-05;89.59;0.17;99.96;0.59;99.96;0.003611;0.003609;1.412E-06;-24.424;-24.426;-58.502;0.00;22.49;
2026-01-05 12:32:09.39;0.00:00:00:395;-1.00;0.01;0.01;0.003605;-0.003603;4.981E-05;2.174E-05;89.60;0.17;99.95;0.60;99.95;0.003605;0.003604;1.633E-06;-24.430;-24.432;-57.869;0.00;23.58;
2026-01-05 12:32:09.44;0.00:00:00:442;-1.00;0.01;0.01;0.003588;-0.003587;5.063E-05;2.09E-05;89.60;0.17;99.96;0.58;99.96;0.003588;0.003587;1.379E-06;-24.451;-24.453;-58.603;0.00;22.43;
2026-01-05 12:32:09.49;0.00:00:00:491;-1.00;0.01;0.01;0.003591;-0.003589;4.995E-05;2.173E-05;89.60;0.17;99.95;0.60;99.95;0.003591;0.00359;1.661E-06;-24.447;-24.449;-57.795;0.00;23.50;
2026-01-05 12:32:09.54;0.00:00:00:542;-1.00;0.01;0.01;0.003583;-0.003581;5.028E-05;2.157E-05;89.60;0.17;99.96;0.60;99.96;0.003583;0.003581;1.508E-06;-24.458;-24.460;-58.215;0.00;23.22;
