Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 13:37:26.50;0.00:00:00:059;0.00;-1.00;0.00;0.07243;0.00014;-0.07195;3.463E-05;-44.94;0.01;99.33;0.05;99.33;0.07243;0.07195;0.0004844;-11.401;-11.430;-33.148;0.50;179.97;
2026-01-07 13:37:26.55;0.00:00:00:110;0.00;-1.00;0.00;0.07266;0.0001651;-0.07226;3.197E-05;-44.93;0.01;99.45;0.04;99.45;0.07266;0.07226;0.0004021;-11.387;-11.411;-33.957;0.50;179.97;
2026-01-07 13:37:26.60;0.00:00:00:159;0.00;-1.00;0.00;0.07253;0.0001493;-0.07211;2.315E-05;-44.94;0.01;99.41;0.03;99.41;0.07253;0.07211;0.0004277;-11.395;-11.420;-33.689;0.50;179.98;
2026-01-07 13:37:26.65;0.00:00:00:212;0.00;-1.00;0.00;0.07285;0.0001508;-0.07241;4.007E-05;-44.94;0.02;99.39;0.06;99.39;0.07285;0.07241;0.0004432;-11.376;-11.402;-33.534;0.50;179.97;
2026-01-07 13:37:26.70;0.00:00:00:262;0.00;-1.00;0.00;0.07361;0.0001446;-0.07313;4.901E-05;-44.94;0.02;99.35;0.07;99.35;0.07361;0.07313;0.0004804;-11.331;-11.359;-33.184;0.50;179.96;
2026-01-07 13:37:26.75;0.00:00:00:314;0.00;-1.00;0.00;0.07336;0.0002047;-0.07307;1.367E-05;-44.92;0.01;99.60;0.02;99.60;0.07336;0.07307;0.0002901;-11.345;-11.362;-35.375;0.50;179.99;
2026-01-07 13:37:26.80;0.00:00:00:365;0.00;-1.00;0.00;0.07271;0.0001841;-0.07238;2.3E-05;-44.93;0.01;99.54;0.03;99.54;0.07271;0.07238;0.0003366;-11.384;-11.404;-34.728;0.50;179.98;
2026-01-07 13:37:26.85;0.00:00:00:415;0.00;-1.00;0.00;0.07243;0.0001568;-0.07204;1.63E-05;-44.94;0.01;99.46;0.02;99.46;0.07243;0.07204;0.0003917;-11.401;-11.424;-34.071;0.50;179.99;
2026-01-07 13:37:26.92;0.00:00:00:478;0.00;-1.00;0.00;0.0729;0.0001554;-0.07247;2.449E-05;-44.94;0.01;99.41;0.03;99.41;0.0729;0.07247;0.0004301;-11.373;-11.398;-33.665;0.50;179.98;
2026-01-07 13:37:26.97;0.00:00:00:528;0.00;-1.00;0.00;0.07389;0.0001793;-0.0735;4.61E-05;-44.93;0.02;99.47;0.06;99.47;0.07389;0.0735;0.0003926;-11.314;-11.337;-34.060;0.50;179.96;
2026-01-07 13:37:27.02;0.00:00:00:579;0.00;-1.00;0.00;0.07334;0.0001997;-0.07304;8.374E-06;-44.92;0.00;99.59;0.01;99.59;0.07334;0.07304;0.0003;-11.347;-11.364;-35.228;0.50;179.99;
