Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:44:24.84;0.00:00:00:054;0.01;-1.00;0.00;0.06196;0.0006416;-0.06139;-0.0001131;-44.70;-0.05;99.09;0.18;99.09;0.06196;0.0614;0.000563;-12.079;-12.118;-32.495;0.51;-179.89;
2026-01-07 15:44:24.89;0.00:00:00:103;0.01;-1.00;0.00;0.0619;0.0006342;-0.06135;-0.0001278;-44.70;-0.06;99.11;0.21;99.11;0.0619;0.06135;0.0005498;-12.083;-12.122;-32.598;0.51;-179.88;
2026-01-07 15:44:24.94;0.00:00:00:154;0.01;-1.00;0.00;0.06209;0.0006433;-0.06155;-0.000115;-44.70;-0.05;99.13;0.19;99.13;0.06209;0.06155;0.0005399;-12.070;-12.108;-32.677;0.51;-179.89;
2026-01-07 15:44:24.99;0.00:00:00:205;0.01;-1.00;0.00;0.06192;0.000647;-0.0614;-0.0001206;-44.70;-0.06;99.16;0.19;99.16;0.06192;0.0614;0.0005211;-12.082;-12.118;-32.831;0.51;-179.89;
2026-01-07 15:44:25.05;0.00:00:00:267;0.01;-1.00;0.00;0.06192;0.0006448;-0.06138;-0.0001199;-44.70;-0.06;99.14;0.19;99.14;0.06192;0.06139;0.0005311;-12.082;-12.119;-32.748;0.51;-179.89;
2026-01-07 15:44:25.11;0.00:00:00:328;0.01;-1.00;0.00;0.06181;0.0006463;-0.06128;-0.0001295;-44.70;-0.06;99.16;0.21;99.16;0.06181;0.06129;0.0005198;-12.090;-12.126;-32.842;0.51;-179.88;
2026-01-07 15:44:25.16;0.00:00:00:378;0.01;-1.00;0.00;0.06179;0.0006479;-0.06128;-0.0001305;-44.70;-0.06;99.17;0.21;99.17;0.06179;0.06128;0.0005113;-12.091;-12.127;-32.913;0.51;-179.88;
2026-01-07 15:44:25.21;0.00:00:00:430;0.01;-1.00;0.00;0.06179;0.0006457;-0.06127;-0.0001209;-44.70;-0.06;99.16;0.20;99.16;0.06179;0.06127;0.0005185;-12.091;-12.127;-32.853;0.51;-179.89;
2026-01-07 15:44:25.26;0.00:00:00:480;0.01;-1.00;0.00;0.06172;0.0006495;-0.0612;-0.000127;-44.70;-0.06;99.16;0.21;99.16;0.06172;0.0612;0.0005209;-12.096;-12.132;-32.833;0.51;-179.88;
2026-01-07 15:44:25.31;0.00:00:00:531;0.01;-1.00;0.00;0.06179;0.0006313;-0.06122;-0.0001219;-44.70;-0.06;99.09;0.20;99.09;0.06179;0.06122;0.0005626;-12.091;-12.131;-32.498;0.51;-179.89;
2026-01-07 15:44:25.37;0.00:00:00:583;0.01;-1.00;0.00;0.06197;0.0006537;-0.06146;-0.0001254;-44.70;-0.06;99.18;0.20;99.18;0.06197;0.06146;0.0005076;-12.078;-12.114;-32.945;0.51;-179.88;
2026-01-07 15:44:25.41;0.00:00:00:633;0.01;-1.00;0.00;0.06174;0.0006591;-0.06126;-0.0001382;-44.69;-0.06;99.22;0.22;99.22;0.06174;0.06126;0.0004832;-12.094;-12.128;-33.159;0.51;-179.87;
2026-01-07 15:44:25.47;0.00:00:00:689;0.01;-1.00;0.00;0.06185;0.0006289;-0.06129;-0.0001184;-44.71;-0.06;99.10;0.19;99.10;0.06185;0.06129;0.0005578;-12.087;-12.126;-32.535;0.51;-179.89;
2026-01-07 15:44:25.53;0.00:00:00:744;0.01;-1.00;0.00;0.06198;0.000659;-0.06147;-0.0001233;-44.69;-0.06;99.18;0.20;99.18;0.06198;0.06147;0.0005067;-12.077;-12.113;-32.953;0.51;-179.89;
2026-01-07 15:44:25.58;0.00:00:00:797;0.01;-1.00;0.00;0.06194;0.00064;-0.0614;-0.0001261;-44.70;-0.06;99.14;0.20;99.14;0.06194;0.06141;0.0005351;-12.080;-12.118;-32.715;0.51;-179.88;
2026-01-07 15:44:25.64;0.00:00:00:859;0.01;-1.00;0.00;0.06196;0.000645;-0.06144;-0.0001269;-44.70;-0.06;99.15;0.20;99.15;0.06196;0.06144;0.0005238;-12.079;-12.115;-32.809;0.51;-179.88;
2026-01-07 15:44:25.70;0.00:00:00:922;0.01;-1.00;0.00;0.06222;0.0006331;-0.06163;-0.0001199;-44.71;-0.06;99.06;0.19;99.06;0.06222;0.06163;0.0005876;-12.061;-12.102;-32.309;0.51;-179.89;
2026-01-07 15:44:25.77;0.00:00:00:984;0.01;-1.00;0.00;0.06193;0.0006537;-0.06143;-0.0001339;-44.70;-0.06;99.21;0.22;99.21;0.06193;0.06144;0.0004884;-12.081;-12.116;-33.113;0.51;-179.88;
2026-01-07 15:44:25.81;0.00:00:01:031;0.01;-1.00;0.00;0.06182;0.0006572;-0.0613;-0.0001245;-44.69;-0.06;99.16;0.20;99.16;0.06182;0.0613;0.0005182;-12.089;-12.125;-32.855;0.51;-179.88;
2026-01-07 15:44:25.88;0.00:00:01:094;0.01;-1.00;0.00;0.06184;0.0006283;-0.06127;-0.0001337;-44.71;-0.06;99.08;0.22;99.08;0.06184;0.06127;0.0005712;-12.087;-12.127;-32.432;0.51;-179.87;
2026-01-07 15:44:25.93;0.00:00:01:143;0.01;-1.00;0.00;0.06207;0.0006678;-0.06158;-0.0001177;-44.69;-0.05;99.22;0.19;99.22;0.06207;0.06159;0.0004836;-12.071;-12.105;-33.155;0.51;-179.89;
2026-01-07 15:44:25.98;0.00:00:01:203;0.01;-1.00;0.00;0.06192;0.0006434;-0.06137;-0.0001273;-44.70;-0.06;99.12;0.21;99.12;0.06192;0.06137;0.0005443;-12.082;-12.120;-32.642;0.51;-179.88;
2026-01-07 15:44:26.05;0.00:00:01:263;0.01;-1.00;0.00;0.06197;0.0006572;-0.06146;-0.0001295;-44.69;-0.06;99.20;0.21;99.20;0.06197;0.06147;0.0004974;-12.079;-12.114;-33.033;0.51;-179.88;
2026-01-07 15:44:26.10;0.00:00:01:313;0.01;-1.00;0.00;0.06179;0.000653;-0.06127;-0.0001306;-44.69;-0.06;99.17;0.21;99.17;0.06179;0.06128;0.0005131;-12.091;-12.127;-32.898;0.51;-179.88;
2026-01-07 15:44:26.14;0.00:00:01:358;0.01;-1.00;0.00;0.06184;0.0006515;-0.06131;-0.000128;-44.70;-0.06;99.15;0.21;99.15;0.06184;0.06131;0.0005274;-12.088;-12.125;-32.778;0.51;-179.88;
2026-01-07 15:44:26.20;0.00:00:01:422;0.01;-1.00;0.00;0.06202;0.0006465;-0.06148;-0.0001228;-44.70;-0.06;99.14;0.20;99.14;0.06202;0.06148;0.0005331;-12.075;-12.112;-32.732;0.51;-179.89;
2026-01-07 15:44:26.25;0.00:00:01:468;0.01;-1.00;0.00;0.06192;0.0006678;-0.06142;-0.0001303;-44.69;-0.06;99.20;0.21;99.20;0.06192;0.06143;0.0004953;-12.082;-12.116;-33.051;0.51;-179.88;
2026-01-07 15:44:26.31;0.00:00:01:528;0.01;-1.00;0.00;0.06197;0.0006535;-0.06144;-0.0001242;-44.70;-0.06;99.15;0.20;99.15;0.06197;0.06144;0.000527;-12.078;-12.115;-32.782;0.51;-179.88;
2026-01-07 15:44:26.37;0.00:00:01:591;0.01;-1.00;0.00;0.06205;0.0006478;-0.06151;-0.0001185;-44.70;-0.06;99.14;0.19;99.14;0.06205;0.06152;0.0005329;-12.073;-12.110;-32.733;0.51;-179.89;
2026-01-07 15:44:26.44;0.00:00:01:654;0.01;-1.00;0.00;0.06208;0.0006428;-0.06155;-0.0001247;-44.70;-0.06;99.15;0.20;99.15;0.06208;0.06155;0.0005254;-12.071;-12.108;-32.795;0.51;-179.88;
2026-01-07 15:44:26.50;0.00:00:01:716;0.01;-1.00;0.00;0.06207;0.0006634;-0.06155;-0.0001313;-44.69;-0.06;99.17;0.21;99.17;0.06207;0.06156;0.0005141;-12.071;-12.107;-32.890;0.51;-179.88;
2026-01-07 15:44:26.55;0.00:00:01:763;0.01;-1.00;0.00;0.06208;0.0006485;-0.06156;-0.0001293;-44.70;-0.06;99.16;0.21;99.16;0.06208;0.06156;0.0005213;-12.070;-12.107;-32.829;0.51;-179.88;
2026-01-07 15:44:26.59;0.00:00:01:810;0.01;-1.00;0.00;0.06208;0.0006463;-0.06154;-0.0001323;-44.70;-0.06;99.14;0.21;99.13;0.06208;0.06154;0.0005369;-12.071;-12.108;-32.701;0.51;-179.88;
2026-01-07 15:44:26.65;0.00:00:01:871;0.01;-1.00;0.00;0.06222;0.0006418;-0.06169;-0.0001276;-44.70;-0.06;99.16;0.21;99.16;0.06222;0.0617;0.000524;-12.061;-12.097;-32.807;0.51;-179.88;
2026-01-07 15:44:26.70;0.00:00:01:918;0.01;-1.00;0.00;0.06222;0.0006533;-0.0617;-0.0001266;-44.70;-0.06;99.16;0.20;99.16;0.06222;0.0617;0.0005224;-12.061;-12.097;-32.820;0.51;-179.88;
2026-01-07 15:44:26.77;0.00:00:01:984;0.01;-1.00;0.00;0.06213;0.0006486;-0.06161;-0.000129;-44.70;-0.06;99.18;0.21;99.18;0.06213;0.06162;0.0005092;-12.067;-12.103;-32.931;0.51;-179.88;
2026-01-07 15:44:26.83;0.00:00:02:044;0.01;-1.00;0.00;0.06221;0.0006454;-0.06168;-0.0001273;-44.70;-0.06;99.15;0.20;99.15;0.06221;0.06168;0.0005301;-12.061;-12.099;-32.756;0.51;-179.88;
2026-01-07 15:44:26.89;0.00:00:02:107;0.01;-1.00;0.00;0.0621;0.0006632;-0.06159;-0.0001256;-44.69;-0.06;99.18;0.20;99.18;0.0621;0.06159;0.0005071;-12.069;-12.105;-32.949;0.51;-179.88;
2026-01-07 15:44:26.94;0.00:00:02:154;0.01;-1.00;0.00;0.06193;0.0006441;-0.06141;-0.0001266;-44.70;-0.06;99.16;0.20;99.16;0.06193;0.06141;0.0005196;-12.081;-12.118;-32.843;0.51;-179.88;
2026-01-07 15:44:26.98;0.00:00:02:200;0.01;-1.00;0.00;0.06195;0.0006494;-0.06142;-0.0001235;-44.70;-0.06;99.15;0.20;99.15;0.06195;0.06142;0.000527;-12.080;-12.117;-32.782;0.51;-179.88;
2026-01-07 15:44:27.03;0.00:00:02:247;0.01;-1.00;0.00;0.06197;0.0006434;-0.06145;-0.0001207;-44.70;-0.06;99.15;0.19;99.15;0.06197;0.06145;0.0005243;-12.078;-12.115;-32.804;0.51;-179.89;
2026-01-07 15:44:27.07;0.00:00:02:292;0.01;-1.00;0.00;0.06201;0.000644;-0.06148;-0.0001245;-44.70;-0.06;99.15;0.20;99.15;0.06201;0.06149;0.0005272;-12.075;-12.112;-32.781;0.51;-179.88;
2026-01-07 15:44:27.12;0.00:00:02:340;0.01;-1.00;0.00;0.06203;0.000652;-0.0615;-0.0001234;-44.70;-0.06;99.15;0.20;99.15;0.06203;0.0615;0.0005284;-12.074;-12.111;-32.770;0.51;-179.89;
2026-01-07 15:44:27.17;0.00:00:02:387;0.01;-1.00;0.00;0.062;0.0006413;-0.06147;-0.0001238;-44.70;-0.06;99.14;0.20;99.14;0.062;0.06147;0.0005302;-12.076;-12.113;-32.755;0.51;-179.88;
2026-01-07 15:44:27.22;0.00:00:02:433;0.01;-1.00;0.00;0.06194;0.0006605;-0.06144;-0.0001249;-44.69;-0.06;99.18;0.20;99.18;0.06194;0.06144;0.000505;-12.080;-12.116;-32.967;0.51;-179.88;
2026-01-07 15:44:27.26;0.00:00:02:480;0.01;-1.00;0.00;0.06199;0.0006356;-0.06144;-0.0001201;-44.70;-0.06;99.12;0.19;99.12;0.06199;0.06144;0.0005478;-12.077;-12.116;-32.614;0.51;-179.89;
2026-01-07 15:44:27.31;0.00:00:02:527;0.01;-1.00;0.00;0.06219;0.0006621;-0.06166;-0.00012;-44.69;-0.06;99.16;0.19;99.16;0.06219;0.06167;0.0005242;-12.063;-12.100;-32.805;0.51;-179.89;
2026-01-07 15:44:27.36;0.00:00:02:573;0.01;-1.00;0.00;0.06206;0.0006583;-0.06157;-0.0001294;-44.69;-0.06;99.22;0.21;99.22;0.06206;0.06158;0.0004819;-12.072;-12.106;-33.170;0.51;-179.88;
2026-01-07 15:44:27.40;0.00:00:02:622;0.01;-1.00;0.00;0.06195;0.0006517;-0.06142;-0.0001284;-44.70;-0.06;99.15;0.21;99.15;0.06195;0.06143;0.000524;-12.080;-12.117;-32.806;0.51;-179.88;
2026-01-07 15:44:27.46;0.00:00:02:682;0.01;-1.00;0.00;0.06202;0.0006452;-0.06151;-0.0001252;-44.70;-0.06;99.17;0.20;99.17;0.06202;0.06151;0.0005146;-12.074;-12.111;-32.886;0.51;-179.88;
2026-01-07 15:44:27.51;0.00:00:02:727;0.01;-1.00;0.00;0.06219;0.0006576;-0.06171;-0.0001317;-44.69;-0.06;99.22;0.21;99.22;0.06219;0.06171;0.0004846;-12.063;-12.096;-33.146;0.51;-179.88;
2026-01-07 15:44:27.56;0.00:00:02:775;0.01;-1.00;0.00;0.06201;0.0006517;-0.06151;-0.0001271;-44.70;-0.06;99.19;0.20;99.19;0.06201;0.06151;0.0005013;-12.075;-12.111;-32.999;0.51;-179.88;
2026-01-07 15:44:27.61;0.00:00:02:829;0.01;-1.00;0.00;0.06199;0.0006327;-0.06144;-0.0001233;-44.71;-0.06;99.11;0.20;99.11;0.06199;0.06144;0.0005525;-12.076;-12.115;-32.576;0.51;-179.89;
2026-01-07 15:44:27.66;0.00:00:02:880;0.01;-1.00;0.00;0.06215;0.0006528;-0.06161;-0.0001204;-44.70;-0.06;99.13;0.19;99.13;0.06215;0.06161;0.0005394;-12.065;-12.103;-32.680;0.51;-179.89;
2026-01-07 15:44:27.71;0.00:00:02:932;0.01;-1.00;0.00;0.06205;0.00064;-0.0615;-0.000122;-44.70;-0.06;99.11;0.20;99.11;0.06205;0.0615;0.0005508;-12.073;-12.111;-32.590;0.51;-179.89;
2026-01-07 15:44:27.76;0.00:00:02:982;0.01;-1.00;0.00;0.0621;0.0006541;-0.06157;-0.0001249;-44.70;-0.06;99.16;0.20;99.16;0.0621;0.06157;0.000524;-12.069;-12.106;-32.807;0.51;-179.88;
2026-01-07 15:44:27.82;0.00:00:03:033;0.01;-1.00;0.00;0.06207;0.0006457;-0.06155;-0.0001267;-44.70;-0.06;99.17;0.20;99.17;0.06207;0.06155;0.0005169;-12.071;-12.108;-32.866;0.51;-179.88;
2026-01-07 15:44:27.88;0.00:00:03:094;0.01;-1.00;0.00;0.06196;0.0006556;-0.06146;-0.0001325;-44.69;-0.06;99.19;0.21;99.19;0.06196;0.06146;0.0005036;-12.079;-12.114;-32.979;0.51;-179.88;
2026-01-07 15:44:27.93;0.00:00:03:144;0.01;-1.00;0.00;0.06198;0.000654;-0.06146;-0.0001269;-44.70;-0.06;99.17;0.20;99.17;0.06198;0.06146;0.0005164;-12.078;-12.114;-32.870;0.51;-179.88;
2026-01-07 15:44:27.98;0.00:00:03:195;0.01;-1.00;0.00;0.06196;0.0006446;-0.06144;-0.0001264;-44.70;-0.06;99.17;0.20;99.17;0.06196;0.06145;0.0005166;-12.079;-12.115;-32.869;0.51;-179.88;
2026-01-07 15:44:28.03;0.00:00:03:246;0.01;-1.00;0.00;0.06192;0.0006623;-0.06141;-0.0001262;-44.69;-0.06;99.19;0.20;99.19;0.06192;0.06141;0.0005037;-12.082;-12.117;-32.978;0.51;-179.88;
2026-01-07 15:44:28.08;0.00:00:03:297;0.01;-1.00;0.00;0.06189;0.0006689;-0.06141;-0.0001257;-44.69;-0.06;99.22;0.20;99.22;0.06189;0.06141;0.0004852;-12.083;-12.118;-33.141;0.51;-179.88;
2026-01-07 15:44:28.13;0.00:00:03:350;0.01;-1.00;0.00;0.06169;0.0006468;-0.06117;-0.0001314;-44.70;-0.06;99.17;0.21;99.17;0.06169;0.06117;0.0005128;-12.098;-12.134;-32.901;0.51;-179.88;
2026-01-07 15:44:28.18;0.00:00:03:400;0.01;-1.00;0.00;0.06198;0.0006591;-0.06148;-0.000132;-44.69;-0.06;99.20;0.21;99.20;0.06198;0.06148;0.0004959;-12.078;-12.112;-33.046;0.51;-179.88;
2026-01-07 15:44:28.23;0.00:00:03:450;0.01;-1.00;0.00;0.0619;0.0006434;-0.06137;-0.0001236;-44.70;-0.06;99.15;0.20;99.15;0.0619;0.06138;0.0005285;-12.083;-12.120;-32.770;0.51;-179.88;
