Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:57:03.25;0.00:00:00:053;0.01;-1.00;0.00;0.06241;0.0006819;-0.06188;0.0001878;-44.68;0.09;99.15;0.30;99.15;0.06241;0.06188;0.0005314;-12.047;-12.084;-32.746;0.51;179.83;
2026-01-07 15:57:03.29;0.00:00:00:101;0.01;-1.00;0.00;0.06238;0.0006778;-0.06187;0.0001821;-44.69;0.08;99.18;0.29;99.18;0.06238;0.06187;0.0005106;-12.049;-12.085;-32.919;0.51;179.83;
2026-01-07 15:57:03.34;0.00:00:00:149;0.01;-1.00;0.00;0.06238;0.0006712;-0.06184;0.0001863;-44.69;0.09;99.14;0.30;99.14;0.06238;0.06184;0.0005383;-12.050;-12.087;-32.689;0.51;179.83;
2026-01-07 15:57:03.40;0.00:00:00:204;0.01;-1.00;0.00;0.06242;0.0006811;-0.0619;0.0001833;-44.68;0.08;99.17;0.29;99.17;0.06242;0.0619;0.00052;-12.047;-12.083;-32.840;0.51;179.83;
2026-01-07 15:57:03.45;0.00:00:00:252;0.01;-1.00;0.00;0.06245;0.0006773;-0.06192;0.0001855;-44.69;0.09;99.16;0.30;99.16;0.06245;0.06192;0.0005234;-12.045;-12.082;-32.812;0.51;179.83;
2026-01-07 15:57:03.49;0.00:00:00:301;0.01;-1.00;0.00;0.06227;0.0006695;-0.06174;0.0001831;-44.69;0.08;99.15;0.29;99.15;0.06227;0.06174;0.0005296;-12.057;-12.094;-32.760;0.51;179.83;
2026-01-07 15:57:03.54;0.00:00:00:351;0.01;-1.00;0.00;0.06233;0.0006734;-0.0618;0.0001895;-44.69;0.09;99.15;0.30;99.15;0.06233;0.0618;0.0005298;-12.053;-12.090;-32.759;0.51;179.82;
2026-01-07 15:57:03.60;0.00:00:00:402;0.01;-1.00;0.00;0.06234;0.0006762;-0.06182;0.0001889;-44.69;0.09;99.16;0.30;99.16;0.06234;0.06182;0.000521;-12.052;-12.089;-32.831;0.51;179.82;
2026-01-07 15:57:03.64;0.00:00:00:451;0.01;-1.00;0.00;0.06234;0.0006786;-0.06182;0.0001834;-44.69;0.08;99.17;0.29;99.17;0.06234;0.06182;0.0005176;-12.052;-12.089;-32.860;0.51;179.83;
2026-01-07 15:57:03.70;0.00:00:00:505;0.01;-1.00;0.00;0.0622;0.0006664;-0.06167;0.0001832;-44.69;0.09;99.16;0.29;99.16;0.0622;0.06167;0.0005243;-12.062;-12.099;-32.805;0.51;179.83;
2026-01-07 15:57:03.75;0.00:00:00:554;0.01;-1.00;0.00;0.06222;0.0006747;-0.06169;0.0001832;-44.69;0.09;99.16;0.29;99.16;0.06222;0.06169;0.0005252;-12.061;-12.098;-32.797;0.51;179.83;
2026-01-07 15:57:03.80;0.00:00:00:603;0.01;-1.00;0.00;0.06229;0.0006752;-0.06176;0.0001856;-44.69;0.09;99.15;0.30;99.15;0.06229;0.06177;0.000527;-12.056;-12.093;-32.782;0.51;179.83;
2026-01-07 15:57:03.84;0.00:00:00:650;0.01;-1.00;0.00;0.06232;0.0006772;-0.06179;0.0001836;-44.69;0.09;99.16;0.29;99.16;0.06232;0.0618;0.0005258;-12.054;-12.090;-32.791;0.51;179.83;
2026-01-07 15:57:03.89;0.00:00:00:701;0.01;-1.00;0.00;0.06231;0.0006756;-0.06179;0.0001849;-44.69;0.09;99.16;0.30;99.16;0.06231;0.06179;0.0005212;-12.054;-12.091;-32.830;0.51;179.83;
2026-01-07 15:57:03.94;0.00:00:00:751;0.01;-1.00;0.00;0.06225;0.0006784;-0.06172;0.000176;-44.69;0.08;99.16;0.28;99.16;0.06225;0.06173;0.0005206;-12.059;-12.095;-32.835;0.51;179.84;
2026-01-07 15:57:04.00;0.00:00:00:805;0.01;-1.00;0.00;0.06234;0.0006841;-0.06182;0.0001835;-44.68;0.09;99.18;0.29;99.18;0.06234;0.06183;0.0005096;-12.053;-12.088;-32.928;0.51;179.83;
2026-01-07 15:57:04.05;0.00:00:00:851;0.01;-1.00;0.00;0.06226;0.0006707;-0.06174;0.0001822;-44.69;0.08;99.16;0.29;99.16;0.06226;0.06174;0.000523;-12.058;-12.094;-32.815;0.51;179.83;
2026-01-07 15:57:04.10;0.00:00:00:903;0.01;-1.00;0.00;0.06251;0.000675;-0.06197;0.0001866;-44.69;0.09;99.14;0.30;99.14;0.06251;0.06198;0.000535;-12.040;-12.078;-32.717;0.51;179.83;
2026-01-07 15:57:04.15;0.00:00:00:955;0.01;-1.00;0.00;0.06257;0.000685;-0.06205;0.0001891;-44.68;0.09;99.18;0.30;99.18;0.06257;0.06206;0.0005159;-12.036;-12.072;-32.875;0.51;179.83;
2026-01-07 15:57:04.20;0.00:00:01:004;0.01;-1.00;0.00;0.06233;0.0006866;-0.06182;0.0001776;-44.68;0.08;99.19;0.28;99.19;0.06233;0.06183;0.0005036;-12.053;-12.088;-32.979;0.51;179.84;
2026-01-07 15:57:04.25;0.00:00:01:053;0.01;-1.00;0.00;0.06235;0.0006658;-0.0618;0.000183;-44.69;0.08;99.12;0.29;99.12;0.06235;0.0618;0.0005466;-12.052;-12.090;-32.623;0.51;179.83;
2026-01-07 15:57:04.29;0.00:00:01:099;0.01;-1.00;0.00;0.06258;0.0006724;-0.06207;0.0001871;-44.69;0.09;99.18;0.30;99.18;0.06258;0.06207;0.0005102;-12.036;-12.071;-32.923;0.51;179.83;
2026-01-07 15:57:04.34;0.00:00:01:147;0.01;-1.00;0.00;0.0626;0.0006769;-0.06207;0.0001911;-44.69;0.09;99.16;0.31;99.16;0.0626;0.06207;0.0005252;-12.034;-12.071;-32.797;0.51;179.82;
2026-01-07 15:57:04.39;0.00:00:01:196;0.01;-1.00;0.00;0.0623;0.0006787;-0.06179;0.0001864;-44.69;0.09;99.19;0.30;99.19;0.0623;0.06179;0.0005067;-12.055;-12.091;-32.953;0.51;179.83;
2026-01-07 15:57:04.44;0.00:00:01:243;0.01;-1.00;0.00;0.06223;0.0006744;-0.06171;0.0001817;-44.69;0.08;99.17;0.29;99.17;0.06223;0.06171;0.0005175;-12.060;-12.096;-32.861;0.51;179.83;
2026-01-07 15:57:04.49;0.00:00:01:295;0.01;-1.00;0.00;0.0623;0.0006553;-0.06173;0.0001843;-44.70;0.09;99.09;0.30;99.09;0.0623;0.06173;0.0005659;-12.055;-12.095;-32.473;0.51;179.83;
2026-01-07 15:57:04.54;0.00:00:01:348;0.01;-1.00;0.00;0.06239;0.0006775;-0.06187;0.0001761;-44.69;0.08;99.17;0.28;99.17;0.06239;0.06188;0.0005185;-12.049;-12.085;-32.853;0.51;179.84;
2026-01-07 15:57:04.59;0.00:00:01:396;0.01;-1.00;0.00;0.06271;0.0006838;-0.0622;0.0001906;-44.69;0.09;99.19;0.30;99.19;0.06271;0.0622;0.0005101;-12.027;-12.062;-32.924;0.51;179.82;
2026-01-07 15:57:04.64;0.00:00:01:446;0.01;-1.00;0.00;0.06253;0.0006822;-0.06203;0.000182;-44.68;0.08;99.21;0.29;99.21;0.06253;0.06203;0.0004963;-12.039;-12.074;-33.042;0.51;179.83;
2026-01-07 15:57:04.69;0.00:00:01:497;0.01;-1.00;0.00;0.06233;0.0006839;-0.06182;0.0001799;-44.68;0.08;99.18;0.29;99.18;0.06233;0.06183;0.0005085;-12.053;-12.088;-32.937;0.51;179.83;
2026-01-07 15:57:04.74;0.00:00:01:544;0.01;-1.00;0.00;0.06229;0.0006709;-0.06176;0.0001856;-44.69;0.09;99.16;0.30;99.16;0.06229;0.06176;0.0005256;-12.056;-12.093;-32.793;0.51;179.83;
2026-01-07 15:57:04.79;0.00:00:01:597;0.01;-1.00;0.00;0.06244;0.0006962;-0.06195;0.0001772;-44.68;0.08;99.23;0.28;99.23;0.06244;0.06196;0.0004801;-12.046;-12.079;-33.187;0.51;179.84;
2026-01-07 15:57:04.84;0.00:00:01:651;0.01;-1.00;0.00;0.06243;0.0006668;-0.06188;0.0001962;-44.69;0.09;99.12;0.31;99.12;0.06243;0.06188;0.000549;-12.046;-12.084;-32.604;0.51;179.82;
2026-01-07 15:57:04.90;0.00:00:01:703;0.01;-1.00;0.00;0.06243;0.0006628;-0.06188;0.000187;-44.69;0.09;99.13;0.30;99.13;0.06243;0.06189;0.000545;-12.046;-12.084;-32.636;0.51;179.83;
