Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:40:06.81;0.00:00:00:044;-0.14;-0.99;0.00;0.06227;-0.008702;-0.06113;-0.0002959;-49.05;-0.14;99.17;0.48;99.17;0.06227;0.06175;0.0005155;-12.058;-12.094;-32.878;0.43;-179.72;
2026-01-07 15:40:06.86;0.00:00:00:096;-0.14;-0.99;-0.01;0.06212;-0.008686;-0.06102;-0.0003267;-49.05;-0.15;99.22;0.53;99.22;0.06212;0.06164;0.0004828;-12.068;-12.102;-33.163;0.43;-179.69;
2026-01-07 15:40:06.91;0.00:00:00:146;-0.14;-0.99;-0.01;0.06193;-0.008657;-0.06081;-0.0003136;-49.05;-0.15;99.19;0.51;99.19;0.06193;0.06143;0.0005005;-12.081;-12.116;-33.006;0.43;-179.70;
2026-01-07 15:40:06.96;0.00:00:00:197;-0.14;-0.99;-0.01;0.06207;-0.008674;-0.06095;-0.0003088;-49.05;-0.14;99.17;0.50;99.17;0.06207;0.06156;0.0005125;-12.071;-12.107;-32.903;0.43;-179.71;
2026-01-07 15:40:07.01;0.00:00:00:246;-0.14;-0.99;-0.01;0.06206;-0.008657;-0.06097;-0.0003202;-49.04;-0.15;99.24;0.52;99.24;0.06206;0.06158;0.0004706;-12.072;-12.105;-33.273;0.43;-179.70;
2026-01-07 15:40:07.06;0.00:00:00:296;-0.14;-0.99;-0.01;0.06206;-0.008682;-0.06093;-0.0003141;-49.05;-0.15;99.18;0.51;99.18;0.06206;0.06155;0.00051;-12.072;-12.108;-32.924;0.43;-179.70;
2026-01-07 15:40:07.11;0.00:00:00:348;-0.14;-0.99;0.00;0.06209;-0.008666;-0.06102;-0.0003021;-49.04;-0.14;99.26;0.49;99.26;0.06209;0.06163;0.0004566;-12.070;-12.102;-33.405;0.43;-179.72;
2026-01-07 15:40:07.16;0.00:00:00:398;-0.14;-0.99;-0.01;0.06182;-0.008637;-0.06073;-0.0003194;-49.05;-0.15;99.22;0.52;99.22;0.06182;0.06134;0.0004796;-12.089;-12.123;-33.191;0.43;-179.70;
2026-01-07 15:40:07.21;0.00:00:00:449;-0.14;-0.99;-0.01;0.06189;-0.00864;-0.06081;-0.0003088;-49.04;-0.14;99.23;0.50;99.23;0.06189;0.06142;0.0004767;-12.083;-12.117;-33.218;0.43;-179.71;
2026-01-07 15:40:07.26;0.00:00:00:499;-0.14;-0.99;-0.01;0.06177;-0.008619;-0.06069;-0.0003205;-49.04;-0.15;99.23;0.52;99.23;0.06177;0.0613;0.000476;-12.092;-12.126;-33.224;0.43;-179.70;
2026-01-07 15:40:07.33;0.00:00:00:563;-0.14;-0.99;-0.01;0.06169;-0.008625;-0.06059;-0.0003133;-49.05;-0.15;99.21;0.51;99.21;0.06169;0.0612;0.0004893;-12.098;-12.132;-33.104;0.43;-179.70;
2026-01-07 15:40:07.38;0.00:00:00:613;-0.14;-0.99;-0.01;0.0619;-0.008657;-0.06079;-0.0003111;-49.05;-0.15;99.20;0.50;99.20;0.0619;0.06141;0.0004952;-12.083;-12.118;-33.052;0.43;-179.71;
2026-01-07 15:40:07.43;0.00:00:00:664;-0.14;-0.99;-0.01;0.06185;-0.008635;-0.06077;-0.0003111;-49.04;-0.15;99.24;0.50;99.24;0.06185;0.06138;0.0004718;-12.086;-12.120;-33.263;0.43;-179.71;
2026-01-07 15:40:07.48;0.00:00:00:715;-0.14;-0.99;0.00;0.06187;-0.00864;-0.06077;-0.0003037;-49.05;-0.14;99.21;0.49;99.21;0.06187;0.06139;0.0004872;-12.085;-12.119;-33.123;0.43;-179.71;
2026-01-07 15:40:07.53;0.00:00:00:768;-0.14;-0.99;-0.01;0.06169;-0.008607;-0.06061;-0.0003212;-49.04;-0.15;99.24;0.52;99.24;0.06169;0.06122;0.0004676;-12.098;-12.131;-33.301;0.43;-179.70;
2026-01-07 15:40:07.59;0.00:00:00:824;-0.14;-0.99;-0.01;0.06174;-0.008633;-0.06063;-0.0003073;-49.05;-0.14;99.19;0.50;99.19;0.06174;0.06124;0.0005017;-12.094;-12.130;-32.996;0.43;-179.71;
2026-01-07 15:40:07.64;0.00:00:00:871;-0.14;-0.99;-0.01;0.06175;-0.008619;-0.06067;-0.0003115;-49.04;-0.15;99.23;0.50;99.23;0.06175;0.06128;0.0004776;-12.093;-12.127;-33.209;0.43;-179.71;
2026-01-07 15:40:07.68;0.00:00:00:919;-0.14;-0.99;0.00;0.06197;-0.00867;-0.06084;-0.0003054;-49.06;-0.14;99.17;0.49;99.17;0.06197;0.06146;0.0005166;-12.078;-12.114;-32.868;0.43;-179.71;
2026-01-07 15:40:07.73;0.00:00:00:965;-0.14;-0.99;-0.01;0.06202;-0.008649;-0.06093;-0.0003097;-49.04;-0.14;99.23;0.50;99.23;0.06202;0.06154;0.000475;-12.075;-12.108;-33.233;0.43;-179.71;
2026-01-07 15:40:07.78;0.00:00:01:010;-0.14;-0.99;-0.01;0.06185;-0.008635;-0.06076;-0.0003169;-49.04;-0.15;99.24;0.51;99.24;0.06185;0.06137;0.0004713;-12.087;-12.120;-33.267;0.43;-179.70;
2026-01-07 15:40:07.82;0.00:00:01:058;-0.14;-0.99;-0.01;0.06166;-0.008599;-0.0606;-0.0003144;-49.04;-0.15;99.27;0.51;99.27;0.06166;0.06121;0.0004522;-12.100;-12.132;-33.447;0.43;-179.70;
2026-01-07 15:40:07.87;0.00:00:01:104;-0.14;-0.99;-0.01;0.06174;-0.008655;-0.06057;-0.0003083;-49.07;-0.14;99.10;0.50;99.10;0.06174;0.06119;0.0005538;-12.094;-12.133;-32.566;0.43;-179.71;
2026-01-07 15:40:07.92;0.00:00:01:151;-0.14;-0.99;0.00;0.06198;-0.00865;-0.06088;-0.0003063;-49.04;-0.14;99.22;0.49;99.22;0.06198;0.0615;0.0004817;-12.078;-12.112;-33.172;0.43;-179.71;
2026-01-07 15:40:07.96;0.00:00:01:198;-0.14;-0.99;-0.01;0.06171;-0.008627;-0.0606;-0.0003099;-49.05;-0.15;99.19;0.50;99.19;0.06171;0.06121;0.0004991;-12.096;-12.132;-33.018;0.43;-179.71;
