Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 13:35:54.08;0.00:00:00:049;0.00;1.00;0.00;0.0725;-1.712E-05;0.07215;8.477E-05;45.01;0.03;99.52;0.12;99.52;0.0725;0.07215;0.0003458;-11.397;-11.418;-34.612;0.50;0.07;
2026-01-07 13:35:54.13;0.00:00:00:102;0.00;1.00;0.00;0.07249;1.282E-05;0.07212;9.936E-05;44.99;0.04;99.49;0.14;99.49;0.07249;0.07212;0.0003724;-11.397;-11.420;-34.290;0.50;0.08;
2026-01-07 13:35:54.18;0.00:00:00:152;0.00;1.00;0.00;0.07256;-9.969E-06;0.0722;8.88E-05;45.00;0.04;99.51;0.12;99.51;0.07256;0.0722;0.0003578;-11.393;-11.415;-34.464;0.50;0.07;
2026-01-07 13:35:54.24;0.00:00:00:204;0.00;1.00;0.00;0.07271;-8.6E-06;0.07235;9.116E-05;45.00;0.04;99.50;0.13;99.50;0.07271;0.07235;0.0003609;-11.384;-11.406;-34.426;0.50;0.07;
2026-01-07 13:35:54.29;0.00:00:00:255;0.00;1.00;0.00;0.07276;9.204E-06;0.0724;9.665E-05;45.00;0.04;99.50;0.13;99.50;0.07276;0.0724;0.0003611;-11.381;-11.402;-34.424;0.50;0.08;
2026-01-07 13:35:54.34;0.00:00:00:309;0.00;1.00;0.00;0.07267;-2.188E-06;0.07229;0.0001041;45.00;0.04;99.48;0.14;99.48;0.07267;0.07229;0.0003781;-11.387;-11.409;-34.224;0.50;0.08;
2026-01-07 13:35:54.39;0.00:00:00:356;0.00;1.00;0.00;0.07265;5.807E-06;0.07229;9.026E-05;45.00;0.04;99.50;0.12;99.50;0.07265;0.07229;0.0003607;-11.388;-11.409;-34.429;0.50;0.07;
2026-01-07 13:35:54.44;0.00:00:00:407;0.00;1.00;0.00;0.07253;4.277E-07;0.07216;9.628E-05;45.00;0.04;99.49;0.13;99.48;0.07253;0.07216;0.0003735;-11.395;-11.417;-34.277;0.50;0.08;
2026-01-07 13:35:54.49;0.00:00:00:459;0.00;1.00;0.00;0.07256;1.221E-05;0.0722;9.719E-05;45.00;0.04;99.50;0.13;99.50;0.07256;0.0722;0.0003593;-11.393;-11.414;-34.446;0.50;0.08;
2026-01-07 13:35:54.54;0.00:00:00:509;0.00;1.00;0.00;0.07258;1.06E-05;0.07222;0.0001009;45.00;0.04;99.50;0.14;99.50;0.07258;0.07222;0.0003647;-11.392;-11.413;-34.381;0.50;0.08;
