Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:45:47.44;0.00:00:00:052;0.01;1.00;0.00;0.0619;0.0003798;0.06152;0.000232;44.82;0.11;99.39;0.37;99.39;0.0619;0.06152;0.0003753;-12.083;-12.110;-34.256;0.50;0.22;
2026-01-07 15:45:47.49;0.00:00:00:108;0.01;1.00;0.00;0.06166;0.0003518;0.06131;0.0001946;44.84;0.09;99.44;0.32;99.44;0.06166;0.06131;0.000348;-12.100;-12.125;-34.584;0.50;0.18;
2026-01-07 15:45:47.54;0.00:00:00:155;0.01;1.00;0.00;0.06154;0.0003712;0.06116;0.0002056;44.83;0.10;99.39;0.33;99.39;0.06154;0.06117;0.0003729;-12.109;-12.135;-34.285;0.50;0.19;
2026-01-07 15:45:47.59;0.00:00:00:202;0.01;1.00;0.00;0.06158;0.0003403;0.06123;0.0001811;44.84;0.08;99.43;0.29;99.43;0.06158;0.06123;0.0003495;-12.106;-12.130;-34.566;0.50;0.17;
2026-01-07 15:45:47.63;0.00:00:00:248;0.01;1.00;0.00;0.06156;0.000381;0.06118;0.000216;44.82;0.10;99.40;0.35;99.40;0.06156;0.06119;0.000372;-12.107;-12.133;-34.295;0.50;0.20;
2026-01-07 15:45:47.68;0.00:00:00:294;0.01;1.00;0.00;0.0613;0.0003637;0.06092;0.000201;44.83;0.09;99.39;0.33;99.39;0.0613;0.06092;0.0003735;-12.126;-12.152;-34.277;0.50;0.19;
2026-01-07 15:45:47.73;0.00:00:00:343;0.01;1.00;0.00;0.06174;0.0003532;0.06139;0.000193;44.84;0.09;99.44;0.31;99.44;0.06174;0.06139;0.000348;-12.094;-12.119;-34.584;0.50;0.18;
2026-01-07 15:45:47.77;0.00:00:00:388;0.01;1.00;0.00;0.06176;0.0003438;0.06141;0.0001913;44.84;0.09;99.43;0.31;99.43;0.06176;0.06141;0.0003491;-12.093;-12.117;-34.570;0.50;0.18;
2026-01-07 15:45:47.82;0.00:00:00:437;0.01;1.00;0.00;0.06164;0.0003589;0.06129;0.0001874;44.83;0.09;99.44;0.30;99.44;0.06164;0.06129;0.0003434;-12.102;-12.126;-34.642;0.50;0.18;
2026-01-07 15:45:47.87;0.00:00:00:483;0.01;1.00;0.00;0.06171;0.000363;0.06134;0.0002008;44.83;0.09;99.41;0.33;99.41;0.06171;0.06135;0.0003618;-12.097;-12.122;-34.416;0.50;0.19;
2026-01-07 15:45:47.92;0.00:00:00:531;0.01;1.00;0.00;0.06167;0.0003489;0.06132;0.0001825;44.84;0.09;99.44;0.30;99.43;0.06167;0.06132;0.0003482;-12.099;-12.124;-34.582;0.50;0.17;
2026-01-07 15:45:47.98;0.00:00:00:592;0.01;1.00;0.00;0.06184;0.0003512;0.06149;0.0001934;44.84;0.09;99.43;0.31;99.43;0.06184;0.06149;0.000355;-12.087;-12.112;-34.497;0.50;0.18;
2026-01-07 15:45:48.02;0.00:00:00:639;0.01;1.00;0.00;0.06189;0.0003572;0.06154;0.0001926;44.83;0.09;99.44;0.31;99.44;0.06189;0.06154;0.0003482;-12.084;-12.108;-34.582;0.50;0.18;
2026-01-07 15:45:48.08;0.00:00:00:699;0.01;1.00;0.00;0.06179;0.0003674;0.06142;0.0002005;44.83;0.09;99.41;0.32;99.41;0.06179;0.06142;0.0003656;-12.091;-12.117;-34.370;0.50;0.19;
2026-01-07 15:45:48.13;0.00:00:00:746;0.01;1.00;0.00;0.06179;0.0003521;0.06144;0.0001897;44.84;0.09;99.43;0.31;99.43;0.06179;0.06144;0.000351;-12.091;-12.115;-34.547;0.50;0.18;
2026-01-07 15:45:48.18;0.00:00:00:793;0.01;1.00;0.00;0.06182;0.0003607;0.06147;0.0001925;44.83;0.09;99.43;0.31;99.43;0.06182;0.06147;0.0003498;-12.088;-12.113;-34.562;0.50;0.18;
2026-01-07 15:45:48.23;0.00:00:00:839;0.01;1.00;0.00;0.06181;0.000366;0.06145;0.0002058;44.83;0.10;99.43;0.33;99.42;0.06181;0.06145;0.0003553;-12.090;-12.115;-34.494;0.50;0.19;
2026-01-07 15:45:48.27;0.00:00:00:885;0.01;1.00;0.00;0.06171;0.0003594;0.06135;0.0001856;44.83;0.09;99.43;0.30;99.43;0.06171;0.06135;0.0003542;-12.097;-12.122;-34.507;0.50;0.17;
