Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:55:55.09;0.00:00:00:051;0.01;1.00;0.00;0.06211;0.0003907;0.06175;-0.0002111;44.82;-0.10;99.42;0.34;99.42;0.06211;0.06175;0.0003583;-12.068;-12.094;-34.458;0.50;-0.20;
2026-01-07 15:55:55.14;0.00:00:00:101;0.01;1.00;0.00;0.06218;0.0003722;0.06183;-0.0002316;44.83;-0.11;99.44;0.37;99.44;0.06218;0.06183;0.0003452;-12.064;-12.088;-34.619;0.50;-0.21;
2026-01-07 15:55:55.19;0.00:00:00:150;0.01;1.00;0.00;0.06215;0.000395;0.06178;-0.0002135;44.82;-0.10;99.42;0.34;99.42;0.06215;0.06178;0.0003629;-12.066;-12.091;-34.403;0.50;-0.20;
2026-01-07 15:55:55.24;0.00:00:00:201;0.01;1.00;0.00;0.06203;0.0003998;0.06167;-0.0002079;44.81;-0.10;99.42;0.34;99.42;0.06203;0.06167;0.0003619;-12.074;-12.099;-34.415;0.50;-0.19;
2026-01-07 15:55:55.29;0.00:00:00:250;0.01;1.00;0.00;0.06214;0.0003477;0.0618;-0.0002503;44.84;-0.12;99.45;0.40;99.45;0.06214;0.0618;0.0003397;-12.066;-12.090;-34.688;0.50;-0.23;
2026-01-07 15:55:55.34;0.00:00:00:300;0.01;1.00;0.00;0.06251;0.0003716;0.06217;-0.0002308;44.83;-0.11;99.46;0.37;99.46;0.06251;0.06217;0.0003396;-12.040;-12.064;-34.691;0.50;-0.21;
2026-01-07 15:55:55.39;0.00:00:00:352;0.01;1.00;0.00;0.06204;0.0003916;0.06166;-0.0002065;44.82;-0.10;99.39;0.33;99.39;0.06204;0.06166;0.0003778;-12.073;-12.100;-34.227;0.50;-0.19;
2026-01-07 15:55:55.44;0.00:00:00:399;0.01;1.00;0.00;0.06195;0.0003965;0.06159;-0.0002119;44.82;-0.10;99.42;0.34;99.42;0.06195;0.06159;0.0003612;-12.080;-12.105;-34.422;0.50;-0.20;
2026-01-07 15:55:55.49;0.00:00:00:451;0.01;1.00;0.00;0.06179;0.0003873;0.06142;-0.0002153;44.82;-0.10;99.40;0.35;99.40;0.06179;0.06142;0.0003699;-12.091;-12.117;-34.320;0.50;-0.20;
2026-01-07 15:55:55.54;0.00:00:00:503;0.01;1.00;0.00;0.06198;0.0003745;0.06165;-0.0002364;44.83;-0.11;99.46;0.38;99.46;0.06198;0.06165;0.0003352;-12.077;-12.101;-34.747;0.50;-0.22;
2026-01-07 15:55:55.59;0.00:00:00:551;0.01;1.00;0.00;0.06204;0.0003852;0.06168;-0.0002237;44.82;-0.10;99.43;0.36;99.43;0.06204;0.06169;0.0003539;-12.073;-12.098;-34.512;0.50;-0.21;
2026-01-07 15:55:55.64;0.00:00:00:597;0.01;1.00;0.00;0.06205;0.0003841;0.06169;-0.0002202;44.82;-0.10;99.42;0.35;99.42;0.06205;0.06169;0.0003595;-12.073;-12.098;-34.444;0.50;-0.20;
2026-01-07 15:55:55.69;0.00:00:00:650;0.01;1.00;0.00;0.06208;0.0003751;0.06173;-0.0002245;44.83;-0.10;99.44;0.36;99.44;0.06208;0.06173;0.0003468;-12.071;-12.095;-34.600;0.50;-0.21;
2026-01-07 15:55:55.74;0.00:00:00:701;0.01;1.00;0.00;0.06218;0.0003791;0.06182;-0.0002351;44.82;-0.11;99.42;0.38;99.42;0.06218;0.06182;0.0003598;-12.064;-12.089;-34.439;0.50;-0.22;
2026-01-07 15:55:55.79;0.00:00:00:751;0.01;1.00;0.00;0.0622;0.0003867;0.06184;-0.000213;44.82;-0.10;99.41;0.34;99.41;0.0622;0.06184;0.0003642;-12.062;-12.087;-34.386;0.50;-0.20;
2026-01-07 15:55:55.84;0.00:00:00:801;0.01;1.00;0.00;0.06202;0.0003813;0.06165;-0.0002167;44.82;-0.10;99.41;0.35;99.40;0.06202;0.06165;0.0003687;-12.075;-12.100;-34.334;0.50;-0.20;
2026-01-07 15:55:55.89;0.00:00:00:853;0.01;1.00;0.00;0.06208;0.000385;0.06171;-0.0002163;44.82;-0.10;99.42;0.35;99.41;0.06208;0.06171;0.000363;-12.071;-12.096;-34.400;0.50;-0.20;
2026-01-07 15:55:55.94;0.00:00:00:904;0.01;1.00;0.00;0.06207;0.0003835;0.06172;-0.0002201;44.82;-0.10;99.43;0.35;99.43;0.06207;0.06172;0.0003532;-12.071;-12.096;-34.519;0.50;-0.20;
2026-01-07 15:55:55.99;0.00:00:00:955;0.01;1.00;0.00;0.06196;0.0003841;0.06162;-0.0002282;44.82;-0.11;99.44;0.37;99.44;0.06196;0.06162;0.0003463;-12.079;-12.103;-34.605;0.50;-0.21;
2026-01-07 15:55:56.05;0.00:00:01:005;0.01;1.00;0.00;0.0621;0.0003808;0.06175;-0.0002258;44.82;-0.10;99.44;0.36;99.44;0.0621;0.06175;0.0003498;-12.069;-12.094;-34.562;0.50;-0.21;
2026-01-07 15:55:56.09;0.00:00:01:054;0.01;1.00;0.00;0.06203;0.0003908;0.06166;-0.0002083;44.82;-0.10;99.40;0.34;99.40;0.06203;0.06166;0.000372;-12.074;-12.100;-34.295;0.50;-0.19;
2026-01-07 15:55:56.14;0.00:00:01:103;0.01;1.00;0.00;0.06196;0.0003774;0.06161;-0.0002332;44.82;-0.11;99.44;0.38;99.44;0.06196;0.06161;0.0003469;-12.079;-12.103;-34.598;0.50;-0.22;
2026-01-07 15:55:56.20;0.00:00:01:156;0.01;1.00;0.00;0.06217;0.00038;0.06181;-0.0002211;44.82;-0.10;99.42;0.36;99.42;0.06217;0.06181;0.0003592;-12.064;-12.090;-34.447;0.50;-0.20;
2026-01-07 15:55:56.24;0.00:00:01:203;0.01;1.00;0.00;0.06221;0.0003807;0.06186;-0.0002295;44.82;-0.11;99.43;0.37;99.43;0.06221;0.06186;0.0003535;-12.061;-12.086;-34.516;0.50;-0.21;
2026-01-07 15:55:56.29;0.00:00:01:253;0.01;1.00;0.00;0.06222;0.0003972;0.06186;-0.000217;44.82;-0.10;99.43;0.35;99.43;0.06222;0.06186;0.0003561;-12.061;-12.086;-34.485;0.50;-0.20;
2026-01-07 15:55:56.34;0.00:00:01:303;0.01;1.00;0.00;0.06217;0.000388;0.06181;-0.0002205;44.82;-0.10;99.43;0.35;99.43;0.06217;0.06182;0.0003571;-12.064;-12.089;-34.472;0.50;-0.20;
2026-01-07 15:55:56.39;0.00:00:01:354;0.01;1.00;0.00;0.06218;0.0003974;0.06182;-0.0002186;44.82;-0.10;99.43;0.35;99.43;0.06218;0.06182;0.0003557;-12.064;-12.089;-34.489;0.50;-0.20;
