Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:38:45.36;0.00:00:00:051;0.16;0.99;0.00;0.06219;0.009752;0.061;0.000284;40.46;0.13;99.32;0.46;99.32;0.06219;0.06177;0.0004207;-12.063;-12.092;-33.760;0.58;0.27;
2026-01-07 15:38:45.41;0.00:00:00:099;0.16;0.99;0.00;0.06207;0.009737;0.06089;0.0002874;40.46;0.13;99.33;0.46;99.33;0.06207;0.06166;0.0004136;-12.071;-12.100;-33.834;0.58;0.27;
2026-01-07 15:38:45.46;0.00:00:00:147;0.16;0.99;0.00;0.06211;0.009717;0.06093;0.0002737;40.47;0.13;99.34;0.44;99.34;0.06211;0.0617;0.0004121;-12.068;-12.097;-33.850;0.58;0.26;
2026-01-07 15:38:45.50;0.00:00:00:196;0.16;0.99;0.00;0.06228;0.00974;0.06111;0.0002623;40.47;0.12;99.36;0.42;99.36;0.06228;0.06188;0.0004003;-12.056;-12.084;-33.976;0.58;0.25;
2026-01-07 15:38:45.55;0.00:00:00:245;0.16;0.99;0.00;0.06223;0.009734;0.06104;0.0002724;40.47;0.13;99.32;0.44;99.32;0.06223;0.06181;0.0004249;-12.060;-12.090;-33.718;0.58;0.26;
2026-01-07 15:38:45.61;0.00:00:00:298;0.16;0.99;0.00;0.06214;0.009747;0.06094;0.0002899;40.46;0.13;99.32;0.47;99.32;0.06214;0.06171;0.000424;-12.066;-12.096;-33.727;0.58;0.27;
2026-01-07 15:38:45.65;0.00:00:00:346;0.16;0.99;0.00;0.06219;0.009719;0.06101;0.0002665;40.47;0.12;99.33;0.43;99.33;0.06219;0.06178;0.0004137;-12.062;-12.091;-33.833;0.58;0.25;
2026-01-07 15:38:45.70;0.00:00:00:396;0.16;0.99;0.00;0.06239;0.009765;0.06121;0.0002634;40.47;0.12;99.36;0.42;99.35;0.06239;0.06198;0.0004019;-12.049;-12.077;-33.959;0.58;0.25;
2026-01-07 15:38:45.76;0.00:00:00:449;0.16;0.99;0.00;0.06231;0.009768;0.06112;0.000275;40.46;0.13;99.33;0.44;99.33;0.06231;0.06189;0.0004198;-12.054;-12.084;-33.770;0.58;0.26;
2026-01-07 15:38:45.81;0.00:00:00:498;0.16;0.99;0.00;0.06232;0.009746;0.06114;0.0002492;40.47;0.12;99.35;0.40;99.35;0.06232;0.06191;0.0004031;-12.054;-12.082;-33.946;0.58;0.23;
