Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 13:33:33.09;0.00:00:00:065;1.00;0.00;0.00;0.07311;0.07252;4.996E-05;-0.0001691;0.02;-0.07;99.19;0.23;99.19;0.07311;0.07252;0.0005943;-11.360;-11.396;-32.260;1.00;-73.54;
2026-01-07 13:33:33.15;0.00:00:00:126;1.00;0.00;0.00;0.07317;0.07253;0.0001217;-0.0001877;0.05;-0.07;99.12;0.26;99.12;0.07317;0.07253;0.0006464;-11.356;-11.395;-31.895;1.00;-57.05;
2026-01-07 13:33:33.20;0.00:00:00:174;1.00;0.00;0.00;0.07328;0.07267;6.076E-05;-0.0001856;0.02;-0.07;99.17;0.25;99.17;0.07328;0.07267;0.0006109;-11.350;-11.386;-32.141;1.00;-71.87;
2026-01-07 13:33:33.25;0.00:00:00:225;1.00;0.00;0.00;0.07335;0.07275;7.151E-05;-0.0001711;0.03;-0.07;99.19;0.23;99.19;0.07335;0.07275;0.0005923;-11.346;-11.381;-32.274;1.00;-67.32;
2026-01-07 13:33:33.30;0.00:00:00:277;1.00;0.00;0.00;0.07338;0.07278;5.237E-05;-0.0001649;0.02;-0.06;99.19;0.22;99.19;0.07338;0.07278;0.0005941;-11.344;-11.380;-32.261;1.00;-72.38;
2026-01-07 13:33:33.35;0.00:00:00:326;1.00;0.00;0.00;0.07317;0.0726;8.255E-06;-0.0001711;0.00;-0.07;99.23;0.23;99.23;0.07317;0.0726;0.0005668;-11.357;-11.391;-32.465;1.00;-87.24;
2026-01-07 13:33:33.41;0.00:00:00:384;1.00;0.00;0.00;0.07313;0.07253;7.043E-05;-0.0001714;0.03;-0.07;99.18;0.23;99.18;0.07313;0.07253;0.0006016;-11.359;-11.395;-32.207;1.00;-67.66;
2026-01-07 13:33:33.47;0.00:00:00:442;1.00;0.00;0.00;0.07293;0.07228;0.0001352;-0.0001971;0.05;-0.08;99.11;0.27;99.11;0.07293;0.07228;0.0006455;-11.371;-11.410;-31.901;1.00;-55.55;
2026-01-07 13:33:33.52;0.00:00:00:493;1.00;0.00;0.00;0.07311;0.07251;7.605E-05;-0.0001686;0.03;-0.07;99.19;0.23;99.19;0.07311;0.07251;0.0005933;-11.361;-11.396;-32.267;1.00;-65.72;
2026-01-07 13:33:33.57;0.00:00:00:549;1.00;0.00;0.00;0.07324;0.07264;7.67E-05;-0.0001751;0.03;-0.07;99.17;0.24;99.17;0.07324;0.07264;0.0006051;-11.352;-11.388;-32.182;1.00;-66.35;
