Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:46:59.80;0.00:00:00:053;1.00;0.00;0.01;0.0627;0.0622;-3.082E-05;0.0003132;-0.01;0.14;99.21;0.50;99.20;0.0627;0.0622;0.0004977;-12.027;-12.062;-33.030;1.00;95.62;
2026-01-07 15:46:59.85;0.00:00:00:103;1.00;0.00;0.01;0.06283;0.06234;-5.007E-05;0.0003156;-0.02;0.15;99.21;0.50;99.21;0.06283;0.06234;0.0004959;-12.018;-12.053;-33.046;1.00;99.02;
2026-01-07 15:46:59.90;0.00:00:00:155;1.00;0.00;0.01;0.06293;0.06243;-3.867E-05;0.0003188;-0.02;0.15;99.21;0.51;99.21;0.06293;0.06243;0.0004977;-12.011;-12.046;-33.030;1.00;96.92;
2026-01-07 15:46:59.95;0.00:00:00:209;1.00;0.00;0.01;0.06299;0.06251;-3.307E-05;0.0003244;-0.02;0.15;99.23;0.51;99.23;0.06299;0.06251;0.0004823;-12.007;-12.041;-33.167;1.00;95.82;
2026-01-07 15:47:00.00;0.00:00:00:255;1.00;0.00;0.01;0.06297;0.06249;-5.168E-05;0.0003178;-0.02;0.15;99.24;0.50;99.24;0.06297;0.06249;0.0004761;-12.009;-12.042;-33.223;1.00;99.24;
2026-01-07 15:47:00.05;0.00:00:00:305;1.00;0.00;0.01;0.06293;0.06244;-4.05E-05;0.0003206;-0.02;0.15;99.23;0.51;99.23;0.06293;0.06245;0.0004826;-12.012;-12.045;-33.164;1.00;97.20;
2026-01-07 15:47:00.10;0.00:00:00:357;1.00;0.00;0.01;0.06296;0.06247;-2.051E-05;0.0003213;-0.01;0.15;99.21;0.51;99.21;0.06296;0.06247;0.0004951;-12.009;-12.043;-33.053;1.00;93.65;
2026-01-07 15:47:00.15;0.00:00:00:408;1.00;0.00;0.01;0.06278;0.06233;-0.0001038;0.0003191;-0.05;0.15;99.27;0.51;99.27;0.06278;0.06233;0.0004556;-12.021;-12.053;-33.414;1.00;108.02;
2026-01-07 15:47:00.20;0.00:00:00:458;1.00;0.00;0.01;0.06284;0.06234;-1.98E-05;0.0003152;-0.01;0.14;99.20;0.50;99.20;0.06284;0.06234;0.0005003;-12.017;-12.052;-33.008;1.00;93.59;
2026-01-07 15:47:00.25;0.00:00:00:509;1.00;0.00;0.01;0.06278;0.06237;-0.0001525;0.0003771;-0.07;0.17;99.34;0.60;99.34;0.06278;0.06237;0.0004159;-12.022;-12.050;-33.810;1.00;112.01;
2026-01-07 15:47:00.30;0.00:00:00:556;1.00;0.00;0.00;0.06255;0.062;4.628E-05;0.000279;0.02;0.13;99.11;0.45;99.11;0.06255;0.062;0.000554;-12.037;-12.076;-32.565;1.00;80.58;
2026-01-07 15:47:00.35;0.00:00:00:608;1.00;0.00;0.00;0.06269;0.06217;-2.572E-05;0.0002936;-0.01;0.14;99.17;0.47;99.17;0.06269;0.06217;0.0005209;-12.028;-12.064;-32.832;1.00;95.01;
2026-01-07 15:47:00.40;0.00:00:00:659;1.00;0.00;0.00;0.06276;0.06227;-3.251E-05;0.0003101;-0.01;0.14;99.22;0.49;99.22;0.06276;0.06227;0.0004891;-12.023;-12.057;-33.106;1.00;95.99;
2026-01-07 15:47:00.45;0.00:00:00:711;1.00;0.00;0.01;0.06262;0.06212;-4.128E-05;0.0003195;-0.02;0.15;99.20;0.51;99.20;0.06262;0.06212;0.0005007;-12.033;-12.068;-33.004;1.00;97.36;
2026-01-07 15:47:00.51;0.00:00:00:763;1.00;0.00;0.00;0.06251;0.06198;6.146E-06;0.0003086;0.00;0.14;99.16;0.49;99.16;0.06251;0.06199;0.0005221;-12.041;-12.077;-32.823;1.00;88.86;
2026-01-07 15:47:00.55;0.00:00:00:812;1.00;0.00;0.00;0.06257;0.06205;-3.177E-05;0.0002941;-0.01;0.14;99.17;0.47;99.17;0.06257;0.06205;0.000518;-12.036;-12.072;-32.856;1.00;96.16;
2026-01-07 15:47:00.60;0.00:00:00:861;1.00;0.00;0.01;0.06294;0.06247;-7.812E-05;0.000325;-0.04;0.15;99.26;0.52;99.25;0.06294;0.06247;0.0004689;-12.011;-12.043;-33.290;1.00;103.52;
2026-01-07 15:47:00.65;0.00:00:00:912;1.00;0.00;0.01;0.06274;0.06227;-6.971E-05;0.0003219;-0.03;0.15;99.26;0.51;99.26;0.06274;0.06227;0.0004638;-12.025;-12.057;-33.337;1.00;102.22;
2026-01-07 15:47:00.70;0.00:00:00:961;1.00;0.00;0.00;0.06274;0.06223;-1.197E-05;0.000311;-0.01;0.14;99.18;0.50;99.18;0.06274;0.06223;0.0005142;-12.024;-12.060;-32.888;1.00;92.21;
2026-01-07 15:47:00.76;0.00:00:01:014;1.00;0.00;0.01;0.06295;0.06247;-6.573E-05;0.0003325;-0.03;0.15;99.25;0.53;99.25;0.06295;0.06248;0.0004711;-12.010;-12.043;-33.269;1.00;101.18;
2026-01-07 15:47:00.81;0.00:00:01:064;1.00;0.00;0.00;0.0627;0.06222;-6.656E-05;0.0003101;-0.03;0.14;99.23;0.49;99.23;0.0627;0.06222;0.0004806;-12.027;-12.061;-33.182;1.00;102.11;
2026-01-07 15:47:00.86;0.00:00:01:113;1.00;0.00;0.01;0.06273;0.06224;-1.177E-05;0.0003196;-0.01;0.15;99.22;0.51;99.22;0.06273;0.06224;0.0004877;-12.025;-12.059;-33.119;1.00;92.11;
2026-01-07 15:47:00.91;0.00:00:01:164;1.00;0.00;0.01;0.06298;0.06248;-2.191E-06;0.0003176;0.00;0.15;99.20;0.50;99.20;0.06298;0.06248;0.0005039;-12.008;-12.043;-32.977;1.00;90.40;
2026-01-07 15:47:00.96;0.00:00:01:213;1.00;0.00;0.01;0.06289;0.06244;-0.000114;0.0003344;-0.05;0.15;99.28;0.53;99.28;0.06289;0.06244;0.0004502;-12.014;-12.045;-33.466;1.00;108.82;
2026-01-07 15:47:01.01;0.00:00:01:263;1.00;0.00;0.01;0.06277;0.06226;-2.886E-05;0.0003184;-0.01;0.15;99.19;0.51;99.19;0.06277;0.06226;0.0005071;-12.022;-12.058;-32.949;1.00;95.18;
2026-01-07 15:47:01.05;0.00:00:01:312;1.00;0.00;0.01;0.06287;0.06239;-5.623E-05;0.0003201;-0.03;0.15;99.24;0.51;99.24;0.06287;0.06239;0.000476;-12.016;-12.049;-33.224;1.00;99.96;
2026-01-07 15:47:01.11;0.00:00:01:365;1.00;0.00;0.01;0.06282;0.06234;-5.304E-05;0.0003127;-0.02;0.14;99.23;0.50;99.23;0.06282;0.06234;0.0004832;-12.019;-12.053;-33.159;1.00;99.63;
2026-01-07 15:47:01.16;0.00:00:01:416;1.00;0.00;0.01;0.06281;0.0623;-3.607E-05;0.0003143;-0.02;0.14;99.20;0.50;99.20;0.06281;0.0623;0.0005041;-12.020;-12.055;-32.975;1.00;96.55;
2026-01-07 15:47:01.21;0.00:00:01:464;1.00;0.00;0.01;0.06285;0.06237;-3.304E-05;0.0003208;-0.02;0.15;99.23;0.51;99.22;0.06285;0.06237;0.0004871;-12.017;-12.050;-33.124;1.00;95.88;
2026-01-07 15:47:01.26;0.00:00:01:515;1.00;0.00;0.01;0.06303;0.06255;-6.718E-05;0.0003309;-0.03;0.15;99.23;0.53;99.23;0.06303;0.06255;0.0004827;-12.005;-12.038;-33.163;1.00;101.48;
