Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:53:36.33;0.00:00:00:044;1.00;0.00;0.00;0.0631;0.0626;5.662E-05;6.04E-05;0.03;0.03;99.20;0.10;99.20;0.0631;0.0626;0.0005038;-12.000;-12.034;-32.977;1.00;46.85;
2026-01-07 15:53:36.38;0.00:00:00:095;1.00;0.00;0.00;0.06318;0.06269;1.045E-05;7.357E-05;0.00;0.03;99.24;0.12;99.24;0.06318;0.06269;0.0004827;-11.994;-12.028;-33.163;1.00;81.92;
2026-01-07 15:53:36.43;0.00:00:00:147;1.00;0.00;0.00;0.06318;0.06267;4.001E-05;6.286E-05;0.02;0.03;99.18;0.10;99.18;0.06318;0.06267;0.0005159;-11.994;-12.030;-32.874;1.00;57.52;
2026-01-07 15:53:36.47;0.00:00:00:192;1.00;0.00;0.00;0.06325;0.06276;1.631E-05;6.541E-05;0.01;0.03;99.22;0.10;99.22;0.06325;0.06276;0.0004903;-11.989;-12.023;-33.095;1.00;76.00;
2026-01-07 15:53:36.52;0.00:00:00:240;1.00;0.00;0.00;0.06327;0.06279;2.208E-05;6.745E-05;0.01;0.03;99.23;0.11;99.23;0.06327;0.06279;0.0004864;-11.988;-12.021;-33.130;1.00;71.87;
2026-01-07 15:53:36.57;0.00:00:00:289;1.00;0.00;0.00;0.06322;0.06275;7.598E-06;6.59E-05;0.00;0.03;99.24;0.10;99.24;0.06322;0.06275;0.0004793;-11.991;-12.024;-33.194;1.00;83.42;
2026-01-07 15:53:36.62;0.00:00:00:339;1.00;0.00;0.00;0.06325;0.06274;4.918E-05;6.261E-05;0.02;0.03;99.20;0.10;99.20;0.06325;0.06274;0.0005067;-11.990;-12.025;-32.953;1.00;51.85;
2026-01-07 15:53:36.67;0.00:00:00:389;1.00;0.00;0.00;0.0633;0.06281;2.728E-05;6.347E-05;0.01;0.03;99.22;0.10;99.22;0.0633;0.06281;0.0004929;-11.986;-12.020;-33.072;1.00;66.74;
2026-01-07 15:53:36.72;0.00:00:00:439;1.00;0.00;0.00;0.06313;0.06265;6.392E-06;7.093E-05;0.00;0.03;99.25;0.11;99.25;0.06313;0.06265;0.0004737;-11.998;-12.031;-33.245;1.00;84.85;
2026-01-07 15:53:36.77;0.00:00:00:491;1.00;0.00;0.00;0.06307;0.06258;9.951E-06;6.784E-05;0.00;0.03;99.23;0.11;99.23;0.06307;0.06258;0.0004842;-12.002;-12.036;-33.149;1.00;81.66;
2026-01-07 15:53:36.82;0.00:00:00:540;1.00;0.00;0.00;0.06316;0.06267;2.527E-05;7.118E-05;0.01;0.03;99.23;0.11;99.23;0.06316;0.06267;0.0004834;-11.996;-12.029;-33.157;1.00;70.46;
