Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:35:56.68;0.00:00:00:043;0.99;-0.15;0.01;0.06268;0.06148;-0.009346;0.0003745;-4.32;0.17;99.22;0.60;99.22;0.06268;0.06219;0.000488;-12.029;-12.063;-33.116;0.99;177.71;
2026-01-07 15:35:56.73;0.00:00:00:095;0.99;-0.15;0.01;0.06292;0.06171;-0.009395;0.0003618;-4.33;0.17;99.22;0.57;99.22;0.06292;0.06242;0.0004917;-12.012;-12.046;-33.083;0.99;177.79;
2026-01-07 15:35:56.78;0.00:00:00:148;0.99;-0.15;0.01;0.06294;0.06174;-0.009382;0.0003677;-4.32;0.17;99.22;0.58;99.22;0.06294;0.06245;0.0004901;-12.011;-12.045;-33.097;0.99;177.76;
2026-01-07 15:35:56.83;0.00:00:00:199;0.99;-0.15;0.01;0.06301;0.06179;-0.009363;0.0003709;-4.31;0.17;99.19;0.59;99.19;0.06301;0.0625;0.0005099;-12.006;-12.041;-32.925;0.99;177.73;
2026-01-07 15:35:56.88;0.00:00:00:248;0.99;-0.15;0.01;0.06289;0.0617;-0.009418;0.0003636;-4.34;0.17;99.25;0.58;99.24;0.06289;0.06242;0.0004742;-12.014;-12.047;-33.241;0.99;177.79;
2026-01-07 15:35:56.93;0.00:00:00:301;0.99;-0.15;0.01;0.06292;0.06171;-0.00938;0.0003688;-4.32;0.17;99.21;0.59;99.21;0.06292;0.06242;0.0004961;-12.012;-12.047;-33.045;0.99;177.75;
2026-01-07 15:35:56.98;0.00:00:00:350;0.99;-0.15;0.01;0.06291;0.06171;-0.009388;0.0003642;-4.33;0.17;99.22;0.58;99.21;0.06291;0.06242;0.000493;-12.013;-12.047;-33.072;0.99;177.78;
2026-01-07 15:35:57.03;0.00:00:00:399;0.99;-0.15;0.01;0.06293;0.06173;-0.009391;0.0003659;-4.32;0.17;99.22;0.58;99.22;0.06293;0.06244;0.0004911;-12.011;-12.045;-33.088;0.99;177.77;
2026-01-07 15:35:57.08;0.00:00:00:443;0.99;-0.15;0.01;0.0629;0.06171;-0.009411;0.0003691;-4.34;0.17;99.24;0.59;99.24;0.0629;0.06242;0.0004766;-12.014;-12.047;-33.218;0.99;177.75;
2026-01-07 15:35:57.13;0.00:00:00:495;0.99;-0.15;0.01;0.06289;0.06169;-0.009389;0.0003699;-4.33;0.17;99.23;0.59;99.23;0.06289;0.0624;0.0004859;-12.014;-12.048;-33.135;0.99;177.74;
2026-01-07 15:35:57.18;0.00:00:00:546;0.99;-0.15;0.01;0.06292;0.0617;-0.009374;0.0003626;-4.32;0.17;99.20;0.58;99.20;0.06292;0.06241;0.0005032;-12.012;-12.047;-32.983;0.99;177.78;
2026-01-07 15:35:57.23;0.00:00:00:600;0.99;-0.15;0.01;0.06296;0.06175;-0.00939;0.0003666;-4.32;0.17;99.22;0.58;99.21;0.06296;0.06246;0.0004939;-12.010;-12.044;-33.064;0.99;177.76;
2026-01-07 15:35:57.28;0.00:00:00:648;0.99;-0.15;0.01;0.06296;0.06175;-0.009393;0.0003656;-4.32;0.17;99.21;0.58;99.21;0.06296;0.06246;0.0004962;-12.010;-12.044;-33.044;0.99;177.77;
2026-01-07 15:35:57.33;0.00:00:00:700;0.99;-0.15;0.01;0.06297;0.06177;-0.009406;0.0003728;-4.33;0.17;99.23;0.59;99.23;0.06297;0.06249;0.0004836;-12.009;-12.042;-33.155;0.99;177.73;
2026-01-07 15:35:57.38;0.00:00:00:749;0.99;-0.15;0.01;0.06291;0.06171;-0.009402;0.0003624;-4.33;0.17;99.23;0.58;99.23;0.06291;0.06243;0.0004853;-12.013;-12.046;-33.140;0.99;177.79;
