Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 13:40:11.17;0.00:00:00:063;-0.01;0.02;-1.00;0.07268;-0.000517;0.001304;-0.07269;55.81;-44.45;100.02;100.00;1.93;0.07268;0.0727;-1.65E-05;-11.386;-11.385;-99.990;0.50;-88.97;
2026-01-07 13:40:11.22;0.00:00:00:115;-0.01;0.02;-1.00;0.07267;-0.000506;0.001273;-0.07267;55.84;-44.46;100.02;100.00;1.89;0.07267;0.07268;-1.548E-05;-11.387;-11.386;-99.990;0.50;-89.00;
2026-01-07 13:40:11.27;0.00:00:00:164;-0.01;0.02;-1.00;0.07264;-0.000502;0.001242;-0.07265;56.00;-44.47;100.03;100.01;1.84;0.07264;0.07266;-1.823E-05;-11.388;-11.387;-99.990;0.50;-89.02;
2026-01-07 13:40:11.32;0.00:00:00:215;-0.01;0.02;-1.00;0.07261;-0.0005093;0.001286;-0.07262;55.80;-44.45;100.02;100.00;1.90;0.07261;0.07263;-1.525E-05;-11.390;-11.389;-99.990;0.50;-88.99;
2026-01-07 13:40:11.37;0.00:00:00:266;-0.01;0.02;-1.00;0.07261;-0.0005063;0.001285;-0.07261;55.76;-44.46;100.02;100.00;1.90;0.07261;0.07263;-1.576E-05;-11.390;-11.389;-99.990;0.50;-88.99;
2026-01-07 13:40:11.42;0.00:00:00:318;-0.01;0.02;-1.00;0.07262;-0.0004907;0.001255;-0.07263;55.68;-44.47;100.03;100.01;1.86;0.07262;0.07264;-2.142E-05;-11.389;-11.388;-99.990;0.50;-89.01;
2026-01-07 13:40:11.47;0.00:00:00:367;-0.01;0.02;-1.00;0.07256;-0.00051;0.001336;-0.07256;55.45;-44.44;100.02;100.00;1.97;0.07256;0.07258;-1.488E-05;-11.393;-11.392;-99.990;0.50;-88.95;
2026-01-07 13:40:11.52;0.00:00:00:418;-0.01;0.02;-1.00;0.07266;-0.0005243;0.001329;-0.07265;55.76;-44.44;100.02;100.00;1.97;0.07266;0.07267;-1.257E-05;-11.387;-11.387;-99.990;0.50;-88.95;
2026-01-07 13:40:11.57;0.00:00:00:471;-0.01;0.02;-1.00;0.07279;-0.0005143;0.001318;-0.07279;55.66;-44.44;100.02;100.00;1.94;0.07279;0.07281;-1.405E-05;-11.379;-11.378;-99.990;0.50;-88.96;
2026-01-07 13:40:11.62;0.00:00:00:519;-0.01;0.02;-1.00;0.07287;-0.0005055;0.001301;-0.07287;55.62;-44.45;100.02;100.00;1.92;0.07287;0.07288;-1.552E-05;-11.375;-11.374;-99.990;0.50;-88.98;
2026-01-07 13:40:11.67;0.00:00:00:565;-0.01;0.02;-1.00;0.07282;-0.0004949;0.001274;-0.07283;55.62;-44.46;100.03;100.01;1.88;0.07282;0.07284;-1.974E-05;-11.377;-11.376;-99.990;0.50;-89.00;
2026-01-07 13:40:11.73;0.00:00:00:625;-0.01;0.02;-1.00;0.07271;-0.0004977;0.001238;-0.07272;55.95;-44.47;100.03;100.01;1.84;0.07271;0.07273;-1.84E-05;-11.384;-11.383;-99.990;0.50;-89.02;
2026-01-07 13:40:11.78;0.00:00:00:672;-0.01;0.02;-1.00;0.07276;-0.0005199;0.001329;-0.07276;55.68;-44.44;100.02;100.00;1.96;0.07276;0.07278;-1.557E-05;-11.381;-11.380;-99.990;0.50;-88.95;
2026-01-07 13:40:11.82;0.00:00:00:719;-0.01;0.02;-1.00;0.07295;-0.0005097;0.001323;-0.07295;55.53;-44.44;100.03;100.01;1.94;0.07295;0.07297;-1.955E-05;-11.370;-11.369;-99.990;0.50;-88.96;
2026-01-07 13:40:11.87;0.00:00:00:768;-0.01;0.02;-1.00;0.07286;-0.0004863;0.001241;-0.07286;55.70;-44.48;100.03;100.01;1.83;0.07286;0.07288;-1.894E-05;-11.375;-11.374;-99.990;0.50;-89.02;
2026-01-07 13:40:11.93;0.00:00:00:827;-0.01;0.02;-1.00;0.07257;-0.0005193;0.001286;-0.07257;56.00;-44.45;100.02;100.00;1.91;0.07257;0.07259;-1.422E-05;-11.392;-11.391;-99.990;0.50;-88.99;
2026-01-07 13:40:11.98;0.00:00:00:875;-0.01;0.02;-1.00;0.07276;-0.000497;0.001266;-0.07277;55.72;-44.46;100.03;100.01;1.87;0.07276;0.07278;-2.001E-05;-11.381;-11.380;-99.990;0.50;-89.00;
2026-01-07 13:40:12.02;0.00:00:00:920;-0.01;0.02;-1.00;0.07283;-0.0005317;0.001347;-0.07283;55.77;-44.43;100.02;100.00;1.99;0.07283;0.07284;-1.391E-05;-11.377;-11.376;-99.990;0.50;-88.94;
2026-01-07 13:40:12.07;0.00:00:00:970;-0.01;0.02;-1.00;0.07285;-0.0004963;0.001255;-0.07286;55.79;-44.47;100.02;100.01;1.85;0.07285;0.07287;-1.799E-05;-11.376;-11.375;-99.990;0.50;-89.01;
2026-01-07 13:40:12.13;0.00:00:01:029;-0.01;0.02;-1.00;0.07294;-0.0004863;0.001271;-0.07294;55.47;-44.47;100.02;100.01;1.87;0.07294;0.07295;-1.794E-05;-11.371;-11.369;-99.990;0.50;-89.00;
2026-01-07 13:40:12.18;0.00:00:01:077;-0.01;0.02;-1.00;0.07275;-0.0005069;0.001291;-0.07276;55.72;-44.45;100.02;100.01;1.91;0.07275;0.07277;-1.732E-05;-11.382;-11.380;-99.990;0.50;-88.98;
2026-01-07 13:40:12.23;0.00:00:01:125;-0.01;0.02;-1.00;0.07278;-0.0005283;0.001322;-0.07278;55.89;-44.44;100.02;100.00;1.96;0.07278;0.0728;-1.725E-05;-11.380;-11.379;-99.990;0.50;-88.96;
2026-01-07 13:40:12.28;0.00:00:01:173;-0.01;0.02;-1.00;0.07296;-0.0004788;0.001291;-0.07296;55.17;-44.46;100.03;100.01;1.89;0.07296;0.07298;-1.912E-05;-11.369;-11.368;-99.990;0.50;-88.99;
2026-01-07 13:40:12.34;0.00:00:01:233;-0.01;0.02;-1.00;0.07252;-0.0005247;0.0013;-0.07252;55.99;-44.45;100.02;100.00;1.93;0.07252;0.07253;-1.197E-05;-11.395;-11.395;-99.990;0.50;-88.97;
