Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:50:50.87;0.00:00:00:053;0.01;0.02;-1.00;0.06243;0.0004378;0.001311;-0.06233;35.77;-44.36;99.87;99.84;2.21;0.06243;0.06234;8.199E-05;-12.046;-12.052;-40.862;0.50;-88.80;
2026-01-07 15:50:50.92;0.00:00:00:102;0.01;0.02;-1.00;0.06237;0.000422;0.001344;-0.06228;36.29;-44.35;99.88;99.85;2.26;0.06237;0.0623;7.693E-05;-12.050;-12.055;-41.139;0.50;-88.76;
2026-01-07 15:50:50.97;0.00:00:00:151;0.01;0.02;-1.00;0.06253;0.000418;0.001376;-0.06243;36.55;-44.34;99.87;99.84;2.30;0.06253;0.06245;8.389E-05;-12.039;-12.045;-40.763;0.50;-88.74;
2026-01-07 15:50:51.02;0.00:00:00:198;0.01;0.02;-1.00;0.06257;0.0004295;0.001361;-0.06247;36.24;-44.35;99.87;99.85;2.28;0.06257;0.06249;7.992E-05;-12.037;-12.042;-40.973;0.50;-88.75;
2026-01-07 15:50:51.07;0.00:00:00:250;0.01;0.02;-1.00;0.06251;0.0004269;0.001322;-0.06241;36.05;-44.36;99.87;99.85;2.22;0.06251;0.06242;8.132E-05;-12.041;-12.046;-40.898;0.50;-88.79;
2026-01-07 15:50:51.12;0.00:00:00:300;0.01;0.02;-1.00;0.06242;0.0004291;0.001322;-0.06232;36.01;-44.36;99.87;99.84;2.23;0.06242;0.06233;8.223E-05;-12.047;-12.053;-40.850;0.50;-88.79;
2026-01-07 15:50:51.17;0.00:00:00:346;0.01;0.02;-1.00;0.06239;0.000419;0.00135;-0.06229;36.38;-44.35;99.87;99.84;2.27;0.06239;0.06231;8.273E-05;-12.049;-12.054;-40.823;0.50;-88.76;
2026-01-07 15:50:51.22;0.00:00:00:395;0.01;0.02;-1.00;0.06241;0.0004305;0.001335;-0.06231;36.07;-44.36;99.87;99.84;2.25;0.06241;0.06233;8.105E-05;-12.047;-12.053;-40.913;0.50;-88.77;
2026-01-07 15:50:51.26;0.00:00:00:442;0.01;0.02;-1.00;0.06245;0.0004084;0.001379;-0.06235;36.75;-44.34;99.86;99.84;2.30;0.06245;0.06237;8.484E-05;-12.044;-12.050;-40.714;0.50;-88.73;
2026-01-07 15:50:51.31;0.00:00:00:491;0.01;0.02;-1.00;0.0626;0.0004151;0.001379;-0.06251;36.62;-44.34;99.87;99.84;2.30;0.0626;0.06252;8.29E-05;-12.034;-12.040;-40.814;0.50;-88.74;
2026-01-07 15:50:51.36;0.00:00:00:540;0.01;0.02;-1.00;0.0627;0.0004198;0.001377;-0.06259;36.52;-44.34;99.87;99.84;2.30;0.0627;0.06261;8.451E-05;-12.028;-12.033;-40.731;0.50;-88.74;
2026-01-07 15:50:51.41;0.00:00:00:588;0.01;0.02;-1.00;0.06255;0.0004555;0.001279;-0.06246;35.20;-44.38;99.88;99.86;2.17;0.06255;0.06247;7.499E-05;-12.038;-12.043;-41.250;0.50;-88.83;
2026-01-07 15:50:51.46;0.00:00:00:634;0.01;0.02;-1.00;0.06244;0.0004197;0.001335;-0.06234;36.27;-44.36;99.87;99.84;2.24;0.06244;0.06236;8.154E-05;-12.045;-12.051;-40.887;0.50;-88.77;
2026-01-07 15:50:51.51;0.00:00:00:686;0.01;0.02;-1.00;0.06279;0.0004324;0.001391;-0.06269;36.36;-44.33;99.87;99.84;2.32;0.06279;0.06271;8.267E-05;-12.021;-12.027;-40.826;0.50;-88.73;
2026-01-07 15:50:51.56;0.00:00:00:738;0.01;0.02;-1.00;0.06278;0.0003927;0.001406;-0.06267;37.20;-44.33;99.86;99.83;2.33;0.06278;0.06269;8.906E-05;-12.022;-12.028;-40.503;0.50;-88.71;
2026-01-07 15:50:51.61;0.00:00:00:787;0.01;0.02;-1.00;0.06267;0.0004425;0.001319;-0.06257;35.73;-44.36;99.88;99.85;2.22;0.06267;0.06259;7.774E-05;-12.030;-12.035;-41.093;0.50;-88.79;
2026-01-07 15:50:51.66;0.00:00:00:835;0.01;0.02;-1.00;0.06262;0.0004086;0.001368;-0.06252;36.69;-44.35;99.86;99.84;2.28;0.06262;0.06253;8.494E-05;-12.033;-12.039;-40.709;0.50;-88.75;
2026-01-07 15:50:51.71;0.00:00:00:889;0.01;0.02;-1.00;0.06237;0.0004726;0.001222;-0.06228;34.43;-44.40;99.88;99.86;2.10;0.06237;0.0623;7.247E-05;-12.050;-12.055;-41.398;0.50;-88.88;
2026-01-07 15:50:51.76;0.00:00:00:937;0.01;0.02;-1.00;0.06202;0.0004451;0.001256;-0.06193;35.24;-44.38;99.87;99.85;2.15;0.06202;0.06195;7.81E-05;-12.074;-12.080;-41.073;0.50;-88.84;
2026-01-07 15:50:51.81;0.00:00:00:988;0.01;0.02;-1.00;0.06212;0.0004137;0.001381;-0.06202;36.66;-44.33;99.86;99.83;2.32;0.06212;0.06203;8.595E-05;-12.068;-12.074;-40.658;0.50;-88.72;
2026-01-07 15:50:51.86;0.00:00:01:037;0.01;0.02;-1.00;0.06223;0.0004092;0.001372;-0.06212;36.70;-44.34;99.86;99.84;2.30;0.06223;0.06214;8.41E-05;-12.060;-12.066;-40.752;0.50;-88.73;
2026-01-07 15:50:51.91;0.00:00:01:087;0.01;0.02;-1.00;0.06224;0.0004338;0.001328;-0.06214;35.96;-44.36;99.87;99.84;2.25;0.06224;0.06215;8.274E-05;-12.060;-12.065;-40.823;0.50;-88.78;
2026-01-07 15:50:51.96;0.00:00:01:134;0.01;0.02;-1.00;0.06226;0.0004033;0.001398;-0.06215;36.96;-44.33;99.86;99.84;2.34;0.06226;0.06217;8.528E-05;-12.058;-12.064;-40.692;0.50;-88.71;
2026-01-07 15:50:52.00;0.00:00:01:183;0.01;0.02;-1.00;0.0624;0.0004083;0.00139;-0.0623;36.82;-44.33;99.86;99.83;2.32;0.0624;0.06231;8.69E-05;-12.048;-12.054;-40.610;0.50;-88.72;
2026-01-07 15:50:52.05;0.00:00:01:231;0.01;0.02;-1.00;0.0624;0.000421;0.001352;-0.0623;36.35;-44.35;99.86;99.84;2.27;0.0624;0.06231;8.654E-05;-12.048;-12.054;-40.628;0.50;-88.76;
2026-01-07 15:50:52.11;0.00:00:01:286;0.01;0.02;-1.00;0.06248;0.000411;0.001389;-0.06237;36.76;-44.33;99.87;99.84;2.32;0.06248;0.06239;8.428E-05;-12.043;-12.049;-40.743;0.50;-88.72;
2026-01-07 15:50:52.16;0.00:00:01:336;0.01;0.02;-1.00;0.06266;0.0004269;0.001359;-0.06256;36.28;-44.35;99.87;99.85;2.27;0.06266;0.06257;8.04E-05;-12.030;-12.036;-40.947;0.50;-88.76;
2026-01-07 15:50:52.21;0.00:00:01:388;0.01;0.02;-1.00;0.0627;0.0004025;0.001386;-0.0626;36.90;-44.34;99.86;99.83;2.30;0.0627;0.06261;8.737E-05;-12.027;-12.033;-40.587;0.50;-88.73;
