Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:59:28.00;0.00:00:00:050;0.00;0.02;-1.00;0.06231;0.0001267;0.0009422;-0.06222;41.17;-44.56;99.87;99.86;1.53;0.06231;0.06223;7.82E-05;-12.055;-12.060;-41.068;0.50;-89.13;
2026-01-07 15:59:28.05;0.00:00:00:098;0.00;0.02;-1.00;0.06227;0.0001214;0.0009865;-0.06218;41.49;-44.54;99.87;99.86;1.60;0.06227;0.06219;7.795E-05;-12.057;-12.063;-41.082;0.50;-89.09;
2026-01-07 15:59:28.11;0.00:00:00:152;0.00;0.02;-1.00;0.06231;0.0001034;0.000999;-0.06222;42.04;-44.54;99.88;99.86;1.61;0.06231;0.06223;7.774E-05;-12.054;-12.060;-41.094;0.50;-89.08;
2026-01-07 15:59:28.15;0.00:00:00:197;0.00;0.02;-1.00;0.06229;0.0001351;0.0009526;-0.06221;40.97;-44.56;99.88;99.87;1.54;0.06229;0.06222;7.589E-05;-12.056;-12.061;-41.198;0.50;-89.12;
2026-01-07 15:59:28.20;0.00:00:00:251;0.00;0.02;-1.00;0.06214;9.196E-05;0.0009864;-0.06205;42.34;-44.54;99.86;99.85;1.59;0.06214;0.06206;8.45E-05;-12.066;-12.072;-40.731;0.50;-89.09;
2026-01-07 15:59:28.26;0.00:00:00:301;0.00;0.02;-1.00;0.06225;8.922E-05;0.001039;-0.06216;42.55;-44.52;99.87;99.85;1.68;0.06225;0.06217;8.289E-05;-12.059;-12.064;-40.815;0.50;-89.04;
2026-01-07 15:59:28.30;0.00:00:00:348;0.00;0.01;-1.00;0.06233;0.0001518;0.0009244;-0.06225;40.34;-44.57;99.88;99.87;1.50;0.06233;0.06226;7.536E-05;-12.053;-12.058;-41.228;0.50;-89.15;
2026-01-07 15:59:28.35;0.00:00:00:396;0.00;0.02;-1.00;0.06219;7.26E-05;0.001019;-0.06209;42.96;-44.53;99.86;99.85;1.64;0.06219;0.0621;8.61E-05;-12.063;-12.069;-40.650;0.50;-89.06;
2026-01-07 15:59:28.40;0.00:00:00:448;0.00;0.02;-1.00;0.0624;0.0001007;0.001031;-0.06231;42.21;-44.52;99.87;99.85;1.66;0.0624;0.06232;8.397E-05;-12.048;-12.054;-40.759;0.50;-89.05;
2026-01-07 15:59:28.45;0.00:00:00:493;0.00;0.02;-1.00;0.0622;0.0001334;0.0009547;-0.06212;41.02;-44.56;99.88;99.86;1.55;0.0622;0.06213;7.683E-05;-12.062;-12.067;-41.145;0.50;-89.12;
