Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:33:12.78;0.00:00:00:049;0.01;0.02;-1.00;0.06256;0.0006903;0.001446;-0.06245;32.24;-44.27;99.86;99.83;2.56;0.06256;0.06247;8.494E-05;-12.037;-12.043;-40.709;0.51;-88.67;
2026-01-07 15:33:12.84;0.00:00:00:107;0.01;0.02;-1.00;0.06282;0.0006838;0.001507;-0.0627;32.79;-44.24;99.86;99.82;2.63;0.06282;0.06273;8.936E-05;-12.019;-12.025;-40.488;0.51;-88.62;
2026-01-07 15:33:12.88;0.00:00:00:153;0.01;0.02;-1.00;0.06269;0.0007338;0.001316;-0.06259;30.43;-44.31;99.88;99.85;2.40;0.06269;0.06261;7.678E-05;-12.028;-12.033;-41.147;0.51;-88.80;
2026-01-07 15:33:12.93;0.00:00:00:200;0.01;0.02;-1.00;0.0626;0.0006941;0.001397;-0.06249;31.79;-44.28;99.86;99.83;2.49;0.0626;0.06251;8.906E-05;-12.034;-12.041;-40.503;0.51;-88.72;
2026-01-07 15:33:12.98;0.00:00:00:246;0.01;0.02;-1.00;0.0628;0.0007518;0.001314;-0.0627;30.11;-44.31;99.87;99.84;2.41;0.0628;0.06272;7.924E-05;-12.021;-12.026;-41.011;0.51;-88.80;
2026-01-07 15:33:13.02;0.00:00:00:292;0.01;0.02;-1.00;0.06246;0.0007343;0.001311;-0.06236;30.37;-44.31;99.87;99.84;2.41;0.06246;0.06238;8.117E-05;-12.044;-12.050;-40.906;0.51;-88.80;
2026-01-07 15:33:13.07;0.00:00:00:341;0.01;0.02;-1.00;0.06234;0.0006724;0.001422;-0.06223;32.35;-44.28;99.85;99.82;2.52;0.06234;0.06225;9.093E-05;-12.052;-12.058;-40.413;0.51;-88.69;
2026-01-07 15:33:13.13;0.00:00:00:401;0.01;0.02;-1.00;0.06266;0.0006548;0.00154;-0.06254;33.48;-44.23;99.85;99.82;2.67;0.06266;0.06257;9.281E-05;-12.030;-12.037;-40.324;0.51;-88.59;
2026-01-07 15:33:13.18;0.00:00:00:448;0.01;0.02;-1.00;0.06275;0.0007254;0.00135;-0.06265;30.87;-44.30;99.87;99.84;2.44;0.06275;0.06266;8.244E-05;-12.024;-12.030;-40.839;0.51;-88.77;
2026-01-07 15:33:13.23;0.00:00:00:495;0.01;0.02;-1.00;0.06269;0.000711;0.001403;-0.06259;31.56;-44.28;99.87;99.84;2.51;0.06269;0.06261;7.987E-05;-12.028;-12.034;-40.976;0.51;-88.72;
2026-01-07 15:33:13.28;0.00:00:00:543;0.01;0.02;-1.00;0.06231;0.0006658;0.00145;-0.0622;32.67;-44.27;99.85;99.82;2.56;0.06231;0.06222;9.061E-05;-12.054;-12.061;-40.428;0.51;-88.66;
2026-01-07 15:33:13.34;0.00:00:00:604;0.01;0.02;-1.00;0.06242;0.0007143;0.001397;-0.06231;31.46;-44.28;99.87;99.83;2.51;0.06242;0.06233;8.335E-05;-12.047;-12.053;-40.791;0.51;-88.72;
2026-01-07 15:33:13.38;0.00:00:00:650;0.01;0.02;-1.00;0.06229;0.000674;0.00141;-0.06218;32.23;-44.28;99.85;99.82;2.51;0.06229;0.0622;9.033E-05;-12.056;-12.062;-40.442;0.51;-88.70;
2026-01-07 15:33:13.43;0.00:00:00:699;0.01;0.02;-1.00;0.06228;0.0007347;0.001349;-0.06218;30.72;-44.29;99.88;99.85;2.47;0.06228;0.0622;7.274E-05;-12.057;-12.062;-41.382;0.51;-88.76;
