Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 13:38:46.60;0.00:00:00:052;0.00;0.00;1.00;0.07207;-3.162E-05;-4.145E-05;0.07209;-63.67;44.98;100.03;100.03;0.07;0.07207;0.07209;-2.321E-05;-11.423;-11.421;-99.990;0.50;90.03;
2026-01-07 13:38:46.65;0.00:00:00:100;0.00;0.00;1.00;0.0721;-3.496E-05;-1.508E-05;0.07213;-78.33;44.98;100.04;100.04;0.05;0.0721;0.07213;-2.913E-05;-11.421;-11.419;-99.990;0.50;90.01;
2026-01-07 13:38:46.70;0.00:00:00:151;0.00;0.00;1.00;0.07158;-1.162E-05;-1.367E-05;0.07161;-65.17;44.99;100.04;100.04;0.03;0.07158;0.07161;-3.049E-05;-11.452;-11.450;-99.990;0.50;90.01;
2026-01-07 13:38:46.75;0.00:00:00:201;0.00;0.00;1.00;0.0721;-2.334E-05;-6.282E-05;0.07213;-55.19;44.97;100.04;100.04;0.09;0.0721;0.07213;-2.949E-05;-11.421;-11.419;-99.990;0.50;90.05;
2026-01-07 13:38:46.80;0.00:00:00:253;0.00;0.00;1.00;0.07248;-2.53E-05;-4.021E-05;0.07251;-61.09;44.98;100.04;100.04;0.07;0.07248;0.07251;-2.812E-05;-11.398;-11.396;-99.990;0.50;90.03;
2026-01-07 13:38:46.85;0.00:00:00:304;0.00;0.00;1.00;0.07247;-1.235E-05;-5.019E-05;0.0725;-51.91;44.98;100.04;100.04;0.07;0.07247;0.0725;-3.145E-05;-11.399;-11.397;-99.990;0.50;90.04;
2026-01-07 13:38:46.90;0.00:00:00:354;0.00;0.00;1.00;0.07279;-1.729E-05;-9.675E-06;0.07282;-75.39;44.99;100.04;100.04;0.03;0.07279;0.07282;-3.123E-05;-11.379;-11.378;-99.990;0.50;90.01;
2026-01-07 13:38:46.95;0.00:00:00:405;0.00;0.00;1.00;0.07262;-1.652E-05;-4.327E-05;0.07265;-55.45;44.98;100.05;100.05;0.06;0.07262;0.07265;-3.369E-05;-11.390;-11.388;-99.990;0.50;90.03;
2026-01-07 13:38:47.00;0.00:00:00:455;0.00;0.00;1.00;0.07302;-3.105E-05;-6.538E-05;0.07306;-57.70;44.97;100.04;100.04;0.10;0.07302;0.07306;-3.264E-05;-11.365;-11.363;-99.990;0.50;90.05;
2026-01-07 13:38:47.05;0.00:00:00:505;0.00;0.00;1.00;0.07325;-3.885E-05;-2.339E-05;0.07327;-74.48;44.98;100.03;100.03;0.06;0.07325;0.07327;-2.432E-05;-11.352;-11.351;-99.990;0.50;90.02;
2026-01-07 13:38:47.10;0.00:00:00:558;0.00;0.00;1.00;0.07267;-2.728E-05;-2.034E-05;0.07269;-71.65;44.99;100.04;100.04;0.05;0.07267;0.07269;-2.681E-05;-11.387;-11.385;-99.990;0.50;90.02;
2026-01-07 13:38:47.15;0.00:00:00:607;0.00;0.00;1.00;0.07265;-2.213E-05;-4.703E-05;0.07268;-57.60;44.98;100.04;100.04;0.07;0.07265;0.07268;-2.899E-05;-11.388;-11.386;-99.990;0.50;90.04;
2026-01-07 13:38:47.21;0.00:00:00:659;0.00;0.00;1.00;0.07235;-1.85E-05;-2.79E-05;0.07238;-61.78;44.99;100.03;100.03;0.05;0.07235;0.07238;-2.417E-05;-11.405;-11.404;-99.990;0.50;90.02;
2026-01-07 13:38:47.25;0.00:00:00:709;0.00;0.00;1.00;0.07261;-3.267E-05;-5.721E-05;0.07264;-59.87;44.97;100.04;100.04;0.09;0.07261;0.07264;-2.563E-05;-11.390;-11.388;-99.990;0.50;90.05;
2026-01-07 13:38:47.31;0.00:00:00:760;0.00;0.00;1.00;0.07289;-2.872E-05;-3.807E-05;0.07292;-63.52;44.98;100.04;100.04;0.07;0.07289;0.07292;-3.032E-05;-11.373;-11.371;-99.990;0.50;90.03;
2026-01-07 13:38:47.36;0.00:00:00:812;0.00;0.00;1.00;0.07302;-2.623E-05;-3.505E-05;0.07305;-63.41;44.98;100.04;100.04;0.06;0.07302;0.07305;-2.921E-05;-11.366;-11.364;-99.990;0.50;90.03;
2026-01-07 13:38:47.41;0.00:00:00:863;0.00;0.00;1.00;0.07299;-2.381E-05;-3.66E-05;0.07302;-61.53;44.98;100.04;100.04;0.06;0.07299;0.07302;-3.219E-05;-11.367;-11.365;-99.990;0.50;90.03;
2026-01-07 13:38:47.46;0.00:00:00:915;0.00;0.00;1.00;0.07309;-3.134E-05;-4.027E-05;0.07312;-63.95;44.98;100.04;100.04;0.07;0.07309;0.07312;-2.96E-05;-11.362;-11.360;-99.990;0.50;90.03;
2026-01-07 13:38:47.51;0.00:00:00:965;0.00;0.00;1.00;0.07247;-4.051E-05;5.368E-06;0.07249;86.23;44.98;100.03;100.03;0.06;0.07247;0.07249;-2.333E-05;-11.399;-11.397;-99.990;0.50;90.00;
2026-01-07 13:38:47.56;0.00:00:01:013;0.00;0.00;1.00;0.07186;-1.428E-05;-2.512E-05;0.07189;-59.81;44.99;100.04;100.04;0.04;0.07186;0.07189;-3.004E-05;-11.435;-11.433;-99.990;0.50;90.02;
2026-01-07 13:38:47.61;0.00:00:01:064;0.00;0.00;1.00;0.07239;-3.565E-05;-5.062E-05;0.07242;-62.58;44.98;100.03;100.03;0.09;0.07239;0.07242;-2.222E-05;-11.403;-11.402;-99.990;0.50;90.04;
2026-01-07 13:38:47.66;0.00:00:01:114;0.00;0.00;1.00;0.07247;-3.187E-05;-3.256E-05;0.07249;-67.19;44.98;100.04;100.04;0.06;0.07247;0.07249;-2.725E-05;-11.399;-11.397;-99.990;0.50;90.03;
2026-01-07 13:38:47.71;0.00:00:01:166;0.00;0.00;1.00;0.07272;-3.234E-05;-5.407E-05;0.07274;-60.44;44.98;100.03;100.03;0.09;0.07272;0.07274;-2.451E-05;-11.384;-11.382;-99.990;0.50;90.04;
2026-01-07 13:38:47.76;0.00:00:01:215;0.00;0.00;1.00;0.0727;-2.598E-05;-3.581E-05;0.07272;-62.98;44.98;100.04;100.03;0.06;0.0727;0.07272;-2.544E-05;-11.385;-11.383;-99.990;0.50;90.03;
2026-01-07 13:38:47.81;0.00:00:01:267;0.00;0.00;1.00;0.07289;-3.515E-05;-3.853E-05;0.07291;-66.19;44.98;100.03;100.03;0.07;0.07289;0.07291;-2.384E-05;-11.373;-11.372;-99.990;0.50;90.03;
2026-01-07 13:38:47.87;0.00:00:01:320;0.00;0.00;1.00;0.07278;-2.518E-05;-3.192E-05;0.07281;-64.14;44.98;100.04;100.04;0.06;0.07278;0.07281;-2.729E-05;-11.380;-11.378;-99.990;0.50;90.03;
2026-01-07 13:38:47.92;0.00:00:01:371;0.00;0.00;1.00;0.07258;-2.45E-05;-1.873E-05;0.0726;-71.30;44.99;100.04;100.04;0.04;0.07258;0.0726;-2.642E-05;-11.392;-11.390;-99.990;0.50;90.01;
2026-01-07 13:38:47.97;0.00:00:01:421;0.00;0.00;1.00;0.07263;-3.152E-05;-2.595E-05;0.07266;-70.27;44.98;100.04;100.04;0.06;0.07263;0.07266;-2.883E-05;-11.389;-11.387;-99.990;0.50;90.02;
2026-01-07 13:38:48.05;0.00:00:01:506;0.00;0.00;1.00;0.07265;-2.586E-05;-2.444E-05;0.07268;-68.31;44.99;100.04;100.04;0.05;0.07265;0.07268;-3.262E-05;-11.388;-11.386;-99.990;0.50;90.02;
2026-01-07 13:38:48.10;0.00:00:01:556;0.00;0.00;1.00;0.0726;-3.28E-05;-2.329E-05;0.07263;-72.31;44.98;100.04;100.04;0.06;0.0726;0.07263;-2.672E-05;-11.391;-11.389;-99.990;0.50;90.02;
2026-01-07 13:38:48.15;0.00:00:01:606;0.00;0.00;1.00;0.07257;-3.241E-05;-3.774E-05;0.0726;-65.33;44.98;100.03;100.03;0.07;0.07257;0.0726;-2.395E-05;-11.392;-11.391;-99.990;0.50;90.03;
2026-01-07 13:38:48.20;0.00:00:01:656;0.00;0.00;1.00;0.07267;-3.059E-05;-2.536E-05;0.0727;-70.17;44.98;100.04;100.04;0.05;0.07267;0.0727;-3.016E-05;-11.386;-11.384;-99.990;0.50;90.02;
2026-01-07 13:38:48.25;0.00:00:01:708;0.00;0.00;1.00;0.07257;-3.25E-05;-2.977E-05;0.0726;-68.75;44.98;100.04;100.04;0.06;0.07257;0.0726;-2.787E-05;-11.392;-11.391;-99.990;0.50;90.02;
2026-01-07 13:38:48.30;0.00:00:01:758;0.00;0.00;1.00;0.07282;-3.018E-05;-4.405E-05;0.07284;-62.21;44.98;100.03;100.03;0.07;0.07282;0.07284;-2.439E-05;-11.378;-11.376;-99.990;0.50;90.03;
2026-01-07 13:38:48.36;0.00:00:01:809;0.00;0.00;1.00;0.07304;-3.747E-05;-2.983E-05;0.07306;-70.74;44.98;100.04;100.04;0.07;0.07304;0.07306;-2.768E-05;-11.365;-11.363;-99.990;0.50;90.02;
2026-01-07 13:38:48.41;0.00:00:01:862;0.00;0.00;1.00;0.07281;-2.625E-05;-2.199E-05;0.07284;-70.03;44.99;100.04;100.04;0.05;0.07281;0.07284;-2.614E-05;-11.378;-11.376;-99.990;0.50;90.02;
2026-01-07 13:38:48.49;0.00:00:01:942;0.00;0.00;1.00;0.0728;-3.536E-05;-1.162E-05;0.07283;-80.91;44.99;100.03;100.03;0.05;0.0728;0.07283;-2.475E-05;-11.379;-11.377;-99.990;0.50;90.01;
2026-01-07 13:38:48.55;0.00:00:02:003;0.00;0.00;1.00;0.07247;-3.362E-05;-1.673E-05;0.07249;-76.77;44.99;100.04;100.04;0.05;0.07247;0.07249;-2.609E-05;-11.399;-11.397;-99.990;0.50;90.01;
2026-01-07 13:38:48.60;0.00:00:02:055;0.00;0.00;1.00;0.07235;-3.626E-05;-2.251E-05;0.07237;-74.09;44.98;100.03;100.03;0.06;0.07235;0.07237;-2.221E-05;-11.406;-11.404;-99.990;0.50;90.02;
2026-01-07 13:38:48.65;0.00:00:02:105;0.00;0.00;1.00;0.07241;-3.058E-05;-2.27E-05;0.07244;-71.71;44.98;100.04;100.04;0.05;0.07241;0.07244;-2.962E-05;-11.402;-11.400;-99.990;0.50;90.02;
2026-01-07 13:38:48.70;0.00:00:02:158;0.00;0.00;1.00;0.07241;-2.831E-05;-1.835E-05;0.07244;-73.53;44.99;100.04;100.04;0.05;0.07241;0.07244;-2.838E-05;-11.402;-11.400;-99.990;0.50;90.01;
2026-01-07 13:38:48.75;0.00:00:02:209;0.00;0.00;1.00;0.07231;-2.874E-05;-1.188E-05;0.07234;-78.78;44.99;100.04;100.04;0.04;0.07231;0.07234;-2.9E-05;-11.408;-11.406;-99.990;0.50;90.01;
2026-01-07 13:38:48.80;0.00:00:02:258;0.00;0.00;1.00;0.07242;-2.433E-05;-9.193E-06;0.07245;-79.65;44.99;100.04;100.04;0.04;0.07242;0.07245;-3.013E-05;-11.401;-11.400;-99.990;0.50;90.01;
2026-01-07 13:38:48.86;0.00:00:02:310;0.00;0.00;1.00;0.0725;-3.056E-05;-3.428E-05;0.07253;-65.86;44.98;100.03;100.03;0.06;0.0725;0.07253;-2.487E-05;-11.396;-11.395;-99.990;0.50;90.03;
2026-01-07 13:38:48.91;0.00:00:02:362;0.00;0.00;1.00;0.07258;-3.645E-05;-2.683E-05;0.07261;-71.82;44.98;100.04;100.04;0.06;0.07258;0.07261;-2.686E-05;-11.392;-11.390;-99.990;0.50;90.02;
2026-01-07 13:38:48.96;0.00:00:02:413;0.00;0.00;1.00;0.07254;-2.581E-05;-2.064E-05;0.07257;-70.67;44.99;100.04;100.04;0.05;0.07254;0.07257;-2.67E-05;-11.394;-11.393;-99.990;0.50;90.02;
2026-01-07 13:38:49.01;0.00:00:02:460;0.00;0.00;1.00;0.07242;-2.581E-05;-3.218E-05;0.07244;-64.37;44.98;100.04;100.04;0.06;0.07242;0.07244;-2.556E-05;-11.402;-11.400;-99.990;0.50;90.03;
2026-01-07 13:38:49.06;0.00:00:02:510;0.00;0.00;1.00;0.07248;-2.99E-05;-2.125E-05;0.0725;-72.30;44.99;100.04;100.04;0.05;0.07248;0.0725;-2.595E-05;-11.398;-11.396;-99.990;0.50;90.02;
2026-01-07 13:38:49.11;0.00:00:02:562;0.00;0.00;1.00;0.07268;-3.419E-05;-1.776E-05;0.07271;-76.28;44.98;100.04;100.04;0.05;0.07268;0.07271;-2.864E-05;-11.386;-11.384;-99.990;0.50;90.01;
2026-01-07 13:38:49.16;0.00:00:02:614;0.00;0.00;1.00;0.07268;-3.188E-05;-1.14E-05;0.0727;-80.16;44.99;100.04;100.04;0.05;0.07268;0.0727;-2.551E-05;-11.386;-11.385;-99.990;0.50;90.01;
2026-01-07 13:38:49.22;0.00:00:02:673;0.00;0.00;1.00;0.07258;-3.164E-05;-1.885E-05;0.07261;-74.61;44.99;100.04;100.04;0.05;0.07258;0.07261;-2.809E-05;-11.392;-11.390;-99.990;0.50;90.01;
2026-01-07 13:38:49.27;0.00:00:02:726;0.00;0.00;1.00;0.07246;-2.78E-05;-1.897E-05;0.07248;-72.85;44.99;100.04;100.04;0.05;0.07246;0.07248;-2.674E-05;-11.399;-11.398;-99.990;0.50;90.01;
2026-01-07 13:38:49.32;0.00:00:02:776;0.00;0.00;1.00;0.07247;-2.96E-05;-1.352E-05;0.0725;-77.72;44.99;100.04;100.04;0.04;0.07247;0.0725;-2.71E-05;-11.398;-11.397;-99.990;0.50;90.01;
2026-01-07 13:38:49.37;0.00:00:02:828;0.00;0.00;1.00;0.07252;-2.67E-05;-1.93E-05;0.07255;-72.07;44.99;100.04;100.04;0.05;0.07252;0.07255;-2.959E-05;-11.395;-11.394;-99.990;0.50;90.02;
2026-01-07 13:38:49.42;0.00:00:02:878;0.00;0.00;1.00;0.07273;-3.348E-05;-3.218E-05;0.07275;-68.07;44.98;100.04;100.04;0.06;0.07273;0.07275;-2.72E-05;-11.383;-11.382;-99.990;0.50;90.03;
2026-01-07 13:38:49.48;0.00:00:02:930;0.00;0.00;1.00;0.07294;-3.246E-05;-9.518E-05;0.07297;-54.42;44.96;100.04;100.04;0.14;0.07294;0.07297;-2.786E-05;-11.370;-11.368;-99.990;0.50;90.07;
2026-01-07 13:38:49.53;0.00:00:02:981;0.00;0.00;1.00;0.07315;-3.531E-05;3.401E-05;0.07318;68.04;44.98;100.04;100.04;0.07;0.07315;0.07318;-2.714E-05;-11.358;-11.356;-99.990;0.50;89.97;
2026-01-07 13:38:49.58;0.00:00:03:038;0.00;0.00;1.00;0.07278;-3.738E-05;1.598E-05;0.07281;78.42;44.98;100.03;100.03;0.06;0.07278;0.07281;-2.504E-05;-11.380;-11.378;-99.990;0.50;89.99;
2026-01-07 13:38:49.63;0.00:00:03:085;0.00;0.00;1.00;0.07241;-2.938E-05;-8.226E-06;0.07244;-82.18;44.99;100.03;100.03;0.04;0.07241;0.07244;-2.426E-05;-11.402;-11.400;-99.990;0.50;90.01;
2026-01-07 13:38:49.68;0.00:00:03:132;0.00;0.00;1.00;0.07239;-3.502E-05;-3.292E-05;0.07241;-68.39;44.98;100.04;100.04;0.07;0.07239;0.07241;-2.801E-05;-11.404;-11.402;-99.990;0.50;90.03;
2026-01-07 13:38:49.72;0.00:00:03:178;0.00;0.00;1.00;0.07238;-3.204E-05;-1.225E-05;0.07241;-79.54;44.99;100.04;100.04;0.05;0.07238;0.07241;-2.982E-05;-11.404;-11.402;-99.990;0.50;90.01;
2026-01-07 13:38:49.77;0.00:00:03:225;0.00;0.00;1.00;0.07261;-1.017E-05;-1.734E-05;0.07264;-60.20;44.99;100.04;100.04;0.03;0.07261;0.07264;-2.672E-05;-11.390;-11.388;-99.990;0.50;90.01;
2026-01-07 13:38:49.82;0.00:00:03:271;0.00;0.00;1.00;0.0728;-4.062E-05;-3.318E-05;0.07284;-70.38;44.98;100.05;100.05;0.07;0.0728;0.07284;-3.305E-05;-11.379;-11.377;-99.990;0.50;90.03;
2026-01-07 13:38:49.86;0.00:00:03:317;0.00;0.00;1.00;0.07276;-2.418E-05;2.284E-06;0.07279;87.30;44.99;100.04;100.04;0.03;0.07276;0.07279;-2.779E-05;-11.381;-11.379;-99.990;0.50;90.00;
2026-01-07 13:38:49.91;0.00:00:03:365;0.00;0.00;1.00;0.07246;-4.11E-05;-1.831E-06;0.07249;-88.72;44.98;100.04;100.04;0.06;0.07246;0.07249;-3.043E-05;-11.399;-11.397;-99.990;0.50;90.00;
2026-01-07 13:38:49.96;0.00:00:03:411;0.00;0.00;1.00;0.07229;-1.869E-05;-4.284E-05;0.07231;-56.78;44.98;100.03;100.03;0.06;0.07229;0.07231;-2.277E-05;-11.409;-11.408;-99.990;0.50;90.03;
2026-01-07 13:38:50.00;0.00:00:03:457;0.00;0.00;1.00;0.073;-4.791E-05;-3.504E-05;0.07303;-71.91;44.98;100.04;100.04;0.08;0.073;0.07303;-2.862E-05;-11.367;-11.365;-99.990;0.50;90.03;
2026-01-07 13:38:50.05;0.00:00:03:504;0.00;0.00;1.00;0.07305;-3.156E-05;-3.183E-05;0.07308;-67.38;44.98;100.04;100.04;0.06;0.07305;0.07308;-2.951E-05;-11.364;-11.362;-99.990;0.50;90.02;
2026-01-07 13:38:50.10;0.00:00:03:552;0.00;0.00;1.00;0.07334;-3.858E-05;-1.042E-05;0.07337;-82.44;44.98;100.04;100.04;0.05;0.07334;0.07337;-3.154E-05;-11.347;-11.345;-99.990;0.50;90.01;
2026-01-07 13:38:50.15;0.00:00:03:602;0.00;0.00;1.00;0.07319;-3.806E-05;-2.424E-05;0.07322;-73.75;44.98;100.04;100.04;0.06;0.07319;0.07322;-2.701E-05;-11.355;-11.354;-99.990;0.50;90.02;
2026-01-07 13:38:50.21;0.00:00:03:661;0.00;0.00;1.00;0.07271;-2.265E-05;3.278E-05;0.07274;62.32;44.98;100.04;100.04;0.05;0.07271;0.07274;-2.814E-05;-11.384;-11.382;-99.990;0.50;89.97;
2026-01-07 13:38:50.25;0.00:00:03:708;0.00;0.00;1.00;0.07267;-4.089E-05;9.473E-06;0.0727;83.48;44.98;100.04;100.04;0.06;0.07267;0.0727;-3.023E-05;-11.386;-11.384;-99.990;0.50;89.99;
2026-01-07 13:38:50.30;0.00:00:03:755;0.00;0.00;1.00;0.07186;-2.117E-05;2.559E-05;0.07189;64.80;44.99;100.04;100.04;0.05;0.07186;0.07189;-2.867E-05;-11.435;-11.433;-99.990;0.50;89.98;
2026-01-07 13:38:50.35;0.00:00:03:804;0.00;0.00;1.00;0.07191;-3.447E-05;-5.919E-05;0.07194;-60.11;44.97;100.04;100.04;0.10;0.07191;0.07194;-2.891E-05;-11.432;-11.430;-99.990;0.50;90.05;
2026-01-07 13:38:50.41;0.00:00:03:865;0.00;0.00;1.00;0.07251;-3.07E-05;-6.163E-06;0.07254;-84.33;44.99;100.04;100.04;0.04;0.07251;0.07254;-2.784E-05;-11.396;-11.394;-99.990;0.50;90.00;
2026-01-07 13:38:50.46;0.00:00:03:913;0.00;0.00;1.00;0.0726;-3.388E-05;-1.396E-05;0.07262;-78.81;44.99;100.04;100.04;0.05;0.0726;0.07262;-2.918E-05;-11.391;-11.389;-99.990;0.50;90.01;
2026-01-07 13:38:50.50;0.00:00:03:959;0.00;0.00;1.00;0.07267;-3.444E-05;-2.001E-05;0.0727;-74.92;44.98;100.04;100.04;0.05;0.07267;0.0727;-2.783E-05;-11.386;-11.385;-99.990;0.50;90.02;
2026-01-07 13:38:50.55;0.00:00:04:008;0.00;0.00;1.00;0.07282;-4.456E-05;-2.121E-06;0.07285;-88.64;44.98;100.04;100.04;0.06;0.07282;0.07285;-2.986E-05;-11.377;-11.376;-99.990;0.50;90.00;
2026-01-07 13:38:50.61;0.00:00:04:068;0.00;0.00;1.00;0.07215;-2.688E-05;5.147E-06;0.07218;84.58;44.99;100.04;100.04;0.04;0.07215;0.07218;-2.706E-05;-11.417;-11.416;-99.990;0.50;90.00;
2026-01-07 13:38:50.66;0.00:00:04:113;0.00;0.00;1.00;0.07257;-4.243E-05;7.148E-06;0.0726;85.22;44.98;100.04;100.04;0.06;0.07257;0.0726;-2.83E-05;-11.393;-11.391;-99.990;0.50;89.99;
2026-01-07 13:38:50.71;0.00:00:04:161;0.00;0.00;1.00;0.07229;-2.314E-05;1.527E-05;0.07232;73.29;44.99;100.04;100.04;0.04;0.07229;0.07232;-2.885E-05;-11.409;-11.407;-99.990;0.50;89.99;
2026-01-07 13:38:50.77;0.00:00:04:222;0.00;0.00;1.00;0.07266;-3.296E-05;-2.194E-05;0.07269;-73.18;44.98;100.04;100.04;0.05;0.07266;0.07269;-2.863E-05;-11.387;-11.385;-99.990;0.50;90.02;
2026-01-07 13:38:50.82;0.00:00:04:271;0.00;0.00;1.00;0.07264;-2.952E-05;-5.939E-06;0.07267;-84.31;44.99;100.04;100.04;0.04;0.07264;0.07267;-2.673E-05;-11.388;-11.386;-99.990;0.50;90.00;
2026-01-07 13:38:50.86;0.00:00:04:316;0.00;0.00;1.00;0.07253;-3.558E-05;-9.609E-06;0.07256;-82.44;44.99;100.04;100.04;0.05;0.07253;0.07256;-2.633E-05;-11.395;-11.393;-99.990;0.50;90.01;
2026-01-07 13:38:50.91;0.00:00:04:366;0.00;0.00;1.00;0.07255;-3.217E-05;-1.621E-05;0.07258;-76.62;44.99;100.04;100.04;0.05;0.07255;0.07258;-2.844E-05;-11.394;-11.392;-99.990;0.50;90.01;
2026-01-07 13:38:50.96;0.00:00:04:413;0.00;0.00;1.00;0.07265;-3.707E-05;-1.067E-05;0.07268;-81.97;44.98;100.04;100.04;0.05;0.07265;0.07268;-3.044E-05;-11.388;-11.386;-99.990;0.50;90.01;
2026-01-07 13:38:51.02;0.00:00:04:474;0.00;0.00;1.00;0.07253;-3.627E-05;-6.619E-06;0.07256;-84.83;44.99;100.04;100.04;0.05;0.07253;0.07256;-2.894E-05;-11.395;-11.393;-99.990;0.50;90.01;
2026-01-07 13:38:51.08;0.00:00:04:536;0.00;0.00;1.00;0.07244;-4.131E-05;-7.502E-06;0.07247;-84.85;44.98;100.04;100.04;0.06;0.07244;0.07247;-2.564E-05;-11.400;-11.399;-99.990;0.50;90.01;
2026-01-07 13:38:51.13;0.00:00:04:584;0.00;0.00;1.00;0.0726;-3.97E-05;-4.24E-06;0.07263;-86.95;44.98;100.04;100.04;0.05;0.0726;0.07263;-2.657E-05;-11.390;-11.389;-99.990;0.50;90.00;
2026-01-07 13:38:51.19;0.00:00:04:644;0.00;0.00;1.00;0.07255;-3.19E-05;-2.004E-06;0.07258;-88.20;44.99;100.04;100.04;0.04;0.07255;0.07258;-2.605E-05;-11.393;-11.392;-99.990;0.50;90.00;
2026-01-07 13:38:51.24;0.00:00:04:693;0.00;0.00;1.00;0.07257;-2.991E-05;-6.921E-06;0.0726;-83.49;44.99;100.04;100.04;0.04;0.07257;0.0726;-3.048E-05;-11.392;-11.391;-99.990;0.50;90.01;
2026-01-07 13:38:51.29;0.00:00:04:739;0.00;0.00;1.00;0.07268;-4.397E-05;-1.374E-05;0.07271;-81.32;44.98;100.04;100.04;0.06;0.07268;0.07271;-2.784E-05;-11.386;-11.384;-99.990;0.50;90.01;
2026-01-07 13:38:51.33;0.00:00:04:787;0.00;0.00;1.00;0.07252;-3.261E-05;9.832E-06;0.07254;81.61;44.99;100.04;100.04;0.05;0.07252;0.07254;-2.951E-05;-11.396;-11.394;-99.990;0.50;89.99;
2026-01-07 13:38:51.38;0.00:00:04:834;0.00;0.00;1.00;0.07245;-3.122E-05;-9.711E-06;0.07248;-81.36;44.99;100.04;100.04;0.05;0.07245;0.07248;-2.637E-05;-11.400;-11.398;-99.990;0.50;90.01;
2026-01-07 13:38:51.44;0.00:00:04:895;0.00;0.00;1.00;0.07238;-2.547E-05;-8.756E-06;0.07241;-80.51;44.99;100.04;100.04;0.04;0.07238;0.07241;-2.779E-05;-11.404;-11.402;-99.990;0.50;90.01;
2026-01-07 13:38:51.50;0.00:00:04:956;0.00;0.00;1.00;0.07271;-3.204E-05;-1.552E-05;0.07273;-77.08;44.99;100.04;100.04;0.05;0.07271;0.07273;-2.683E-05;-11.384;-11.383;-99.990;0.50;90.01;
