Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:49:36.08;0.00:00:00:051;0.00;0.00;1.00;0.06225;3.847E-05;-0.0001801;0.06215;-38.97;44.92;99.85;99.85;0.30;0.06225;0.06216;9.425E-05;-12.059;-12.065;-40.257;0.50;90.17;
2026-01-07 15:49:36.14;0.00:00:00:104;0.00;0.00;1.00;0.06214;3.411E-05;-0.0001797;0.06204;-39.63;44.92;99.84;99.84;0.29;0.06214;0.06204;9.937E-05;-12.067;-12.074;-40.028;0.50;90.17;
2026-01-07 15:49:36.19;0.00:00:00:155;0.00;0.00;1.00;0.06213;4.356E-05;-0.0001798;0.06204;-38.19;44.91;99.85;99.85;0.30;0.06213;0.06204;9.444E-05;-12.067;-12.073;-40.248;0.50;90.17;
2026-01-07 15:49:36.24;0.00:00:00:208;0.00;0.00;1.00;0.06214;3.183E-05;-0.0001809;0.06204;-40.01;44.92;99.84;99.84;0.30;0.06214;0.06204;9.69E-05;-12.066;-12.073;-40.137;0.50;90.17;
2026-01-07 15:49:36.29;0.00:00:00:255;0.00;0.00;1.00;0.06228;2.951E-05;-0.0001768;0.06218;-40.26;44.92;99.85;99.85;0.29;0.06228;0.06218;9.361E-05;-12.057;-12.063;-40.287;0.50;90.16;
2026-01-07 15:49:36.34;0.00:00:00:303;0.00;0.00;1.00;0.06214;4.126E-05;-0.0001747;0.06205;-38.36;44.92;99.85;99.85;0.29;0.06214;0.06205;9.315E-05;-12.066;-12.073;-40.308;0.50;90.16;
2026-01-07 15:49:36.39;0.00:00:00:356;0.00;0.00;1.00;0.0621;3.889E-05;-0.0001745;0.062;-38.72;44.92;99.84;99.84;0.29;0.0621;0.062;9.629E-05;-12.069;-12.076;-40.164;0.50;90.16;
2026-01-07 15:49:36.44;0.00:00:00:407;0.00;0.00;1.00;0.06213;4.093E-05;-0.0001697;0.06204;-38.22;44.92;99.85;99.85;0.28;0.06213;0.06204;9.133E-05;-12.067;-12.073;-40.394;0.50;90.16;
2026-01-07 15:49:36.49;0.00:00:00:457;0.00;0.00;1.00;0.06211;4.452E-05;-0.000173;0.06202;-37.78;44.92;99.86;99.86;0.29;0.06211;0.06202;8.977E-05;-12.068;-12.074;-40.469;0.50;90.16;
2026-01-07 15:49:36.54;0.00:00:00:504;0.00;0.00;1.00;0.06216;3.232E-05;-0.0001682;0.06207;-39.56;44.92;99.85;99.85;0.28;0.06216;0.06207;9.478E-05;-12.065;-12.071;-40.233;0.50;90.16;
2026-01-07 15:49:36.59;0.00:00:00:556;0.00;0.00;1.00;0.06221;3.808E-05;-0.0001665;0.06212;-38.56;44.92;99.85;99.85;0.27;0.06221;0.06212;9.527E-05;-12.061;-12.068;-40.210;0.50;90.15;
2026-01-07 15:49:36.64;0.00:00:00:602;0.00;0.00;1.00;0.06211;3.66E-05;-0.0001728;0.06202;-39.02;44.92;99.85;99.85;0.28;0.06211;0.06202;9.583E-05;-12.068;-12.075;-40.185;0.50;90.16;
2026-01-07 15:49:36.68;0.00:00:00:649;0.00;0.00;1.00;0.06196;3.912E-05;-0.0001699;0.06186;-38.52;44.92;99.85;99.85;0.28;0.06196;0.06186;9.368E-05;-12.079;-12.086;-40.284;0.50;90.16;
2026-01-07 15:49:36.73;0.00:00:00:698;0.00;0.00;1.00;0.06205;4.068E-05;-0.0001816;0.06196;-38.69;44.91;99.85;99.85;0.30;0.06205;0.06196;9.321E-05;-12.073;-12.079;-40.305;0.50;90.17;
2026-01-07 15:49:36.78;0.00:00:00:750;0.00;0.00;1.00;0.06203;4.181E-05;-0.0001695;0.06194;-38.07;44.92;99.85;99.85;0.28;0.06203;0.06194;9.398E-05;-12.074;-12.080;-40.270;0.50;90.16;
2026-01-07 15:49:36.83;0.00:00:00:799;0.00;0.00;1.00;0.06213;3.596E-05;-0.0001801;0.06204;-39.36;44.92;99.85;99.85;0.30;0.06213;0.06204;9.434E-05;-12.067;-12.073;-40.253;0.50;90.17;
2026-01-07 15:49:36.88;0.00:00:00:848;0.00;0.00;1.00;0.06215;3.686E-05;-0.0001716;0.06206;-38.94;44.92;99.85;99.85;0.28;0.06215;0.06206;9.41E-05;-12.066;-12.072;-40.264;0.50;90.16;
2026-01-07 15:49:36.93;0.00:00:00:899;0.00;0.00;1.00;0.0621;3.542E-05;-0.0001743;0.06201;-39.26;44.92;99.85;99.85;0.29;0.0621;0.06201;9.142E-05;-12.069;-12.076;-40.389;0.50;90.16;
2026-01-07 15:49:36.98;0.00:00:00:950;0.00;0.00;1.00;0.06212;3.38E-05;-0.0001706;0.06202;-39.39;44.92;99.85;99.85;0.28;0.06212;0.06202;9.403E-05;-12.068;-12.074;-40.267;0.50;90.16;
2026-01-07 15:49:37.04;0.00:00:01:005;0.00;0.00;1.00;0.06213;3.874E-05;-0.0001843;0.06203;-39.06;44.91;99.85;99.85;0.30;0.06213;0.06203;9.556E-05;-12.067;-12.074;-40.197;0.50;90.17;
2026-01-07 15:49:37.09;0.00:00:01:052;0.00;0.00;1.00;0.06216;3.593E-05;-0.0001635;0.06207;-38.80;44.92;99.85;99.85;0.27;0.06216;0.06207;9.477E-05;-12.065;-12.071;-40.233;0.50;90.15;
2026-01-07 15:49:37.13;0.00:00:01:100;0.00;0.00;1.00;0.06233;3.099E-05;-0.0001632;0.06223;-39.63;44.92;99.84;99.84;0.27;0.06233;0.06223;9.69E-05;-12.053;-12.060;-40.137;0.50;90.15;
2026-01-07 15:49:37.18;0.00:00:01:146;0.00;0.00;1.00;0.06225;3.739E-05;-0.0001795;0.06216;-39.12;44.92;99.85;99.85;0.29;0.06225;0.06216;9.577E-05;-12.058;-12.065;-40.188;0.50;90.17;
2026-01-07 15:49:37.23;0.00:00:01:194;0.00;0.00;1.00;0.06249;3.809E-05;-0.0001652;0.06239;-38.51;44.92;99.85;99.85;0.27;0.06249;0.06239;9.509E-05;-12.042;-12.049;-40.219;0.50;90.15;
2026-01-07 15:49:37.28;0.00:00:01:243;0.00;0.00;1.00;0.06248;3.36E-05;-0.0001647;0.06239;-39.23;44.92;99.85;99.85;0.27;0.06248;0.06239;9.521E-05;-12.042;-12.049;-40.213;0.50;90.15;
2026-01-07 15:49:37.33;0.00:00:01:294;0.00;0.00;1.00;0.0626;3.993E-05;-0.0001989;0.06251;-39.33;44.91;99.85;99.85;0.32;0.0626;0.06251;9.487E-05;-12.034;-12.041;-40.229;0.50;90.18;
2026-01-07 15:49:37.38;0.00:00:01:346;0.00;0.00;1.00;0.06229;3.563E-05;-0.0001757;0.0622;-39.27;44.92;99.85;99.85;0.29;0.06229;0.0622;9.197E-05;-12.056;-12.062;-40.363;0.50;90.16;
2026-01-07 15:49:37.43;0.00:00:01:394;0.00;0.00;1.00;0.06216;3.168E-05;-0.0001745;0.06207;-39.86;44.92;99.85;99.84;0.29;0.06216;0.06207;9.61E-05;-12.065;-12.071;-40.173;0.50;90.16;
