Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:58:16.08;0.00:00:00:053;0.01;0.00;1.00;0.06224;0.0004167;0.0001854;0.06214;11.99;44.79;99.85;99.84;0.73;0.06224;0.06215;9.487E-05;-12.059;-12.066;-40.229;0.50;89.83;
2026-01-07 15:58:16.13;0.00:00:00:101;0.01;0.00;1.00;0.0622;0.000411;0.0001674;0.0621;11.08;44.80;99.84;99.84;0.71;0.0622;0.0621;9.722E-05;-12.062;-12.069;-40.122;0.50;89.85;
2026-01-07 15:58:16.18;0.00:00:00:156;0.01;0.00;1.00;0.0622;0.0004107;0.0001794;0.0621;11.80;44.79;99.84;99.84;0.72;0.0622;0.06211;9.782E-05;-12.062;-12.069;-40.096;0.50;89.83;
2026-01-07 15:58:16.23;0.00:00:00:207;0.01;0.00;1.00;0.06222;0.0004135;0.0001914;0.06213;12.42;44.79;99.85;99.84;0.73;0.06222;0.06213;9.572E-05;-12.060;-12.067;-40.190;0.50;89.82;
2026-01-07 15:58:16.28;0.00:00:00:255;0.01;0.00;1.00;0.06222;0.0004084;0.0001817;0.06212;11.99;44.79;99.84;99.84;0.72;0.06222;0.06212;0.0001002;-12.061;-12.068;-39.992;0.50;89.83;
2026-01-07 15:58:16.33;0.00:00:00:305;0.01;0.00;1.00;0.06234;0.0004044;0.0001816;0.06225;12.09;44.80;99.84;99.84;0.71;0.06234;0.06225;9.706E-05;-12.052;-12.059;-40.130;0.50;89.83;
2026-01-07 15:58:16.38;0.00:00:00:352;0.01;0.00;1.00;0.06244;0.0004039;0.0001869;0.06234;12.42;44.80;99.85;99.84;0.71;0.06244;0.06234;9.598E-05;-12.045;-12.052;-40.178;0.50;89.83;
2026-01-07 15:58:16.43;0.00:00:00:402;0.01;0.00;1.00;0.06243;0.0004098;0.0001826;0.06233;12.01;44.79;99.85;99.84;0.72;0.06243;0.06233;9.607E-05;-12.046;-12.053;-40.174;0.50;89.83;
2026-01-07 15:58:16.48;0.00:00:00:452;0.01;0.00;1.00;0.06232;0.0004149;0.0001933;0.06223;12.49;44.79;99.85;99.84;0.73;0.06232;0.06223;9.516E-05;-12.053;-12.060;-40.216;0.50;89.82;
2026-01-07 15:58:16.53;0.00:00:00:505;0.01;0.00;1.00;0.0622;0.0004177;0.0002099;0.0621;13.34;44.78;99.85;99.85;0.75;0.0622;0.0621;9.31E-05;-12.062;-12.069;-40.311;0.50;89.81;
2026-01-07 15:58:16.58;0.00:00:00:554;0.01;0.00;1.00;0.06206;0.0004166;0.0001714;0.06196;11.18;44.79;99.85;99.84;0.73;0.06206;0.06196;9.59E-05;-12.072;-12.079;-40.182;0.50;89.84;
2026-01-07 15:58:16.63;0.00:00:00:601;0.01;0.00;1.00;0.06215;0.0004153;0.0001808;0.06206;11.76;44.79;99.85;99.84;0.73;0.06215;0.06206;9.62E-05;-12.065;-12.072;-40.168;0.50;89.83;
2026-01-07 15:58:16.68;0.00:00:00:649;0.01;0.00;1.00;0.06229;0.0004011;0.0001897;0.0622;12.66;44.80;99.85;99.84;0.71;0.06229;0.0622;9.527E-05;-12.056;-12.062;-40.210;0.50;89.83;
2026-01-07 15:58:16.72;0.00:00:00:697;0.01;0.00;1.00;0.06258;0.0004223;0.0001916;0.06248;12.20;44.79;99.84;99.84;0.74;0.06258;0.06248;9.893E-05;-12.036;-12.043;-40.047;0.50;89.82;
2026-01-07 15:58:16.77;0.00:00:00:744;0.01;0.00;1.00;0.06256;0.000409;0.0001969;0.06246;12.85;44.79;99.83;99.83;0.73;0.06256;0.06246;0.0001037;-12.037;-12.044;-39.844;0.50;89.82;
2026-01-07 15:58:16.82;0.00:00:00:793;0.01;0.00;1.00;0.06243;0.0004137;0.0001859;0.06233;12.10;44.79;99.84;99.84;0.73;0.06243;0.06233;9.733E-05;-12.046;-12.053;-40.118;0.50;89.83;
2026-01-07 15:58:16.87;0.00:00:00:841;0.01;0.00;1.00;0.06269;0.0003987;0.0001725;0.06259;11.70;44.80;99.84;99.84;0.69;0.06269;0.06259;9.884E-05;-12.028;-12.035;-40.051;0.50;89.84;
2026-01-07 15:58:16.92;0.00:00:00:894;0.01;0.00;1.00;0.06243;0.0004138;0.0002087;0.06233;13.38;44.79;99.84;99.84;0.74;0.06243;0.06233;9.694E-05;-12.046;-12.053;-40.135;0.50;89.81;
2026-01-07 15:58:16.97;0.00:00:00:943;0.01;0.00;1.00;0.06223;0.0004091;0.0002;0.06213;13.03;44.79;99.84;99.84;0.73;0.06223;0.06213;9.799E-05;-12.060;-12.067;-40.088;0.50;89.82;
2026-01-07 15:58:17.02;0.00:00:00:996;0.01;0.00;1.00;0.06237;0.000406;0.000177;0.06227;11.78;44.80;99.84;99.84;0.71;0.06237;0.06228;9.816E-05;-12.050;-12.057;-40.080;0.50;89.84;
2026-01-07 15:58:17.07;0.00:00:01:048;0.01;0.00;1.00;0.06235;0.0003997;0.0001885;0.06225;12.63;44.80;99.84;99.84;0.71;0.06235;0.06225;9.763E-05;-12.052;-12.059;-40.104;0.50;89.83;
2026-01-07 15:58:17.12;0.00:00:01:097;0.01;0.00;1.00;0.06245;0.0003981;0.0001914;0.06235;12.84;44.80;99.85;99.85;0.71;0.06245;0.06235;9.502E-05;-12.045;-12.052;-40.222;0.50;89.82;
2026-01-07 15:58:17.17;0.00:00:01:147;0.01;0.00;1.00;0.06228;0.0004195;0.0001827;0.06218;11.77;44.79;99.84;99.84;0.73;0.06228;0.06218;9.808E-05;-12.057;-12.063;-40.084;0.50;89.83;
2026-01-07 15:58:17.23;0.00:00:01:200;0.01;0.00;1.00;0.06219;0.0004106;0.000188;0.06209;12.30;44.79;99.84;99.84;0.73;0.06219;0.06209;9.814E-05;-12.063;-12.070;-40.082;0.50;89.83;
2026-01-07 15:58:17.28;0.00:00:01:250;0.01;0.00;1.00;0.06213;0.0003988;0.0002022;0.06203;13.44;44.79;99.84;99.84;0.72;0.06213;0.06203;0.0001005;-12.067;-12.074;-39.978;0.50;89.81;
2026-01-07 15:58:17.33;0.00:00:01:301;0.01;0.00;1.00;0.06222;0.000415;0.0001875;0.06212;12.16;44.79;99.84;99.84;0.73;0.06222;0.06212;9.788E-05;-12.061;-12.068;-40.093;0.50;89.83;
2026-01-07 15:58:17.38;0.00:00:01:351;0.01;0.00;1.00;0.06234;0.0004128;0.0001816;0.06224;11.87;44.79;99.84;99.84;0.72;0.06234;0.06224;9.67E-05;-12.052;-12.059;-40.146;0.50;89.83;
2026-01-07 15:58:17.43;0.00:00:01:402;0.01;0.00;1.00;0.06236;0.0004056;0.0002056;0.06226;13.44;44.79;99.84;99.84;0.73;0.06236;0.06226;9.867E-05;-12.051;-12.058;-40.058;0.50;89.81;
2026-01-07 15:58:17.48;0.00:00:01:457;0.01;0.00;1.00;0.06241;0.0004164;0.000186;0.06231;12.04;44.79;99.85;99.84;0.73;0.06241;0.06231;9.532E-05;-12.048;-12.054;-40.208;0.50;89.83;
2026-01-07 15:58:17.53;0.00:00:01:506;0.01;0.00;1.00;0.06238;0.0004075;0.0002034;0.06228;13.26;44.79;99.85;99.85;0.73;0.06238;0.06228;9.492E-05;-12.050;-12.056;-40.227;0.50;89.81;
2026-01-07 15:58:17.58;0.00:00:01:556;0.01;0.00;1.00;0.06229;0.0004144;0.0001927;0.06219;12.47;44.79;99.85;99.84;0.73;0.06229;0.06219;9.529E-05;-12.056;-12.062;-40.209;0.50;89.82;
2026-01-07 15:58:17.63;0.00:00:01:607;0.01;0.00;1.00;0.06233;0.0004035;0.0001996;0.06223;13.16;44.79;99.84;99.84;0.72;0.06233;0.06224;9.789E-05;-12.053;-12.060;-40.093;0.50;89.82;
2026-01-07 15:58:17.68;0.00:00:01:656;0.01;0.00;1.00;0.06238;0.0004043;0.0001977;0.06228;13.03;44.79;99.84;99.84;0.72;0.06238;0.06228;9.712E-05;-12.050;-12.056;-40.127;0.50;89.82;
2026-01-07 15:58:17.74;0.00:00:01:709;0.01;0.00;1.00;0.06244;0.0004036;0.0002038;0.06235;13.39;44.79;99.84;99.84;0.72;0.06244;0.06235;9.706E-05;-12.045;-12.052;-40.129;0.50;89.81;
2026-01-07 15:58:17.79;0.00:00:01:759;0.01;0.00;1.00;0.06229;0.0003994;0.0002052;0.06219;13.59;44.79;99.84;99.84;0.72;0.06229;0.06219;9.774E-05;-12.056;-12.062;-40.099;0.50;89.81;
2026-01-07 15:58:17.84;0.00:00:01:810;0.01;0.00;1.00;0.06234;0.0004071;0.0001922;0.06224;12.63;44.79;99.84;99.84;0.72;0.06234;0.06224;9.87E-05;-12.052;-12.059;-40.057;0.50;89.82;
2026-01-07 15:58:17.88;0.00:00:01:858;0.01;0.00;1.00;0.06259;0.0004099;0.0001857;0.06249;12.19;44.79;99.84;99.84;0.72;0.06259;0.06249;9.755E-05;-12.035;-12.042;-40.108;0.50;89.83;
2026-01-07 15:58:17.93;0.00:00:01:904;0.01;0.00;1.00;0.06264;0.0004038;0.0002099;0.06254;13.73;44.79;99.84;99.84;0.73;0.06264;0.06254;9.836E-05;-12.031;-12.038;-40.072;0.50;89.81;
2026-01-07 15:58:17.98;0.00:00:01:955;0.01;0.00;1.00;0.06249;0.0004083;0.0002113;0.06239;13.68;44.79;99.85;99.84;0.74;0.06249;0.06239;9.538E-05;-12.042;-12.049;-40.205;0.50;89.81;
2026-01-07 15:58:18.03;0.00:00:02:008;0.01;0.00;1.00;0.06255;0.0004098;0.0001901;0.06245;12.44;44.79;99.84;99.84;0.72;0.06255;0.06245;9.728E-05;-12.038;-12.045;-40.120;0.50;89.83;
2026-01-07 15:58:18.08;0.00:00:02:058;0.01;0.00;1.00;0.06263;0.0004079;0.0002083;0.06253;13.53;44.79;99.84;99.84;0.73;0.06263;0.06253;9.946E-05;-12.032;-12.039;-40.023;0.50;89.81;
