Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:32:22.84;0.00:00:00:047;0.00;0.00;1.00;0.06234;-0.0001235;-8.03E-05;0.06226;-73.48;44.93;99.86;99.86;0.24;0.06234;0.06226;8.734E-05;-12.052;-12.058;-40.588;0.50;90.07;
2026-01-07 15:32:22.90;0.00:00:00:105;0.00;0.00;1.00;0.06241;-0.0001233;-8.022E-05;0.06231;-73.48;44.93;99.85;99.85;0.24;0.06241;0.06231;9.156E-05;-12.048;-12.054;-40.383;0.50;90.07;
2026-01-07 15:32:22.95;0.00:00:00:152;0.00;0.00;1.00;0.0622;-0.0001165;-0.000102;0.06211;-69.40;44.93;99.85;99.85;0.25;0.0622;0.06211;9.125E-05;-12.062;-12.068;-40.397;0.50;90.09;
2026-01-07 15:32:23.00;0.00:00:00:202;0.00;0.00;1.00;0.06227;-0.0001102;-8.784E-05;0.06218;-70.72;44.94;99.86;99.86;0.23;0.06227;0.06219;8.842E-05;-12.057;-12.063;-40.535;0.50;90.08;
2026-01-07 15:32:23.04;0.00:00:00:247;0.00;0.00;1.00;0.0624;-0.0001237;-8.348E-05;0.06231;-73.00;44.93;99.85;99.85;0.24;0.0624;0.06231;9.402E-05;-12.048;-12.055;-40.268;0.50;90.08;
2026-01-07 15:32:23.09;0.00:00:00:293;0.00;0.00;1.00;0.06228;-0.0001169;-9.078E-05;0.06219;-71.08;44.93;99.86;99.86;0.24;0.06228;0.06219;8.899E-05;-12.057;-12.063;-40.506;0.50;90.08;
2026-01-07 15:32:23.14;0.00:00:00:342;0.00;0.00;1.00;0.06207;-0.0001109;-9.889E-05;0.06198;-69.13;44.93;99.86;99.86;0.24;0.06207;0.06199;8.845E-05;-12.071;-12.077;-40.533;0.50;90.09;
2026-01-07 15:32:23.18;0.00:00:00:390;0.00;0.00;1.00;0.06217;-0.0001122;-0.0001043;0.06208;-68.54;44.93;99.86;99.85;0.25;0.06217;0.06208;8.998E-05;-12.064;-12.071;-40.458;0.50;90.10;
2026-01-07 15:32:23.24;0.00:00:00:450;0.00;0.00;1.00;0.06221;-0.0001162;-9.801E-05;0.06212;-69.93;44.93;99.85;99.85;0.24;0.06221;0.06212;9.167E-05;-12.061;-12.068;-40.378;0.50;90.09;
2026-01-07 15:32:23.29;0.00:00:00:497;0.00;0.00;1.00;0.06217;-0.0001142;-8.552E-05;0.06208;-71.59;44.93;99.85;99.85;0.23;0.06217;0.06208;9.226E-05;-12.064;-12.070;-40.350;0.50;90.08;
2026-01-07 15:32:23.34;0.00:00:00:543;0.00;0.00;1.00;0.0621;-0.0001262;-8.996E-05;0.06201;-72.26;44.93;99.86;99.86;0.25;0.0621;0.06202;8.968E-05;-12.069;-12.075;-40.473;0.50;90.08;
2026-01-07 15:32:23.38;0.00:00:00:588;0.00;0.00;1.00;0.06204;-0.0001184;-8.71E-05;0.06195;-71.84;44.93;99.85;99.85;0.24;0.06204;0.06195;9.028E-05;-12.073;-12.080;-40.444;0.50;90.08;
2026-01-07 15:32:23.43;0.00:00:00:635;0.00;0.00;1.00;0.06203;-0.0001198;-8.995E-05;0.06194;-71.55;44.93;99.85;99.85;0.24;0.06203;0.06194;9.154E-05;-12.074;-12.080;-40.384;0.50;90.08;
2026-01-07 15:32:23.48;0.00:00:00:682;0.00;0.00;1.00;0.06209;-0.000118;-9.869E-05;0.062;-70.05;44.93;99.86;99.85;0.25;0.06209;0.062;8.992E-05;-12.070;-12.076;-40.461;0.50;90.09;
2026-01-07 15:32:23.52;0.00:00:00:728;0.00;0.00;1.00;0.0622;-0.0001194;-8.65E-05;0.06211;-72.04;44.93;99.85;99.85;0.24;0.0622;0.06211;9.115E-05;-12.062;-12.068;-40.402;0.50;90.08;
2026-01-07 15:32:23.57;0.00:00:00:776;0.00;0.00;1.00;0.06225;-0.0001158;-0.0001063;0.06216;-68.72;44.93;99.85;99.85;0.25;0.06225;0.06216;9.037E-05;-12.058;-12.065;-40.440;0.50;90.10;
2026-01-07 15:32:23.63;0.00:00:00:835;0.00;0.00;1.00;0.0622;-0.0001278;-9.386E-05;0.0621;-71.85;44.93;99.85;99.85;0.25;0.0622;0.0621;9.271E-05;-12.062;-12.069;-40.329;0.50;90.09;
2026-01-07 15:32:23.70;0.00:00:00:906;0.00;0.00;1.00;0.06224;-0.0001203;-9.759E-05;0.06215;-70.48;44.93;99.85;99.85;0.25;0.06224;0.06215;9.149E-05;-12.060;-12.066;-40.386;0.50;90.09;
