Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 13:34:44.81;0.00:00:00:048;-1.00;0.00;0.00;0.07189;-0.07191;-8.101E-06;0.0002219;-90.00;0.09;100.02;0.31;100.02;0.07189;0.07191;-1.402E-05;-11.433;-11.432;-99.990;0.00;92.09;
2026-01-07 13:34:44.86;0.00:00:00:097;-1.00;0.00;0.00;0.0719;-0.07192;1.63E-05;0.0002088;89.99;0.08;100.03;0.29;100.03;0.0719;0.07192;-1.913E-05;-11.433;-11.432;-99.990;0.00;85.54;
2026-01-07 13:34:44.91;0.00:00:00:145;-1.00;0.00;0.00;0.07202;-0.07204;1.1E-05;0.0002177;90.00;0.09;100.02;0.30;100.02;0.07202;0.07204;-1.678E-05;-11.425;-11.424;-99.990;0.00;87.11;
2026-01-07 13:34:44.96;0.00:00:00:196;-1.00;0.00;0.00;0.07195;-0.07196;5.085E-06;0.0002158;90.00;0.09;100.03;0.30;100.02;0.07195;0.07196;-1.799E-05;-11.430;-11.429;-99.990;0.00;88.65;
2026-01-07 13:34:45.01;0.00:00:00:246;-1.00;0.00;0.00;0.07199;-0.07201;6.096E-06;0.0002192;90.00;0.09;100.02;0.30;100.02;0.07199;0.07201;-1.677E-05;-11.427;-11.426;-99.990;0.00;88.41;
2026-01-07 13:34:45.06;0.00:00:00:297;-1.00;0.00;0.00;0.07202;-0.07204;-4.793E-07;0.0002213;-90.00;0.09;100.02;0.31;100.02;0.07202;0.07204;-1.57E-05;-11.425;-11.424;-99.990;0.00;90.12;
2026-01-07 13:34:45.11;0.00:00:00:347;-1.00;0.00;0.00;0.07189;-0.07191;1.011E-05;0.000217;90.00;0.09;100.02;0.30;100.02;0.07189;0.07191;-1.682E-05;-11.433;-11.432;-99.990;0.00;87.33;
2026-01-07 13:34:45.16;0.00:00:00:399;-1.00;0.00;0.00;0.07226;-0.07227;1.913E-05;0.0002227;89.99;0.09;100.02;0.31;100.02;0.07226;0.07227;-1.676E-05;-11.411;-11.410;-99.990;0.00;85.09;
2026-01-07 13:34:45.21;0.00:00:00:446;-1.00;0.00;0.00;0.07207;-0.07209;-1.086E-05;0.0002181;-90.00;0.09;100.02;0.30;100.02;0.07207;0.07209;-1.47E-05;-11.422;-11.421;-99.990;0.00;92.85;
2026-01-07 13:34:45.26;0.00:00:00:494;-1.00;0.00;0.00;0.07197;-0.07198;-4.222E-06;0.000221;-90.00;0.09;100.02;0.31;100.02;0.07197;0.07198;-1.698E-05;-11.429;-11.428;-99.990;0.00;91.09;
2026-01-07 13:34:45.31;0.00:00:00:543;-1.00;0.00;0.00;0.07196;-0.07198;2.063E-05;0.0002191;89.99;0.09;100.03;0.30;100.03;0.07196;0.07198;-1.9E-05;-11.429;-11.428;-99.990;0.00;84.62;
2026-01-07 13:34:45.36;0.00:00:00:597;-1.00;0.00;0.00;0.07204;-0.07206;1.258E-05;0.0002139;89.99;0.09;100.03;0.30;100.03;0.07204;0.07206;-1.967E-05;-11.424;-11.423;-99.990;0.00;86.63;
2026-01-07 13:34:45.41;0.00:00:00:645;-1.00;0.00;0.00;0.07212;-0.07214;-8.704E-06;0.0002256;-90.00;0.09;100.02;0.31;100.02;0.07212;0.07214;-1.442E-05;-11.419;-11.418;-99.990;0.00;92.21;
2026-01-07 13:34:45.45;0.00:00:00:692;-1.00;0.00;0.00;0.07197;-0.07199;7.534E-06;0.0002164;90.00;0.09;100.02;0.30;100.02;0.07197;0.07199;-1.504E-05;-11.428;-11.427;-99.990;0.00;88.01;
2026-01-07 13:34:45.51;0.00:00:00:744;-1.00;0.00;0.00;0.07196;-0.07197;-1.905E-05;0.0002239;-89.99;0.09;100.02;0.31;100.02;0.07196;0.07197;-1.504E-05;-11.429;-11.428;-99.990;0.00;94.86;
2026-01-07 13:34:45.56;0.00:00:00:794;-1.00;0.00;0.00;0.07183;-0.07185;7.232E-06;0.0002188;90.00;0.09;100.02;0.30;100.02;0.07183;0.07185;-1.544E-05;-11.437;-11.436;-99.990;0.00;88.11;
2026-01-07 13:34:45.60;0.00:00:00:843;-1.00;0.00;0.00;0.07176;-0.07178;-2.918E-06;0.0002186;-90.00;0.09;100.02;0.30;100.02;0.07176;0.07178;-1.6E-05;-11.441;-11.440;-99.990;0.00;90.77;
2026-01-07 13:34:45.66;0.00:00:00:896;-1.00;0.00;0.00;0.07174;-0.07176;2.301E-05;0.0002142;89.99;0.09;100.03;0.30;100.03;0.07174;0.07176;-1.98E-05;-11.443;-11.441;-99.990;0.00;83.87;
2026-01-07 13:34:45.71;0.00:00:00:948;-1.00;0.00;0.00;0.0719;-0.07191;3.355E-06;0.0002253;90.00;0.09;100.02;0.31;100.02;0.0719;0.07191;-1.481E-05;-11.433;-11.432;-99.990;0.00;89.15;
