Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:48:08.04;0.00:00:00:058;-1.00;0.00;-0.01;0.06037;-0.06038;8.518E-05;-0.0003119;89.96;-0.15;100.02;0.52;100.02;0.06037;0.06038;-9.962E-06;-12.192;-12.191;-99.990;0.00;-74.72;
2026-01-07 15:48:08.09;0.00:00:00:105;-1.00;0.00;-0.01;0.06042;-0.06043;8.778E-05;-0.0003052;89.96;-0.14;100.01;0.51;100.01;0.06042;0.06043;-8.399E-06;-12.188;-12.187;-99.990;0.00;-73.95;
2026-01-07 15:48:08.14;0.00:00:00:156;-1.00;0.00;-0.01;0.06035;-0.06036;7.187E-05;-0.0003059;89.97;-0.15;100.01;0.51;100.01;0.06035;0.06036;-7.604E-06;-12.193;-12.192;-99.990;0.00;-76.78;
2026-01-07 15:48:08.20;0.00:00:00:211;-1.00;0.00;-0.01;0.06037;-0.06037;7.865E-05;-0.000303;89.96;-0.14;100.01;0.50;100.01;0.06037;0.06037;-7.908E-06;-12.192;-12.191;-99.990;0.00;-75.45;
2026-01-07 15:48:08.24;0.00:00:00:259;-1.00;0.00;-0.01;0.06032;-0.06033;7.171E-05;-0.0003128;89.97;-0.15;100.02;0.52;100.02;0.06032;0.06033;-1.05E-05;-12.196;-12.195;-99.990;0.00;-77.09;
2026-01-07 15:48:08.29;0.00:00:00:309;-1.00;0.00;-0.01;0.06037;-0.06038;8.324E-05;-0.0003106;89.96;-0.15;100.01;0.51;100.01;0.06037;0.06038;-7.909E-06;-12.192;-12.191;-99.990;0.00;-75.00;
2026-01-07 15:48:08.35;0.00:00:00:362;-1.00;0.00;-0.01;0.06048;-0.06049;8.835E-05;-0.0003124;89.96;-0.15;100.02;0.52;100.02;0.06048;0.06049;-1.306E-05;-12.184;-12.183;-99.990;0.00;-74.21;
2026-01-07 15:48:08.39;0.00:00:00:410;-1.00;0.00;-0.01;0.06049;-0.06049;5.872E-05;-0.0003054;89.97;-0.14;100.01;0.50;100.01;0.06049;0.06049;-6.049E-06;-12.183;-12.183;-99.990;0.00;-79.12;
2026-01-07 15:48:08.44;0.00:00:00:460;-1.00;0.00;-0.01;0.0605;-0.06051;7.41E-05;-0.0003071;89.96;-0.15;100.02;0.51;100.02;0.0605;0.06051;-1.029E-05;-12.182;-12.182;-99.990;0.00;-76.43;
2026-01-07 15:48:08.49;0.00:00:00:509;-1.00;0.00;-0.01;0.06045;-0.06046;6.025E-05;-0.0003071;89.97;-0.15;100.01;0.51;100.01;0.06045;0.06046;-6.227E-06;-12.186;-12.185;-99.990;0.00;-78.90;
2026-01-07 15:48:08.54;0.00:00:00:560;-1.00;0.00;-0.01;0.06045;-0.06046;8.178E-05;-0.0003084;89.96;-0.15;100.02;0.51;100.01;0.06045;0.06046;-9.732E-06;-12.186;-12.186;-99.990;0.00;-75.15;
2026-01-07 15:48:08.60;0.00:00:00:614;-1.00;0.00;-0.01;0.06039;-0.0604;8.46E-05;-0.0003152;89.96;-0.15;100.02;0.52;100.02;0.06039;0.0604;-1.135E-05;-12.190;-12.190;-99.990;0.00;-74.97;
2026-01-07 15:48:08.65;0.00:00:00:662;-1.00;0.00;-0.01;0.06049;-0.0605;7.99E-05;-0.0003078;89.96;-0.15;100.02;0.51;100.02;0.06049;0.0605;-1.053E-05;-12.183;-12.182;-99.990;0.00;-75.45;
2026-01-07 15:48:08.70;0.00:00:00:711;-1.00;0.00;-0.01;0.0604;-0.06041;6.408E-05;-0.0003074;89.97;-0.15;100.01;0.51;100.01;0.0604;0.06041;-7.792E-06;-12.189;-12.189;-99.990;0.00;-78.23;
2026-01-07 15:48:08.75;0.00:00:00:764;-1.00;0.00;-0.01;0.06042;-0.06043;8.004E-05;-0.0003076;89.96;-0.15;100.02;0.51;100.01;0.06042;0.06043;-9.606E-06;-12.188;-12.188;-99.990;0.00;-75.41;
2026-01-07 15:48:08.80;0.00:00:00:812;-1.00;0.00;0.00;0.06044;-0.06045;7.39E-05;-0.0003011;89.96;-0.14;100.01;0.50;100.01;0.06044;0.06045;-8.884E-06;-12.187;-12.186;-99.990;0.00;-76.21;
2026-01-07 15:48:08.85;0.00:00:00:861;-1.00;0.00;-0.01;0.06038;-0.06039;7.335E-05;-0.0003101;89.97;-0.15;100.02;0.51;100.01;0.06038;0.06039;-9.299E-06;-12.191;-12.190;-99.990;0.00;-76.69;
2026-01-07 15:48:08.90;0.00:00:00:912;-1.00;0.00;-0.01;0.06047;-0.06048;8.652E-05;-0.0003072;89.96;-0.15;100.02;0.51;100.02;0.06047;0.06048;-9.917E-06;-12.185;-12.184;-99.990;0.00;-74.27;
2026-01-07 15:48:08.95;0.00:00:00:963;-1.00;0.00;-0.01;0.06051;-0.06051;7.895E-05;-0.0003081;89.96;-0.15;100.01;0.51;100.01;0.06051;0.06052;-8.168E-06;-12.182;-12.181;-99.990;0.00;-75.62;
