Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:54:45.06;0.00:00:00:066;-1.00;0.00;0.00;0.06074;-0.06074;1.705E-05;-2.72E-05;89.99;-0.01;100.00;0.04;100.00;0.06074;0.06074;-2.187E-06;-12.165;-12.165;-99.990;0.00;-57.91;
2026-01-07 15:54:45.12;0.00:00:00:119;-1.00;0.00;0.00;0.06066;-0.06066;3.668E-05;-3.313E-05;89.98;-0.02;100.01;0.05;100.01;0.06066;0.06066;-8.856E-06;-12.171;-12.171;-99.990;0.00;-42.09;
2026-01-07 15:54:45.17;0.00:00:00:170;-1.00;0.00;0.00;0.06056;-0.06057;3.517E-05;-3.889E-05;89.98;-0.02;100.01;0.06;100.01;0.06056;0.06057;-5.027E-06;-12.178;-12.178;-99.990;0.00;-47.88;
2026-01-07 15:54:45.22;0.00:00:00:220;-1.00;0.00;0.00;0.06084;-0.06085;4.458E-05;-3.35E-05;89.98;-0.02;100.01;0.06;100.01;0.06084;0.06085;-9.126E-06;-12.158;-12.158;-99.990;0.00;-36.93;
2026-01-07 15:54:45.27;0.00:00:00:270;-1.00;0.00;0.00;0.06078;-0.06079;3.043E-05;-3.661E-05;89.99;-0.02;100.01;0.06;100.01;0.06078;0.06079;-6.807E-06;-12.162;-12.162;-99.990;0.00;-50.26;
2026-01-07 15:54:45.32;0.00:00:00:324;-1.00;0.00;0.00;0.06079;-0.06079;3.214E-05;-2.665E-05;89.98;-0.01;100.01;0.04;100.01;0.06079;0.06079;-4.985E-06;-12.162;-12.161;-99.990;0.00;-39.66;
2026-01-07 15:54:45.37;0.00:00:00:372;-1.00;0.00;0.00;0.06073;-0.06074;4.329E-05;-3.743E-05;89.98;-0.02;100.01;0.06;100.01;0.06073;0.06074;-7.652E-06;-12.166;-12.165;-99.990;0.00;-40.85;
2026-01-07 15:54:45.42;0.00:00:00:424;-1.00;0.00;0.00;0.06073;-0.06074;3.855E-05;-3.495E-05;89.98;-0.02;100.01;0.06;100.01;0.06073;0.06074;-7.591E-06;-12.166;-12.166;-99.990;0.00;-42.20;
2026-01-07 15:54:45.47;0.00:00:00:478;-1.00;0.00;0.00;0.06076;-0.06077;4.16E-05;-3.544E-05;89.98;-0.02;100.02;0.06;100.02;0.06076;0.06077;-9.235E-06;-12.164;-12.163;-99.990;0.00;-40.43;
2026-01-07 15:54:45.53;0.00:00:00:529;-1.00;0.00;0.00;0.0607;-0.06071;3.379E-05;-3.295E-05;89.98;-0.02;100.01;0.05;100.01;0.0607;0.06071;-7.709E-06;-12.168;-12.167;-99.990;0.00;-44.28;
