Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-07 15:37:20.62;0.00:00:00:051;-0.99;0.15;0.00;0.06056;-0.05987;0.00922;-0.0002963;85.62;-0.14;100.02;0.49;100.02;0.06056;0.06058;-1.447E-05;-12.178;-12.177;-99.990;0.01;-1.84;
2026-01-07 15:37:20.67;0.00:00:00:098;-0.99;0.15;-0.01;0.06037;-0.05969;0.009209;-0.0003127;85.61;-0.15;100.03;0.52;100.03;0.06037;0.06039;-2.077E-05;-12.191;-12.190;-99.990;0.01;-1.94;
2026-01-07 15:37:20.72;0.00:00:00:147;-0.99;0.15;-0.01;0.06029;-0.0596;0.009191;-0.0003136;85.62;-0.15;100.03;0.52;100.03;0.06029;0.06031;-1.911E-05;-12.198;-12.196;-99.990;0.01;-1.95;
2026-01-07 15:37:20.76;0.00:00:00:193;-0.99;0.15;-0.01;0.06042;-0.05974;0.009226;-0.000315;85.61;-0.15;100.04;0.52;100.04;0.06042;0.06045;-2.592E-05;-12.188;-12.186;-99.990;0.01;-1.96;
2026-01-07 15:37:20.82;0.00:00:00:248;-0.99;0.15;-0.01;0.06048;-0.0598;0.009225;-0.0003115;85.61;-0.15;100.03;0.52;100.03;0.06048;0.0605;-1.978E-05;-12.184;-12.182;-99.990;0.01;-1.93;
2026-01-07 15:37:20.87;0.00:00:00:297;-0.99;0.15;-0.01;0.06055;-0.05987;0.009245;-0.0003165;85.61;-0.15;100.04;0.52;100.04;0.06055;0.06058;-2.428E-05;-12.179;-12.177;-99.990;0.01;-1.96;
2026-01-07 15:37:20.91;0.00:00:00:343;-0.99;0.15;-0.01;0.06074;-0.06005;0.009287;-0.0003209;85.60;-0.15;100.04;0.53;100.04;0.06074;0.06076;-2.709E-05;-12.165;-12.164;-99.990;0.01;-1.98;
2026-01-07 15:37:20.96;0.00:00:00:391;-0.99;0.15;-0.01;0.06082;-0.06013;0.009287;-0.0003178;85.61;-0.15;100.05;0.52;100.04;0.06082;0.06085;-2.773E-05;-12.160;-12.158;-99.990;0.01;-1.96;
2026-01-07 15:37:21.01;0.00:00:00:440;-0.99;0.15;-0.01;0.06084;-0.06015;0.00928;-0.0003064;85.61;-0.14;100.04;0.50;100.03;0.06084;0.06086;-2.129E-05;-12.158;-12.157;-99.990;0.01;-1.89;
2026-01-07 15:37:21.06;0.00:00:00:491;-0.99;0.15;-0.01;0.06079;-0.0601;0.00927;-0.0003089;85.62;-0.15;100.04;0.51;100.03;0.06079;0.06081;-2.152E-05;-12.162;-12.160;-99.990;0.01;-1.91;
2026-01-07 15:37:21.11;0.00:00:00:542;-0.99;0.15;-0.01;0.06071;-0.06002;0.009254;-0.0003109;85.62;-0.15;100.04;0.51;100.03;0.06071;0.06073;-2.179E-05;-12.168;-12.166;-99.990;0.01;-1.92;
2026-01-07 15:37:21.17;0.00:00:00:596;-0.99;0.15;-0.01;0.06067;-0.05997;0.009249;-0.0003057;85.62;-0.14;100.03;0.50;100.03;0.06067;0.06068;-1.923E-05;-12.171;-12.169;-99.990;0.01;-1.89;
2026-01-07 15:37:21.21;0.00:00:00:644;-0.99;0.15;-0.01;0.06059;-0.0599;0.009235;-0.0003128;85.62;-0.15;100.03;0.52;100.03;0.06059;0.06061;-2.109E-05;-12.176;-12.174;-99.990;0.01;-1.94;
2026-01-07 15:37:21.26;0.00:00:00:694;-0.99;0.15;-0.01;0.06059;-0.0599;0.009256;-0.0003166;85.61;-0.15;100.04;0.52;100.04;0.06059;0.06061;-2.702E-05;-12.176;-12.174;-99.990;0.01;-1.96;
2026-01-07 15:37:21.31;0.00:00:00:746;-0.99;0.15;-0.01;0.06068;-0.06;0.009257;-0.0003092;85.61;-0.15;100.04;0.51;100.04;0.06068;0.06071;-2.221E-05;-12.169;-12.168;-99.990;0.01;-1.91;
2026-01-07 15:37:21.36;0.00:00:00:794;-0.99;0.15;-0.01;0.0607;-0.06001;0.009263;-0.0003068;85.61;-0.14;100.04;0.51;100.04;0.0607;0.06072;-2.561E-05;-12.168;-12.167;-99.990;0.01;-1.90;
2026-01-07 15:37:21.41;0.00:00:00:844;-0.99;0.15;-0.01;0.06072;-0.06004;0.009257;-0.0003136;85.62;-0.15;100.04;0.52;100.03;0.06072;0.06075;-2.198E-05;-12.166;-12.165;-99.990;0.01;-1.94;
2026-01-07 15:37:21.46;0.00:00:00:890;-0.99;0.15;-0.01;0.06069;-0.06001;0.009257;-0.0003127;85.62;-0.15;100.04;0.52;100.04;0.06069;0.06072;-2.234E-05;-12.169;-12.167;-99.990;0.01;-1.94;
2026-01-07 15:37:21.51;0.00:00:00:938;-0.99;0.15;-0.01;0.06065;-0.05996;0.009241;-0.000306;85.62;-0.14;100.03;0.50;100.03;0.06065;0.06067;-1.983E-05;-12.172;-12.171;-99.990;0.01;-1.90;
2026-01-07 15:37:21.56;0.00:00:00:989;-0.99;0.15;-0.01;0.06069;-0.06;0.009265;-0.0003124;85.61;-0.15;100.04;0.51;100.04;0.06069;0.06071;-2.525E-05;-12.169;-12.167;-99.990;0.01;-1.93;
2026-01-07 15:37:21.61;0.00:00:01:041;-0.99;0.15;-0.01;0.06065;-0.05996;0.00925;-0.0003112;85.61;-0.15;100.04;0.51;100.03;0.06065;0.06067;-2.123E-05;-12.172;-12.170;-99.990;0.01;-1.93;
2026-01-07 15:37:21.66;0.00:00:01:091;-0.99;0.15;-0.01;0.06058;-0.0599;0.009234;-0.0003164;85.62;-0.15;100.04;0.52;100.04;0.06058;0.06061;-2.242E-05;-12.176;-12.175;-99.990;0.01;-1.96;
2026-01-07 15:37:21.71;0.00:00:01:143;-0.99;0.15;-0.01;0.06063;-0.05995;0.009252;-0.0003091;85.61;-0.15;100.04;0.51;100.04;0.06063;0.06066;-2.243E-05;-12.173;-12.171;-99.990;0.01;-1.91;
2026-01-07 15:37:21.76;0.00:00:01:193;-0.99;0.15;-0.01;0.06063;-0.05994;0.009241;-0.0003064;85.62;-0.14;100.04;0.51;100.03;0.06063;0.06065;-2.189E-05;-12.173;-12.172;-99.990;0.01;-1.90;
2026-01-07 15:37:21.81;0.00:00:01:243;-0.99;0.15;-0.01;0.06058;-0.05989;0.00924;-0.0003061;85.61;-0.14;100.03;0.51;100.03;0.06058;0.0606;-2.054E-05;-12.177;-12.175;-99.990;0.01;-1.90;
2026-01-07 15:37:21.86;0.00:00:01:294;-0.99;0.15;-0.01;0.06051;-0.05982;0.009232;-0.00031;85.61;-0.15;100.04;0.51;100.04;0.06051;0.06053;-2.257E-05;-12.182;-12.180;-99.990;0.01;-1.92;
2026-01-07 15:37:21.91;0.00:00:01:342;-0.99;0.15;-0.01;0.06051;-0.05982;0.009237;-0.0003099;85.61;-0.15;100.04;0.51;100.04;0.06051;0.06053;-2.348E-05;-12.182;-12.180;-99.990;0.01;-1.92;
2026-01-07 15:37:21.96;0.00:00:01:396;-0.99;0.15;-0.01;0.06074;-0.06006;0.009277;-0.0003125;85.61;-0.15;100.04;0.51;100.04;0.06074;0.06077;-2.63E-05;-12.165;-12.163;-99.990;0.01;-1.93;
2026-01-07 15:37:22.01;0.00:00:01:446;-0.99;0.15;-0.01;0.06078;-0.06009;0.009274;-0.0003106;85.61;-0.15;100.04;0.51;100.04;0.06078;0.06081;-2.285E-05;-12.162;-12.161;-99.990;0.01;-1.92;
2026-01-07 15:37:22.07;0.00:00:01:498;-0.99;0.15;-0.01;0.06079;-0.0601;0.009277;-0.0003131;85.61;-0.15;100.04;0.52;100.04;0.06079;0.06081;-2.371E-05;-12.162;-12.160;-99.990;0.01;-1.93;
2026-01-07 15:37:22.12;0.00:00:01:547;-0.99;0.15;-0.01;0.0608;-0.06012;0.009277;-0.0003101;85.61;-0.15;100.04;0.51;100.04;0.0608;0.06083;-2.396E-05;-12.161;-12.159;-99.990;0.01;-1.91;
2026-01-07 15:37:22.17;0.00:00:01:596;-0.99;0.15;-0.01;0.06072;-0.06004;0.009273;-0.0003129;85.61;-0.15;100.04;0.52;100.04;0.06072;0.06075;-2.654E-05;-12.167;-12.165;-99.990;0.01;-1.93;
2026-01-07 15:37:22.21;0.00:00:01:645;-0.99;0.15;-0.01;0.061;-0.06032;0.009337;-0.0003363;85.60;-0.16;100.06;0.55;100.06;0.061;0.06104;-3.764E-05;-12.146;-12.144;-99.990;0.01;-2.06;
2026-01-07 15:37:22.27;0.00:00:01:698;-0.99;0.15;0.00;0.06081;-0.06012;0.009252;-0.0003015;85.63;-0.14;100.03;0.50;100.02;0.06081;0.06083;-1.581E-05;-12.160;-12.159;-99.990;0.01;-1.87;
2026-01-07 15:37:22.31;0.00:00:01:746;-0.99;0.15;-0.01;0.06064;-0.05995;0.00924;-0.0003074;85.62;-0.15;100.04;0.51;100.03;0.06064;0.06066;-2.135E-05;-12.172;-12.171;-99.990;0.01;-1.91;
2026-01-07 15:37:22.37;0.00:00:01:799;-0.99;0.15;-0.01;0.06075;-0.06006;0.009266;-0.0003171;85.61;-0.15;100.04;0.52;100.04;0.06075;0.06078;-2.479E-05;-12.165;-12.163;-99.990;0.01;-1.96;
2026-01-07 15:37:22.42;0.00:00:01:848;-0.99;0.15;-0.01;0.0608;-0.06011;0.009279;-0.0003091;85.61;-0.15;100.04;0.51;100.04;0.0608;0.06082;-2.286E-05;-12.161;-12.159;-99.990;0.01;-1.91;
2026-01-07 15:37:22.47;0.00:00:01:899;-0.99;0.15;-0.01;0.06067;-0.05999;0.009259;-0.0003158;85.61;-0.15;100.04;0.52;100.04;0.06067;0.0607;-2.518E-05;-12.170;-12.168;-99.990;0.01;-1.95;
2026-01-07 15:37:22.52;0.00:00:01:951;-0.99;0.15;-0.01;0.06077;-0.06008;0.009283;-0.0003104;85.61;-0.15;100.04;0.51;100.04;0.06077;0.0608;-2.546E-05;-12.163;-12.161;-99.990;0.01;-1.91;
2026-01-07 15:37:22.57;0.00:00:02:000;-0.99;0.15;-0.01;0.06069;-0.06;0.009244;-0.0003108;85.62;-0.15;100.03;0.51;100.03;0.06069;0.06071;-1.924E-05;-12.169;-12.168;-99.990;0.01;-1.93;
2026-01-07 15:37:22.62;0.00:00:02:049;-0.99;0.15;-0.01;0.06063;-0.05995;0.009249;-0.0003085;85.61;-0.15;100.04;0.51;100.03;0.06063;0.06066;-2.128E-05;-12.173;-12.171;-99.990;0.01;-1.91;
2026-01-07 15:37:22.67;0.00:00:02:103;-0.99;0.15;-0.01;0.06068;-0.05999;0.009263;-0.0003138;85.61;-0.15;100.04;0.52;100.04;0.06068;0.0607;-2.458E-05;-12.170;-12.168;-99.990;0.01;-1.94;
2026-01-07 15:37:22.72;0.00:00:02:151;-0.99;0.15;0.00;0.06059;-0.0599;0.009236;-0.0003001;85.62;-0.14;100.03;0.50;100.03;0.06059;0.0606;-1.787E-05;-12.176;-12.175;-99.990;0.01;-1.86;
2026-01-07 15:37:22.77;0.00:00:02:202;-0.99;0.15;-0.01;0.06049;-0.05981;0.009228;-0.0003083;85.61;-0.15;100.04;0.51;100.03;0.06049;0.06052;-2.19E-05;-12.183;-12.181;-99.990;0.01;-1.91;
