Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-08 15:31:12.15;0.00:00:00:047;0.00;-1.00;0.00;0.01528;1.746E-05;-0.01522;-1.115E-06;-44.97;0.00;99.60;0.01;99.60;0.01528;0.01522;6.108E-05;-18.159;-18.176;-42.141;0.50;-180.00;
2026-01-08 15:31:12.20;0.00:00:00:096;0.00;-1.00;0.00;0.01529;1.535E-05;-0.01522;-1.641E-06;-44.97;0.00;99.56;0.01;99.56;0.01529;0.01522;6.663E-05;-18.156;-18.175;-41.763;0.50;-179.99;
2026-01-08 15:31:12.25;0.00:00:00:146;0.00;-1.00;0.00;0.01531;1.54E-05;-0.01525;-1.777E-06;-44.97;0.00;99.62;0.01;99.62;0.01531;0.01525;5.787E-05;-18.151;-18.168;-42.375;0.50;-179.99;
2026-01-08 15:31:12.30;0.00:00:00:198;0.00;-1.00;0.00;0.01527;2.453E-05;-0.01523;-2.197E-06;-44.95;0.00;99.74;0.01;99.74;0.01527;0.01523;4.033E-05;-18.163;-18.174;-43.944;0.50;-179.99;
2026-01-08 15:31:12.35;0.00:00:00:248;0.00;-1.00;0.00;0.01535;1.368E-05;-0.01528;4.24E-08;-44.97;0.00;99.54;0.00;99.54;0.01535;0.01528;7.017E-05;-18.139;-18.159;-41.538;0.50;180.00;
2026-01-08 15:31:12.40;0.00:00:00:296;0.00;-1.00;0.00;0.0154;1.59E-05;-0.01533;-1.5E-06;-44.97;0.00;99.55;0.01;99.55;0.0154;0.01533;6.869E-05;-18.126;-18.146;-41.631;0.50;-179.99;
2026-01-08 15:31:12.45;0.00:00:00:348;0.00;-1.00;0.00;0.01563;3.047E-05;-0.01561;-5.697E-06;-44.94;-0.01;99.86;0.04;99.86;0.01563;0.01561;2.122E-05;-18.061;-18.067;-46.733;0.50;-179.98;
2026-01-08 15:31:12.50;0.00:00:00:398;0.00;-1.00;0.00;0.01546;2.628E-05;-0.01542;-2.983E-06;-44.95;-0.01;99.76;0.02;99.76;0.01546;0.01542;3.722E-05;-18.109;-18.120;-44.292;0.50;-179.99;
2026-01-08 15:31:12.55;0.00:00:00:448;0.00;-1.00;0.00;0.01544;1.597E-05;-0.01538;2.752E-06;-44.97;0.01;99.58;0.02;99.58;0.01544;0.01538;6.491E-05;-18.112;-18.131;-41.877;0.50;179.99;
2026-01-08 15:31:12.61;0.00:00:00:500;0.00;-1.00;0.00;0.01538;2.244E-05;-0.01534;-2.426E-06;-44.96;0.00;99.72;0.02;99.72;0.01538;0.01534;4.334E-05;-18.129;-18.142;-43.631;0.50;-179.99;
2026-01-08 15:31:12.65;0.00:00:00:549;0.00;-1.00;0.00;0.01527;1.818E-05;-0.01521;-1.867E-06;-44.97;0.00;99.61;0.01;99.61;0.01527;0.01521;5.92E-05;-18.162;-18.178;-42.277;0.50;-179.99;
2026-01-08 15:31:12.71;0.00:00:00:600;0.00;-1.00;0.00;0.01521;2.282E-05;-0.01517;-2.424E-06;-44.96;0.00;99.71;0.02;99.71;0.01521;0.01517;4.48E-05;-18.178;-18.191;-43.487;0.50;-179.99;
2026-01-08 15:31:12.75;0.00:00:00:649;0.00;-1.00;0.00;0.01524;1.448E-05;-0.01517;3.152E-06;-44.97;0.01;99.52;0.02;99.52;0.01524;0.01517;7.299E-05;-18.170;-18.191;-41.367;0.50;179.99;
2026-01-08 15:31:12.80;0.00:00:00:697;0.00;-1.00;0.00;0.01526;1.68E-05;-0.0152;-2.433E-06;-44.97;0.00;99.61;0.02;99.61;0.01526;0.0152;5.946E-05;-18.166;-18.183;-42.258;0.50;-179.99;
2026-01-08 15:31:12.86;0.00:00:00:751;0.00;-1.00;0.00;0.01527;2.163E-05;-0.01522;-2.404E-06;-44.96;0.00;99.68;0.02;99.68;0.01527;0.01522;4.894E-05;-18.162;-18.176;-43.103;0.50;-179.99;
2026-01-08 15:31:12.91;0.00:00:00:802;0.00;-1.00;0.00;0.01522;1.761E-05;-0.01516;-2.801E-06;-44.97;-0.01;99.63;0.02;99.63;0.01522;0.01516;5.674E-05;-18.177;-18.193;-42.461;0.50;-179.99;
2026-01-08 15:31:12.95;0.00:00:00:850;0.00;-1.00;0.00;0.01525;1.511E-05;-0.01518;-1.478E-06;-44.97;0.00;99.57;0.01;99.57;0.01525;0.01518;6.594E-05;-18.168;-18.187;-41.808;0.50;-179.99;
2026-01-08 15:31:13.00;0.00:00:00:900;0.00;-1.00;0.00;0.01528;1.457E-05;-0.01521;-3.372E-07;-44.97;0.00;99.56;0.00;99.56;0.01528;0.01521;6.669E-05;-18.159;-18.178;-41.759;0.50;-180.00;
2026-01-08 15:31:13.06;0.00:00:00:953;0.00;-1.00;0.00;0.01531;1.525E-05;-0.01524;-9.096E-07;-44.97;0.00;99.58;0.01;99.58;0.01531;0.01524;6.449E-05;-18.151;-18.170;-41.905;0.50;-180.00;
2026-01-08 15:31:13.11;0.00:00:01:003;0.00;-1.00;0.00;0.01531;1.643E-05;-0.01526;-3.679E-08;-44.97;0.00;99.61;0.00;99.61;0.01531;0.01526;5.911E-05;-18.149;-18.166;-42.283;0.50;-180.00;
2026-01-08 15:31:13.16;0.00:00:01:050;0.00;-1.00;0.00;0.01532;1.908E-05;-0.01527;7.654E-07;-44.96;0.00;99.65;0.00;99.65;0.01532;0.01527;5.411E-05;-18.147;-18.162;-42.668;0.50;180.00;
2026-01-08 15:31:13.20;0.00:00:01:098;0.00;-1.00;0.00;0.01526;1.372E-05;-0.0152;-4.184E-06;-44.97;-0.01;99.60;0.03;99.60;0.01526;0.0152;6.076E-05;-18.164;-18.181;-42.163;0.50;-179.98;
2026-01-08 15:31:13.25;0.00:00:01:144;0.00;-1.00;0.00;0.01533;1.21E-05;-0.01525;9.741E-07;-44.98;0.00;99.48;0.01;99.48;0.01533;0.01525;7.971E-05;-18.146;-18.168;-40.985;0.50;180.00;
2026-01-08 15:31:13.30;0.00:00:01:191;0.00;-1.00;0.00;0.01535;1.718E-05;-0.01529;-2.395E-06;-44.97;0.00;99.62;0.02;99.62;0.01535;0.01529;5.786E-05;-18.140;-18.156;-42.376;0.50;-179.99;
2026-01-08 15:31:13.35;0.00:00:01:240;0.00;-1.00;0.00;0.01532;2.022E-05;-0.01527;-1.603E-06;-44.96;0.00;99.67;0.01;99.67;0.01532;0.01527;5.058E-05;-18.146;-18.161;-42.960;0.50;-179.99;
2026-01-08 15:31:13.40;0.00:00:01:292;0.00;-1.00;0.00;0.01533;1.491E-05;-0.01526;9.897E-07;-44.97;0.00;99.55;0.01;99.55;0.01533;0.01526;6.915E-05;-18.145;-18.165;-41.602;0.50;180.00;
2026-01-08 15:31:13.45;0.00:00:01:342;0.00;-1.00;0.00;0.01533;1.72E-05;-0.01527;-2.821E-06;-44.97;-0.01;99.61;0.02;99.61;0.01533;0.01527;5.979E-05;-18.145;-18.162;-42.234;0.50;-179.99;
2026-01-08 15:31:13.50;0.00:00:01:395;0.00;-1.00;0.00;0.01532;1.203E-05;-0.01525;4.331E-08;-44.98;0.00;99.52;0.00;99.52;0.01532;0.01525;7.291E-05;-18.147;-18.168;-41.372;0.50;180.00;
2026-01-08 15:31:13.55;0.00:00:01:442;0.00;-1.00;0.00;0.01536;1.559E-05;-0.0153;-1.239E-06;-44.97;0.00;99.59;0.01;99.59;0.01536;0.0153;6.23E-05;-18.135;-18.153;-42.055;0.50;-180.00;
2026-01-08 15:31:13.60;0.00:00:01:492;0.00;-1.00;0.00;0.0153;1.569E-05;-0.01524;-4.287E-06;-44.97;-0.01;99.62;0.03;99.62;0.0153;0.01524;5.788E-05;-18.153;-18.170;-42.375;0.50;-179.98;
2026-01-08 15:31:13.65;0.00:00:01:545;0.00;-1.00;0.00;0.01534;1.398E-05;-0.01527;3.341E-07;-44.97;0.00;99.53;0.00;99.53;0.01534;0.01527;7.218E-05;-18.141;-18.162;-41.416;0.50;180.00;
2026-01-08 15:31:13.70;0.00:00:01:593;0.00;-1.00;0.00;0.01534;1.401E-05;-0.01528;-1.019E-06;-44.97;0.00;99.56;0.01;99.56;0.01534;0.01528;6.687E-05;-18.141;-18.160;-41.747;0.50;-180.00;
2026-01-08 15:31:13.75;0.00:00:01:643;0.00;-1.00;0.00;0.01536;1.544E-05;-0.0153;-2.004E-06;-44.97;0.00;99.59;0.01;99.59;0.01536;0.0153;6.308E-05;-18.136;-18.154;-42.001;0.50;-179.99;
