LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,08-Jan-2026 19:35:56,0                 
Time,Ampl
-0.0250000451,-0.0052
-0.0249999451,-0.0042
-0.0249998451,-0.0028
-0.0249997451,-0.0044
-0.0249996451,-0.0045
-0.0249995451,-0.0046
-0.0249994451,-0.0033
-0.0249993451,-0.0059
-0.0249992451,-0.0036
-0.0249991451,-0.0039
-0.0249990451,-0.0039
-0.0249989451,-0.0044
-0.0249988451,-0.0051
-0.0249987451,-0.0051
-0.0249986451,-0.0039
-0.0249985451,-0.0064
-0.0249984451,-0.0053
-0.0249983451,-0.0058
-0.0249982451,-0.0059
-0.0249981451,-0.0057
-0.0249980451,-0.0057
-0.0249979451,-0.0052
-0.0249978451,-0.0047
-0.0249977451,-0.0061
-0.0249976451,-0.0056
-0.0249975451,-0.0058
-0.0249974451,-0.0052
-0.0249973451,-0.0059
-0.0249972451,-0.005
-0.0249971451,-0.0049
-0.0249970451,-0.0057
-0.0249969451,-0.0053
-0.0249968451,-0.0048
-0.0249967451,-0.0046
-0.0249966451,-0.0057
-0.0249965451,-0.0056
-0.0249964451,-0.0052
-0.0249963451,-0.0051
-0.0249962451,-0.0039
-0.0249961451,-0.0043
-0.0249960451,-0.0042
-0.0249959451,-0.005
-0.0249958451,-0.0021
-0.0249957451,-0.003
-0.0249956451,-0.0038
-0.0249955451,-0.0042
-0.0249954451,-0.0029
-0.0249953451,-0.0033
-0.0249952451,-0.0029
-0.0249951451,-0.0029
-0.0249950451,-0.0037
-0.0249949451,-0.0029
-0.0249948451,-0.0033
-0.0249947451,-0.0028
-0.0249946451,-0.0032
-0.0249945451,-0.0024
-0.0249944451,-0.0022
-0.0249943451,-0.0038
-0.0249942451,-0.0034
-0.0249941451,-0.004
-0.0249940451,-0.0021
-0.0249939451,-0.0035
-0.0249938451,-0.0034
-0.0249937451,-0.0047
-0.0249936451,-0.0057
-0.0249935451,-0.0057
-0.0249934451,-0.0052
-0.0249933451,-0.0041
-0.0249932451,-0.0057
-0.0249931451,-0.0061
-0.0249930451,-0.0064
-0.0249929451,-0.005
-0.0249928451,-0.0054
-0.0249927451,-0.0049
-0.0249926451,-0.0033
-0.0249925451,-0.0041
-0.0249924451,-0.0029
-0.0249923451,-0.0031
-0.0249922451,-0.0032
-0.0249921451,-0.0048
-0.0249920451,-0.0041
-0.0249919451,-0.0047
-0.0249918451,-0.0041
-0.0249917451,-0.0051
-0.0249916451,-0.0045
-0.0249915451,-0.0044
-0.0249914451,-0.0035
-0.0249913451,-0.004
-0.0249912451,-0.0031
-0.0249911451,-0.004
-0.0249910451,-0.005
-0.0249909451,-0.0047
-0.0249908451,-0.0062
-0.0249907451,-0.0056
-0.0249906451,-0.0066
-0.0249905451,-0.006
-0.0249904451,-0.0072
-0.0249903451,-0.0063
-0.0249902451,-0.0068
-0.0249901451,-0.0063
-0.0249900451,-0.0053
-0.0249899451,-0.0057
-0.0249898451,-0.0052
-0.0249897451,-0.0054
-0.0249896451,-0.0044
-0.0249895451,-0.0054
-0.0249894451,-0.0057
-0.0249893451,-0.0053
-0.0249892451,-0.0062
-0.0249891451,-0.0057
-0.0249890451,-0.0059
-0.0249889451,-0.0051
-0.0249888451,-0.005
-0.0249887451,-0.0038
-0.0249886451,-0.0048
-0.0249885451,-0.005
-0.0249884451,-0.0039
-0.0249883451,-0.0053
-0.0249882451,-0.004
-0.0249881451,-0.0032
-0.0249880451,-0.0037
-0.0249879451,-0.0044
-0.0249878451,-0.0032
-0.0249877451,-0.0031
-0.0249876451,-0.0029
-0.0249875451,-0.0035
-0.0249874451,-0.0032
-0.0249873451,-0.003
-0.0249872451,-0.003
-0.0249871451,-0.0031
-0.0249870451,-0.0029
-0.0249869451,-0.0034
-0.0249868451,-0.0025
-0.0249867451,-0.0025
-0.0249866451,-0.0036
-0.0249865451,-0.0039
-0.0249864451,-0.0023
-0.0249863451,-0.0025
-0.0249862451,-0.003
-0.0249861451,-0.0026
-0.0249860451,-0.0036
-0.0249859451,-0.005
-0.0249858451,-0.0043
-0.0249857451,-0.0047
-0.0249856451,-0.0045
-0.0249855451,-0.0056
-0.0249854451,-0.0048
-0.0249853451,-0.0031
-0.0249852451,-0.0045
-0.0249851451,-0.005
-0.0249850451,-0.0039
-0.0249849451,-0.0036
-0.0249848451,-0.0053
-0.0249847451,-0.0042
-0.0249846451,-0.0027
-0.0249845451,-0.003
-0.0249844451,-0.0033
-0.0249843451,-0.003
-0.0249842451,-0.0022
-0.0249841451,-0.0035
-0.0249840451,-0.0027
-0.0249839451,-0.0029
-0.0249838451,-0.001
-0.0249837451,-0.002
-0.0249836451,-0.0023
-0.0249835451,-0.0021
-0.0249834451,-0.0016
-0.0249833451,-0.0021
-0.0249832451,-0.0025
-0.0249831451,0.0002
-0.0249830451,-0.0007
-0.0249829451,-0.0013
-0.0249828451,-0.0008
-0.0249827451,-0.0018
-0.0249826451,-0.0002
-0.0249825451,-0.0023
-0.0249824451,-0.0011
-0.0249823451,-0.0017
-0.0249822451,-0.0023
-0.0249821451,-0.0024
-0.0249820451,-0.0037
-0.0249819451,-0.003
-0.0249818451,-0.0034
-0.0249817451,-0.0036
-0.0249816451,-0.0029
-0.0249815451,-0.0043
-0.0249814451,-0.0038
-0.0249813451,-0.0035
-0.0249812451,-0.0036
-0.0249811451,-0.0047
-0.0249810451,-0.0054
-0.0249809451,-0.0051
-0.0249808451,-0.006
-0.0249807451,-0.0067
-0.0249806451,-0.0062
-0.0249805451,-0.0074
-0.0249804451,-0.0066
-0.0249803451,-0.0071
-0.0249802451,-0.0057
-0.0249801451,-0.006
-0.0249800451,-0.0066
-0.0249799451,-0.0055
-0.0249798451,-0.0045
-0.0249797451,-0.0052
-0.0249796451,-0.004
-0.0249795451,-0.0061
-0.0249794451,-0.0049
-0.0249793451,-0.0059
-0.0249792451,-0.0045
-0.0249791451,-0.0054
-0.0249790451,-0.005
-0.0249789451,-0.0042
-0.0249788451,-0.0022
-0.0249787451,-0.0054
-0.0249786451,-0.006
-0.0249785451,-0.0051
-0.0249784451,-0.0042
-0.0249783451,-0.0035
-0.0249782451,-0.0048
-0.0249781451,-0.0028
-0.0249780451,-0.0038
-0.0249779451,-0.002
-0.0249778451,-0.0027
-0.0249777451,-0.0015
-0.0249776451,-0.0007
-0.0249775451,-0.001
-0.0249774451,-0.0018
-0.0249773451,-0.0016
-0.0249772451,-0.0028
-0.0249771451,-0.0045
-0.0249770451,-0.004
-0.0249769451,-0.0053
-0.0249768451,-0.0045
-0.0249767451,-0.0054
-0.0249766451,-0.005
-0.0249765451,-0.0053
-0.0249764451,-0.004
-0.0249763451,-0.0036
-0.0249762451,-0.0032
-0.0249761451,-0.0036
-0.0249760451,-0.0039
-0.0249759451,-0.0034
-0.0249758451,-0.0037
-0.0249757451,-0.0048
-0.0249756451,-0.0034
-0.0249755451,-0.0036
-0.0249754451,-0.0041
-0.0249753451,-0.0031
-0.0249752451,-0.0017
-0.0249751451,-0.0019
-0.0249750451,-0.0021
-0.0249749451,-0.004
-0.0249748451,-0.0019
-0.0249747451,-0.0011
-0.0249746451,-0.0027
-0.0249745451,-0.0039
-0.0249744451,-0.0033
-0.0249743451,-0.0033
-0.0249742451,-0.0038
-0.0249741451,-0.0046
-0.0249740451,-0.0042
-0.0249739451,-0.004
-0.0249738451,-0.0041
-0.0249737451,-0.0038
-0.0249736451,-0.0042
-0.0249735451,-0.0032
-0.0249734451,-0.0037
-0.0249733451,-0.0044
-0.0249732451,-0.0037
-0.0249731451,-0.0046
-0.0249730451,-0.0048
-0.0249729451,-0.0045
-0.0249728451,-0.0046
-0.0249727451,-0.0055
-0.0249726451,-0.0047
-0.0249725451,-0.0065
-0.0249724451,-0.0059
-0.0249723451,-0.0054
-0.0249722451,-0.0049
-0.0249721451,-0.0063
-0.0249720451,-0.0052
-0.0249719451,-0.0063
-0.0249718451,-0.0065
-0.0249717451,-0.0058
-0.0249716451,-0.0068
-0.0249715451,-0.0067
-0.0249714451,-0.0065
-0.0249713451,-0.0063
-0.0249712451,-0.0079
-0.0249711451,-0.0067
-0.0249710451,-0.0062
-0.0249709451,-0.0055
-0.0249708451,-0.0078
-0.0249707451,-0.0063
-0.0249706451,-0.005
-0.0249705451,-0.0063
-0.0249704451,-0.0053
-0.0249703451,-0.0054
-0.0249702451,-0.005
-0.0249701451,-0.0053
-0.0249700451,-0.0051
-0.0249699451,-0.0053
-0.0249698451,-0.0051
-0.0249697451,-0.0065
-0.0249696451,-0.0052
-0.0249695451,-0.0049
-0.0249694451,-0.0051
-0.0249693451,-0.0047
-0.0249692451,-0.0042
-0.0249691451,-0.0044
-0.0249690451,-0.0038
-0.0249689451,-0.0039
-0.0249688451,-0.0036
-0.0249687451,-0.0042
-0.0249686451,-0.0035
-0.0249685451,-0.0039
-0.0249684451,-0.0031
-0.0249683451,-0.0031
-0.0249682451,-0.0035
-0.0249681451,-0.0036
-0.0249680451,-0.0032
-0.0249679451,-0.0043
-0.0249678451,-0.0037
-0.0249677451,-0.003
-0.0249676451,-0.0034
-0.0249675451,-0.0049
-0.0249674451,-0.0046
-0.0249673451,-0.0043
-0.0249672451,-0.0046
-0.0249671451,-0.0039
-0.0249670451,-0.0053
-0.0249669451,-0.0052
-0.0249668451,-0.0052
-0.0249667451,-0.0063
-0.0249666451,-0.0055
-0.0249665451,-0.0058
-0.0249664451,-0.0056
-0.0249663451,-0.0045
-0.0249662451,-0.0052
-0.0249661451,-0.0046
-0.0249660451,-0.0039
-0.0249659451,-0.003
-0.0249658451,-0.0041
-0.0249657451,-0.0025
-0.0249656451,-0.0017
-0.0249655451,-0.0027
-0.0249654451,-0.0029
-0.0249653451,-0.0033
-0.0249652451,-0.0047
-0.0249651451,-0.0037
-0.0249650451,-0.0039
-0.0249649451,-0.0028
-0.0249648451,-0.0039
-0.0249647451,-0.0043
-0.0249646451,-0.0053
-0.0249645451,-0.0067
-0.0249644451,-0.0057
-0.0249643451,-0.0049
-0.0249642451,-0.0042
-0.0249641451,-0.0046
-0.0249640451,-0.005
-0.0249639451,-0.0041
-0.0249638451,-0.0025
-0.0249637451,-0.0028
-0.0249636451,-0.0033
-0.0249635451,-0.0043
-0.0249634451,-0.0029
-0.0249633451,-0.0028
-0.0249632451,-0.0047
-0.0249631451,-0.0039
-0.0249630451,-0.0052
-0.0249629451,-0.0054
-0.0249628451,-0.0048
-0.0249627451,-0.0059
-0.0249626451,-0.0046
-0.0249625451,-0.0058
-0.0249624451,-0.0061
-0.0249623451,-0.0062
-0.0249622451,-0.008
-0.0249621451,-0.0066
-0.0249620451,-0.008
-0.0249619451,-0.0072
-0.0249618451,-0.0081
-0.0249617451,-0.0073
-0.0249616451,-0.0078
-0.0249615451,-0.0073
-0.0249614451,-0.0069
-0.0249613451,-0.0059
-0.0249612451,-0.0059
-0.0249611451,-0.0071
-0.0249610451,-0.0057
-0.0249609451,-0.0041
-0.0249608451,-0.0044
-0.0249607451,-0.0047
-0.0249606451,-0.0034
-0.0249605451,-0.003
-0.0249604451,-0.0023
-0.0249603451,-0.0028
-0.0249602451,-0.0023
-0.0249601451,-0.0022
