LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,08-Jan-2026 20:39:14,0                 
Time,Ampl
-0.0250000149,-0.0028
-0.0249999149,-0.0024
-0.0249998149,-0.0032
-0.0249997149,-0.0022
-0.0249996149,-0.003
-0.0249995149,-0.0038
-0.0249994149,-0.0032
-0.0249993149,-0.0032
-0.0249992149,-0.0032
-0.0249991149,-0.0026
-0.0249990149,-0.0036
-0.0249989149,-0.0028
-0.0249988149,-0.003
-0.0249987149,-0.003
-0.0249986149,-0.0022
-0.0249985149,-0.0028
-0.0249984149,-0.0024
-0.0249983149,-0.0032
-0.0249982149,-0.003
-0.0249981149,-0.0052
-0.0249980149,-0.0026
-0.0249979149,-0.0042
-0.0249978149,-0.0032
-0.0249977149,-0.0042
-0.0249976149,-0.0036
-0.0249975149,-0.0046
-0.0249974149,-0.003
-0.0249973149,-0.0048
-0.0249972149,-0.0052
-0.0249971149,-0.0038
-0.0249970149,-0.0034
-0.0249969149,-0.005
-0.0249968149,-0.0032
-0.0249967149,-0.004
-0.0249966149,-0.0022
-0.0249965149,-0.0028
-0.0249964149,-0.002
-0.0249963149,-0.0026
-0.0249962149,-0.0022
-0.0249961149,-0.0014
-0.0249960149,-0.0006
-0.0249959149,0.0006
-0.0249958149,-0.0022
-0.0249957149,-0.0024
-0.0249956149,-0.0026
-0.0249955149,-0.0022
-0.0249954149,-0.002
-0.0249953149,-0.0022
-0.0249952149,-0.0024
-0.0249951149,-0.0022
-0.0249950149,-0.0022
-0.0249949149,-0.0016
-0.0249948149,-0.0022
-0.0249947149,-0.004
-0.0249946149,-0.0026
-0.0249945149,-0.0042
-0.0249944149,-0.003
-0.0249943149,-0.005
-0.0249942149,-0.0046
-0.0249941149,-0.0052
-0.0249940149,-0.0032
-0.0249939149,-0.004
-0.0249938149,-0.005
-0.0249937149,-0.0036
-0.0249936149,-0.0028
-0.0249935149,-0.0026
-0.0249934149,-0.003
-0.0249933149,-0.003
-0.0249932149,-0.0052
-0.0249931149,-0.0036
-0.0249930149,-0.0046
-0.0249929149,-0.0032
-0.0249928149,-0.0058
-0.0249927149,-0.0046
-0.0249926149,-0.0042
-0.0249925149,-0.0038
-0.0249924149,-0.0038
-0.0249923149,-0.0044
-0.0249922149,-0.0032
-0.0249921149,-0.0034
-0.0249920149,-0.0026
-0.0249919149,-0.0042
-0.0249918149,-0.0042
-0.0249917149,-0.0044
-0.0249916149,-0.0048
-0.0249915149,-0.003
-0.0249914149,-0.003
-0.0249913149,-0.0038
-0.0249912149,-0.0046
-0.0249911149,-0.0032
-0.0249910149,-0.0022
-0.0249909149,-0.0004
-0.0249908149,-0.0026
-0.0249907149,-0.003
-0.0249906149,-0.0022
-0.0249905149,-0.0026
-0.0249904149,-0.0022
-0.0249903149,-0.0032
-0.0249902149,-0.0024
-0.0249901149,-0.0036
-0.0249900149,-0.004
-0.0249899149,-0.001
-0.0249898149,-0.003
-0.0249897149,-0.0036
-0.0249896149,-0.0028
-0.0249895149,-0.0024
-0.0249894149,-0.0022
-0.0249893149,-0.0032
-0.0249892149,-0.003
-0.0249891149,-0.0034
-0.0249890149,-0.004
-0.0249889149,-0.0034
-0.0249888149,-0.0028
-0.0249887149,-0.0036
-0.0249886149,-0.004
-0.0249885149,-0.0038
-0.0249884149,-0.003
-0.0249883149,-0.0034
-0.0249882149,-0.003
-0.0249881149,-0.0042
-0.0249880149,-0.003
-0.0249879149,-0.0036
-0.0249878149,-0.004
-0.0249877149,-0.0036
-0.0249876149,-0.003
-0.0249875149,-0.003
-0.0249874149,-0.0026
-0.0249873149,-0.0032
-0.0249872149,-0.0024
-0.0249871149,-0.0026
-0.0249870149,-0.0018
-0.0249869149,-0.0014
-0.0249868149,-0.0002
-0.0249867149,-0.0012
-0.0249866149,0.0004
-0.0249865149,0.0002
-0.0249864149,0.0002
-0.0249863149,0.0004
-0.0249862149,-0.0002
-0.0249861149,0.001
-0.0249860149,-0.0006
-0.0249859149,0.0008
-0.0249858149,0
-0.0249857149,-0.0002
-0.0249856149,-0.0004
-0.0249855149,-0.0002
-0.0249854149,-0.0016
-0.0249853149,-0.0016
-0.0249852149,-0.001
-0.0249851149,-0.0018
-0.0249850149,-0.0002
-0.0249849149,-0.0008
-0.0249848149,-0.0022
-0.0249847149,-0.0026
-0.0249846149,-0.0022
-0.0249845149,-0.0036
-0.0249844149,-0.004
-0.0249843149,-0.0046
-0.0249842149,-0.0054
-0.0249841149,-0.003
-0.0249840149,-0.0028
-0.0249839149,-0.0036
-0.0249838149,-0.002
-0.0249837149,-0.0026
-0.0249836149,-0.0022
-0.0249835149,-0.0024
-0.0249834149,-0.0026
-0.0249833149,-0.0028
-0.0249832149,-0.0026
-0.0249831149,-0.0022
-0.0249830149,-0.0012
-0.0249829149,-0.002
-0.0249828149,-0.0016
-0.0249827149,-0.0024
-0.0249826149,-0.002
-0.0249825149,-0.0018
-0.0249824149,-0.0034
-0.0249823149,-0.0026
-0.0249822149,-0.004
-0.0249821149,-0.0032
-0.0249820149,-0.002
-0.0249819149,-0.0024
-0.0249818149,-0.0038
-0.0249817149,-0.0034
-0.0249816149,-0.0046
-0.0249815149,-0.003
-0.0249814149,-0.0036
-0.0249813149,-0.0062
-0.0249812149,-0.0054
-0.0249811149,-0.0032
-0.0249810149,-0.0026
-0.0249809149,-0.0036
-0.0249808149,-0.004
-0.0249807149,-0.0036
-0.0249806149,-0.0032
-0.0249805149,-0.0034
-0.0249804149,-0.0038
-0.0249803149,-0.0024
-0.0249802149,-0.004
-0.0249801149,-0.0032
-0.0249800149,-0.0032
-0.0249799149,-0.0028
-0.0249798149,-0.0038
-0.0249797149,-0.0032
-0.0249796149,-0.0028
-0.0249795149,-0.0038
-0.0249794149,-0.0036
-0.0249793149,-0.0042
-0.0249792149,-0.004
-0.0249791149,-0.0042
-0.0249790149,-0.0048
-0.0249789149,-0.0034
-0.0249788149,-0.005
-0.0249787149,-0.0058
-0.0249786149,-0.0056
-0.0249785149,-0.0046
-0.0249784149,-0.0054
-0.0249783149,-0.0048
-0.0249782149,-0.0052
-0.0249781149,-0.0052
-0.0249780149,-0.004
-0.0249779149,-0.005
-0.0249778149,-0.0036
-0.0249777149,-0.0062
-0.0249776149,-0.0042
-0.0249775149,-0.0048
-0.0249774149,-0.0042
-0.0249773149,-0.0048
-0.0249772149,-0.0038
-0.0249771149,-0.0044
-0.0249770149,-0.0036
-0.0249769149,-0.003
-0.0249768149,-0.0024
-0.0249767149,-0.0028
-0.0249766149,-0.0014
-0.0249765149,-0.0004
-0.0249764149,-0.0016
-0.0249763149,-0.0014
-0.0249762149,0.001
-0.0249761149,-0.0004
-0.0249760149,-0.002
-0.0249759149,-0.0016
-0.0249758149,-0.0006
-0.0249757149,-0.0016
-0.0249756149,-0.002
-0.0249755149,-0.001
-0.0249754149,-0.0014
-0.0249753149,-0.0026
-0.0249752149,-0.002
-0.0249751149,-0.003
-0.0249750149,-0.0014
-0.0249749149,-0.003
-0.0249748149,-0.0018
-0.0249747149,-0.0018
-0.0249746149,-0.0024
-0.0249745149,-0.0014
-0.0249744149,-0.0022
-0.0249743149,-0.0012
-0.0249742149,-0.0012
-0.0249741149,-0.0026
-0.0249740149,-0.0038
-0.0249739149,-0.003
-0.0249738149,-0.0036
-0.0249737149,-0.0042
-0.0249736149,-0.004
-0.0249735149,-0.0026
-0.0249734149,-0.0038
-0.0249733149,-0.003
-0.0249732149,-0.004
-0.0249731149,-0.0036
-0.0249730149,-0.002
-0.0249729149,-0.0032
-0.0249728149,-0.0028
-0.0249727149,-0.004
-0.0249726149,-0.0036
-0.0249725149,-0.0034
-0.0249724149,-0.0046
-0.0249723149,-0.0048
-0.0249722149,-0.0042
-0.0249721149,-0.0048
-0.0249720149,-0.0038
-0.0249719149,-0.0046
-0.0249718149,-0.0042
-0.0249717149,-0.0052
-0.0249716149,-0.0044
-0.0249715149,-0.0038
-0.0249714149,-0.0044
-0.0249713149,-0.0028
-0.0249712149,-0.0046
-0.0249711149,-0.0038
-0.0249710149,-0.0046
-0.0249709149,-0.0052
-0.0249708149,-0.0066
-0.0249707149,-0.0054
-0.0249706149,-0.0054
-0.0249705149,-0.0058
-0.0249704149,-0.008
-0.0249703149,-0.0052
-0.0249702149,-0.0056
-0.0249701149,-0.006
-0.0249700149,-0.0042
-0.0249699149,-0.004
-0.0249698149,-0.0048
-0.0249697149,-0.006
-0.0249696149,-0.005
-0.0249695149,-0.0042
-0.0249694149,-0.0048
-0.0249693149,-0.0034
