LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,08-Jan-2026 19:36:55,0                 
Time,Ampl
-0.0250000346,-0.00517
-0.0249999346,-0.00449
-0.0249998346,-0.00467
-0.0249997346,-0.00571
-0.0249996346,-0.00444
-0.0249995346,-0.00415
-0.0249994346,-0.00353
-0.0249993346,-0.00315
-0.0249992346,-0.00441
-0.0249991346,-0.00281
-0.0249990346,-0.00192
-0.0249989346,-0.00384
-0.0249988346,-0.00492
-0.0249987346,-0.00504
-0.0249986346,-0.00408
-0.0249985346,-0.005
-0.0249984346,-0.00581
-0.0249983346,-0.0063
-0.0249982346,-0.00546
-0.0249981346,-0.00597
-0.0249980346,-0.00427
-0.0249979346,-0.00498
-0.0249978346,-0.00519
-0.0249977346,-0.00504
-0.0249976346,-0.00495
-0.0249975346,-0.00744
-0.0249974346,-0.00631
-0.0249973346,-0.00645
-0.0249972346,-0.00702
-0.0249971346,-0.00683
-0.0249970346,-0.00628
-0.0249969346,-0.00591
-0.0249968346,-0.00616
-0.0249967346,-0.00612
-0.0249966346,-0.00593
-0.0249965346,-0.00531
-0.0249964346,-0.00557
-0.0249963346,-0.0061
-0.0249962346,-0.00517
-0.0249961346,-0.00555
-0.0249960346,-0.00469
-0.0249959346,-0.00596
-0.0249958346,-0.00416
-0.0249957346,-0.00518
-0.0249956346,-0.00372
-0.0249955346,-0.00278
-0.0249954346,-0.00208
-0.0249953346,-0.00282
-0.0249952346,-0.00362
-0.0249951346,-0.00317
-0.0249950346,-0.00202
-0.0249949346,-0.00374
-0.0249948346,-0.00393
-0.0249947346,-0.00373
-0.0249946346,-0.00281
-0.0249945346,-0.00559
-0.0249944346,-0.00298
-0.0249943346,-0.0039
-0.0249942346,-0.00378
-0.0249941346,-0.00401
-0.0249940346,-0.00351
-0.0249939346,-0.00504
-0.0249938346,-0.00348
-0.0249937346,-0.00287
-0.0249936346,-0.00275
-0.0249935346,-0.00349
-0.0249934346,-0.00333
-0.0249933346,-0.00254
-0.0249932346,-0.00257
-0.0249931346,-0.00202
-0.0249930346,-0.00329
-0.0249929346,-0.00253
-0.0249928346,-0.00298
-0.0249927346,-0.0036
-0.0249926346,-0.00232
-0.0249925346,-0.00297
-0.0249924346,-0.00262
-0.0249923346,-0.00215
-0.0249922346,-0.00244
-0.0249921346,-0.00219
-0.0249920346,-0.00153
-0.0249919346,-0.00201
-0.0249918346,-0.00251
-0.0249917346,-0.00301
-0.0249916346,-0.00328
-0.0249915346,-0.003
-0.0249914346,-0.00248
-0.0249913346,-0.00411
-0.0249912346,-0.00386
-0.0249911346,-0.00413
-0.0249910346,-0.00481
-0.0249909346,-0.00459
-0.0249908346,-0.00515
-0.0249907346,-0.00512
-0.0249906346,-0.00558
-0.0249905346,-0.00601
-0.0249904346,-0.00532
-0.0249903346,-0.00615
-0.0249902346,-0.00598
-0.0249901346,-0.00528
-0.0249900346,-0.00666
-0.0249899346,-0.00637
-0.0249898346,-0.00563
-0.0249897346,-0.00496
-0.0249896346,-0.00523
-0.0249895346,-0.00449
-0.0249894346,-0.00398
-0.0249893346,-0.00522
-0.0249892346,-0.00534
-0.0249891346,-0.00411
-0.0249890346,-0.0032
-0.0249889346,-0.00378
-0.0249888346,-0.00325
-0.0249887346,-0.00305
-0.0249886346,-0.00257
-0.0249885346,-0.00266
-0.0249884346,-0.00398
-0.0249883346,-0.00286
-0.0249882346,-0.00243
-0.0249881346,-0.003
-0.0249880346,-0.00308
-0.0249879346,-0.0035
-0.0249878346,-0.0027
-0.0249877346,-0.00265
-0.0249876346,-0.00286
-0.0249875346,-0.00335
-0.0249874346,-0.00211
-0.0249873346,-0.00329
-0.0249872346,-0.0024
-0.0249871346,-0.00396
-0.0249870346,-0.00348
-0.0249869346,-0.00502
-0.0249868346,-0.00359
-0.0249867346,-0.004
-0.0249866346,-0.00365
-0.0249865346,-0.00369
-0.0249864346,-0.00482
-0.0249863346,-0.00505
-0.0249862346,-0.00472
-0.0249861346,-0.0061
-0.0249860346,-0.00517
-0.0249859346,-0.0046
-0.0249858346,-0.00376
-0.0249857346,-0.00599
-0.0249856346,-0.00505
-0.0249855346,-0.00527
-0.0249854346,-0.00497
-0.0249853346,-0.00517
-0.0249852346,-0.00423
-0.0249851346,-0.00495
-0.0249850346,-0.00484
-0.0249849346,-0.00517
-0.0249848346,-0.00576
-0.0249847346,-0.00611
-0.0249846346,-0.00593
-0.0249845346,-0.00498
-0.0249844346,-0.00412
-0.0249843346,-0.00492
-0.0249842346,-0.00369
-0.0249841346,-0.0035
-0.0249840346,-0.00385
-0.0249839346,-0.00457
-0.0249838346,-0.00296
-0.0249837346,-0.00353
-0.0249836346,-0.00388
-0.0249835346,-0.00281
-0.0249834346,-0.00289
-0.0249833346,-0.00387
-0.0249832346,-0.00452
-0.0249831346,-0.0034
-0.0249830346,-0.00207
-0.0249829346,-0.0018
-0.0249828346,-0.00334
-0.0249827346,-0.00421
-0.0249826346,-0.00336
-0.0249825346,-0.00358
-0.0249824346,-0.00269
-0.0249823346,-0.00349
-0.0249822346,-0.00328
-0.0249821346,-0.00351
-0.0249820346,-0.00366
-0.0249819346,-0.00324
-0.0249818346,-0.00391
-0.0249817346,-0.00445
-0.0249816346,-0.00434
-0.0249815346,-0.00532
-0.0249814346,-0.00393
-0.0249813346,-0.00359
-0.0249812346,-0.00335
-0.0249811346,-0.00394
-0.0249810346,-0.00328
-0.0249809346,-0.00308
-0.0249808346,-0.00286
-0.0249807346,-0.00338
-0.0249806346,-0.00305
-0.0249805346,-0.00415
-0.0249804346,-0.00341
-0.0249803346,-0.00444
-0.0249802346,-0.00326
-0.0249801346,-0.00444
-0.0249800346,-0.00403
-0.0249799346,-0.00403
-0.0249798346,-0.00281
-0.0249797346,-0.0029
-0.0249796346,-0.00116
-0.0249795346,-0.00323
-0.0249794346,-0.00316
-0.0249793346,-0.00339
