LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,08-Jan-2026 20:38:26,0                 
Time,Ampl
-0.0250000109,-0.0041
-0.0249999109,-0.0047
-0.0249998109,-0.0041
-0.0249997109,-0.0046
-0.0249996109,-0.0049
-0.0249995109,-0.0055
-0.0249994109,-0.0047
-0.0249993109,-0.004
-0.0249992109,-0.0039
-0.0249991109,-0.0043
-0.0249990109,-0.0018
-0.0249989109,-0.0038
-0.0249988109,-0.0041
-0.0249987109,-0.0046
-0.0249986109,-0.0044
-0.0249985109,-0.005
-0.0249984109,-0.0042
-0.0249983109,-0.0045
-0.0249982109,-0.0037
-0.0249981109,-0.0042
-0.0249980109,-0.0056
-0.0249979109,-0.0039
-0.0249978109,-0.0042
-0.0249977109,-0.0054
-0.0249976109,-0.004
-0.0249975109,-0.004
-0.0249974109,-0.0038
-0.0249973109,-0.0043
-0.0249972109,-0.0042
-0.0249971109,-0.0029
-0.0249970109,-0.0036
-0.0249969109,-0.0026
-0.0249968109,-0.0032
-0.0249967109,-0.0018
-0.0249966109,-0.0036
-0.0249965109,-0.0049
-0.0249964109,-0.0056
-0.0249963109,-0.0051
-0.0249962109,-0.0035
-0.0249961109,-0.0024
-0.0249960109,-0.0038
-0.0249959109,-0.0026
-0.0249958109,-0.0029
-0.0249957109,-0.0023
-0.0249956109,-0.003
-0.0249955109,-0.0026
-0.0249954109,-0.0031
-0.0249953109,-0.0025
-0.0249952109,-0.0041
-0.0249951109,-0.0049
-0.0249950109,-0.0027
-0.0249949109,-0.0031
-0.0249948109,-0.0037
-0.0249947109,-0.0048
-0.0249946109,-0.0027
-0.0249945109,-0.0038
-0.0249944109,-0.0031
-0.0249943109,-0.0038
-0.0249942109,-0.0048
-0.0249941109,-0.004
-0.0249940109,-0.0041
-0.0249939109,-0.0055
-0.0249938109,-0.0029
-0.0249937109,-0.0035
-0.0249936109,-0.004
-0.0249935109,-0.0028
-0.0249934109,-0.0037
-0.0249933109,-0.0027
-0.0249932109,-0.0033
-0.0249931109,-0.0037
-0.0249930109,-0.0033
-0.0249929109,-0.0025
-0.0249928109,-0.0035
-0.0249927109,-0.0024
-0.0249926109,-0.0022
-0.0249925109,-0.0028
-0.0249924109,-0.0025
-0.0249923109,-0.0029
-0.0249922109,-0.0031
-0.0249921109,-0.0032
-0.0249920109,-0.0034
-0.0249919109,-0.0039
-0.0249918109,-0.0037
-0.0249917109,-0.0046
-0.0249916109,-0.0045
-0.0249915109,-0.0048
-0.0249914109,-0.0041
-0.0249913109,-0.0034
-0.0249912109,-0.0038
-0.0249911109,-0.0038
-0.0249910109,-0.0043
-0.0249909109,-0.0035
-0.0249908109,-0.003
-0.0249907109,-0.0035
-0.0249906109,-0.0023
-0.0249905109,-0.0036
-0.0249904109,-0.0006
-0.0249903109,-0.0043
-0.0249902109,-0.0042
-0.0249901109,-0.0039
-0.0249900109,-0.0042
-0.0249899109,-0.0043
-0.0249898109,-0.0042
-0.0249897109,-0.0036
-0.0249896109,-0.004
-0.0249895109,-0.004
-0.0249894109,-0.0051
-0.0249893109,-0.005
-0.0249892109,-0.005
-0.0249891109,-0.0055
-0.0249890109,-0.0053
-0.0249889109,-0.0066
-0.0249888109,-0.0053
-0.0249887109,-0.0073
-0.0249886109,-0.0071
-0.0249885109,-0.0062
-0.0249884109,-0.0061
-0.0249883109,-0.0058
-0.0249882109,-0.0051
-0.0249881109,-0.005
-0.0249880109,-0.0053
-0.0249879109,-0.0049
-0.0249878109,-0.0064
-0.0249877109,-0.0055
-0.0249876109,-0.0059
-0.0249875109,-0.0033
-0.0249874109,-0.0044
-0.0249873109,-0.0029
-0.0249872109,-0.0038
-0.0249871109,-0.0049
-0.0249870109,-0.0047
-0.0249869109,-0.0052
-0.0249868109,-0.0053
-0.0249867109,-0.0069
-0.0249866109,-0.0067
-0.0249865109,-0.0074
-0.0249864109,-0.0067
-0.0249863109,-0.0071
-0.0249862109,-0.007
-0.0249861109,-0.0062
-0.0249860109,-0.007
-0.0249859109,-0.0064
-0.0249858109,-0.0054
-0.0249857109,-0.0055
-0.0249856109,-0.006
-0.0249855109,-0.005
-0.0249854109,-0.0038
-0.0249853109,-0.0043
-0.0249852109,-0.0042
-0.0249851109,-0.0053
-0.0249850109,-0.005
-0.0249849109,-0.0047
-0.0249848109,-0.0053
-0.0249847109,-0.0059
-0.0249846109,-0.0046
-0.0249845109,-0.0054
-0.0249844109,-0.0054
-0.0249843109,-0.0066
-0.0249842109,-0.0061
-0.0249841109,-0.0055
-0.0249840109,-0.006
-0.0249839109,-0.0059
-0.0249838109,-0.0057
-0.0249837109,-0.005
-0.0249836109,-0.0054
-0.0249835109,-0.005
-0.0249834109,-0.0042
-0.0249833109,-0.0047
-0.0249832109,-0.0038
-0.0249831109,-0.0037
-0.0249830109,-0.005
-0.0249829109,-0.0038
-0.0249828109,-0.0045
-0.0249827109,-0.004
-0.0249826109,-0.0047
-0.0249825109,-0.0059
-0.0249824109,-0.0048
-0.0249823109,-0.0053
-0.0249822109,-0.0064
-0.0249821109,-0.0065
-0.0249820109,-0.0061
-0.0249819109,-0.0055
-0.0249818109,-0.0054
-0.0249817109,-0.0064
-0.0249816109,-0.0062
-0.0249815109,-0.0069
-0.0249814109,-0.0056
-0.0249813109,-0.0049
-0.0249812109,-0.0051
-0.0249811109,-0.0057
-0.0249810109,-0.0054
-0.0249809109,-0.0052
-0.0249808109,-0.0051
-0.0249807109,-0.0057
-0.0249806109,-0.0039
-0.0249805109,-0.0049
-0.0249804109,-0.0047
-0.0249803109,-0.0048
-0.0249802109,-0.0062
-0.0249801109,-0.0056
-0.0249800109,-0.0058
-0.0249799109,-0.0055
-0.0249798109,-0.0065
-0.0249797109,-0.0075
-0.0249796109,-0.0068
-0.0249795109,-0.0073
-0.0249794109,-0.0068
-0.0249793109,-0.0073
-0.0249792109,-0.0078
-0.0249791109,-0.0076
-0.0249790109,-0.0067
-0.0249789109,-0.0067
-0.0249788109,-0.0072
-0.0249787109,-0.0059
-0.0249786109,-0.0064
-0.0249785109,-0.0069
-0.0249784109,-0.0061
-0.0249783109,-0.0056
-0.0249782109,-0.0058
-0.0249781109,-0.0066
-0.0249780109,-0.005
-0.0249779109,-0.0051
-0.0249778109,-0.0044
-0.0249777109,-0.0049
-0.0249776109,-0.004
-0.0249775109,-0.0031
-0.0249774109,-0.0016
-0.0249773109,-0.0023
-0.0249772109,-0.0023
-0.0249771109,-0.0027
-0.0249770109,-0.0017
-0.0249769109,-0.0036
