Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-08 15:29:58.96;0.00:00:00:047;0.00;1.00;0.00;0.01546;-1.013E-05;0.01534;5.82E-06;45.02;0.01;99.23;0.04;99.23;0.01546;0.01534;0.0001198;-18.107;-18.140;-39.217;0.50;0.02;
2026-01-08 15:29:59.01;0.00:00:00:098;0.00;1.00;0.00;0.01543;-1.297E-05;0.01531;1.265E-06;45.02;0.00;99.23;0.01;99.23;0.01543;0.01531;0.0001187;-18.117;-18.151;-39.255;0.50;0.00;
2026-01-08 15:29:59.06;0.00:00:00:149;0.00;1.00;0.00;0.01546;-1.431E-05;0.01534;2.087E-06;45.03;0.00;99.24;0.01;99.24;0.01546;0.01534;0.0001176;-18.107;-18.140;-39.295;0.50;0.01;
2026-01-08 15:29:59.11;0.00:00:00:200;0.00;1.00;0.00;0.01549;-1.102E-05;0.01537;2.504E-06;45.02;0.00;99.22;0.02;99.22;0.01549;0.01537;0.0001207;-18.100;-18.134;-39.184;0.50;0.01;
2026-01-08 15:29:59.16;0.00:00:00:249;0.00;1.00;0.00;0.01549;-1.226E-05;0.01537;3.334E-06;45.02;0.01;99.22;0.02;99.22;0.01549;0.01537;0.0001205;-18.100;-18.134;-39.189;0.50;0.01;
2026-01-08 15:29:59.21;0.00:00:00:299;0.00;1.00;0.00;0.01558;-4.051E-06;0.01546;1.126E-05;45.01;0.02;99.19;0.07;99.19;0.01558;0.01546;0.0001259;-18.073;-18.108;-38.998;0.50;0.04;
2026-01-08 15:29:59.26;0.00:00:00:352;0.00;1.00;0.00;0.01541;-9.416E-06;0.01529;4.599E-06;45.02;0.01;99.21;0.03;99.21;0.01541;0.01529;0.0001215;-18.122;-18.156;-39.154;0.50;0.02;
2026-01-08 15:29:59.31;0.00:00:00:400;0.00;1.00;0.00;0.01543;-2.189E-05;0.01531;-5.962E-06;45.04;-0.01;99.24;0.04;99.24;0.01543;0.01531;0.0001168;-18.117;-18.150;-39.324;0.50;-0.02;
2026-01-08 15:29:59.36;0.00:00:00:451;0.00;1.00;0.00;0.0154;-4.046E-06;0.01527;7.291E-06;45.01;0.01;99.20;0.05;99.20;0.0154;0.01527;0.0001238;-18.126;-18.161;-39.071;0.50;0.03;
2026-01-08 15:29:59.41;0.00:00:00:497;0.00;1.00;0.00;0.01536;-6.185E-06;0.01523;9.824E-06;45.01;0.02;99.20;0.06;99.20;0.01536;0.01523;0.0001231;-18.137;-18.172;-39.098;0.50;0.04;
