Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-08 13:08:10.03;0.00:00:00:045;1.00;0.00;0.00;0.06373;0.06316;7.446E-05;0.000176;0.03;0.08;99.11;0.28;99.11;0.06373;0.06316;0.0005685;-11.957;-11.996;-32.453;1.00;67.07;
2026-01-08 13:08:10.08;0.00:00:00:099;1.00;0.00;0.00;0.06375;0.06311;0.0001935;0.0001391;0.09;0.06;98.99;0.22;98.99;0.06375;0.06311;0.0006439;-11.955;-11.999;-31.912;1.00;35.71;
2026-01-08 13:08:10.13;0.00:00:00:146;1.00;0.00;0.00;0.06427;0.06369;0.0001212;0.0001925;0.05;0.09;99.10;0.30;99.10;0.06427;0.06369;0.0005794;-11.920;-11.959;-32.370;1.00;57.80;
2026-01-08 13:08:10.18;0.00:00:00:198;1.00;0.00;0.00;0.06332;0.06276;4.416E-05;0.0001513;0.02;0.07;99.12;0.24;99.12;0.06332;0.06276;0.0005599;-11.984;-12.023;-32.519;1.00;73.73;
2026-01-08 13:08:10.23;0.00:00:00:250;1.00;0.00;0.00;0.06359;0.06299;0.0001312;0.0001706;0.06;0.08;99.06;0.27;99.06;0.06359;0.06299;0.0005987;-11.966;-12.007;-32.228;1.00;52.44;
2026-01-08 13:08:10.28;0.00:00:00:299;1.00;0.00;0.00;0.06319;0.06261;8.302E-05;0.0001607;0.04;0.07;99.08;0.25;99.08;0.06319;0.06261;0.0005816;-11.994;-12.034;-32.354;1.00;62.68;
2026-01-08 13:08:10.33;0.00:00:00:350;1.00;0.00;0.00;0.06345;0.06282;0.000187;0.0001525;0.09;0.07;99.01;0.24;99.01;0.06345;0.06282;0.0006268;-11.976;-12.019;-32.029;1.00;39.20;
2026-01-08 13:08:10.38;0.00:00:00:399;1.00;0.00;0.00;0.0637;0.06311;8.965E-05;0.0001661;0.04;0.08;99.09;0.26;99.09;0.0637;0.06312;0.0005825;-11.959;-11.999;-32.347;1.00;61.64;
2026-01-08 13:08:10.43;0.00:00:00:449;1.00;0.00;0.00;0.06358;0.06303;5.223E-05;0.0001713;0.02;0.08;99.12;0.27;99.12;0.06358;0.06303;0.0005565;-11.966;-12.005;-32.545;1.00;73.04;
2026-01-08 13:08:10.48;0.00:00:00:500;1.00;0.00;0.00;0.06356;0.06296;0.0001183;0.0001584;0.05;0.07;99.07;0.25;99.07;0.06356;0.06296;0.0005937;-11.968;-12.009;-32.264;1.00;53.23;
2026-01-08 13:08:10.53;0.00:00:00:548;1.00;0.00;0.00;0.06364;0.06306;0.000107;0.0001651;0.05;0.08;99.09;0.26;99.09;0.06364;0.06306;0.0005817;-11.963;-12.002;-32.353;1.00;57.05;
2026-01-08 13:08:10.58;0.00:00:00:600;1.00;0.00;0.00;0.06334;0.06277;6.525E-05;0.0001694;0.03;0.08;99.10;0.27;99.10;0.06334;0.06277;0.0005681;-11.983;-12.022;-32.456;1.00;68.93;
2026-01-08 13:08:10.63;0.00:00:00:650;1.00;0.00;0.00;0.06329;0.06272;9.048E-05;0.0001623;0.04;0.07;99.09;0.26;99.09;0.06329;0.06272;0.0005729;-11.987;-12.026;-32.419;1.00;60.86;
2026-01-08 13:08:10.68;0.00:00:00:698;1.00;0.00;0.00;0.06397;0.06339;0.0001314;0.0001929;0.06;0.09;99.09;0.30;99.09;0.06397;0.06339;0.0005812;-11.940;-11.980;-32.357;1.00;55.74;
2026-01-08 13:08:10.73;0.00:00:00:749;1.00;0.00;0.00;0.0637;0.06314;3.352E-05;0.0001713;0.02;0.08;99.12;0.27;99.12;0.0637;0.06314;0.0005576;-11.959;-11.997;-32.537;1.00;78.92;
2026-01-08 13:08:10.78;0.00:00:00:795;1.00;0.00;0.00;0.06334;0.06279;3.768E-05;0.0001597;0.02;0.07;99.13;0.25;99.13;0.06334;0.06279;0.0005512;-11.983;-12.021;-32.587;1.00;76.72;
2026-01-08 13:08:10.83;0.00:00:00:845;1.00;0.00;0.00;0.06332;0.06272;0.0001137;0.0001624;0.05;0.07;99.06;0.26;99.06;0.06332;0.06272;0.0005955;-11.985;-12.026;-32.251;1.00;55.00;
2026-01-08 13:08:10.88;0.00:00:00:896;1.00;0.00;0.00;0.06365;0.06307;9.34E-05;0.0001651;0.04;0.08;99.09;0.26;99.09;0.06365;0.06307;0.0005805;-11.962;-12.002;-32.362;1.00;60.51;
2026-01-08 13:08:10.93;0.00:00:00:948;1.00;0.00;0.00;0.06377;0.06317;0.0001205;0.0001582;0.05;0.07;99.07;0.25;99.07;0.06377;0.06317;0.0005955;-11.954;-11.995;-32.251;1.00;52.70;
2026-01-08 13:08:10.98;0.00:00:00:997;1.00;0.00;0.00;0.0639;0.06333;8.954E-05;0.0001679;0.04;0.08;99.10;0.26;99.10;0.0639;0.06333;0.0005724;-11.945;-11.984;-32.423;1.00;61.92;
2026-01-08 13:08:11.03;0.00:00:01:048;1.00;0.00;0.00;0.06384;0.06328;6.323E-05;0.0001662;0.03;0.08;99.11;0.26;99.11;0.06384;0.06328;0.0005652;-11.949;-11.987;-32.478;1.00;69.17;
2026-01-08 13:08:11.08;0.00:00:01:098;1.00;0.00;0.00;0.06389;0.06329;0.00011;0.0001625;0.05;0.07;99.06;0.25;99.06;0.06389;0.06329;0.0006022;-11.945;-11.987;-32.202;1.00;55.91;
2026-01-08 13:08:11.13;0.00:00:01:147;1.00;0.00;0.00;0.06384;0.06328;5.033E-05;0.0001646;0.02;0.07;99.13;0.26;99.13;0.06384;0.06328;0.0005551;-11.949;-11.987;-32.556;1.00;73.00;
2026-01-08 13:08:11.18;0.00:00:01:198;1.00;0.00;0.00;0.06402;0.06344;9.809E-05;0.0001723;0.04;0.08;99.10;0.27;99.10;0.06402;0.06344;0.0005772;-11.937;-11.976;-32.387;1.00;60.34;
2026-01-08 13:08:11.23;0.00:00:01:248;1.00;0.00;0.00;0.06397;0.0634;6.352E-05;0.000169;0.03;0.08;99.11;0.26;99.11;0.06397;0.0634;0.0005686;-11.940;-11.979;-32.452;1.00;69.40;
2026-01-08 13:08:11.28;0.00:00:01:300;1.00;0.00;0.00;0.06376;0.06316;0.0001135;0.0001497;0.05;0.07;99.07;0.23;99.07;0.06376;0.06316;0.0005955;-11.955;-11.995;-32.251;1.00;52.84;
2026-01-08 13:08:11.33;0.00:00:01:349;1.00;0.00;0.00;0.06392;0.06335;0.0001012;0.0001708;0.05;0.08;99.10;0.27;99.10;0.06392;0.06335;0.0005747;-11.943;-11.983;-32.406;1.00;59.35;
2026-01-08 13:08:11.38;0.00:00:01:399;1.00;0.00;0.00;0.06384;0.06327;6.168E-05;0.000162;0.03;0.07;99.11;0.25;99.11;0.06384;0.06327;0.0005682;-11.949;-11.988;-32.455;1.00;69.15;
2026-01-08 13:08:11.44;0.00:00:01:452;1.00;0.00;0.00;0.06385;0.06327;7.882E-05;0.0001691;0.04;0.08;99.09;0.26;99.09;0.06385;0.06327;0.000583;-11.948;-11.988;-32.344;1.00;65.01;
2026-01-08 13:08:11.48;0.00:00:01:502;1.00;0.00;0.00;0.06373;0.06315;8.407E-05;0.0001651;0.04;0.07;99.10;0.26;99.10;0.06373;0.06315;0.0005763;-11.957;-11.996;-32.394;1.00;63.02;
2026-01-08 13:08:11.53;0.00:00:01:550;1.00;0.00;0.00;0.06371;0.06312;9.685E-05;0.0001593;0.04;0.07;99.08;0.25;99.07;0.06371;0.06312;0.0005893;-11.958;-11.998;-32.297;1.00;58.71;
2026-01-08 13:08:11.58;0.00:00:01:602;1.00;0.00;0.00;0.06373;0.06315;8.695E-05;0.0001639;0.04;0.07;99.08;0.26;99.08;0.06373;0.06315;0.0005855;-11.956;-11.996;-32.325;1.00;62.05;
2026-01-08 13:08:11.63;0.00:00:01:652;1.00;0.00;0.00;0.06374;0.06315;7.543E-05;0.0001672;0.03;0.08;99.09;0.26;99.09;0.06374;0.06315;0.0005823;-11.956;-11.996;-32.349;1.00;65.72;
2026-01-08 13:08:11.69;0.00:00:01:704;1.00;0.00;0.00;0.06372;0.06313;9.928E-05;0.0001624;0.05;0.07;99.08;0.25;99.08;0.06372;0.06313;0.0005866;-11.957;-11.997;-32.317;1.00;58.56;
2026-01-08 13:08:11.74;0.00:00:01:753;1.00;0.00;0.00;0.06378;0.06319;0.0001037;0.0001612;0.05;0.07;99.07;0.25;99.07;0.06378;0.06319;0.0005917;-11.953;-11.993;-32.279;1.00;57.24;
2026-01-08 13:08:11.79;0.00:00:01:804;1.00;0.00;0.00;0.0638;0.06323;6.373E-05;0.0001684;0.03;0.08;99.11;0.26;99.11;0.0638;0.06323;0.0005695;-11.952;-11.991;-32.445;1.00;69.27;
2026-01-08 13:08:11.84;0.00:00:01:857;1.00;0.00;0.00;0.06366;0.0631;5.96E-05;0.0001577;0.03;0.07;99.11;0.25;99.11;0.06366;0.0631;0.0005668;-11.961;-12.000;-32.466;1.00;69.30;
2026-01-08 13:08:11.89;0.00:00:01:906;1.00;0.00;0.00;0.06381;0.06323;9.429E-05;0.0001676;0.04;0.08;99.09;0.26;99.09;0.06381;0.06323;0.0005828;-11.951;-11.991;-32.345;1.00;60.63;
2026-01-08 13:08:11.94;0.00:00:01:955;1.00;0.00;0.00;0.06381;0.06324;8.623E-05;0.0001623;0.04;0.07;99.10;0.25;99.10;0.06381;0.06324;0.0005742;-11.951;-11.990;-32.410;1.00;62.02;
2026-01-08 13:08:11.99;0.00:00:02:006;1.00;0.00;0.00;0.06373;0.06315;8.213E-05;0.0001646;0.04;0.07;99.09;0.26;99.09;0.06373;0.06315;0.0005815;-11.957;-11.996;-32.354;1.00;63.48;
2026-01-08 13:08:12.04;0.00:00:02:057;1.00;0.00;0.00;0.06381;0.06321;0.0001113;0.0001674;0.05;0.08;99.06;0.26;99.06;0.06381;0.06321;0.000598;-11.951;-11.992;-32.233;1.00;56.37;
2026-01-08 13:08:12.09;0.00:00:02:106;1.00;0.00;0.00;0.06387;0.0633;8.415E-05;0.000172;0.04;0.08;99.11;0.27;99.11;0.06387;0.0633;0.0005679;-11.947;-11.986;-32.457;1.00;63.94;
2026-01-08 13:08:12.14;0.00:00:02:157;1.00;0.00;0.00;0.06373;0.06316;6.952E-05;0.000169;0.03;0.08;99.10;0.27;99.10;0.06373;0.06316;0.0005706;-11.957;-11.996;-32.437;1.00;67.64;
2026-01-08 13:08:12.19;0.00:00:02:207;1.00;0.00;0.00;0.06367;0.06309;9.147E-05;0.0001579;0.04;0.07;99.09;0.25;99.09;0.06367;0.06309;0.0005764;-11.961;-12.000;-32.393;1.00;59.91;
2026-01-08 13:08:12.24;0.00:00:02:258;1.00;0.00;0.00;0.06374;0.06317;5.092E-05;0.0001726;0.02;0.08;99.11;0.27;99.11;0.06374;0.06317;0.0005643;-11.956;-11.995;-32.485;1.00;73.57;
2026-01-08 13:08:12.29;0.00:00:02:308;1.00;0.00;0.00;0.06368;0.06308;0.0001025;0.0001627;0.05;0.07;99.06;0.26;99.06;0.06368;0.06308;0.0005963;-11.960;-12.001;-32.245;1.00;57.80;
2026-01-08 13:08:12.34;0.00:00:02:356;1.00;0.00;0.00;0.06372;0.06315;6.937E-05;0.0001695;0.03;0.08;99.11;0.27;99.11;0.06372;0.06316;0.0005693;-11.957;-11.996;-32.446;1.00;67.74;
2026-01-08 13:08:12.39;0.00:00:02:411;1.00;0.00;0.00;0.06376;0.06319;7.261E-05;0.000167;0.03;0.08;99.11;0.26;99.11;0.06376;0.06319;0.0005678;-11.955;-11.994;-32.458;1.00;66.50;
2026-01-08 13:08:12.44;0.00:00:02:460;1.00;0.00;0.00;0.06376;0.06316;0.0001058;0.0001575;0.05;0.07;99.07;0.25;99.07;0.06376;0.06316;0.0005919;-11.955;-11.995;-32.278;1.00;56.11;
2026-01-08 13:08:12.49;0.00:00:02:511;1.00;0.00;0.00;0.06381;0.06324;6.703E-05;0.0001669;0.03;0.08;99.11;0.26;99.11;0.06381;0.06324;0.0005707;-11.951;-11.990;-32.436;1.00;68.12;
2026-01-08 13:08:12.54;0.00:00:02:561;1.00;0.00;0.00;0.0638;0.06322;8.404E-05;0.0001686;0.04;0.08;99.09;0.26;99.09;0.0638;0.06322;0.0005795;-11.952;-11.992;-32.370;1.00;63.50;
2026-01-08 13:08:12.59;0.00:00:02:611;1.00;0.00;0.00;0.06374;0.06316;7.502E-05;0.0001619;0.03;0.07;99.09;0.25;99.09;0.06374;0.06316;0.0005827;-11.956;-11.996;-32.346;1.00;65.14;
2026-01-08 13:08:12.65;0.00:00:02:665;1.00;0.00;0.00;0.06372;0.06313;0.0001051;0.0001574;0.05;0.07;99.07;0.25;99.07;0.06372;0.06313;0.0005926;-11.957;-11.997;-32.272;1.00;56.27;
2026-01-08 13:08:12.70;0.00:00:02:713;1.00;0.00;0.00;0.06381;0.06323;8.887E-05;0.0001662;0.04;0.08;99.10;0.26;99.10;0.06381;0.06323;0.0005768;-11.951;-11.991;-32.389;1.00;61.87;
2026-01-08 13:08:12.75;0.00:00:02:764;1.00;0.00;0.00;0.06384;0.06326;9.287E-05;0.000164;0.04;0.07;99.10;0.26;99.10;0.06384;0.06326;0.0005762;-11.949;-11.988;-32.394;1.00;60.48;
2026-01-08 13:08:12.80;0.00:00:02:813;1.00;0.00;0.00;0.06399;0.06341;6.999E-05;0.0001757;0.03;0.08;99.09;0.27;99.09;0.06399;0.06341;0.0005843;-11.939;-11.979;-32.334;1.00;68.28;
