Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-08 15:34:31.00;0.00:00:00:060;0.01;0.00;-1.00;0.01533;8.586E-05;-3.748E-05;-0.01535;-11.79;-44.83;100.11;100.11;0.61;0.01533;0.01535;-1.716E-05;-18.144;-18.139;-99.990;0.50;-90.14;
2026-01-08 15:34:31.05;0.00:00:00:110;0.00;0.00;-1.00;0.01534;7.559E-05;-2.25E-05;-0.01536;-8.29;-44.85;100.09;100.09;0.51;0.01534;0.01536;-1.447E-05;-18.141;-18.137;-99.990;0.50;-90.08;
2026-01-08 15:34:31.10;0.00:00:00:162;0.01;0.00;-1.00;0.01536;8.269E-05;-4.042E-05;-0.01537;-13.02;-44.83;100.10;100.10;0.60;0.01536;0.01537;-1.611E-05;-18.137;-18.132;-99.990;0.50;-90.15;
2026-01-08 15:34:31.15;0.00:00:00:212;0.01;0.00;-1.00;0.01533;8.518E-05;-4.134E-05;-0.01535;-12.94;-44.82;100.10;100.10;0.62;0.01533;0.01535;-1.599E-05;-18.144;-18.139;-99.990;0.50;-90.15;
2026-01-08 15:34:31.21;0.00:00:00:263;0.01;0.00;-1.00;0.01532;8.061E-05;-3.135E-05;-0.01534;-10.62;-44.84;100.10;100.10;0.56;0.01532;0.01534;-1.569E-05;-18.147;-18.143;-99.990;0.50;-90.12;
2026-01-08 15:34:31.26;0.00:00:00:314;0.01;0.00;-1.00;0.01531;8.211E-05;-3.621E-05;-0.01533;-11.90;-44.83;100.11;100.11;0.59;0.01531;0.01533;-1.666E-05;-18.149;-18.145;-99.990;0.50;-90.14;
2026-01-08 15:34:31.31;0.00:00:00:365;0.01;0.00;-1.00;0.0153;7.909E-05;-2.986E-05;-0.01531;-10.34;-44.84;100.10;100.10;0.55;0.0153;0.01531;-1.505E-05;-18.154;-18.150;-99.990;0.50;-90.11;
2026-01-08 15:34:31.36;0.00:00:00:418;0.01;0.00;-1.00;0.01531;7.833E-05;-2.723E-05;-0.01532;-9.58;-44.84;100.10;100.10;0.54;0.01531;0.01532;-1.535E-05;-18.151;-18.147;-99.990;0.50;-90.10;
2026-01-08 15:34:31.41;0.00:00:00:468;0.01;0.00;-1.00;0.01529;7.989E-05;-3.616E-05;-0.01531;-12.18;-44.84;100.10;100.10;0.57;0.01529;0.01531;-1.525E-05;-18.155;-18.151;-99.990;0.50;-90.14;
2026-01-08 15:34:31.46;0.00:00:00:520;0.01;0.00;-1.00;0.01529;7.919E-05;-3.172E-05;-0.01531;-10.91;-44.84;100.10;100.10;0.56;0.01529;0.01531;-1.518E-05;-18.156;-18.151;-99.990;0.50;-90.12;
2026-01-08 15:34:31.51;0.00:00:00:572;0.01;0.00;-1.00;0.0153;8.244E-05;-3.36E-05;-0.01532;-11.09;-44.83;100.11;100.10;0.58;0.0153;0.01532;-1.61E-05;-18.153;-18.148;-99.990;0.50;-90.13;
2026-01-08 15:34:31.56;0.00:00:00:622;0.00;0.00;-1.00;0.01531;7.521E-05;-2.183E-05;-0.01532;-8.09;-44.85;100.09;100.09;0.51;0.01531;0.01532;-1.447E-05;-18.151;-18.147;-99.990;0.50;-90.08;
2026-01-08 15:34:31.62;0.00:00:00:673;0.01;0.00;-1.00;0.01533;8.448E-05;-3.964E-05;-0.01535;-12.57;-44.83;100.11;100.11;0.61;0.01533;0.01535;-1.699E-05;-18.144;-18.139;-99.990;0.50;-90.15;
2026-01-08 15:34:31.67;0.00:00:00:724;0.01;0.00;-1.00;0.01531;8.187E-05;-3.551E-05;-0.01533;-11.73;-44.83;100.11;100.10;0.58;0.01531;0.01533;-1.621E-05;-18.150;-18.145;-99.990;0.50;-90.13;
2026-01-08 15:34:31.72;0.00:00:00:775;0.01;0.00;-1.00;0.01528;8.112E-05;-3.857E-05;-0.01529;-12.71;-44.83;100.10;100.10;0.59;0.01528;0.01529;-1.584E-05;-18.160;-18.155;-99.990;0.50;-90.14;
2026-01-08 15:34:31.77;0.00:00:00:826;0.01;0.00;-1.00;0.01527;7.83E-05;-2.953E-05;-0.01529;-10.33;-44.84;100.10;100.10;0.55;0.01527;0.01529;-1.541E-05;-18.162;-18.157;-99.990;0.50;-90.11;
2026-01-08 15:34:31.83;0.00:00:00:888;0.01;0.00;-1.00;0.0153;8.28E-05;-3.704E-05;-0.01531;-12.05;-44.83;100.11;100.11;0.59;0.0153;0.01531;-1.661E-05;-18.154;-18.149;-99.990;0.50;-90.14;
2026-01-08 15:34:31.89;0.00:00:00:948;0.01;0.00;-1.00;0.0153;8.304E-05;-3.846E-05;-0.01532;-12.42;-44.83;100.11;100.10;0.60;0.0153;0.01532;-1.617E-05;-18.153;-18.148;-99.990;0.50;-90.14;
2026-01-08 15:34:31.94;0.00:00:01:000;0.01;0.00;-1.00;0.01532;7.843E-05;-2.245E-05;-0.01534;-7.99;-44.85;100.10;100.09;0.53;0.01532;0.01534;-1.477E-05;-18.146;-18.142;-99.990;0.50;-90.08;
2026-01-08 15:34:31.99;0.00:00:01:052;0.01;0.00;-1.00;0.01533;8.059E-05;-3.217E-05;-0.01535;-10.88;-44.84;100.10;100.10;0.57;0.01533;0.01535;-1.516E-05;-18.144;-18.140;-99.990;0.50;-90.12;
2026-01-08 15:34:32.05;0.00:00:01:102;0.01;0.00;-1.00;0.01533;8.241E-05;-3.837E-05;-0.01534;-12.48;-44.83;100.11;100.10;0.59;0.01533;0.01534;-1.611E-05;-18.145;-18.140;-99.990;0.50;-90.14;
2026-01-08 15:34:32.10;0.00:00:01:153;0.01;0.00;-1.00;0.01535;7.72E-05;-1.692E-05;-0.01537;-6.18;-44.85;100.10;100.09;0.51;0.01535;0.01537;-1.459E-05;-18.138;-18.134;-99.990;0.50;-90.06;
2026-01-08 15:34:32.15;0.00:00:01:203;0.01;0.00;-1.00;0.01534;7.724E-05;-2.694E-05;-0.01535;-9.61;-44.85;100.10;100.10;0.53;0.01534;0.01535;-1.501E-05;-18.143;-18.139;-99.990;0.50;-90.10;
2026-01-08 15:34:32.20;0.00:00:01:257;0.01;0.00;-1.00;0.01534;8.097E-05;-3.358E-05;-0.01535;-11.26;-44.84;100.10;100.10;0.57;0.01534;0.01535;-1.552E-05;-18.142;-18.138;-99.990;0.50;-90.13;
2026-01-08 15:34:32.26;0.00:00:01:318;0.01;0.00;-1.00;0.01531;8.206E-05;-3.421E-05;-0.01533;-11.32;-44.83;100.10;100.10;0.58;0.01531;0.01533;-1.588E-05;-18.149;-18.145;-99.990;0.50;-90.13;
2026-01-08 15:34:32.31;0.00:00:01:365;0.00;0.00;-1.00;0.01528;7.425E-05;-4.167E-05;-0.0153;-14.65;-44.84;100.10;100.10;0.56;0.01528;0.0153;-1.539E-05;-18.158;-18.153;-99.990;0.50;-90.16;
2026-01-08 15:34:32.35;0.00:00:01:412;0.01;0.00;-1.00;0.01533;7.755E-05;-1.089E-05;-0.01535;-4.00;-44.85;100.09;100.09;0.51;0.01533;0.01535;-1.395E-05;-18.144;-18.140;-99.990;0.50;-90.04;
2026-01-08 15:34:32.40;0.00:00:01:459;0.01;0.00;-1.00;0.01533;7.672E-05;-3.542E-05;-0.01534;-12.39;-44.84;100.09;100.09;0.55;0.01533;0.01534;-1.455E-05;-18.145;-18.141;-99.990;0.50;-90.13;
2026-01-08 15:34:32.46;0.00:00:01:521;0.01;0.00;-1.00;0.01538;7.996E-05;-2.673E-05;-0.01539;-9.24;-44.84;100.10;100.10;0.55;0.01538;0.0154;-1.5E-05;-18.130;-18.126;-99.990;0.50;-90.10;
2026-01-08 15:34:32.51;0.00:00:01:567;0.00;0.00;-1.00;0.01538;7.529E-05;-2.607E-05;-0.01539;-9.55;-44.85;100.09;100.09;0.52;0.01538;0.01539;-1.34E-05;-18.131;-18.127;-99.990;0.50;-90.10;
2026-01-08 15:34:32.56;0.00:00:01:615;0.01;0.00;-1.00;0.01539;8.475E-05;-3.484E-05;-0.01541;-11.17;-44.83;100.10;100.10;0.60;0.01539;0.01541;-1.595E-05;-18.126;-18.122;-99.990;0.50;-90.13;
2026-01-08 15:34:32.60;0.00:00:01:660;0.01;0.00;-1.00;0.01535;9.81E-05;-6.428E-05;-0.01537;-16.62;-44.78;100.12;100.12;0.76;0.01535;0.01537;-1.87E-05;-18.139;-18.134;-99.990;0.50;-90.24;
2026-01-08 15:34:32.65;0.00:00:01:707;0.01;0.00;-1.00;0.01529;8.835E-05;-4.797E-05;-0.0153;-14.25;-44.81;100.11;100.10;0.66;0.01529;0.0153;-1.621E-05;-18.156;-18.152;-99.990;0.50;-90.18;
2026-01-08 15:34:32.70;0.00:00:01:756;0.01;0.00;-1.00;0.01522;8.588E-05;-5.19E-05;-0.01524;-15.57;-44.81;100.11;100.11;0.66;0.01522;0.01524;-1.671E-05;-18.176;-18.171;-99.990;0.50;-90.20;
2026-01-08 15:34:32.75;0.00:00:01:802;0.00;0.00;-1.00;0.01523;7.279E-05;-6.453E-06;-0.01524;-2.53;-44.86;100.09;100.09;0.48;0.01523;0.01524;-1.322E-05;-18.174;-18.170;-99.990;0.50;-90.02;
2026-01-08 15:34:32.79;0.00:00:01:849;0.00;0.00;-1.00;0.01529;6.326E-05;2.268E-06;-0.0153;1.03;-44.88;100.07;100.07;0.41;0.01529;0.0153;-1.113E-05;-18.156;-18.153;-99.990;0.50;-89.99;
2026-01-08 15:34:32.85;0.00:00:01:909;0.01;0.00;-1.00;0.01537;8.506E-05;-4.259E-05;-0.01539;-13.30;-44.82;100.11;100.11;0.62;0.01537;0.01539;-1.688E-05;-18.133;-18.128;-99.990;0.50;-90.16;
2026-01-08 15:34:32.90;0.00:00:01:956;0.01;0.00;-1.00;0.01536;8.789E-05;-4.412E-05;-0.01537;-13.33;-44.82;100.11;100.11;0.64;0.01536;0.01537;-1.649E-05;-18.137;-18.133;-99.990;0.50;-90.16;
2026-01-08 15:34:32.95;0.00:00:02:002;0.01;0.00;-1.00;0.01527;8.696E-05;-5.936E-05;-0.01528;-17.16;-44.80;100.11;100.11;0.69;0.01527;0.01528;-1.751E-05;-18.163;-18.158;-99.990;0.50;-90.22;
2026-01-08 15:34:32.99;0.00:00:02:051;0.01;0.00;-1.00;0.01526;7.804E-05;-2.344E-05;-0.01528;-8.36;-44.85;100.10;100.10;0.53;0.01526;0.01528;-1.478E-05;-18.163;-18.159;-99.990;0.50;-90.09;
2026-01-08 15:34:33.04;0.00:00:02:100;0.00;0.00;-1.00;0.01533;6.885E-05;5.736E-07;-0.01534;0.24;-44.87;100.08;100.08;0.45;0.01533;0.01534;-1.283E-05;-18.145;-18.141;-99.990;0.50;-90.00;
