Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-08 15:32:59.51;0.00:00:00:052;0.00;0.00;1.00;0.01527;6.989E-06;3.705E-05;0.01528;39.66;44.93;100.04;100.04;0.25;0.01527;0.01528;-6.795E-06;-18.162;-18.160;-99.990;0.50;89.86;
2026-01-08 15:32:59.57;0.00:00:00:111;0.00;0.00;1.00;0.0151;6.937E-06;4.325E-05;0.01511;40.44;44.92;100.04;100.04;0.29;0.0151;0.01511;-6.373E-06;-18.209;-18.208;-99.990;0.50;89.84;
2026-01-08 15:32:59.62;0.00:00:00:159;0.00;0.00;1.00;0.01519;6.988E-06;3.57E-05;0.0152;39.46;44.93;100.05;100.05;0.24;0.01519;0.0152;-6.959E-06;-18.183;-18.181;-99.990;0.50;89.87;
2026-01-08 15:32:59.68;0.00:00:00:220;0.00;0.00;1.00;0.01524;4.963E-06;4.396E-05;0.01525;41.78;44.92;100.05;100.05;0.29;0.01524;0.01525;-7.102E-06;-18.170;-18.168;-99.990;0.50;89.83;
2026-01-08 15:32:59.73;0.00:00:00:265;0.00;0.00;1.00;0.01515;5.617E-06;3.801E-05;0.01515;40.80;44.93;100.04;100.04;0.25;0.01515;0.01515;-5.862E-06;-18.197;-18.195;-99.990;0.50;89.86;
2026-01-08 15:32:59.77;0.00:00:00:312;0.00;0.00;1.00;0.01516;4.015E-06;4.259E-05;0.01516;42.31;44.92;100.04;100.04;0.28;0.01516;0.01516;-6.078E-06;-18.194;-18.192;-99.990;0.50;89.84;
2026-01-08 15:32:59.82;0.00:00:00:360;0.00;0.00;1.00;0.01521;4.603E-06;3.587E-05;0.01522;41.34;44.93;100.05;100.04;0.24;0.01521;0.01522;-6.861E-06;-18.178;-18.176;-99.990;0.50;89.86;
2026-01-08 15:32:59.88;0.00:00:00:421;0.00;0.00;1.00;0.01525;4.661E-06;4.124E-05;0.01526;41.78;44.92;100.04;100.04;0.27;0.01525;0.01526;-6.694E-06;-18.168;-18.166;-99.990;0.50;89.85;
2026-01-08 15:32:59.93;0.00:00:00:468;0.00;0.00;1.00;0.01527;7.22E-06;4.591E-05;0.01528;40.53;44.91;100.04;100.04;0.30;0.01527;0.01528;-6.414E-06;-18.161;-18.159;-99.990;0.50;89.83;
2026-01-08 15:32:59.98;0.00:00:00:515;0.00;0.00;1.00;0.01524;6.71E-06;3.992E-05;0.01524;40.23;44.92;100.04;100.04;0.27;0.01524;0.01524;-6.43E-06;-18.171;-18.169;-99.990;0.50;89.85;
