Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-08 15:28:46.86;0.00:00:00:050;-1.00;0.00;0.00;0.01518;-0.01518;-3.232E-05;2.719E-05;-89.94;0.05;100.02;0.18;100.02;0.01518;0.01518;-3.552E-06;-18.188;-18.187;-99.990;0.00;139.93;
2026-01-08 15:28:46.91;0.00:00:00:097;-1.00;0.00;0.00;0.01509;-0.0151;-3.515E-05;2.856E-05;-89.93;0.05;100.02;0.19;100.02;0.01509;0.0151;-2.445E-06;-18.212;-18.211;-99.990;0.00;140.91;
2026-01-08 15:28:46.96;0.00:00:00:147;-1.00;0.00;0.00;0.01509;-0.01509;-2.319E-05;2.057E-05;-89.96;0.04;100.03;0.14;100.03;0.01509;0.01509;-5.25E-06;-18.214;-18.213;-99.990;0.00;138.42;
2026-01-08 15:28:47.01;0.00:00:00:200;-1.00;0.00;0.00;0.01515;-0.01515;-2.468E-05;2.444E-05;-89.95;0.05;100.04;0.16;100.04;0.01515;0.01515;-5.378E-06;-18.196;-18.195;-99.990;0.00;135.28;
2026-01-08 15:28:47.06;0.00:00:00:247;-1.00;0.00;0.00;0.01529;-0.0153;-2.871E-05;2.692E-05;-89.95;0.05;100.03;0.18;100.03;0.01529;0.0153;-3.9E-06;-18.155;-18.154;-99.990;0.00;136.84;
2026-01-08 15:28:47.11;0.00:00:00:296;-1.00;0.00;0.00;0.01528;-0.01528;-2.63E-05;2.55E-05;-89.95;0.05;100.03;0.17;100.03;0.01528;0.01528;-4.614E-06;-18.159;-18.158;-99.990;0.00;135.88;
2026-01-08 15:28:47.16;0.00:00:00:348;-1.00;0.00;0.00;0.01522;-0.01522;-3.288E-05;2.387E-05;-89.94;0.04;100.03;0.16;100.02;0.01522;0.01522;-3.804E-06;-18.177;-18.176;-99.990;0.00;144.02;
2026-01-08 15:28:47.21;0.00:00:00:397;-1.00;0.00;0.00;0.01517;-0.01517;-3.46E-05;2.729E-05;-89.93;0.05;100.02;0.18;100.02;0.01517;0.01517;-2.882E-06;-18.190;-18.189;-99.990;0.00;141.74;
2026-01-08 15:28:47.26;0.00:00:00:448;-1.00;0.00;0.00;0.0152;-0.0152;-2.26E-05;2.24E-05;-89.96;0.04;100.04;0.15;100.04;0.0152;0.0152;-6.368E-06;-18.182;-18.180;-99.990;0.00;135.25;
2026-01-08 15:28:47.31;0.00:00:00:499;-1.00;0.00;0.00;0.01523;-0.01524;-2.711E-05;2.508E-05;-89.95;0.05;100.03;0.16;100.03;0.01523;0.01524;-4.982E-06;-18.172;-18.170;-99.990;0.00;137.23;
2026-01-08 15:28:47.36;0.00:00:00:549;-1.00;0.00;0.00;0.01511;-0.01512;-2.913E-05;2.221E-05;-89.94;0.04;100.03;0.15;100.03;0.01511;0.01512;-4.323E-06;-18.206;-18.205;-99.990;0.00;142.68;
2026-01-08 15:28:47.41;0.00:00:00:598;-1.00;0.00;0.00;0.01517;-0.01518;-2.284E-05;2.23E-05;-89.96;0.04;100.04;0.15;100.04;0.01517;0.01518;-5.781E-06;-18.189;-18.188;-99.990;0.00;135.68;
2026-01-08 15:28:47.46;0.00:00:00:649;-1.00;0.00;0.00;0.01516;-0.01516;-2.973E-05;2.451E-05;-89.94;0.05;100.03;0.16;100.03;0.01516;0.01517;-4.184E-06;-18.193;-18.192;-99.990;0.00;140.50;
2026-01-08 15:28:47.51;0.00:00:00:698;-1.00;0.00;0.00;0.01518;-0.01518;-2.594E-05;2.453E-05;-89.95;0.05;100.03;0.16;100.03;0.01518;0.01518;-4.523E-06;-18.188;-18.187;-99.990;0.00;136.59;
2026-01-08 15:28:47.57;0.00:00:00:753;-1.00;0.00;0.00;0.01522;-0.01522;-2.464E-05;2.585E-05;-89.95;0.05;100.03;0.17;100.03;0.01522;0.01522;-4.093E-06;-18.177;-18.176;-99.990;0.00;133.63;
2026-01-08 15:28:47.61;0.00:00:00:802;-1.00;0.00;0.00;0.01522;-0.01523;-2.934E-05;2.609E-05;-89.94;0.05;100.03;0.17;100.03;0.01522;0.01523;-4.613E-06;-18.175;-18.173;-99.990;0.00;138.36;
2026-01-08 15:28:47.66;0.00:00:00:850;-1.00;0.00;0.00;0.01517;-0.01518;-2.603E-05;2.487E-05;-89.95;0.05;100.03;0.16;100.03;0.01517;0.01518;-4.279E-06;-18.189;-18.188;-99.990;0.00;136.30;
2026-01-08 15:28:47.71;0.00:00:00:903;-1.00;0.00;0.00;0.01519;-0.0152;-2.584E-05;2.431E-05;-89.95;0.05;100.04;0.16;100.04;0.01519;0.0152;-5.378E-06;-18.184;-18.183;-99.990;0.00;136.75;
2026-01-08 15:28:47.76;0.00:00:00:951;-1.00;0.00;0.00;0.0153;-0.0153;-4.181E-05;3.263E-05;-89.92;0.06;100.01;0.21;100.01;0.0153;0.0153;-1.836E-06;-18.154;-18.153;-99.990;0.00;142.03;
2026-01-08 15:28:47.81;0.00:00:01:000;-1.00;0.00;0.00;0.01521;-0.01521;-2.922E-05;2.442E-05;-89.94;0.05;100.03;0.16;100.03;0.01521;0.01521;-4.015E-06;-18.179;-18.178;-99.990;0.00;140.11;
2026-01-08 15:28:47.86;0.00:00:01:046;-1.00;0.00;0.00;0.0152;-0.01521;-2.602E-05;2.434E-05;-89.95;0.05;100.03;0.16;100.03;0.0152;0.01521;-4.181E-06;-18.181;-18.179;-99.990;0.00;136.90;
2026-01-08 15:28:47.90;0.00:00:01:092;-1.00;0.00;0.00;0.01521;-0.01522;-2.631E-05;2.393E-05;-89.95;0.05;100.03;0.16;100.03;0.01521;0.01522;-4.412E-06;-18.178;-18.177;-99.990;0.00;137.71;
2026-01-08 15:28:47.96;0.00:00:01:143;-1.00;0.00;0.00;0.01523;-0.01524;-2.4E-05;2.463E-05;-89.95;0.05;100.03;0.16;100.03;0.01523;0.01524;-5.164E-06;-18.172;-18.170;-99.990;0.00;134.25;
2026-01-08 15:28:48.00;0.00:00:01:192;-1.00;0.00;0.00;0.01526;-0.01526;-2.745E-05;2.624E-05;-89.95;0.05;100.03;0.17;100.03;0.01526;0.01526;-4.059E-06;-18.165;-18.164;-99.990;0.00;136.29;
2026-01-08 15:28:48.06;0.00:00:01:244;-1.00;0.00;0.00;0.01524;-0.01525;-2.846E-05;2.59E-05;-89.95;0.05;100.03;0.17;100.03;0.01524;0.01525;-4.008E-06;-18.170;-18.169;-99.990;0.00;137.69;
2026-01-08 15:28:48.11;0.00:00:01:294;-1.00;0.00;0.00;0.01523;-0.01523;-2.901E-05;2.642E-05;-89.95;0.05;100.03;0.17;100.03;0.01523;0.01523;-4.066E-06;-18.174;-18.173;-99.990;0.00;137.67;
2026-01-08 15:28:48.16;0.00:00:01:346;-1.00;0.00;0.00;0.01519;-0.01519;-2.851E-05;2.509E-05;-89.95;0.05;100.03;0.17;100.03;0.01519;0.01519;-4.055E-06;-18.185;-18.184;-99.990;0.00;138.65;
2026-01-08 15:28:48.21;0.00:00:01:397;-1.00;0.00;0.00;0.0152;-0.0152;-2.266E-05;2.323E-05;-89.96;0.04;100.04;0.15;100.04;0.0152;0.0152;-5.548E-06;-18.182;-18.180;-99.990;0.00;134.30;
2026-01-08 15:28:48.26;0.00:00:01:448;-1.00;0.00;0.00;0.01517;-0.01518;-2.782E-05;2.517E-05;-89.95;0.05;100.03;0.17;100.03;0.01517;0.01518;-4.689E-06;-18.189;-18.188;-99.990;0.00;137.86;
2026-01-08 15:28:48.31;0.00:00:01:498;-1.00;0.00;0.00;0.01517;-0.01517;-2.759E-05;2.407E-05;-89.95;0.05;100.03;0.16;100.03;0.01517;0.01517;-4.398E-06;-18.191;-18.190;-99.990;0.00;138.89;
2026-01-08 15:28:48.36;0.00:00:01:547;-1.00;0.00;0.00;0.01525;-0.01525;-1.941E-05;2.246E-05;-89.96;0.04;100.04;0.15;100.04;0.01525;0.01525;-6.13E-06;-18.168;-18.166;-99.990;0.00;130.84;
2026-01-08 15:28:48.41;0.00:00:01:598;-1.00;0.00;0.00;0.01525;-0.01525;-3.521E-05;2.603E-05;-89.93;0.05;100.02;0.17;100.02;0.01525;0.01525;-3.385E-06;-18.168;-18.167;-99.990;0.00;143.52;
2026-01-08 15:28:48.46;0.00:00:01:647;-1.00;0.00;0.00;0.01519;-0.01519;-3.042E-05;2.561E-05;-89.94;0.05;100.03;0.17;100.03;0.01519;0.01519;-3.919E-06;-18.185;-18.184;-99.990;0.00;139.91;
2026-01-08 15:28:48.51;0.00:00:01:697;-1.00;0.00;0.00;0.01518;-0.01519;-2.644E-05;2.467E-05;-89.95;0.05;100.03;0.16;100.03;0.01518;0.01519;-4.905E-06;-18.186;-18.185;-99.990;0.00;136.99;
2026-01-08 15:28:48.56;0.00:00:01:749;-1.00;0.00;0.00;0.01518;-0.01519;-2.975E-05;2.517E-05;-89.94;0.05;100.03;0.17;100.03;0.01518;0.01519;-3.841E-06;-18.186;-18.185;-99.990;0.00;139.77;
2026-01-08 15:28:48.61;0.00:00:01:797;-1.00;0.00;0.00;0.01519;-0.0152;-2.539E-05;2.37E-05;-89.95;0.04;100.03;0.16;100.03;0.01519;0.0152;-4.937E-06;-18.184;-18.183;-99.990;0.00;136.96;
2026-01-08 15:28:48.66;0.00:00:01:849;-1.00;0.00;0.00;0.0152;-0.0152;-2.813E-05;2.649E-05;-89.95;0.05;100.03;0.17;100.03;0.0152;0.0152;-4.194E-06;-18.183;-18.182;-99.990;0.00;136.72;
2026-01-08 15:28:48.71;0.00:00:01:898;-1.00;0.00;0.00;0.0152;-0.01521;-2.705E-05;2.543E-05;-89.95;0.05;100.03;0.17;100.03;0.0152;0.01521;-4.393E-06;-18.181;-18.180;-99.990;0.00;136.77;
2026-01-08 15:28:48.76;0.00:00:01:949;-1.00;0.00;0.00;0.0151;-0.0151;-1.907E-05;1.876E-05;-89.96;0.04;100.04;0.12;100.04;0.0151;0.0151;-6.114E-06;-18.211;-18.210;-99.990;0.00;135.46;
2026-01-08 15:28:48.81;0.00:00:02:001;-1.00;0.00;0.00;0.01522;-0.01523;-2.337E-05;2.634E-05;-89.96;0.05;100.03;0.17;100.03;0.01522;0.01523;-4.764E-06;-18.175;-18.174;-99.990;0.00;131.58;
