Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-08 13:06:58.26;0.00:00:00:052;-1.00;0.01;0.00;0.01304;-0.01303;7.492E-05;8.186E-06;89.84;0.02;99.95;0.06;99.95;0.01304;0.01303;7.086E-06;-18.849;-18.851;-51.496;0.00;6.24;
2026-01-08 13:06:58.31;0.00:00:00:103;-1.00;0.01;0.00;0.01309;-0.01309;8.099E-05;5.246E-06;89.82;0.01;99.96;0.04;99.96;0.01309;0.01309;5.404E-06;-18.830;-18.832;-52.673;0.00;3.71;
2026-01-08 13:06:58.36;0.00:00:00:154;-1.00;0.01;0.00;0.0131;-0.01309;7.532E-05;7.991E-06;89.84;0.02;99.95;0.06;99.95;0.0131;0.01309;7.038E-06;-18.829;-18.831;-51.526;0.00;6.06;
2026-01-08 13:06:58.41;0.00:00:00:207;-1.00;0.01;0.00;0.01305;-0.01304;7.355E-05;6.307E-06;89.84;0.01;99.95;0.05;99.95;0.01305;0.01304;6.996E-06;-18.845;-18.847;-51.552;0.00;4.90;
2026-01-08 13:06:58.46;0.00:00:00:259;-1.00;0.01;0.00;0.01301;-0.01301;7.526E-05;6.884E-06;89.83;0.02;99.94;0.05;99.94;0.01301;0.01301;7.165E-06;-18.856;-18.859;-51.448;0.00;5.23;
2026-01-08 13:06:58.51;0.00:00:00:309;-1.00;0.01;0.00;0.01302;-0.01301;7.512E-05;5.432E-06;89.83;0.01;99.95;0.04;99.95;0.01302;0.01301;6.074E-06;-18.854;-18.856;-52.165;0.00;4.14;
2026-01-08 13:06:58.57;0.00:00:00:361;-1.00;0.01;0.00;0.01304;-0.01303;7.866E-05;5.906E-06;89.83;0.01;99.95;0.05;99.95;0.01304;0.01303;5.958E-06;-18.848;-18.850;-52.249;0.00;4.29;
2026-01-08 13:06:58.62;0.00:00:00:410;-1.00;0.01;0.00;0.01303;-0.01302;7.779E-05;5.671E-06;89.83;0.01;99.95;0.04;99.95;0.01303;0.01302;6.247E-06;-18.850;-18.852;-52.043;0.00;4.17;
2026-01-08 13:06:58.67;0.00:00:00:461;-1.00;0.01;0.00;0.01303;-0.01302;7.725E-05;5.994E-06;89.83;0.01;99.96;0.05;99.96;0.01303;0.01303;5.496E-06;-18.850;-18.852;-52.599;0.00;4.44;
2026-01-08 13:06:58.72;0.00:00:00:512;-1.00;0.01;0.00;0.01301;-0.01301;7.501E-05;4.956E-06;89.83;0.01;99.96;0.04;99.96;0.01301;0.01301;5.724E-06;-18.856;-18.858;-52.423;0.00;3.78;
2026-01-08 13:06:58.77;0.00:00:00:563;-1.00;0.01;0.00;0.01302;-0.01301;7.881E-05;5.518E-06;89.83;0.01;99.95;0.04;99.95;0.01302;0.01301;6.155E-06;-18.854;-18.856;-52.108;0.00;4.01;
2026-01-08 13:06:58.82;0.00:00:00:617;-1.00;0.01;0.00;0.01302;-0.01301;7.77E-05;5.592E-06;89.83;0.01;99.95;0.04;99.95;0.01302;0.01301;5.979E-06;-18.856;-18.858;-52.234;0.00;4.12;
2026-01-08 13:06:58.87;0.00:00:00:666;-1.00;0.01;0.00;0.01301;-0.013;7.454E-05;7.344E-06;89.84;0.02;99.94;0.06;99.94;0.01301;0.013;7.208E-06;-18.858;-18.861;-51.422;0.00;5.63;
2026-01-08 13:06:58.92;0.00:00:00:719;-1.00;0.01;0.00;0.01299;-0.01298;7.635E-05;4.625E-06;89.83;0.01;99.95;0.04;99.95;0.01299;0.01298;6.415E-06;-18.865;-18.868;-51.928;0.00;3.47;
2026-01-08 13:06:58.97;0.00:00:00:768;-1.00;0.01;0.00;0.01299;-0.01298;8.129E-05;4.67E-06;89.82;0.01;99.96;0.04;99.96;0.01299;0.01298;5.643E-06;-18.864;-18.866;-52.485;0.00;3.29;
2026-01-08 13:06:59.02;0.00:00:00:819;-1.00;0.01;0.00;0.01302;-0.01301;7.696E-05;5.611E-06;89.83;0.01;99.95;0.04;99.95;0.01302;0.01301;5.983E-06;-18.855;-18.857;-52.231;0.00;4.17;
2026-01-08 13:06:59.08;0.00:00:00:871;-1.00;0.01;0.00;0.01303;-0.01303;7.943E-05;5.332E-06;89.83;0.01;99.95;0.04;99.95;0.01303;0.01303;5.999E-06;-18.849;-18.851;-52.219;0.00;3.84;
2026-01-08 13:06:59.13;0.00:00:00:923;-1.00;0.01;0.00;0.01302;-0.01302;7.419E-05;7.065E-06;89.84;0.02;99.95;0.05;99.95;0.01302;0.01302;6.766E-06;-18.853;-18.855;-51.697;0.00;5.44;
2026-01-08 13:06:59.19;0.00:00:00:984;-1.00;0.01;0.00;0.01299;-0.01299;7.969E-05;5.082E-06;89.82;0.01;99.96;0.04;99.96;0.01299;0.01299;5.339E-06;-18.863;-18.865;-52.725;0.00;3.65;
2026-01-08 13:06:59.24;0.00:00:01:034;-1.00;0.01;0.00;0.01301;-0.013;7.675E-05;5.633E-06;89.83;0.01;99.95;0.04;99.95;0.01301;0.013;7.119E-06;-18.859;-18.861;-51.476;0.00;4.20;
2026-01-08 13:06:59.29;0.00:00:01:085;-1.00;0.01;0.00;0.01303;-0.01302;7.782E-05;6.492E-06;89.83;0.01;99.95;0.05;99.95;0.01303;0.01302;6.357E-06;-18.852;-18.854;-51.967;0.00;4.77;
2026-01-08 13:06:59.34;0.00:00:01:136;-1.00;0.01;0.00;0.01301;-0.013;7.554E-05;5.064E-06;89.83;0.01;99.95;0.04;99.95;0.01301;0.013;6.657E-06;-18.858;-18.860;-51.767;0.00;3.83;
2026-01-08 13:06:59.39;0.00:00:01:188;-1.00;0.01;0.00;0.01303;-0.01302;8.147E-05;4.556E-06;89.82;0.01;99.96;0.03;99.96;0.01303;0.01302;5.548E-06;-18.850;-18.852;-52.558;0.00;3.20;
2026-01-08 13:06:59.45;0.00:00:01:240;-1.00;0.01;0.00;0.01306;-0.01305;7.632E-05;5.419E-06;89.83;0.01;99.95;0.04;99.95;0.01306;0.01305;6.29E-06;-18.842;-18.844;-52.013;0.00;4.06;
2026-01-08 13:06:59.49;0.00:00:01:289;-1.00;0.01;0.00;0.01305;-0.01304;7.582E-05;7.72E-06;89.83;0.02;99.94;0.06;99.94;0.01305;0.01304;7.622E-06;-18.843;-18.846;-51.179;0.00;5.81;
2026-01-08 13:06:59.55;0.00:00:01:340;-1.00;0.01;0.00;0.013;-0.013;7.201E-05;6.983E-06;89.84;0.02;99.94;0.05;99.94;0.013;0.013;7.857E-06;-18.859;-18.862;-51.047;0.00;5.54;
2026-01-08 13:06:59.60;0.00:00:01:392;-1.00;0.01;0.00;0.01297;-0.01297;7.897E-05;6.344E-06;89.83;0.01;99.95;0.05;99.95;0.01297;0.01297;6.575E-06;-18.870;-18.872;-51.821;0.00;4.59;
2026-01-08 13:06:59.65;0.00:00:01:444;-1.00;0.01;0.00;0.01298;-0.01297;7.692E-05;5.544E-06;89.83;0.01;99.95;0.04;99.95;0.01298;0.01298;6.483E-06;-18.867;-18.869;-51.882;0.00;4.12;
2026-01-08 13:06:59.70;0.00:00:01:494;-1.00;0.01;0.00;0.01298;-0.01298;7.814E-05;4.903E-06;89.83;0.01;99.95;0.04;99.95;0.01298;0.01298;6.259E-06;-18.866;-18.868;-52.035;0.00;3.59;
2026-01-08 13:06:59.75;0.00:00:01:545;-1.00;0.01;0.00;0.013;-0.013;7.421E-05;7.146E-06;89.84;0.02;99.95;0.05;99.95;0.013;0.013;6.928E-06;-18.860;-18.862;-51.594;0.00;5.50;
2026-01-08 13:06:59.80;0.00:00:01:597;-1.00;0.01;0.00;0.01298;-0.01298;7.673E-05;5.571E-06;89.83;0.01;99.95;0.04;99.95;0.01298;0.01298;6.271E-06;-18.866;-18.868;-52.027;0.00;4.15;
2026-01-08 13:06:59.85;0.00:00:01:647;-1.00;0.01;0.00;0.01298;-0.01298;7.727E-05;5.295E-06;89.83;0.01;99.95;0.04;99.95;0.01298;0.01298;6.128E-06;-18.866;-18.868;-52.127;0.00;3.92;
2026-01-08 13:06:59.90;0.00:00:01:695;-1.00;0.01;0.00;0.01299;-0.01299;7.969E-05;4.102E-06;89.82;0.01;99.96;0.03;99.96;0.01299;0.01299;5.405E-06;-18.863;-18.865;-52.672;0.00;2.95;
2026-01-08 13:06:59.96;0.00:00:01:750;-1.00;0.01;0.00;0.01304;-0.01303;7.322E-05;6.606E-06;89.84;0.01;99.95;0.05;99.95;0.01304;0.01303;6.785E-06;-18.848;-18.850;-51.684;0.00;5.16;
2026-01-08 13:07:00.01;0.00:00:01:801;-1.00;0.01;0.00;0.01302;-0.01302;7.548E-05;7.055E-06;89.83;0.02;99.95;0.05;99.95;0.01302;0.01302;7.08E-06;-18.853;-18.855;-51.500;0.00;5.34;
2026-01-08 13:07:00.06;0.00:00:01:852;-1.00;0.01;0.00;0.01299;-0.01299;7.503E-05;5.861E-06;89.83;0.01;99.95;0.05;99.95;0.01299;0.01299;6.83E-06;-18.862;-18.865;-51.656;0.00;4.47;
2026-01-08 13:07:00.11;0.00:00:01:904;-1.00;0.01;0.00;0.01301;-0.01301;7.601E-05;5.002E-06;89.83;0.01;99.95;0.04;99.95;0.01301;0.01301;6.553E-06;-18.857;-18.859;-51.836;0.00;3.77;
2026-01-08 13:07:00.16;0.00:00:01:956;-1.00;0.01;0.00;0.01302;-0.01302;7.81E-05;5.773E-06;89.83;0.01;99.95;0.04;99.95;0.01302;0.01302;6.373E-06;-18.853;-18.855;-51.957;0.00;4.23;
2026-01-08 13:07:00.22;0.00:00:02:010;-1.00;0.01;0.00;0.01301;-0.013;7.475E-05;7.579E-06;89.84;0.02;99.94;0.06;99.94;0.01301;0.013;7.28E-06;-18.857;-18.860;-51.379;0.00;5.79;
2026-01-08 13:07:00.27;0.00:00:02:061;-1.00;0.01;0.00;0.01298;-0.01298;7.467E-05;7.26E-06;89.84;0.02;99.95;0.06;99.95;0.01298;0.01298;6.91E-06;-18.866;-18.868;-51.605;0.00;5.55;
2026-01-08 13:07:00.32;0.00:00:02:112;-1.00;0.01;0.00;0.01298;-0.01297;7.427E-05;5.786E-06;89.84;0.01;99.95;0.04;99.95;0.01298;0.01297;6.724E-06;-18.867;-18.869;-51.724;0.00;4.45;
2026-01-08 13:07:00.37;0.00:00:02:162;-1.00;0.01;0.00;0.01298;-0.01297;7.929E-05;6.187E-06;89.82;0.01;99.95;0.05;99.95;0.01298;0.01297;6.224E-06;-18.868;-18.870;-52.059;0.00;4.46;
2026-01-08 13:07:00.42;0.00:00:02:214;-1.00;0.01;0.00;0.01296;-0.01295;7.902E-05;4.944E-06;89.83;0.01;99.95;0.04;99.95;0.01296;0.01295;6.018E-06;-18.874;-18.876;-52.205;0.00;3.58;
