LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,09-Jan-2026 18:42:20,0                 
Time,Ampl
-0.0250000626,-0.0032
-0.0249999626,-0.0044
-0.0249998626,-0.004
-0.0249997626,-0.0068
-0.0249996626,-0.004
-0.0249995626,-0.0036
-0.0249994626,-0.0064
-0.0249993626,-0.0052
-0.0249992626,-0.0048
-0.0249991626,-0.0024
-0.0249990626,-0.0036
-0.0249989626,-0.0044
-0.0249988626,-0.0036
-0.0249987626,-0.0024
-0.0249986626,-0.0024
-0.0249985626,-0.0048
-0.0249984626,-0.0056
-0.0249983626,-0.0028
-0.0249982626,-0.0056
-0.0249981626,-0.0044
-0.0249980626,-0.0028
-0.0249979626,-0.006
-0.0249978626,-0.0024
-0.0249977626,-0.0028
-0.0249976626,-0.004
-0.0249975626,-0.0036
-0.0249974626,-0.002
-0.0249973626,-0.0028
-0.0249972626,-0.0036
-0.0249971626,-0.0004
-0.0249970626,-0.0036
-0.0249969626,-0.0036
-0.0249968626,-0.002
-0.0249967626,-0.0032
-0.0249966626,-0.0032
-0.0249965626,0.0012
-0.0249964626,-0.0048
-0.0249963626,-1.11022e-016
-0.0249962626,-0.0036
-0.0249961626,-0.0036
-0.0249960626,0.0016
-0.0249959626,-0.0016
-0.0249958626,-0.0032
-0.0249957626,-0.0024
-0.0249956626,-0.0008
-0.0249955626,0.0028
-0.0249954626,0.0028
-0.0249953626,0.004
-0.0249952626,-0.0004
-0.0249951626,-0.0016
-0.0249950626,0.0032
-0.0249949626,-0.0004
-0.0249948626,-0.0024
-0.0249947626,-1.11022e-016
-0.0249946626,0.0056
-0.0249945626,-1.11022e-016
-0.0249944626,-0.0028
-0.0249943626,-0.0036
-0.0249942626,-0.0044
-0.0249941626,-0.002
-0.0249940626,-0.004
-0.0249939626,-0.0048
-0.0249938626,-0.0044
-0.0249937626,-0.0052
-0.0249936626,-0.0052
-0.0249935626,-0.0052
-0.0249934626,-0.0052
-0.0249933626,-0.0024
-0.0249932626,-0.0056
-0.0249931626,-0.0044
-0.0249930626,-0.004
-0.0249929626,-0.0028
-0.0249928626,-0.006
-0.0249927626,-0.0024
-0.0249926626,-0.0032
-0.0249925626,-0.0044
-0.0249924626,-0.002
-0.0249923626,-0.0008
-0.0249922626,-0.002
-0.0249921626,-0.0004
-0.0249920626,0.0028
-0.0249919626,-0.0008
-0.0249918626,-0.004
-0.0249917626,-0.0016
-0.0249916626,0.0008
-0.0249915626,0.0008
-0.0249914626,-1.11022e-016
-0.0249913626,-0.0008
-0.0249912626,-0.0028
-0.0249911626,-0.0016
-0.0249910626,-0.0004
-0.0249909626,-0.0016
-0.0249908626,-1.11022e-016
-0.0249907626,-0.0032
-0.0249906626,-0.0004
-0.0249905626,-0.0004
-0.0249904626,-0.0004
-0.0249903626,-1.11022e-016
-0.0249902626,0.0004
-0.0249901626,-0.0044
-0.0249900626,-0.0024
-0.0249899626,-0.0032
-0.0249898626,-0.0012
-0.0249897626,-0.0032
-0.0249896626,-0.004
-0.0249895626,0.0024
-0.0249894626,-0.0024
-0.0249893626,-0.0064
-0.0249892626,-0.004
-0.0249891626,-0.0032
-0.0249890626,-0.004
-0.0249889626,-0.0072
-0.0249888626,-0.0052
-0.0249887626,-0.0056
-0.0249886626,-0.0036
-0.0249885626,-0.0028
-0.0249884626,-0.0052
-0.0249883626,-0.0032
-0.0249882626,-0.0064
-0.0249881626,-0.0032
-0.0249880626,-0.0028
-0.0249879626,-0.0044
-0.0249878626,-0.006
-0.0249877626,-0.004
-0.0249876626,-0.004
-0.0249875626,-0.0028
-0.0249874626,-0.0076
-0.0249873626,-0.0048
-0.0249872626,-0.0044
-0.0249871626,-0.0048
-0.0249870626,-0.002
-0.0249869626,-0.002
-0.0249868626,-0.0068
-0.0249867626,-1.11022e-016
-0.0249866626,-0.0052
-0.0249865626,-0.0056
-0.0249864626,-0.0044
-0.0249863626,-0.0056
-0.0249862626,-0.0052
-0.0249861626,-0.0052
-0.0249860626,-0.0036
-0.0249859626,-0.0024
-0.0249858626,0.0004
-0.0249857626,-0.0052
-0.0249856626,-0.0024
-0.0249855626,0.0008
-0.0249854626,0.0024
-0.0249853626,0.0004
-0.0249852626,-0.004
-0.0249851626,-0.0008
-0.0249850626,-0.0008
-0.0249849626,-0.0044
-0.0249848626,-0.0036
-0.0249847626,-1.11022e-016
-0.0249846626,-0.0008
-0.0249845626,-0.0064
-0.0249844626,-0.0052
-0.0249843626,-0.0048
-0.0249842626,-0.0048
-0.0249841626,-0.0052
-0.0249840626,-0.0044
-0.0249839626,-0.0064
-0.0249838626,-0.0032
-0.0249837626,-0.0036
-0.0249836626,-0.004
-0.0249835626,-0.0056
-0.0249834626,-0.0068
-0.0249833626,-0.0056
-0.0249832626,-0.004
-0.0249831626,-0.0072
-0.0249830626,-0.0056
-0.0249829626,-0.0032
-0.0249828626,-0.0076
-0.0249827626,-0.0072
-0.0249826626,-0.0036
-0.0249825626,-0.0024
-0.0249824626,-0.0056
-0.0249823626,-0.0044
-0.0249822626,-0.0032
-0.0249821626,-0.004
-0.0249820626,-0.0012
-0.0249819626,-0.004
-0.0249818626,-0.0028
-0.0249817626,-0.0056
-0.0249816626,-0.008
-0.0249815626,-0.0012
-0.0249814626,-0.0068
-0.0249813626,-0.0012
-0.0249812626,-0.0064
-0.0249811626,-0.0084
-0.0249810626,-0.0056
-0.0249809626,-0.0032
-0.0249808626,-0.004
-0.0249807626,-0.0036
-0.0249806626,-0.0048
-0.0249805626,-0.004
-0.0249804626,-0.0044
-0.0249803626,-0.002
-0.0249802626,-0.0048
-0.0249801626,-0.002
-0.0249800626,-0.0072
-0.0249799626,-0.0064
-0.0249798626,-0.006
-0.0249797626,-0.0056
-0.0249796626,-0.006
-0.0249795626,-0.004
-0.0249794626,-0.0028
-0.0249793626,0.0016
-0.0249792626,-0.0004
-0.0249791626,0.0004
-0.0249790626,0.002
-0.0249789626,-0.0016
-0.0249788626,0.0024
-0.0249787626,0.0016
-0.0249786626,-1.11022e-016
-0.0249785626,-0.0048
-0.0249784626,0.0008
-0.0249783626,-0.0004
-0.0249782626,0.0032
-0.0249781626,0.0004
-0.0249780626,-0.002
-0.0249779626,-0.0032
-0.0249778626,-0.0028
-0.0249777626,-0.0028
-0.0249776626,-0.0016
-0.0249775626,-0.0036
-0.0249774626,-0.0064
-0.0249773626,-0.0056
-0.0249772626,-0.0028
-0.0249771626,-0.0012
-0.0249770626,-0.004
-0.0249769626,-0.0032
-0.0249768626,-0.006
-0.0249767626,-0.0032
-0.0249766626,-0.0024
-0.0249765626,-0.0072
-0.0249764626,-0.0028
-0.0249763626,-0.0044
-0.0249762626,-0.002
-0.0249761626,-0.0044
-0.0249760626,-0.0028
-0.0249759626,-0.0024
-0.0249758626,-0.0044
-0.0249757626,-0.0064
-0.0249756626,-0.0024
-0.0249755626,-0.0012
-0.0249754626,-1.11022e-016
-0.0249753626,-0.004
-0.0249752626,-0.0012
-0.0249751626,-0.0028
-0.0249750626,-0.0016
-0.0249749626,-0.0024
-0.0249748626,-0.0004
-0.0249747626,-0.004
-0.0249746626,-0.004
-0.0249745626,-0.0032
-0.0249744626,-0.004
-0.0249743626,-0.0036
-0.0249742626,-0.0036
-0.0249741626,-0.0036
-0.0249740626,-0.0004
-0.0249739626,-0.0052
-0.0249738626,-0.004
-0.0249737626,-0.0024
-0.0249736626,-0.0028
-0.0249735626,-0.0032
-0.0249734626,-0.0016
-0.0249733626,-0.004
-0.0249732626,-0.006
-0.0249731626,-0.006
-0.0249730626,-0.0064
-0.0249729626,-0.0052
-0.0249728626,-0.004
-0.0249727626,-0.0044
-0.0249726626,-0.002
-0.0249725626,-0.0044
-0.0249724626,-0.0032
-0.0249723626,-0.0024
-0.0249722626,-0.0072
-0.0249721626,-0.0044
-0.0249720626,-0.008
-0.0249719626,-0.0052
-0.0249718626,-0.0076
-0.0249717626,-0.0076
-0.0249716626,-0.006
-0.0249715626,-0.004
-0.0249714626,-0.0028
-0.0249713626,-0.0044
-0.0249712626,-0.0012
-0.0249711626,-0.0044
-0.0249710626,-0.0012
-0.0249709626,-0.004
-0.0249708626,-0.004
-0.0249707626,-0.0052
-0.0249706626,-0.0072
-0.0249705626,-0.0068
-0.0249704626,-0.0016
-0.0249703626,-0.004
-0.0249702626,-0.0036
-0.0249701626,-0.0028
-0.0249700626,-0.0032
-0.0249699626,-0.0072
-0.0249698626,-0.0024
-0.0249697626,-0.002
-0.0249696626,-0.0004
-0.0249695626,-0.0044
-0.0249694626,-0.0036
-0.0249693626,-1.11022e-016
-0.0249692626,-0.002
-0.0249691626,0.0028
-0.0249690626,-0.0048
-0.0249689626,-0.0028
-0.0249688626,0.0028
-0.0249687626,-0.0004
-0.0249686626,-0.0008
-0.0249685626,-0.002
-0.0249684626,0.0008
-0.0249683626,-0.0028
-0.0249682626,-0.0012
-0.0249681626,0.0028
-0.0249680626,0.0012
-0.0249679626,-0.004
-0.0249678626,-1.11022e-016
-0.0249677626,0.0016
-0.0249676626,-0.0016
-0.0249675626,-0.0012
-0.0249674626,-0.0036
-0.0249673626,0.002
-0.0249672626,-0.0008
-0.0249671626,-0.0004
-0.0249670626,-0.002
-0.0249669626,-0.0052
-0.0249668626,-1.11022e-016
-0.0249667626,-0.0016
-0.0249666626,0.0008
-0.0249665626,-1.11022e-016
-0.0249664626,-0.0024
-0.0249663626,-0.0008
-0.0249662626,-0.0016
-0.0249661626,-0.0024
-0.0249660626,0.0004
-0.0249659626,0.0024
-0.0249658626,0.002
-0.0249657626,-0.0012
-0.0249656626,-0.0024
-0.0249655626,-0.0032
-0.0249654626,-0.0004
-0.0249653626,-1.11022e-016
-0.0249652626,-1.11022e-016
-0.0249651626,-0.0012
-0.0249650626,0.0004
-0.0249649626,-0.0008
-0.0249648626,0.0008
-0.0249647626,-0.0044
-0.0249646626,-0.0016
-0.0249645626,-0.004
-0.0249644626,-1.11022e-016
-0.0249643626,-0.0016
-0.0249642626,-0.0016
-0.0249641626,0.0004
-0.0249640626,-0.0028
-0.0249639626,-0.0008
-0.0249638626,0.0024
-0.0249637626,-0.0012
-0.0249636626,-0.002
-0.0249635626,-1.11022e-016
-0.0249634626,0.0044
-0.0249633626,-1.11022e-016
