Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-12 11:41:58.34;0.00:00:00:052;1.00;0.00;0.00;0.06414;0.06365;-0.0001526;0.0002462;-0.07;0.11;99.23;0.38;99.23;0.06414;0.06365;0.0004915;-11.928;-11.962;-33.085;1.00;121.79;
2026-01-12 11:41:58.39;0.00:00:00:103;1.00;0.00;0.00;0.06382;0.06335;-0.0002234;0.0002366;-0.10;0.11;99.26;0.37;99.26;0.06382;0.06335;0.0004714;-11.951;-11.983;-33.266;1.00;133.36;
2026-01-12 11:41:58.44;0.00:00:00:153;1.00;0.00;0.00;0.06375;0.06325;-0.0001531;0.0002306;-0.07;0.10;99.22;0.36;99.22;0.06375;0.06326;0.0004945;-11.955;-11.989;-33.058;1.00;123.57;
2026-01-12 11:41:58.49;0.00:00:00:204;1.00;0.00;0.00;0.0643;0.06377;-0.0001102;0.0002318;-0.05;0.10;99.18;0.36;99.17;0.0643;0.06377;0.0005301;-11.918;-11.954;-32.756;1.00;115.42;
2026-01-12 11:41:58.54;0.00:00:00:254;1.00;0.00;0.00;0.06455;0.06402;-9.517E-05;0.0002344;-0.04;0.10;99.17;0.36;99.17;0.06455;0.06402;0.0005331;-11.901;-11.937;-32.732;1.00;112.10;
2026-01-12 11:41:58.59;0.00:00:00:304;1.00;0.00;0.00;0.06474;0.06421;-0.0001109;0.0002273;-0.05;0.10;99.17;0.35;99.17;0.06474;0.06421;0.0005379;-11.888;-11.924;-32.693;1.00;116.00;
2026-01-12 11:41:58.65;0.00:00:00:361;1.00;0.00;0.00;0.06496;0.06445;-0.0001569;0.0002481;-0.07;0.11;99.22;0.38;99.22;0.06496;0.06445;0.0005059;-11.874;-11.908;-32.960;1.00;122.30;
2026-01-12 11:41:58.70;0.00:00:00:416;1.00;0.00;0.00;0.06439;0.06392;-0.0002345;0.0002351;-0.11;0.11;99.27;0.37;99.27;0.06439;0.06392;0.0004686;-11.912;-11.944;-33.292;1.00;134.92;
2026-01-12 11:41:58.75;0.00:00:00:470;1.00;0.00;0.00;0.06429;0.06379;-0.0001649;0.0002337;-0.07;0.10;99.23;0.36;99.22;0.06429;0.06379;0.0004981;-11.919;-11.952;-33.027;1.00;125.20;
2026-01-12 11:41:58.80;0.00:00:00:520;1.00;0.00;0.00;0.06376;0.06334;-0.0003088;0.0002486;-0.14;0.11;99.35;0.39;99.35;0.06376;0.06334;0.000416;-11.955;-11.983;-33.809;1.00;141.16;
2026-01-12 11:41:58.86;0.00:00:00:571;1.00;0.00;0.00;0.06395;0.06338;8.901E-07;0.0002169;0.00;0.10;99.10;0.34;99.10;0.06395;0.06338;0.0005766;-11.941;-11.981;-32.391;1.00;89.76;
2026-01-12 11:41:58.91;0.00:00:00:630;1.00;0.00;0.00;0.06429;0.0638;-0.000157;0.0002348;-0.07;0.11;99.23;0.37;99.23;0.06429;0.0638;0.0004963;-11.918;-11.952;-33.043;1.00;123.77;
2026-01-12 11:41:58.96;0.00:00:00:679;1.00;0.00;0.00;0.06433;0.06382;-0.00013;0.0002225;-0.06;0.10;99.20;0.35;99.20;0.06433;0.06382;0.0005145;-11.916;-11.951;-32.886;1.00;120.30;
2026-01-12 11:41:59.01;0.00:00:00:730;1.00;0.00;0.00;0.06452;0.06402;-0.0001556;0.00024;-0.07;0.11;99.23;0.37;99.23;0.06452;0.06402;0.0004987;-11.903;-11.937;-33.022;1.00;122.97;
2026-01-12 11:41:59.07;0.00:00:00:784;1.00;0.00;0.00;0.06404;0.06354;-0.0001557;0.0002204;-0.07;0.10;99.21;0.34;99.21;0.06404;0.06354;0.0005032;-11.935;-11.970;-32.983;1.00;125.23;
2026-01-12 11:41:59.12;0.00:00:00:831;1.00;0.00;0.00;0.06421;0.06371;-0.0001531;0.0002356;-0.07;0.11;99.21;0.37;99.21;0.06421;0.06371;0.000505;-11.924;-11.958;-32.967;1.00;123.02;
