Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-12 11:50:27.88;0.00:00:00:069;1.00;0.01;0.00;4.5E-05;4.406E-05;3.223E-07;2.703E-08;0.21;0.02;97.92;0.06;97.92;4.5E-05;4.406E-05;9.37E-07;-43.468;-43.559;-60.283;1.00;4.79;
2026-01-12 11:50:27.94;0.00:00:00:126;1.00;0.01;0.00;4.51E-05;4.418E-05;2.386E-07;5.344E-09;0.15;0.00;97.97;0.01;97.97;4.51E-05;4.418E-05;9.14E-07;-43.458;-43.547;-60.390;1.00;1.28;
2026-01-12 11:50:27.99;0.00:00:00:174;1.00;0.01;0.00;4.512E-05;4.418E-05;2.718E-07;1.707E-08;0.18;0.01;97.93;0.04;97.93;4.512E-05;4.418E-05;9.359E-07;-43.456;-43.547;-60.288;1.00;3.59;
2026-01-12 11:50:28.03;0.00:00:00:221;1.00;0.01;0.00;4.515E-05;4.422E-05;2.759E-07;1.776E-08;0.18;0.01;97.94;0.04;97.94;4.515E-05;4.422E-05;9.304E-07;-43.453;-43.544;-60.313;1.00;3.68;
2026-01-12 11:50:28.08;0.00:00:00:270;1.00;0.01;0.00;4.512E-05;4.418E-05;2.92E-07;1.758E-08;0.19;0.01;97.92;0.04;97.92;4.512E-05;4.418E-05;9.389E-07;-43.456;-43.547;-60.274;1.00;3.45;
2026-01-12 11:50:28.14;0.00:00:00:329;1.00;0.01;0.00;4.516E-05;4.423E-05;2.882E-07;1.786E-08;0.19;0.01;97.93;0.04;97.93;4.516E-05;4.423E-05;9.336E-07;-43.452;-43.543;-60.298;1.00;3.55;
2026-01-12 11:50:28.19;0.00:00:00:378;1.00;0.00;0.00;4.516E-05;4.424E-05;2.021E-07;2.283E-08;0.13;0.01;97.97;0.05;97.97;4.516E-05;4.424E-05;9.174E-07;-43.453;-43.542;-60.375;1.00;6.44;
2026-01-12 11:50:28.25;0.00:00:00:441;1.00;0.00;0.00;4.511E-05;4.418E-05;2.147E-07;3.255E-08;0.14;0.02;97.95;0.07;97.95;4.511E-05;4.418E-05;9.232E-07;-43.458;-43.547;-60.347;1.00;8.62;
2026-01-12 11:50:28.31;0.00:00:00:501;1.00;0.01;0.00;4.509E-05;4.417E-05;2.227E-07;2.507E-08;0.14;0.02;97.95;0.06;97.95;4.509E-05;4.417E-05;9.245E-07;-43.459;-43.549;-60.341;1.00;6.42;
2026-01-12 11:50:28.36;0.00:00:00:550;1.00;0.00;0.00;4.512E-05;4.421E-05;1.614E-07;3.276E-08;0.10;0.02;97.97;0.07;97.97;4.512E-05;4.421E-05;9.144E-07;-43.456;-43.545;-60.388;1.00;11.48;
2026-01-12 11:50:28.41;0.00:00:00:597;1.00;0.00;0.00;4.508E-05;4.417E-05;1.666E-07;1.73E-08;0.11;0.01;97.98;0.04;97.98;4.508E-05;4.417E-05;9.088E-07;-43.460;-43.548;-60.415;1.00;5.93;
2026-01-12 11:50:28.46;0.00:00:00:642;1.00;0.00;0.00;4.507E-05;4.416E-05;1.477E-07;3.397E-08;0.10;0.02;97.98;0.08;97.98;4.507E-05;4.416E-05;9.112E-07;-43.461;-43.550;-60.404;1.00;12.96;
2026-01-12 11:50:28.50;0.00:00:00:690;1.00;0.00;0.00;4.507E-05;4.415E-05;1.88E-07;3.949E-08;0.12;0.03;97.95;0.09;97.95;4.507E-05;4.415E-05;9.22E-07;-43.461;-43.551;-60.352;1.00;11.86;
2026-01-12 11:50:28.56;0.00:00:00:751;1.00;0.01;0.00;4.503E-05;4.41E-05;2.351E-07;3.636E-08;0.15;0.02;97.94;0.08;97.94;4.503E-05;4.41E-05;9.292E-07;-43.465;-43.556;-60.319;1.00;8.79;
2026-01-12 11:50:28.61;0.00:00:00:798;1.00;0.01;0.00;4.507E-05;4.415E-05;2.265E-07;5.831E-08;0.15;0.04;97.96;0.13;97.96;4.507E-05;4.415E-05;9.182E-07;-43.461;-43.550;-60.371;1.00;14.44;
2026-01-12 11:50:28.66;0.00:00:00:845;1.00;0.01;0.00;4.5E-05;4.407E-05;2.721E-07;3.155E-08;0.18;0.02;97.94;0.07;97.94;4.5E-05;4.408E-05;9.276E-07;-43.468;-43.558;-60.326;1.00;6.61;
2026-01-12 11:50:28.70;0.00:00:00:891;1.00;0.01;0.00;4.494E-05;4.4E-05;3.098E-07;2.842E-08;0.20;0.02;97.92;0.06;97.92;4.494E-05;4.401E-05;9.327E-07;-43.474;-43.565;-60.303;1.00;5.24;
2026-01-12 11:50:28.75;0.00:00:00:937;1.00;0.01;0.00;4.491E-05;4.398E-05;2.91E-07;3.322E-08;0.19;0.02;97.93;0.07;97.93;4.491E-05;4.398E-05;9.302E-07;-43.476;-43.567;-60.314;1.00;6.51;
2026-01-12 11:50:28.80;0.00:00:00:985;1.00;0.01;0.00;4.502E-05;4.407E-05;3.132E-07;3.001E-08;0.20;0.02;97.91;0.07;97.91;4.502E-05;4.407E-05;9.424E-07;-43.466;-43.558;-60.258;1.00;5.47;
2026-01-12 11:50:28.86;0.00:00:01:046;1.00;0.01;0.00;4.505E-05;4.41E-05;3.485E-07;3.687E-08;0.23;0.02;97.91;0.08;97.91;4.505E-05;4.411E-05;9.42E-07;-43.463;-43.555;-60.259;1.00;6.04;
2026-01-12 11:50:28.91;0.00:00:01:093;1.00;0.01;0.00;4.502E-05;4.408E-05;3.462E-07;2.091E-08;0.22;0.01;97.91;0.05;97.91;4.502E-05;4.409E-05;9.398E-07;-43.465;-43.557;-60.270;1.00;3.46;
2026-01-12 11:50:28.95;0.00:00:01:141;1.00;0.01;0.00;4.503E-05;4.408E-05;3.397E-07;3.654E-08;0.22;0.02;97.91;0.08;97.91;4.503E-05;4.408E-05;9.427E-07;-43.465;-43.557;-60.256;1.00;6.14;
2026-01-12 11:50:29.00;0.00:00:01:187;1.00;0.00;0.00;4.522E-05;4.429E-05;2.193E-07;3.484E-08;0.14;0.02;97.96;0.08;97.96;4.522E-05;4.429E-05;9.228E-07;-43.447;-43.537;-60.349;1.00;9.03;
2026-01-12 11:50:29.05;0.00:00:01:233;1.00;0.01;0.00;4.521E-05;4.429E-05;2.416E-07;3.234E-08;0.16;0.02;97.97;0.07;97.97;4.521E-05;4.429E-05;9.196E-07;-43.447;-43.537;-60.364;1.00;7.62;
2026-01-12 11:50:29.11;0.00:00:01:295;1.00;0.01;0.00;4.533E-05;4.442E-05;2.577E-07;3.012E-08;0.17;0.02;97.99;0.07;97.99;4.533E-05;4.442E-05;9.106E-07;-43.436;-43.525;-60.407;1.00;6.67;
2026-01-12 11:50:29.16;0.00:00:01:343;1.00;0.01;0.00;4.521E-05;4.428E-05;3.008E-07;2.491E-08;0.19;0.02;97.96;0.06;97.96;4.521E-05;4.428E-05;9.226E-07;-43.448;-43.538;-60.350;1.00;4.73;
2026-01-12 11:50:29.20;0.00:00:01:390;1.00;0.01;0.00;4.527E-05;4.434E-05;3.128E-07;2.767E-08;0.20;0.02;97.95;0.06;97.95;4.527E-05;4.434E-05;9.267E-07;-43.442;-43.532;-60.331;1.00;5.05;
2026-01-12 11:50:29.25;0.00:00:01:436;1.00;0.01;0.00;4.522E-05;4.429E-05;2.927E-07;2.272E-08;0.19;0.01;97.95;0.05;97.95;4.522E-05;4.429E-05;9.289E-07;-43.447;-43.537;-60.320;1.00;4.44;
2026-01-12 11:50:29.30;0.00:00:01:483;1.00;0.01;0.00;4.517E-05;4.423E-05;3.39E-07;2.55E-08;0.22;0.02;97.93;0.06;97.93;4.517E-05;4.423E-05;9.349E-07;-43.452;-43.543;-60.293;1.00;4.30;
