Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-08 15:27:39.45;0.00:00:00:047;1.00;0.00;0.00;0.01552;0.01531;3.806E-05;-1.798E-05;0.07;-0.03;98.65;0.12;98.65;0.01552;0.01531;0.0002092;-18.090;-18.149;-36.795;1.00;-25.28;
2026-01-08 15:27:39.50;0.00:00:00:093;1.00;0.00;0.00;0.01552;0.01531;4.171E-05;-2.202E-05;0.08;-0.04;98.60;0.14;98.60;0.01552;0.01531;0.0002171;-18.090;-18.151;-36.633;1.00;-27.83;
2026-01-08 15:27:39.55;0.00:00:00:143;1.00;0.00;0.00;0.0156;0.01539;4.209E-05;-1.97E-05;0.08;-0.04;98.64;0.13;98.64;0.0156;0.01539;0.0002118;-18.069;-18.129;-36.740;1.00;-25.08;
2026-01-08 15:27:39.60;0.00:00:00:194;1.00;0.00;0.00;0.01559;0.01538;3.354E-05;-1.74E-05;0.06;-0.03;98.66;0.11;98.66;0.01559;0.01538;0.0002084;-18.072;-18.131;-36.812;1.00;-27.43;
2026-01-08 15:27:39.65;0.00:00:00:243;1.00;0.00;0.00;0.01555;0.01534;3.782E-05;-1.952E-05;0.07;-0.04;98.65;0.13;98.65;0.01555;0.01534;0.0002106;-18.082;-18.141;-36.765;1.00;-27.30;
2026-01-08 15:27:39.69;0.00:00:00:291;1.00;0.00;0.00;0.01555;0.01533;4.628E-05;-1.993E-05;0.09;-0.04;98.62;0.13;98.62;0.01555;0.01533;0.0002148;-18.084;-18.144;-36.679;1.00;-23.30;
2026-01-08 15:27:39.75;0.00:00:00:345;1.00;0.00;0.00;0.01556;0.01535;3.993E-05;-1.884E-05;0.07;-0.04;98.63;0.12;98.63;0.01556;0.01535;0.0002138;-18.080;-18.140;-36.700;1.00;-25.26;
2026-01-08 15:27:39.80;0.00:00:00:395;1.00;0.00;0.00;0.01556;0.01535;3.967E-05;-1.954E-05;0.07;-0.04;98.63;0.13;98.63;0.01556;0.01535;0.0002136;-18.079;-18.139;-36.705;1.00;-26.23;
2026-01-08 15:27:39.85;0.00:00:00:443;1.00;0.00;0.00;0.01554;0.01533;3.067E-05;-1.76E-05;0.06;-0.03;98.65;0.11;98.65;0.01554;0.01533;0.0002091;-18.085;-18.144;-36.797;1.00;-29.85;
2026-01-08 15:27:39.90;0.00:00:00:495;1.00;0.00;0.00;0.01559;0.01537;4.587E-05;-2.151E-05;0.09;-0.04;98.60;0.14;98.60;0.01559;0.01537;0.0002181;-18.072;-18.133;-36.613;1.00;-25.12;
2026-01-08 15:27:39.95;0.00:00:00:547;1.00;0.00;0.00;0.01556;0.01535;2.983E-05;-1.935E-05;0.06;-0.04;98.65;0.12;98.65;0.01556;0.01535;0.0002096;-18.079;-18.138;-36.785;1.00;-32.97;
2026-01-08 15:27:40.00;0.00:00:00:598;1.00;0.00;0.00;0.01555;0.01534;4.104E-05;-1.583E-05;0.08;-0.03;98.64;0.10;98.64;0.01555;0.01534;0.0002114;-18.083;-18.142;-36.750;1.00;-21.09;
2026-01-08 15:27:40.05;0.00:00:00:647;1.00;0.00;0.00;0.01553;0.01531;3.92E-05;-1.959E-05;0.07;-0.04;98.62;0.13;98.62;0.01553;0.01531;0.0002146;-18.090;-18.150;-36.685;1.00;-26.55;
2026-01-08 15:27:40.10;0.00:00:00:697;1.00;0.00;0.00;0.01552;0.01531;4.039E-05;-2.152E-05;0.08;-0.04;98.62;0.14;98.62;0.01552;0.01531;0.0002138;-18.091;-18.151;-36.699;1.00;-28.05;
2026-01-08 15:27:40.15;0.00:00:00:748;1.00;0.00;0.00;0.01559;0.01537;4.742E-05;-2.052E-05;0.09;-0.04;98.60;0.13;98.60;0.01559;0.01537;0.0002179;-18.073;-18.134;-36.617;1.00;-23.40;
2026-01-08 15:27:40.20;0.00:00:00:797;1.00;0.00;0.00;0.01562;0.0154;4.655E-05;-2.09E-05;0.09;-0.04;98.62;0.13;98.62;0.01562;0.0154;0.000215;-18.063;-18.123;-36.675;1.00;-24.18;
2026-01-08 15:27:40.25;0.00:00:00:848;1.00;0.00;0.00;0.01564;0.01543;3.743E-05;-1.871E-05;0.07;-0.03;98.63;0.12;98.63;0.01564;0.01543;0.0002137;-18.057;-18.117;-36.701;1.00;-26.57;
2026-01-08 15:27:40.30;0.00:00:00:898;1.00;0.00;0.00;0.01562;0.01541;3.449E-05;-1.91E-05;0.06;-0.04;98.65;0.12;98.65;0.01562;0.01541;0.0002105;-18.062;-18.121;-36.767;1.00;-28.98;
2026-01-08 15:27:40.35;0.00:00:00:950;1.00;0.00;0.00;0.01557;0.01536;3.145E-05;-2.005E-05;0.06;-0.04;98.66;0.13;98.66;0.01557;0.01536;0.000208;-18.077;-18.136;-36.819;1.00;-32.51;
2026-01-08 15:27:40.41;0.00:00:01:003;1.00;0.00;0.00;0.01557;0.01535;4.359E-05;-2.092E-05;0.08;-0.04;98.60;0.13;98.60;0.01557;0.01535;0.0002183;-18.078;-18.140;-36.609;1.00;-25.64;
2026-01-08 15:27:40.45;0.00:00:01:050;1.00;0.00;0.00;0.0156;0.01539;3.987E-05;-2.01E-05;0.07;-0.04;98.64;0.13;98.64;0.0156;0.01539;0.0002121;-18.068;-18.127;-36.735;1.00;-26.76;
2026-01-08 15:27:40.50;0.00:00:01:100;1.00;0.00;0.00;0.0156;0.01539;3.642E-05;-1.842E-05;0.07;-0.03;98.64;0.12;98.64;0.0156;0.01539;0.0002125;-18.069;-18.129;-36.727;1.00;-26.83;
2026-01-08 15:27:40.55;0.00:00:01:150;1.00;0.00;0.00;0.0156;0.01538;5.236E-05;-2.392E-05;0.10;-0.04;98.59;0.15;98.59;0.0156;0.01538;0.0002201;-18.069;-18.130;-36.575;1.00;-24.56;
2026-01-08 15:27:40.60;0.00:00:01:199;1.00;0.00;0.00;0.01563;0.01542;3.364E-05;-1.712E-05;0.06;-0.03;98.65;0.11;98.65;0.01563;0.01542;0.0002103;-18.061;-18.120;-36.771;1.00;-26.97;
2026-01-08 15:27:40.65;0.00:00:01:251;1.00;0.00;0.00;0.01557;0.01535;3.292E-05;-1.863E-05;0.06;-0.03;98.63;0.12;98.63;0.01557;0.01535;0.000214;-18.078;-18.138;-36.696;1.00;-29.50;
2026-01-08 15:27:40.70;0.00:00:01:300;1.00;0.00;0.00;0.01554;0.01533;3.619E-05;-2.051E-05;0.07;-0.04;98.62;0.13;98.62;0.01554;0.01533;0.0002139;-18.085;-18.145;-36.699;1.00;-29.55;
2026-01-08 15:27:40.75;0.00:00:01:351;1.00;0.00;0.00;0.01557;0.01535;3.794E-05;-1.867E-05;0.07;-0.03;98.63;0.12;98.63;0.01557;0.01535;0.0002129;-18.078;-18.138;-36.718;1.00;-26.21;
2026-01-08 15:27:40.81;0.00:00:01:403;1.00;0.00;0.00;0.01555;0.01533;3.397E-05;-1.836E-05;0.06;-0.03;98.61;0.12;98.61;0.01555;0.01533;0.0002161;-18.083;-18.144;-36.654;1.00;-28.39;
2026-01-08 15:27:40.85;0.00:00:01:452;1.00;0.00;0.00;0.01556;0.01534;3.682E-05;-1.94E-05;0.07;-0.04;98.63;0.12;98.63;0.01556;0.01534;0.0002129;-18.081;-18.141;-36.718;1.00;-27.78;
2026-01-08 15:27:40.90;0.00:00:01:502;1.00;0.00;0.00;0.01553;0.01532;3.635E-05;-2.242E-05;0.07;-0.04;98.64;0.14;98.64;0.01553;0.01532;0.0002109;-18.088;-18.147;-36.760;1.00;-31.66;
2026-01-08 15:27:40.95;0.00:00:01:553;1.00;0.00;0.00;0.01556;0.01535;2.49E-05;-1.425E-05;0.05;-0.03;98.66;0.09;98.66;0.01556;0.01535;0.0002084;-18.079;-18.138;-36.811;1.00;-29.77;
2026-01-08 15:27:41.01;0.00:00:01:603;1.00;0.00;0.00;0.01556;0.01533;5.421E-05;-2.364E-05;0.10;-0.04;98.55;0.15;98.55;0.01556;0.01533;0.0002253;-18.080;-18.144;-36.472;1.00;-23.57;
2026-01-08 15:27:41.05;0.00:00:01:653;1.00;0.00;0.00;0.01565;0.01544;4.316E-05;-8.242E-06;0.08;-0.02;98.64;0.05;98.64;0.01565;0.01544;0.0002132;-18.054;-18.114;-36.711;1.00;-10.81;
2026-01-08 15:27:41.11;0.00:00:01:704;1.00;0.00;0.00;0.01551;0.0153;2.534E-05;-1.941E-05;0.05;-0.04;98.68;0.13;98.68;0.01551;0.0153;0.000205;-18.094;-18.152;-36.883;1.00;-37.46;
2026-01-08 15:27:41.16;0.00:00:01:753;1.00;0.00;0.00;0.01556;0.01534;4.564E-05;-1.927E-05;0.09;-0.04;98.62;0.12;98.62;0.01556;0.01534;0.0002152;-18.081;-18.141;-36.672;1.00;-22.89;
2026-01-08 15:27:41.21;0.00:00:01:804;1.00;0.00;0.00;0.01556;0.01534;3.647E-05;-2.086E-05;0.07;-0.04;98.62;0.13;98.62;0.01556;0.01534;0.0002151;-18.080;-18.140;-36.673;1.00;-29.77;
2026-01-08 15:27:41.25;0.00:00:01:853;1.00;0.00;0.00;0.01553;0.01532;3.626E-05;-2.072E-05;0.07;-0.04;98.64;0.13;98.64;0.01553;0.01532;0.0002111;-18.088;-18.148;-36.755;1.00;-29.75;
2026-01-08 15:27:41.30;0.00:00:01:902;1.00;0.00;0.00;0.01556;0.01534;5.28E-05;-2.373E-05;0.10;-0.04;98.57;0.15;98.57;0.01556;0.01534;0.0002226;-18.079;-18.142;-36.525;1.00;-24.20;
2026-01-08 15:27:41.36;0.00:00:01:953;1.00;0.00;0.00;0.0156;0.01539;3.392E-05;-2.079E-05;0.06;-0.04;98.65;0.13;98.65;0.0156;0.01539;0.0002104;-18.069;-18.128;-36.769;1.00;-31.50;
2026-01-08 15:27:41.40;0.00:00:02:002;1.00;0.00;0.00;0.01553;0.01533;2.583E-05;-1.789E-05;0.05;-0.03;98.68;0.12;98.68;0.01553;0.01533;0.0002053;-18.088;-18.146;-36.876;1.00;-34.71;
2026-01-08 15:27:41.45;0.00:00:02:053;1.00;0.00;0.00;0.0155;0.01528;5.057E-05;-2.467E-05;0.09;-0.05;98.59;0.16;98.59;0.0155;0.01528;0.0002188;-18.097;-18.158;-36.599;1.00;-26.01;
2026-01-08 15:27:41.51;0.00:00:02:105;1.00;0.00;0.00;0.0156;0.01539;4.012E-05;-2.096E-05;0.07;-0.04;98.65;0.13;98.65;0.0156;0.01539;0.0002108;-18.069;-18.128;-36.761;1.00;-27.58;
2026-01-08 15:27:41.56;0.00:00:02:156;1.00;0.01;0.00;0.01574;0.0155;7.809E-05;-2.729E-05;0.14;-0.05;98.51;0.17;98.51;0.01574;0.0155;0.0002344;-18.030;-18.095;-36.301;1.00;-19.26;
2026-01-08 15:27:41.61;0.00:00:02:206;1.00;0.00;0.00;0.01581;0.01561;2.895E-05;-1.69E-05;0.05;-0.03;98.71;0.11;98.71;0.01581;0.01561;0.0002041;-18.011;-18.067;-36.901;1.00;-30.28;
2026-01-08 15:27:41.66;0.00:00:02:257;1.00;0.00;0.00;0.01563;0.01542;3.327E-05;-2.015E-05;0.06;-0.04;98.63;0.13;98.63;0.01563;0.01542;0.0002136;-18.059;-18.119;-36.704;1.00;-31.19;
2026-01-08 15:27:41.71;0.00:00:02:303;1.00;0.00;0.00;0.01568;0.01545;6.765E-05;-2.99E-05;0.13;-0.06;98.50;0.19;98.50;0.01568;0.01545;0.0002359;-18.046;-18.112;-36.273;1.00;-23.85;
2026-01-08 15:27:41.75;0.00:00:02:353;1.00;0.00;0.00;0.01579;0.01561;1.282E-05;-2.099E-06;0.02;0.00;98.83;0.01;98.83;0.01579;0.01561;0.0001845;-18.016;-18.067;-37.339;1.00;-9.30;
2026-01-08 15:27:41.81;0.00:00:02:403;1.00;0.00;0.00;0.01547;0.01531;-3.825E-05;5.706E-06;-0.07;0.01;98.97;0.04;98.97;0.01547;0.01531;0.00016;-18.106;-18.151;-37.959;1.00;171.52;
2026-01-08 15:27:41.86;0.00:00:02:455;1.00;0.00;0.00;0.01549;0.01527;5.95E-05;-2.382E-05;0.11;-0.04;98.54;0.15;98.54;0.01549;0.01527;0.0002265;-18.099;-18.163;-36.449;1.00;-21.82;
2026-01-08 15:27:41.91;0.00:00:02:505;1.00;0.00;0.00;0.01557;0.01535;4.579E-05;-1.638E-05;0.09;-0.03;98.61;0.11;98.61;0.01557;0.01535;0.0002164;-18.078;-18.139;-36.648;1.00;-19.68;
2026-01-08 15:27:41.96;0.00:00:02:559;1.00;0.00;0.00;0.0155;0.01528;4.639E-05;-2.314E-05;0.09;-0.04;98.58;0.15;98.58;0.0155;0.01528;0.0002201;-18.097;-18.159;-36.574;1.00;-26.51;
2026-01-08 15:27:42.01;0.00:00:02:608;1.00;0.00;0.00;0.01558;0.01536;5.812E-05;-2.173E-05;0.11;-0.04;98.56;0.14;98.56;0.01558;0.01536;0.0002236;-18.074;-18.137;-36.505;1.00;-20.50;
2026-01-08 15:27:42.06;0.00:00:02:660;1.00;0.00;0.00;0.01562;0.01542;2.285E-05;-1.692E-05;0.04;-0.03;98.72;0.11;98.72;0.01562;0.01542;0.0002006;-18.063;-18.119;-36.976;1.00;-36.53;
2026-01-08 15:27:42.11;0.00:00:02:711;1.00;0.00;0.00;0.01556;0.01535;3.776E-05;-1.949E-05;0.07;-0.04;98.63;0.13;98.63;0.01556;0.01535;0.0002129;-18.079;-18.139;-36.719;1.00;-27.30;
2026-01-08 15:27:42.17;0.00:00:02:764;1.00;0.00;0.00;0.01557;0.01536;3.862E-05;-1.848E-05;0.07;-0.03;98.65;0.12;98.65;0.01557;0.01536;0.0002108;-18.077;-18.136;-36.760;1.00;-25.57;
2026-01-08 15:27:42.22;0.00:00:02:814;1.00;0.00;0.00;0.01554;0.01533;2.995E-05;-1.973E-05;0.06;-0.04;98.65;0.13;98.65;0.01554;0.01533;0.0002096;-18.087;-18.146;-36.786;1.00;-33.38;
2026-01-08 15:27:42.27;0.00:00:02:864;1.00;0.00;0.00;0.01561;0.01538;7.157E-05;-2.704E-05;0.13;-0.05;98.50;0.17;98.50;0.01561;0.01538;0.0002336;-18.065;-18.131;-36.316;1.00;-20.70;
2026-01-08 15:27:42.32;0.00:00:02:915;1.00;0.00;0.00;0.01579;0.01557;6.333E-05;-1.81E-05;0.12;-0.03;98.60;0.11;98.60;0.01579;0.01557;0.0002205;-18.017;-18.078;-36.566;1.00;-15.95;
2026-01-08 15:27:42.37;0.00:00:02:968;1.00;0.00;0.00;0.0154;0.01519;2.923E-05;-2.763E-05;0.06;-0.05;98.63;0.18;98.63;0.0154;0.01519;0.0002117;-18.124;-18.184;-36.744;1.00;-43.39;
2026-01-08 15:27:42.42;0.00:00:03:017;1.00;0.01;0.00;0.01552;0.01529;7.823E-05;-2.456E-05;0.15;-0.05;98.50;0.16;98.50;0.01552;0.01529;0.0002324;-18.091;-18.156;-36.338;1.00;-17.43;
2026-01-08 15:27:42.47;0.00:00:03:068;1.00;0.00;0.00;0.01554;0.01533;2.629E-05;-2.062E-05;0.05;-0.04;98.66;0.13;98.66;0.01554;0.01533;0.0002085;-18.085;-18.144;-36.808;1.00;-38.11;
2026-01-08 15:27:42.52;0.00:00:03:120;1.00;0.00;0.00;0.01554;0.01532;4.455E-05;-2.067E-05;0.08;-0.04;98.61;0.13;98.61;0.01554;0.01532;0.0002156;-18.087;-18.147;-36.663;1.00;-24.89;
2026-01-08 15:27:42.58;0.00:00:03:182;1.00;0.00;0.00;0.01556;0.01535;3.318E-05;-1.955E-05;0.06;-0.04;98.63;0.13;98.63;0.01556;0.01535;0.0002126;-18.080;-18.140;-36.725;1.00;-30.50;
2026-01-08 15:27:42.63;0.00:00:03:232;1.00;0.00;0.00;0.01572;0.0155;4.263E-05;-1.797E-05;0.08;-0.03;98.65;0.11;98.65;0.01572;0.0155;0.0002123;-18.036;-18.095;-36.731;1.00;-22.86;
2026-01-08 15:27:42.69;0.00:00:03:284;1.00;0.00;0.00;0.01567;0.01546;2.62E-05;-2.056E-05;0.05;-0.04;98.67;0.13;98.67;0.01567;0.01546;0.0002089;-18.050;-18.108;-36.801;1.00;-38.12;
2026-01-08 15:27:42.74;0.00:00:03:335;1.00;0.00;0.00;0.01552;0.01531;3.176E-05;-2.208E-05;0.06;-0.04;98.63;0.14;98.63;0.01552;0.01531;0.0002129;-18.092;-18.152;-36.718;1.00;-34.81;
2026-01-08 15:27:42.79;0.00:00:03:386;1.00;0.00;0.00;0.01555;0.01533;4.931E-05;-2.033E-05;0.09;-0.04;98.61;0.13;98.61;0.01555;0.01533;0.0002168;-18.084;-18.145;-36.639;1.00;-22.40;
2026-01-08 15:27:42.84;0.00:00:03:439;1.00;0.00;0.00;0.0156;0.01539;4.658E-05;-2.088E-05;0.09;-0.04;98.60;0.13;98.60;0.0156;0.01539;0.0002183;-18.068;-18.129;-36.610;1.00;-24.14;
2026-01-08 15:27:42.89;0.00:00:03:487;1.00;0.00;0.00;0.01563;0.01542;4.638E-05;-2.104E-05;0.09;-0.04;98.61;0.13;98.61;0.01563;0.01542;0.0002166;-18.060;-18.120;-36.644;1.00;-24.40;
2026-01-08 15:27:42.94;0.00:00:03:540;1.00;0.00;0.00;0.0156;0.01539;3.737E-05;-2.193E-05;0.07;-0.04;98.63;0.14;98.63;0.0156;0.01539;0.0002144;-18.068;-18.128;-36.688;1.00;-30.41;
2026-01-08 15:27:42.99;0.00:00:03:590;1.00;0.00;0.00;0.01561;0.01539;4.312E-05;-1.938E-05;0.08;-0.04;98.62;0.12;98.62;0.01561;0.01539;0.0002161;-18.067;-18.128;-36.654;1.00;-24.20;
2026-01-08 15:27:43.04;0.00:00:03:640;1.00;0.00;0.00;0.01564;0.01542;4.433E-05;-2.26E-05;0.08;-0.04;98.62;0.14;98.62;0.01564;0.01542;0.0002162;-18.059;-18.119;-36.652;1.00;-27.02;
2026-01-08 15:27:43.09;0.00:00:03:692;1.00;0.00;0.00;0.01565;0.01544;3.495E-05;-1.731E-05;0.06;-0.03;98.67;0.11;98.67;0.01565;0.01544;0.0002088;-18.056;-18.114;-36.803;1.00;-26.35;
