Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-12 11:40:50.02;0.00:00:00:052;-1.00;0.00;0.00;0.06302;-0.06303;7.479E-06;-0.0002755;90.00;-0.13;100.01;0.44;100.01;0.06302;0.06303;-7.563E-06;-12.005;-12.005;-99.990;0.00;-88.44;
2026-01-12 11:40:50.08;0.00:00:00:114;-1.00;0.00;0.00;0.06283;-0.06283;1.361E-05;-0.0002794;89.99;-0.13;100.01;0.44;100.01;0.06283;0.06284;-8.23E-06;-12.019;-12.018;-99.990;0.00;-87.21;
2026-01-12 11:40:50.13;0.00:00:00:164;-1.00;0.00;0.00;0.06299;-0.06299;8.734E-06;-0.0002748;90.00;-0.12;100.01;0.44;100.01;0.06299;0.06299;-6.991E-06;-12.008;-12.007;-99.990;0.00;-88.18;
2026-01-12 11:40:50.19;0.00:00:00:226;-1.00;0.00;0.00;0.06291;-0.06292;1.174E-06;-0.0002756;90.00;-0.13;100.01;0.44;100.01;0.06291;0.06292;-6.857E-06;-12.013;-12.012;-99.990;0.00;-89.76;
2026-01-12 11:40:50.25;0.00:00:00:288;-1.00;0.00;0.00;0.06298;-0.06299;1.44E-05;-0.0002767;89.99;-0.13;100.01;0.44;100.01;0.06298;0.06299;-6.739E-06;-12.008;-12.007;-99.990;0.00;-87.02;
2026-01-12 11:40:50.30;0.00:00:00:339;-1.00;0.00;0.00;0.06291;-0.06291;-8.975E-06;-0.0002714;-90.00;-0.12;100.01;0.43;100.00;0.06291;0.06291;-3.46E-06;-12.013;-12.013;-99.990;0.00;-91.89;
2026-01-12 11:40:50.35;0.00:00:00:388;-1.00;0.00;0.00;0.06285;-0.06286;1.638E-05;-0.0002791;89.99;-0.13;100.01;0.44;100.01;0.06285;0.06286;-8.422E-06;-12.017;-12.016;-99.990;0.00;-86.64;
2026-01-12 11:40:50.40;0.00:00:00:439;-1.00;0.00;0.00;0.06289;-0.06289;-9.216E-07;-0.0002743;-90.00;-0.12;100.01;0.44;100.01;0.06289;0.06289;-5.534E-06;-12.014;-12.014;-99.990;0.00;-90.19;
2026-01-12 11:40:50.46;0.00:00:00:490;-1.00;0.00;0.00;0.06291;-0.06292;1.602E-05;-0.0002776;89.99;-0.13;100.01;0.44;100.01;0.06291;0.06292;-8.933E-06;-12.013;-12.012;-99.990;0.00;-86.70;
2026-01-12 11:40:50.51;0.00:00:00:543;-1.00;0.00;0.00;0.06298;-0.06298;5.961E-06;-0.0002763;90.00;-0.13;100.01;0.44;100.01;0.06298;0.06298;-4.094E-06;-12.008;-12.008;-99.990;0.00;-88.77;
2026-01-12 11:40:50.56;0.00:00:00:593;-1.00;0.00;0.00;0.06297;-0.06298;9.488E-06;-0.0002764;90.00;-0.13;100.01;0.44;100.01;0.06297;0.06298;-7.179E-06;-12.008;-12.008;-99.990;0.00;-88.03;
2026-01-12 11:40:50.61;0.00:00:00:645;-1.00;0.00;0.00;0.06289;-0.0629;1.086E-05;-0.0002782;90.00;-0.13;100.01;0.44;100.01;0.06289;0.0629;-9.245E-06;-12.014;-12.014;-99.990;0.00;-87.77;
2026-01-12 11:40:50.66;0.00:00:00:697;-1.00;0.00;0.00;0.06291;-0.06291;1.551E-06;-0.0002761;90.00;-0.13;100.01;0.44;100.01;0.06291;0.06291;-6.228E-06;-12.013;-12.013;-99.990;0.00;-89.68;
