Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-12 11:51:44.29;0.00:00:00:047;-0.98;-0.04;0.18;5.846E-05;-5.547E-05;-2.453E-06;1.002E-05;-88.73;5.11;96.52;17.14;94.98;5.846E-05;5.642E-05;2.037E-06;-42.331;-42.485;-56.909;0.01;103.76;
2026-01-12 11:51:44.35;0.00:00:00:104;-0.98;-0.04;0.18;5.853E-05;-5.561E-05;-2.469E-06;1.003E-05;-88.73;5.11;96.64;17.14;95.11;5.853E-05;5.656E-05;1.964E-06;-42.327;-42.475;-57.069;0.01;103.83;
2026-01-12 11:51:44.40;0.00:00:00:156;-0.98;-0.04;0.18;5.852E-05;-5.56E-05;-2.412E-06;1.002E-05;-88.76;5.11;96.62;17.13;95.09;5.852E-05;5.655E-05;1.978E-06;-42.327;-42.476;-57.038;0.01;103.53;
2026-01-12 11:51:44.45;0.00:00:00:206;-0.98;-0.04;0.18;5.861E-05;-5.567E-05;-2.462E-06;1.004E-05;-88.73;5.11;96.61;17.13;95.08;5.861E-05;5.662E-05;1.989E-06;-42.320;-42.470;-57.014;0.01;103.78;
2026-01-12 11:51:44.50;0.00:00:00:256;-0.98;-0.04;0.18;5.858E-05;-5.57E-05;-2.412E-06;1.004E-05;-88.76;5.10;96.70;17.14;95.17;5.858E-05;5.665E-05;1.935E-06;-42.322;-42.468;-57.132;0.01;103.51;
2026-01-12 11:51:44.56;0.00:00:00:318;-0.98;-0.04;0.18;5.845E-05;-5.553E-05;-2.366E-06;9.953E-06;-88.78;5.08;96.60;17.03;95.09;5.845E-05;5.646E-05;1.985E-06;-42.332;-42.482;-57.023;0.01;103.37;
2026-01-12 11:51:44.62;0.00:00:00:372;-0.98;-0.04;0.18;5.853E-05;-5.564E-05;-2.386E-06;9.996E-06;-88.77;5.09;96.67;17.08;95.15;5.853E-05;5.658E-05;1.949E-06;-42.327;-42.474;-57.103;0.01;103.43;
2026-01-12 11:51:44.67;0.00:00:00:424;-0.98;-0.04;0.18;5.834E-05;-5.552E-05;-2.379E-06;9.952E-06;-88.77;5.08;96.77;17.06;95.25;5.834E-05;5.645E-05;1.887E-06;-42.340;-42.483;-57.243;0.01;103.44;
2026-01-12 11:51:44.72;0.00:00:00:474;-0.98;-0.04;0.18;5.845E-05;-5.561E-05;-2.4E-06;9.965E-06;-88.76;5.08;96.74;17.05;95.23;5.845E-05;5.654E-05;1.905E-06;-42.332;-42.476;-57.202;0.01;103.54;
2026-01-12 11:51:44.77;0.00:00:00:523;-0.98;-0.04;0.18;5.841E-05;-5.548E-05;-2.418E-06;9.962E-06;-88.75;5.08;96.60;17.06;95.08;5.841E-05;5.642E-05;1.987E-06;-42.335;-42.486;-57.018;0.01;103.64;
2026-01-12 11:51:44.82;0.00:00:00:577;-0.98;-0.04;0.18;5.848E-05;-5.559E-05;-2.436E-06;9.973E-06;-88.75;5.08;96.66;17.05;95.15;5.848E-05;5.653E-05;1.951E-06;-42.330;-42.477;-57.097;0.01;103.73;
2026-01-12 11:51:44.87;0.00:00:00:626;-0.98;-0.04;0.18;5.88E-05;-5.589E-05;-2.411E-06;1.006E-05;-88.77;5.10;96.65;17.11;95.13;5.88E-05;5.683E-05;1.969E-06;-42.306;-42.454;-57.057;0.01;103.48;
2026-01-12 11:51:44.93;0.00:00:00:680;-0.98;-0.04;0.18;5.87E-05;-5.578E-05;-2.37E-06;1.001E-05;-88.78;5.08;96.62;17.05;95.10;5.87E-05;5.672E-05;1.985E-06;-42.313;-42.463;-57.023;0.01;103.32;
2026-01-12 11:51:44.97;0.00:00:00:727;-0.98;-0.04;0.18;5.868E-05;-5.571E-05;-2.454E-06;1.001E-05;-88.74;5.09;96.55;17.06;95.03;5.868E-05;5.666E-05;2.022E-06;-42.315;-42.468;-56.943;0.01;103.77;
2026-01-12 11:51:45.03;0.00:00:00:782;-0.98;-0.04;0.18;5.857E-05;-5.562E-05;-2.517E-06;1.001E-05;-88.70;5.09;96.57;17.08;95.04;5.857E-05;5.656E-05;2.011E-06;-42.323;-42.475;-56.967;0.01;104.12;
2026-01-12 11:51:45.08;0.00:00:00:832;-0.98;-0.04;0.18;5.857E-05;-5.566E-05;-2.5E-06;1E-05;-88.71;5.09;96.65;17.08;95.13;5.857E-05;5.661E-05;1.96E-06;-42.323;-42.471;-57.078;0.01;104.03;
2026-01-12 11:51:45.13;0.00:00:00:883;-0.98;-0.04;0.18;5.859E-05;-5.561E-05;-2.523E-06;1.003E-05;-88.70;5.11;96.56;17.13;95.02;5.859E-05;5.657E-05;2.018E-06;-42.322;-42.474;-56.951;0.01;104.11;
2026-01-12 11:51:45.18;0.00:00:00:933;-0.98;-0.04;0.18;5.864E-05;-5.574E-05;-2.5E-06;1.005E-05;-88.72;5.11;96.68;17.14;95.15;5.864E-05;5.67E-05;1.946E-06;-42.318;-42.464;-57.110;0.01;103.97;
2026-01-12 11:51:45.22;0.00:00:00:979;-0.98;-0.04;0.18;5.859E-05;-5.558E-05;-2.407E-06;1.003E-05;-88.76;5.11;96.48;17.11;94.95;5.859E-05;5.653E-05;2.062E-06;-42.321;-42.477;-56.857;0.01;103.50;
