Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-13 14:50:57.73;0.00:00:00:050;1.00;0.00;0.00;0.0002315;0.000231;4.641E-07;1.136E-06;0.06;0.14;99.80;0.49;99.79;0.0002315;0.000231;4.728E-07;-36.354;-36.363;-63.253;1.00;67.78;
2026-01-13 14:50:57.78;0.00:00:00:097;1.00;0.00;0.01;0.0002313;0.0002308;5.327E-07;1.191E-06;0.07;0.15;99.79;0.52;99.79;0.0002313;0.0002308;4.772E-07;-36.358;-36.367;-63.213;1.00;65.91;
2026-01-13 14:50:57.83;0.00:00:00:147;1.00;0.00;0.01;0.0002318;0.0002313;4.501E-07;1.189E-06;0.06;0.15;99.79;0.51;99.78;0.0002318;0.0002313;4.956E-07;-36.350;-36.359;-63.048;1.00;69.27;
2026-01-13 14:50:57.88;0.00:00:00:198;1.00;0.00;0.01;0.0002317;0.0002312;5.445E-07;1.189E-06;0.07;0.15;99.79;0.51;99.79;0.0002317;0.0002312;4.912E-07;-36.351;-36.360;-63.087;1.00;65.40;
2026-01-13 14:50:57.93;0.00:00:00:250;1.00;0.00;0.01;0.0002314;0.0002309;5.017E-07;1.231E-06;0.06;0.15;99.81;0.53;99.81;0.0002314;0.0002309;4.466E-07;-36.357;-36.365;-63.501;1.00;67.83;
2026-01-13 14:50:57.98;0.00:00:00:302;1.00;0.00;0.01;0.0002315;0.0002311;4.097E-07;1.266E-06;0.05;0.16;99.80;0.55;99.80;0.0002315;0.0002311;4.594E-07;-36.354;-36.363;-63.378;1.00;72.06;
2026-01-13 14:50:58.03;0.00:00:00:353;1.00;0.00;0.01;0.0002322;0.0002317;3.828E-07;1.223E-06;0.05;0.15;99.79;0.53;99.79;0.0002322;0.0002317;4.872E-07;-36.342;-36.351;-63.123;1.00;72.62;
2026-01-13 14:50:58.08;0.00:00:00:405;1.00;0.00;0.00;0.0002318;0.0002314;4.817E-07;1.085E-06;0.06;0.13;99.83;0.47;99.82;0.0002318;0.0002314;4.051E-07;-36.349;-36.357;-63.924;1.00;66.07;
2026-01-13 14:50:58.13;0.00:00:00:452;1.00;0.00;0.01;0.0002316;0.0002311;4.325E-07;1.279E-06;0.05;0.16;99.78;0.55;99.78;0.0002316;0.0002311;5.131E-07;-36.353;-36.362;-62.898;1.00;71.32;
2026-01-13 14:50:58.18;0.00:00:00:505;1.00;0.00;0.01;0.000232;0.0002315;3.157E-07;1.252E-06;0.04;0.15;99.78;0.54;99.78;0.000232;0.0002315;5.081E-07;-36.345;-36.355;-62.941;1.00;75.85;
2026-01-13 14:50:58.24;0.00:00:00:557;1.00;0.00;0.01;0.0002321;0.0002316;4.711E-07;1.186E-06;0.06;0.15;99.79;0.51;99.79;0.0002321;0.0002316;4.792E-07;-36.344;-36.353;-63.194;1.00;68.34;
2026-01-13 14:50:58.29;0.00:00:00:608;1.00;0.00;0.01;0.0002323;0.0002318;3.627E-07;1.274E-06;0.04;0.16;99.79;0.55;99.79;0.0002323;0.0002318;4.829E-07;-36.340;-36.349;-63.162;1.00;74.11;
2026-01-13 14:50:58.34;0.00:00:00:660;1.00;0.00;0.01;0.0002327;0.0002323;4.757E-07;1.297E-06;0.06;0.16;99.82;0.56;99.82;0.0002327;0.0002323;4.153E-07;-36.332;-36.340;-63.816;1.00;69.86;
2026-01-13 14:50:58.39;0.00:00:00:710;1.00;0.00;0.01;0.0002329;0.0002324;6.538E-07;1.26E-06;0.08;0.16;99.81;0.54;99.81;0.0002329;0.0002324;4.501E-07;-36.328;-36.337;-63.467;1.00;62.57;
2026-01-13 14:50:58.44;0.00:00:00:761;1.00;0.00;0.01;0.0002319;0.0002315;5.096E-07;1.207E-06;0.06;0.15;99.80;0.52;99.80;0.0002319;0.0002315;4.525E-07;-36.346;-36.355;-63.444;1.00;67.11;
2026-01-13 14:50:58.49;0.00:00:00:813;1.00;0.00;0.01;0.0002315;0.000231;4.59E-07;1.29E-06;0.06;0.16;99.80;0.56;99.80;0.0002315;0.000231;4.609E-07;-36.355;-36.364;-63.364;1.00;70.41;
2026-01-13 14:50:58.54;0.00:00:00:862;1.00;0.00;0.01;0.0002319;0.0002314;5.451E-07;1.252E-06;0.07;0.15;99.78;0.54;99.78;0.0002319;0.0002314;5.084E-07;-36.347;-36.356;-62.938;1.00;66.47;
2026-01-13 14:50:58.59;0.00:00:00:909;1.00;0.00;0.01;0.0002321;0.0002316;6.422E-07;1.233E-06;0.08;0.15;99.80;0.53;99.80;0.0002321;0.0002316;4.647E-07;-36.343;-36.352;-63.328;1.00;62.48;
2026-01-13 14:50:58.64;0.00:00:00:959;1.00;0.00;0.01;0.0002318;0.0002313;5.758E-07;1.191E-06;0.07;0.15;99.80;0.51;99.79;0.0002318;0.0002313;4.741E-07;-36.350;-36.359;-63.241;1.00;64.20;
2026-01-13 14:50:58.69;0.00:00:01:009;1.00;0.00;0.01;0.0002316;0.0002312;5.911E-07;1.21E-06;0.07;0.15;99.81;0.52;99.81;0.0002316;0.0002312;4.396E-07;-36.352;-36.360;-63.570;1.00;63.96;
2026-01-13 14:50:58.74;0.00:00:01:060;1.00;0.00;0.01;0.0002318;0.0002313;3.729E-07;1.178E-06;0.05;0.15;99.77;0.51;99.77;0.0002318;0.0002313;5.371E-07;-36.349;-36.359;-62.699;1.00;72.43;
2026-01-13 14:50:58.79;0.00:00:01:111;1.00;0.00;0.00;0.0002322;0.0002317;6.337E-07;9.774E-07;0.08;0.12;99.80;0.42;99.80;0.0002322;0.0002317;4.675E-07;-36.342;-36.351;-63.302;1.00;57.04;
2026-01-13 14:50:58.84;0.00:00:01:162;1.00;0.00;0.00;0.0002316;0.0002311;5.182E-07;1.044E-06;0.06;0.13;99.81;0.45;99.81;0.0002316;0.0002311;4.458E-07;-36.353;-36.361;-63.509;1.00;63.60;
