Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-13 14:42:43.05;0.00:00:00:046;1.00;0.00;0.00;0.058;0.05753;3.142E-07;-0.0001758;0.00;-0.09;99.19;0.30;99.18;0.058;0.05753;0.0004727;-12.366;-12.401;-33.254;1.00;-89.90;
2026-01-13 14:42:43.10;0.00:00:00:096;1.00;0.00;0.00;0.05814;0.05766;1.625E-05;-0.000169;0.01;-0.08;99.17;0.29;99.17;0.05814;0.05766;0.0004807;-12.355;-12.391;-33.182;1.00;-84.51;
2026-01-13 14:42:43.15;0.00:00:00:147;1.00;0.00;0.00;0.05809;0.05762;5.04E-06;-0.0001772;0.00;-0.09;99.18;0.30;99.18;0.05809;0.05762;0.0004739;-12.359;-12.394;-33.244;1.00;-88.37;
2026-01-13 14:42:43.20;0.00:00:00:199;1.00;0.00;0.00;0.058;0.0575;3.353E-05;-0.0001765;0.02;-0.09;99.14;0.30;99.14;0.058;0.0575;0.0004981;-12.366;-12.403;-33.027;1.00;-79.24;
2026-01-13 14:42:43.25;0.00:00:00:249;1.00;0.00;0.00;0.05808;0.0576;9.516E-06;-0.0001766;0.00;-0.09;99.17;0.30;99.17;0.05808;0.0576;0.000482;-12.360;-12.396;-33.169;1.00;-86.92;
2026-01-13 14:42:43.31;0.00:00:00:305;1.00;0.00;0.00;0.05801;0.05755;-3.993E-05;-0.0001736;-0.02;-0.09;99.22;0.30;99.22;0.05801;0.05755;0.0004539;-12.365;-12.399;-33.431;1.00;-102.95;
2026-01-13 14:42:43.36;0.00:00:00:355;1.00;0.00;0.00;0.05796;0.05747;1.847E-05;-0.0001774;0.01;-0.09;99.16;0.31;99.16;0.05796;0.05747;0.0004842;-12.369;-12.405;-33.150;1.00;-84.05;
2026-01-13 14:42:43.41;0.00:00:00:408;1.00;0.00;0.00;0.05838;0.05788;4.555E-05;-0.0001771;0.02;-0.09;99.14;0.30;99.14;0.05838;0.05788;0.0005009;-12.338;-12.375;-33.002;1.00;-75.58;
2026-01-13 14:42:43.46;0.00:00:00:459;1.00;0.00;0.00;0.05842;0.05794;6.615E-06;-0.0001763;0.00;-0.09;99.17;0.30;99.17;0.05842;0.05794;0.0004838;-12.334;-12.370;-33.153;1.00;-87.85;
2026-01-13 14:42:43.51;0.00:00:00:511;1.00;0.00;0.00;0.05846;0.058;-1.086E-05;-0.0001717;-0.01;-0.08;99.21;0.29;99.21;0.05846;0.058;0.0004602;-12.332;-12.366;-33.370;1.00;-93.62;
2026-01-13 14:42:43.56;0.00:00:00:560;1.00;0.00;0.00;0.05803;0.05758;-3.972E-05;-0.0001691;-0.02;-0.08;99.23;0.29;99.23;0.05803;0.05758;0.0004485;-12.364;-12.397;-33.483;1.00;-103.21;
2026-01-13 14:42:43.62;0.00:00:00:613;1.00;0.00;0.00;0.058;0.0575;3.027E-05;-0.0001803;0.02;-0.09;99.14;0.31;99.14;0.058;0.0575;0.0004972;-12.366;-12.403;-33.035;1.00;-80.47;
2026-01-13 14:42:43.67;0.00:00:00:663;1.00;0.00;0.00;0.05821;0.05773;2.841E-05;-0.0001763;0.01;-0.09;99.17;0.30;99.17;0.05821;0.05773;0.0004837;-12.350;-12.386;-33.155;1.00;-80.84;
2026-01-13 14:42:43.72;0.00:00:00:716;1.00;0.00;0.00;0.05823;0.05775;9.857E-06;-0.0001755;0.00;-0.09;99.18;0.30;99.18;0.05823;0.05775;0.0004766;-12.349;-12.384;-33.219;1.00;-86.78;
2026-01-13 14:42:43.77;0.00:00:00:765;1.00;0.00;0.00;0.05787;0.05739;-1.559E-05;-0.000185;-0.01;-0.09;99.17;0.32;99.17;0.05787;0.05739;0.0004798;-12.375;-12.411;-33.190;1.00;-94.82;
2026-01-13 14:42:43.82;0.00:00:00:816;1.00;0.00;0.00;0.05804;0.05752;6.306E-05;-0.0001856;0.03;-0.09;99.12;0.32;99.11;0.05804;0.05752;0.0005135;-12.363;-12.402;-32.894;1.00;-71.23;
2026-01-13 14:42:43.87;0.00:00:00:869;1.00;0.00;0.00;0.05838;0.05794;-3.95E-05;-0.0001658;-0.02;-0.08;99.24;0.28;99.24;0.05838;0.05794;0.0004412;-12.337;-12.370;-33.554;1.00;-103.40;
2026-01-13 14:42:43.92;0.00:00:00:920;1.00;0.00;0.00;0.05824;0.05777;9.157E-06;-0.0001775;0.00;-0.09;99.19;0.30;99.19;0.05824;0.05777;0.0004715;-12.348;-12.383;-33.265;1.00;-87.05;
2026-01-13 14:42:43.97;0.00:00:00:970;1.00;0.00;0.00;0.05804;0.05755;2.179E-05;-0.0001838;0.01;-0.09;99.16;0.32;99.16;0.05804;0.05756;0.0004897;-12.362;-12.399;-33.101;1.00;-83.24;
2026-01-13 14:42:44.02;0.00:00:01:021;1.00;0.00;0.00;0.05815;0.05767;1.668E-05;-0.0001687;0.01;-0.08;99.18;0.29;99.18;0.05815;0.05767;0.0004783;-12.355;-12.390;-33.203;1.00;-84.35;
2026-01-13 14:42:44.08;0.00:00:01:072;1.00;0.00;0.00;0.05816;0.05768;9.201E-07;-0.0001744;0.00;-0.09;99.18;0.30;99.18;0.05816;0.05768;0.0004759;-12.354;-12.390;-33.225;1.00;-89.70;
2026-01-13 14:42:44.13;0.00:00:01:124;1.00;0.00;0.00;0.05811;0.05764;-9.099E-06;-0.0001682;0.00;-0.08;99.19;0.29;99.19;0.05811;0.05764;0.0004725;-12.357;-12.393;-33.256;1.00;-93.10;
2026-01-13 14:42:44.18;0.00:00:01:174;1.00;0.00;0.00;0.05801;0.05753;1.772E-05;-0.0001747;0.01;-0.09;99.17;0.30;99.17;0.05801;0.05753;0.0004801;-12.365;-12.401;-33.187;1.00;-84.21;
