Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-13 14:52:08.74;0.00:00:00:052;-0.99;0.10;0.09;2.926E-05;-2.787E-05;2.864E-06;2.47E-06;87.07;2.52;96.13;8.44;95.76;2.926E-05;2.812E-05;1.131E-06;-45.338;-45.509;-59.466;0.00;40.78;
2026-01-13 14:52:08.78;0.00:00:00:099;-0.99;0.10;0.09;2.918E-05;-2.78E-05;2.829E-06;2.486E-06;87.10;2.54;96.13;8.52;95.75;2.918E-05;2.805E-05;1.13E-06;-45.349;-45.520;-59.470;0.00;41.32;
2026-01-13 14:52:08.83;0.00:00:00:148;-0.99;0.10;0.09;2.925E-05;-2.792E-05;2.838E-06;2.489E-06;87.10;2.53;96.35;8.51;95.97;2.925E-05;2.818E-05;1.067E-06;-45.339;-45.501;-59.717;0.00;41.25;
2026-01-13 14:52:08.88;0.00:00:00:200;-0.99;0.10;0.09;2.927E-05;-2.786E-05;2.835E-06;2.484E-06;87.09;2.53;96.06;8.48;95.69;2.927E-05;2.812E-05;1.153E-06;-45.336;-45.510;-59.381;0.00;41.22;
2026-01-13 14:52:08.93;0.00:00:00:249;-0.99;0.10;0.09;2.924E-05;-2.788E-05;2.84E-06;2.473E-06;87.09;2.52;96.19;8.46;95.82;2.924E-05;2.813E-05;1.113E-06;-45.340;-45.508;-59.536;0.00;41.05;
2026-01-13 14:52:08.98;0.00:00:00:299;-0.99;0.10;0.09;2.925E-05;-2.79E-05;2.848E-06;2.482E-06;87.09;2.53;96.22;8.48;95.85;2.925E-05;2.815E-05;1.104E-06;-45.338;-45.505;-59.568;0.00;41.07;
2026-01-13 14:52:09.03;0.00:00:00:351;-0.99;0.10;0.09;2.928E-05;-2.787E-05;2.838E-06;2.483E-06;87.09;2.53;96.02;8.48;95.65;2.928E-05;2.812E-05;1.165E-06;-45.334;-45.510;-59.338;0.00;41.18;
2026-01-13 14:52:09.08;0.00:00:00:400;-0.99;0.10;0.09;2.934E-05;-2.796E-05;2.864E-06;2.479E-06;87.08;2.52;96.16;8.45;95.79;2.934E-05;2.821E-05;1.125E-06;-45.326;-45.496;-59.487;0.00;40.88;
2026-01-13 14:52:09.14;0.00:00:00:453;-0.99;0.10;0.09;2.936E-05;-2.795E-05;2.864E-06;2.486E-06;87.08;2.53;96.08;8.47;95.71;2.936E-05;2.821E-05;1.151E-06;-45.322;-45.496;-59.389;0.00;40.96;
2026-01-13 14:52:09.18;0.00:00:00:501;-0.99;0.10;0.09;2.928E-05;-2.787E-05;2.86E-06;2.469E-06;87.07;2.52;96.07;8.43;95.70;2.928E-05;2.813E-05;1.15E-06;-45.334;-45.508;-59.395;0.00;40.80;
2026-01-13 14:52:09.23;0.00:00:00:551;-0.99;0.10;0.09;2.925E-05;-2.785E-05;2.876E-06;2.475E-06;87.05;2.53;96.09;8.46;95.72;2.925E-05;2.811E-05;1.143E-06;-45.338;-45.512;-59.419;0.00;40.72;
2026-01-13 14:52:09.29;0.00:00:00:603;-0.99;0.10;0.09;2.926E-05;-2.787E-05;2.863E-06;2.486E-06;87.07;2.53;96.14;8.50;95.76;2.926E-05;2.813E-05;1.13E-06;-45.338;-45.509;-59.469;0.00;40.96;
2026-01-13 14:52:09.34;0.00:00:00:654;-0.99;0.10;0.09;2.922E-05;-2.783E-05;2.876E-06;2.473E-06;87.05;2.53;96.15;8.46;95.77;2.922E-05;2.809E-05;1.126E-06;-45.343;-45.514;-59.484;0.00;40.70;
2026-01-13 14:52:09.39;0.00:00:00:702;-0.99;0.10;0.09;2.924E-05;-2.785E-05;2.859E-06;2.469E-06;87.07;2.52;96.11;8.44;95.73;2.924E-05;2.81E-05;1.139E-06;-45.340;-45.513;-59.436;0.00;40.82;
2026-01-13 14:52:09.44;0.00:00:00:753;-0.99;0.10;0.09;2.923E-05;-2.784E-05;2.841E-06;2.475E-06;87.09;2.53;96.09;8.47;95.71;2.923E-05;2.809E-05;1.144E-06;-45.341;-45.514;-59.417;0.00;41.06;
2026-01-13 14:52:09.48;0.00:00:00:801;-0.99;0.10;0.09;2.924E-05;-2.783E-05;2.896E-06;2.465E-06;87.03;2.52;96.06;8.43;95.69;2.924E-05;2.809E-05;1.151E-06;-45.340;-45.514;-59.388;0.00;40.41;
2026-01-13 14:52:09.54;0.00:00:00:853;-0.99;0.10;0.09;2.924E-05;-2.787E-05;2.84E-06;2.484E-06;87.09;2.53;96.19;8.49;95.81;2.924E-05;2.813E-05;1.115E-06;-45.340;-45.509;-59.528;0.00;41.17;
2026-01-13 14:52:09.59;0.00:00:00:903;-0.99;0.10;0.09;2.932E-05;-2.79E-05;2.852E-06;2.48E-06;87.08;2.53;96.01;8.46;95.64;2.932E-05;2.815E-05;1.17E-06;-45.328;-45.505;-59.317;0.00;41.01;
2026-01-13 14:52:09.64;0.00:00:00:952;-0.99;0.10;0.09;2.928E-05;-2.791E-05;2.851E-06;2.477E-06;87.08;2.52;96.18;8.46;95.80;2.928E-05;2.816E-05;1.12E-06;-45.334;-45.504;-59.509;0.00;40.99;
