Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-13 14:43:51.78;0.00:00:00:049;-1.00;0.00;0.00;0.008769;-0.008765;2.495E-06;-4.018E-06;89.99;-0.01;99.96;0.05;99.96;0.008769;0.008765;3.823E-06;-20.570;-20.572;-54.176;0.00;-58.16;
2026-01-13 14:43:51.83;0.00:00:00:101;-1.00;0.00;0.00;0.008763;-0.00876;1.793E-06;-4.72E-06;89.99;-0.02;99.96;0.05;99.96;0.008763;0.00876;3.448E-06;-20.573;-20.575;-54.625;0.00;-69.21;
2026-01-13 14:43:51.88;0.00:00:00:148;-1.00;0.00;0.00;0.008768;-0.008765;2.039E-06;-4.492E-06;89.99;-0.01;99.96;0.05;99.96;0.008768;0.008765;3.321E-06;-20.571;-20.573;-54.787;0.00;-65.57;
2026-01-13 14:43:51.93;0.00:00:00:201;-1.00;0.00;0.00;0.008757;-0.008754;-9.161E-07;-4.435E-06;-90.00;-0.01;99.96;0.05;99.96;0.008757;0.008754;3.655E-06;-20.576;-20.578;-54.371;0.00;-101.67;
2026-01-13 14:43:51.98;0.00:00:00:251;-1.00;0.00;0.00;0.008743;-0.00874;1.614E-06;-4.613E-06;89.99;-0.02;99.96;0.05;99.96;0.008743;0.00874;3.181E-06;-20.583;-20.585;-54.975;0.00;-70.73;
2026-01-13 14:43:52.03;0.00:00:00:303;-1.00;0.00;0.00;0.008735;-0.008732;4.022E-06;-5.663E-06;89.99;-0.02;99.97;0.06;99.97;0.008735;0.008732;2.966E-06;-20.587;-20.589;-55.278;0.00;-54.61;
2026-01-13 14:43:52.08;0.00:00:00:354;-1.00;0.00;0.00;0.008755;-0.008751;4.644E-06;-4.686E-06;89.98;-0.02;99.96;0.05;99.96;0.008755;0.008751;3.244E-06;-20.578;-20.579;-54.889;0.00;-45.25;
2026-01-13 14:43:52.13;0.00:00:00:402;-1.00;0.00;0.00;0.008763;-0.008759;1.81E-06;-4.126E-06;89.99;-0.01;99.96;0.05;99.96;0.008763;0.008759;3.558E-06;-20.574;-20.575;-54.488;0.00;-66.31;
2026-01-13 14:43:52.18;0.00:00:00:451;-1.00;0.00;0.00;0.008752;-0.008749;-2.857E-07;-4.27E-06;-90.00;-0.01;99.96;0.05;99.96;0.008752;0.008749;3.746E-06;-20.579;-20.581;-54.264;0.00;-93.84;
2026-01-13 14:43:52.23;0.00:00:00:503;-1.00;0.00;0.00;0.008751;-0.008747;1.825E-06;-4.026E-06;89.99;-0.01;99.96;0.05;99.96;0.008751;0.008747;3.548E-06;-20.580;-20.581;-54.501;0.00;-65.63;
2026-01-13 14:43:52.28;0.00:00:00:551;-1.00;0.00;0.00;0.008745;-0.008742;1.999E-06;-4.804E-06;89.99;-0.02;99.96;0.05;99.96;0.008745;0.008742;3.255E-06;-20.582;-20.584;-54.875;0.00;-67.40;
2026-01-13 14:43:52.33;0.00:00:00:603;-1.00;0.00;0.00;0.008738;-0.008735;3.64E-06;-5.371E-06;89.99;-0.02;99.96;0.06;99.96;0.008738;0.008735;3.092E-06;-20.586;-20.587;-55.098;0.00;-55.87;
2026-01-13 14:43:52.38;0.00:00:00:652;-1.00;0.00;0.00;0.008756;-0.008753;2.369E-06;-4.389E-06;89.99;-0.01;99.96;0.05;99.96;0.008756;0.008753;3.392E-06;-20.577;-20.578;-54.695;0.00;-61.65;
2026-01-13 14:43:52.43;0.00:00:00:703;-1.00;0.00;0.00;0.008761;-0.008758;2.335E-06;-4.473E-06;89.99;-0.01;99.96;0.05;99.96;0.008761;0.008758;3.483E-06;-20.574;-20.576;-54.580;0.00;-62.44;
2026-01-13 14:43:52.48;0.00:00:00:752;-1.00;0.00;0.00;0.008757;-0.008754;2.037E-06;-4.082E-06;89.99;-0.01;99.96;0.05;99.96;0.008757;0.008754;3.58E-06;-20.576;-20.578;-54.461;0.00;-63.47;
2026-01-13 14:43:52.53;0.00:00:00:802;-1.00;0.00;0.00;0.008749;-0.008747;3.679E-06;-5.425E-06;89.99;-0.02;99.97;0.06;99.97;0.008749;0.008747;2.81E-06;-20.580;-20.582;-55.512;0.00;-55.85;
2026-01-13 14:43:52.58;0.00:00:00:854;-1.00;0.00;0.00;0.008761;-0.008758;1.424E-06;-5.081E-06;90.00;-0.02;99.96;0.06;99.96;0.008761;0.008758;3.189E-06;-20.575;-20.576;-54.963;0.00;-74.33;
2026-01-13 14:43:52.63;0.00:00:00:903;-1.00;0.00;0.00;0.008752;-0.008749;2.648E-06;-4.311E-06;89.99;-0.01;99.96;0.05;99.96;0.008752;0.008749;3.646E-06;-20.579;-20.581;-54.382;0.00;-58.45;
2026-01-13 14:43:52.68;0.00:00:00:953;-1.00;0.00;0.00;0.008749;-0.008746;1.877E-06;-4.101E-06;89.99;-0.01;99.96;0.05;99.96;0.008749;0.008746;3.395E-06;-20.580;-20.582;-54.692;0.00;-65.40;
2026-01-13 14:43:52.73;0.00:00:01:004;-1.00;0.00;0.00;0.008747;-0.008744;3.661E-06;-4.438E-06;89.99;-0.01;99.96;0.05;99.96;0.008747;0.008744;3.133E-06;-20.581;-20.583;-55.040;0.00;-50.48;
