LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,15-Jan-2026 12:09:09,0                 
Time,Ampl
-0.0426000843,-0.0024
-0.0425999843,-0.0007
-0.0425998843,0.0007
-0.0425997843,-0.0023
-0.0425996843,0.0016
-0.0425995843,0.001
-0.0425994843,0.001
-0.0425993843,0.002
-0.0425992843,-0.0021
-0.0425991843,0
-0.0425990843,-0.0007
-0.0425989843,-0.0019
-0.0425988843,-0.0003
-0.0425987843,-0.0022
-0.0425986843,-0.0012
-0.0425985843,-0.0011
-0.0425984843,-0.0019
-0.0425983843,-0.0035
-0.0425982843,-0.002
-0.0425981843,-0.0042
-0.0425980843,-0.0029
-0.0425979843,-0.0037
-0.0425978843,-0.0048
-0.0425977843,-0.0018
-0.0425976843,-0.0022
-0.0425975843,-0.004
-0.0425974843,-0.0041
-0.0425973843,-0.0038
-0.0425972843,-0.0049
-0.0425971843,-0.0051
-0.0425970843,-0.0029
-0.0425969843,-0.005
-0.0425968843,-0.0035
-0.0425967843,-0.0013
-0.0425966843,-0.0031
-0.0425965843,-0.002
-0.0425964843,-0.0041
-0.0425963843,-0.0031
-0.0425962843,-0.0017
-0.0425961843,-0.0023
-0.0425960843,-0.0021
-0.0425959843,-0.0044
-0.0425958843,-0.0026
-0.0425957843,-0.0001
-0.0425956843,-0.0027
-0.0425955843,-0.0013
-0.0425954843,-0.0005
-0.0425953843,-0.0038
-0.0425952843,-0.0011
-0.0425951843,-0.0013
-0.0425950843,0
-0.0425949843,-0.0001
-0.0425948843,-0.0026
-0.0425947843,0.0014
-0.0425946843,-0.0003
-0.0425945843,-0.0002
-0.0425944843,-0.0002
-0.0425943843,-0.0015
-0.0425942843,-0.0005
-0.0425941843,-0.0025
-0.0425940843,-0.0041
-0.0425939843,-0.0028
-0.0425938843,-0.0041
-0.0425937843,-0.0037
-0.0425936843,-0.0026
-0.0425935843,-0.0044
-0.0425934843,-0.003
-0.0425933843,-0.0033
-0.0425932843,-0.0033
-0.0425931843,-0.0031
-0.0425930843,-0.0015
-0.0425929843,-0.0017
-0.0425928843,-0.0026
-0.0425927843,-0.0023
-0.0425926843,-0.0017
-0.0425925843,-0.0021
-0.0425924843,-0.0025
-0.0425923843,-0.0026
-0.0425922843,-0.0024
-0.0425921843,0
-0.0425920843,-0.0004
-0.0425919843,-0.0006
-0.0425918843,-0.0025
-0.0425917843,-0.0003
-0.0425916843,-0.0018
-0.0425915843,-0.0018
-0.0425914843,0.0018
-0.0425913843,-0.0027
-0.0425912843,-0.0004
-0.0425911843,0.0005
-0.0425910843,-0.0017
-0.0425909843,0.0007
-0.0425908843,-0.0032
-0.0425907843,-0.0022
-0.0425906843,0.0005
-0.0425905843,-0.0034
-0.0425904843,-0.0009
-0.0425903843,-0.0021
-0.0425902843,-0.0021
-0.0425901843,-0.0007
-0.0425900843,-0.0027
-0.0425899843,-0.003
-0.0425898843,-0.0022
-0.0425897843,-0.0039
-0.0425896843,-0.0015
-0.0425895843,-0.0026
-0.0425894843,-0.0035
-0.0425893843,-0.0024
-0.0425892843,-0.0051
-0.0425891843,-0.0032
-0.0425890843,-0.004
-0.0425889843,-0.0057
-0.0425888843,-0.0029
-0.0425887843,-0.003
-0.0425886843,-0.0042
-0.0425885843,-0.0033
-0.0425884843,-0.0037
-0.0425883843,-0.0027
-0.0425882843,-0.0028
-0.0425881843,-0.0034
-0.0425880843,-0.0023
-0.0425879843,-0.0026
-0.0425878843,-0.0025
-0.0425877843,-0.0034
-0.0425876843,-0.0029
-0.0425875843,-0.003
-0.0425874843,-0.003
-0.0425873843,-0.0029
-0.0425872843,-0.0031
-0.0425871843,-0.0004
-0.0425870843,-0.0025
-0.0425869843,-0.0041
-0.0425868843,-0.0011
-0.0425867843,-0.0016
-0.0425866843,-0.0016
-0.0425865843,-0.0016
-0.0425864843,-0.0024
-0.0425863843,-0.0008
-0.0425862843,-0.0019
-0.0425861843,-0.0025
-0.0425860843,0.0002
-0.0425859843,-0.0036
-0.0425858843,-0.0011
-0.0425857843,0.0002
-0.0425856843,-0.0007
-0.0425855843,0.0002
-0.0425854843,-0.0023
-0.0425853843,-0.0001
-0.0425852843,-0.0006
-0.0425851843,-0.0009
-0.0425850843,0.0015
-0.0425849843,-0.0014
-0.0425848843,-0.0002
-0.0425847843,0.0008
-0.0425846843,-0.0002
-0.0425845843,0.0002
-0.0425844843,0.0002
-0.0425843843,0.0012
-0.0425842843,0.0011
-0.0425841843,0.0005
-0.0425840843,0.0004
-0.0425839843,-0.0002
-0.0425838843,0.0007
-0.0425837843,-0.0002
-0.0425836843,-0.0017
-0.0425835843,-0.002
-0.0425834843,-0.0018
-0.0425833843,-0.0005
-0.0425832843,-0.0033
-0.0425831843,-0.0016
-0.0425830843,-0.0013
-0.0425829843,-0.0036
-0.0425828843,-0.0013
-0.0425827843,-0.0027
-0.0425826843,-0.0034
-0.0425825843,-0.0024
-0.0425824843,-0.0033
-0.0425823843,-0.0036
-0.0425822843,-0.0025
-0.0425821843,-0.0026
-0.0425820843,-0.0027
-0.0425819843,-0.0034
-0.0425818843,-0.0035
-0.0425817843,-0.0012
-0.0425816843,-0.0035
-0.0425815843,-0.0011
-0.0425814843,-0.0007
