Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-16 12:01:01.55;0.00:00:00:051;0.23;-0.60;0.77;6.189E-06;1.384E-06;-3.559E-06;4.564E-06;-34.38;25.04;96.16;73.75;61.70;6.189E-06;5.951E-06;2.379E-07;-52.084;-52.254;-66.236;0.62;127.95;
2026-01-16 12:01:01.61;0.00:00:00:102;0.14;-0.60;0.79;6.18E-06;8.443E-07;-3.507E-06;4.606E-06;-38.23;25.97;94.67;74.53;58.38;6.18E-06;5.851E-06;3.291E-07;-52.090;-52.328;-64.826;0.57;127.29;
2026-01-16 12:01:01.66;0.00:00:00:157;0.26;-0.41;0.88;6.363E-06;1.413E-06;-2.216E-06;4.754E-06;-28.74;30.53;85.38;74.72;41.30;6.363E-06;5.432E-06;9.304E-07;-51.964;-52.650;-60.313;0.63;114.99;
2026-01-16 12:01:01.72;0.00:00:00:218;0.14;-0.63;0.77;5.951E-06;7.864E-07;-3.568E-06;4.342E-06;-38.78;24.96;95.36;72.96;61.39;5.951E-06;5.674E-06;2.763E-07;-52.254;-52.461;-65.586;0.57;129.41;
2026-01-16 12:01:01.78;0.00:00:00:281;0.12;-0.45;0.89;6.218E-06;6.431E-07;-2.307E-06;4.596E-06;-37.21;31.24;83.35;73.91;38.52;6.218E-06;5.183E-06;1.035E-06;-52.064;-52.855;-59.849;0.56;116.66;
2026-01-16 12:01:01.83;0.00:00:00:328;0.34;-0.54;0.77;6.469E-06;2.146E-06;-3.442E-06;4.926E-06;-29.03;25.27;98.64;76.15;62.70;6.469E-06;6.382E-06;8.791E-08;-51.891;-51.951;-70.560;0.67;124.95;
2026-01-16 12:01:01.89;0.00:00:00:391;0.27;-0.52;0.81;6.513E-06;1.601E-06;-3.086E-06;4.856E-06;-31.29;27.20;91.70;74.56;53.38;6.513E-06;5.973E-06;5.405E-07;-51.862;-52.238;-62.672;0.63;122.44;
2026-01-16 12:01:01.98;0.00:00:00:473;0.25;-0.60;0.76;6.389E-06;1.572E-06;-3.736E-06;4.742E-06;-33.59;24.74;97.64;74.22;63.44;6.389E-06;6.238E-06;1.507E-07;-51.946;-52.049;-68.218;0.63;128.23;
2026-01-16 12:01:02.04;0.00:00:00:534;0.13;-0.67;0.73;5.956E-06;8.207E-07;-4.064E-06;4.457E-06;-39.29;23.54;102.21;74.84;69.61;5.956E-06;6.087E-06;-1.314E-07;-52.251;-52.156;-99.990;0.57;132.36;
2026-01-16 12:01:02.09;0.00:00:00:586;0.28;-0.54;0.79;6.452E-06;1.719E-06;-3.324E-06;4.863E-06;-31.33;26.21;95.11;75.37;58.01;6.452E-06;6.136E-06;3.153E-07;-51.903;-52.121;-65.013;0.64;124.36;
2026-01-16 12:01:02.15;0.00:00:00:649;0.18;-0.57;0.80;6.216E-06;1.066E-06;-3.446E-06;4.887E-06;-36.41;26.78;97.72;78.62;58.03;6.216E-06;6.074E-06;1.42E-07;-52.065;-52.166;-68.477;0.59;125.19;
2026-01-16 12:01:02.20;0.00:00:00:699;0.21;-0.62;0.76;6.12E-06;1.316E-06;-3.849E-06;4.688E-06;-35.56;24.53;101.42;76.60;66.47;6.12E-06;6.207E-06;-8.711E-08;-52.133;-52.071;-99.990;0.61;129.39;
2026-01-16 12:01:02.26;0.00:00:00:759;0.19;-0.57;0.80;6.25E-06;1.146E-06;-3.392E-06;4.732E-06;-35.67;26.45;94.93;75.71;57.28;6.25E-06;5.933E-06;3.167E-07;-52.041;-52.267;-64.994;0.60;125.63;
2026-01-16 12:01:02.31;0.00:00:00:811;0.13;-0.68;0.72;6.151E-06;8.249E-07;-4.212E-06;4.427E-06;-39.46;22.94;100.23;71.96;69.77;6.151E-06;6.166E-06;-1.415E-08;-52.110;-52.100;-99.990;0.57;133.58;
2026-01-16 12:01:02.37;0.00:00:00:865;0.30;-0.52;0.80;6.531E-06;1.91E-06;-3.328E-06;5.079E-06;-30.08;26.46;97.46;77.76;58.75;6.531E-06;6.365E-06;1.657E-07;-51.850;-51.962;-67.808;0.65;123.24;
2026-01-16 12:01:02.42;0.00:00:00:915;0.19;-0.62;0.76;6.182E-06;1.231E-06;-3.903E-06;4.841E-06;-36.25;24.89;102.54;78.30;66.20;6.182E-06;6.339E-06;-1.571E-07;-52.089;-51.980;-99.990;0.60;128.88;
2026-01-16 12:01:02.48;0.00:00:00:978;0.12;-0.64;0.76;5.776E-06;6.895E-07;-3.736E-06;4.425E-06;-39.77;24.68;100.97;76.61;65.77;5.776E-06;5.832E-06;-5.591E-08;-52.384;-52.342;-99.990;0.56;130.17;
2026-01-16 12:01:02.53;0.00:00:01:028;0.26;-0.58;0.77;6.349E-06;1.612E-06;-3.555E-06;4.72E-06;-32.80;25.20;96.46;74.33;61.47;6.349E-06;6.124E-06;2.248E-07;-51.973;-52.129;-66.482;0.63;126.99;
2026-01-16 12:01:02.58;0.00:00:01:079;0.22;-0.63;0.75;6.478E-06;1.309E-06;-3.82E-06;4.55E-06;-35.54;24.20;93.91;70.24;62.34;6.478E-06;6.083E-06;3.943E-07;-51.886;-52.159;-64.041;0.61;130.02;
2026-01-16 12:01:02.63;0.00:00:01:131;0.20;-0.53;0.82;6.12E-06;1.226E-06;-3.217E-06;5.021E-06;-34.57;27.78;99.48;82.05;56.25;6.12E-06;6.088E-06;3.205E-08;-52.133;-52.155;-74.942;0.60;122.64;
2026-01-16 12:01:02.69;0.00:00:01:182;0.25;-0.64;0.73;6.592E-06;1.524E-06;-3.976E-06;4.492E-06;-34.51;23.27;93.91;68.15;64.60;6.592E-06;6.19E-06;4.017E-07;-51.810;-52.083;-63.961;0.62;131.51;
2026-01-16 12:01:02.75;0.00:00:01:242;0.19;-0.66;0.73;6.445E-06;1.193E-06;-4.135E-06;4.617E-06;-36.95;23.51;97.94;71.64;66.78;6.445E-06;6.312E-06;1.33E-07;-51.908;-51.999;-68.760;0.59;131.85;
2026-01-16 12:01:02.80;0.00:00:01:293;0.24;-0.53;0.81;6.49E-06;1.374E-06;-2.968E-06;4.571E-06;-32.58;27.21;86.60;70.43;50.40;6.49E-06;5.62E-06;8.694E-07;-51.878;-52.502;-60.608;0.62;123.00;
2026-01-16 12:01:02.85;0.00:00:01:344;0.25;-0.62;0.74;6.358E-06;1.576E-06;-3.874E-06;4.652E-06;-33.93;24.02;98.38;73.16;65.77;6.358E-06;6.255E-06;1.031E-07;-51.967;-52.038;-69.869;0.63;129.78;
2026-01-16 12:01:02.90;0.00:00:01:397;0.09;-0.72;0.69;5.787E-06;6.01E-07;-4.717E-06;4.489E-06;-41.37;21.68;113.01;77.58;82.17;5.787E-06;6.539E-06;-7.527E-07;-52.376;-51.845;-99.990;0.55;136.41;
2026-01-16 12:01:02.95;0.00:00:01:444;0.24;-0.67;0.70;6.608E-06;1.461E-06;-4.073E-06;4.212E-06;-35.13;22.11;91.38;63.74;65.48;6.608E-06;6.038E-06;5.697E-07;-51.799;-52.191;-62.444;0.62;134.04;
2026-01-16 12:01:03.01;0.00:00:01:510;0.14;-0.61;0.78;5.944E-06;8.733E-07;-3.825E-06;4.836E-06;-38.57;25.47;104.77;81.36;66.01;5.944E-06;6.228E-06;-2.838E-07;-52.259;-52.057;-99.990;0.57;128.34;
2026-01-16 12:01:03.08;0.00:00:01:572;0.16;-0.58;0.80;6.167E-06;8.351E-07;-3.129E-06;4.3E-06;-37.53;26.51;87.28;69.72;52.51;6.167E-06;5.383E-06;7.845E-07;-52.099;-52.690;-61.054;0.58;126.04;
2026-01-16 12:01:03.13;0.00:00:01:623;0.18;-0.57;0.80;6.295E-06;1.036E-06;-3.209E-06;4.482E-06;-36.06;26.52;89.10;71.20;53.57;6.295E-06;5.609E-06;6.864E-07;-52.010;-52.512;-61.634;0.59;125.60;
2026-01-16 12:01:03.18;0.00:00:01:675;0.19;-0.56;0.80;6.472E-06;1.16E-06;-3.367E-06;4.811E-06;-35.49;26.74;92.48;74.33;55.03;6.472E-06;5.985E-06;4.865E-07;-51.890;-52.229;-63.129;0.60;124.99;
2026-01-16 12:01:03.23;0.00:00:01:728;0.21;-0.56;0.80;6.332E-06;1.277E-06;-3.346E-06;4.767E-06;-34.56;26.54;94.16;75.28;56.56;6.332E-06;5.962E-06;3.696E-07;-51.985;-52.246;-64.323;0.61;125.07;
2026-01-16 12:01:03.28;0.00:00:01:777;0.24;-0.56;0.79;6.524E-06;1.446E-06;-3.42E-06;4.826E-06;-33.54;26.21;93.34;73.97;56.92;6.524E-06;6.089E-06;4.347E-07;-51.855;-52.154;-63.618;0.62;125.33;
2026-01-16 12:01:03.33;0.00:00:01:824;0.28;-0.60;0.75;6.498E-06;1.806E-06;-3.814E-06;4.802E-06;-32.33;24.34;98.37;73.89;64.94;6.498E-06;6.393E-06;1.058E-07;-51.872;-51.943;-69.756;0.64;128.46;
2026-01-16 12:01:03.37;0.00:00:01:869;0.29;-0.55;0.78;6.951E-06;1.727E-06;-3.307E-06;4.66E-06;-31.21;25.66;85.89;67.05;53.68;6.951E-06;5.97E-06;9.81E-07;-51.580;-52.240;-60.083;0.64;125.36;
2026-01-16 12:01:03.43;0.00:00:01:923;0.32;-0.55;0.77;6.74E-06;2.044E-06;-3.526E-06;4.888E-06;-29.95;25.09;94.43;72.52;60.47;6.74E-06;6.364E-06;3.757E-07;-51.713;-51.963;-64.251;0.66;125.81;
2026-01-16 12:01:03.48;0.00:00:01:972;0.28;-0.51;0.81;6.722E-06;1.635E-06;-2.977E-06;4.738E-06;-30.61;27.18;86.72;70.48;50.52;6.722E-06;5.829E-06;8.93E-07;-51.725;-52.344;-60.492;0.64;122.14;
2026-01-16 12:01:03.53;0.00:00:02:024;0.25;-0.55;0.80;6.424E-06;1.534E-06;-3.402E-06;4.923E-06;-32.86;26.42;96.17;76.64;58.09;6.424E-06;6.178E-06;2.461E-07;-51.922;-52.092;-66.089;0.62;124.64;
2026-01-16 12:01:03.58;0.00:00:02:077;0.24;-0.56;0.79;6.492E-06;1.476E-06;-3.465E-06;4.895E-06;-33.46;26.21;95.13;75.40;58.01;6.492E-06;6.176E-06;3.162E-07;-51.876;-52.093;-65.001;0.62;125.29;
2026-01-16 12:01:03.63;0.00:00:02:126;0.24;-0.61;0.76;6.455E-06;1.596E-06;-4.023E-06;5.042E-06;-34.18;24.68;102.94;78.12;67.04;6.455E-06;6.645E-06;-1.899E-07;-51.901;-51.775;-99.990;0.62;128.58;
2026-01-16 12:01:03.68;0.00:00:02:175;0.20;-0.62;0.76;6.114E-06;1.215E-06;-3.822E-06;4.703E-06;-36.18;24.77;101.10;76.92;65.60;6.114E-06;6.181E-06;-6.716E-08;-52.137;-52.089;-99.990;0.60;129.10;
2026-01-16 12:01:03.73;0.00:00:02:228;0.14;-0.56;0.82;6.147E-06;8.212E-07;-3.158E-06;4.647E-06;-37.71;27.46;92.38;75.60;53.08;6.147E-06;5.678E-06;4.687E-07;-52.113;-52.458;-63.291;0.57;124.20;
2026-01-16 12:01:03.78;0.00:00:02:279;0.23;-0.57;0.79;6.285E-06;1.323E-06;-3.269E-06;4.536E-06;-33.99;26.07;91.41;72.17;56.10;6.285E-06;5.745E-06;5.401E-07;-52.017;-52.407;-62.675;0.62;125.78;
2026-01-16 12:01:03.83;0.00:00:02:329;0.18;-0.62;0.77;6.058E-06;1.071E-06;-3.669E-06;4.572E-06;-36.87;25.05;98.36;75.47;63.08;6.058E-06;5.959E-06;9.931E-08;-52.177;-52.248;-70.030;0.59;128.75;
2026-01-16 12:01:03.89;0.00:00:02:391;0.20;-0.54;0.81;6.175E-06;1.125E-06;-3.085E-06;4.615E-06;-34.98;27.28;91.73;74.74;53.18;6.175E-06;5.664E-06;5.107E-07;-52.094;-52.468;-62.918;0.60;123.76;
2026-01-16 12:01:03.94;0.00:00:02:440;0.21;-0.54;0.81;6.183E-06;1.219E-06;-3.197E-06;4.786E-06;-34.56;27.22;95.16;77.41;55.34;6.183E-06;5.883E-06;2.993E-07;-52.088;-52.304;-65.240;0.60;123.74;
2026-01-16 12:01:04.00;0.00:00:02:493;0.21;-0.56;0.80;6.527E-06;1.207E-06;-3.19E-06;4.58E-06;-34.64;26.66;87.48;70.16;52.25;6.527E-06;5.71E-06;8.17E-07;-51.853;-52.433;-60.878;0.61;124.86;
2026-01-16 12:01:04.05;0.00:00:02:544;0.27;-0.60;0.75;6.721E-06;1.682E-06;-3.681E-06;4.628E-06;-32.72;24.41;91.47;68.85;60.21;6.721E-06;6.148E-06;5.737E-07;-51.725;-52.113;-62.413;0.64;128.50;
2026-01-16 12:01:04.10;0.00:00:02:594;0.21;-0.59;0.78;6.049E-06;1.337E-06;-3.727E-06;4.988E-06;-35.13;25.78;105.28;82.46;65.46;6.049E-06;6.368E-06;-3.193E-07;-52.183;-51.960;-99.990;0.60;126.77;
2026-01-16 12:01:04.16;0.00:00:02:657;0.22;-0.63;0.74;6.39E-06;1.283E-06;-3.658E-06;4.322E-06;-35.34;24.05;90.86;67.64;60.67;6.39E-06;5.806E-06;5.843E-07;-51.945;-52.361;-62.334;0.61;130.24;
2026-01-16 12:01:04.22;0.00:00:02:718;0.31;-0.50;0.81;6.844E-06;2.007E-06;-3.288E-06;5.283E-06;-29.30;26.95;95.53;77.19;56.28;6.844E-06;6.538E-06;3.059E-07;-51.647;-51.846;-65.144;0.65;121.90;
2026-01-16 12:01:04.27;0.00:00:02:769;0.21;-0.59;0.78;5.951E-06;1.319E-06;-3.63E-06;4.792E-06;-35.01;25.56;103.42;80.52;64.90;5.951E-06;6.155E-06;-2.038E-07;-52.254;-52.108;-99.990;0.61;127.15;
2026-01-16 12:01:04.32;0.00:00:02:821;0.23;-0.56;0.80;6.381E-06;1.398E-06;-3.4E-06;4.889E-06;-33.82;26.53;95.86;76.62;57.61;6.381E-06;6.117E-06;2.639E-07;-51.951;-52.134;-65.785;0.61;124.81;
2026-01-16 12:01:04.38;0.00:00:02:881;0.20;-0.66;0.73;6.435E-06;1.231E-06;-3.963E-06;4.382E-06;-36.37;23.28;93.79;68.10;64.49;6.435E-06;6.035E-06;3.999E-07;-51.914;-52.193;-63.981;0.60;132.12;
2026-01-16 12:01:04.44;0.00:00:02:932;0.29;-0.50;0.82;6.583E-06;1.701E-06;-2.871E-06;4.714E-06;-29.68;27.35;87.73;71.61;50.68;6.583E-06;5.775E-06;8.079E-07;-51.816;-52.384;-60.926;0.65;121.34;
2026-01-16 12:01:04.49;0.00:00:02:983;0.35;-0.44;0.83;6.897E-06;2.121E-06;-2.636E-06;4.963E-06;-25.59;27.86;87.09;71.97;49.06;6.897E-06;6.007E-06;8.901E-07;-51.613;-52.214;-60.506;0.68;117.97;
2026-01-16 12:01:04.55;0.00:00:03:045;0.25;-0.64;0.73;6.297E-06;1.593E-06;-4.115E-06;4.663E-06;-34.42;23.29;101.96;74.05;70.08;6.297E-06;6.42E-06;-1.231E-07;-52.009;-51.925;-99.990;0.62;131.43;
2026-01-16 12:01:04.61;0.00:00:03:110;0.09;-0.70;0.71;5.771E-06;5.586E-07;-4.496E-06;4.551E-06;-41.46;22.57;111.26;78.86;78.49;5.771E-06;6.422E-06;-6.501E-07;-52.387;-51.924;-99.990;0.54;134.65;
2026-01-16 12:01:04.66;0.00:00:03:161;0.26;-0.52;0.81;7.011E-06;1.404E-06;-2.773E-06;4.364E-06;-31.57;27.27;76.42;62.25;44.34;7.011E-06;5.358E-06;1.653E-06;-51.542;-52.710;-57.818;0.63;122.44;
2026-01-16 12:01:04.72;0.00:00:03:216;0.27;-0.45;0.85;6.389E-06;1.61E-06;-2.752E-06;5.168E-06;-29.84;29.16;95.05;80.89;49.91;6.389E-06;6.073E-06;3.162E-07;-51.946;-52.166;-65.000;0.63;118.04;
2026-01-16 12:01:04.77;0.00:00:03:264;0.18;-0.54;0.82;6.109E-06;1.055E-06;-3.105E-06;4.722E-06;-35.62;27.61;94.12;77.31;53.69;6.109E-06;5.75E-06;3.591E-07;-52.141;-52.404;-64.448;0.59;123.33;
2026-01-16 12:01:04.82;0.00:00:03:316;0.28;-0.60;0.75;6.683E-06;1.763E-06;-3.82E-06;4.749E-06;-32.61;24.23;94.95;71.06;62.97;6.683E-06;6.345E-06;3.377E-07;-51.751;-51.976;-64.715;0.64;128.82;
2026-01-16 12:01:04.87;0.00:00:03:367;0.20;-0.55;0.81;6.373E-06;1.144E-06;-3.14E-06;4.591E-06;-34.99;26.98;89.09;72.03;52.43;6.373E-06;5.678E-06;6.952E-07;-51.956;-52.458;-61.579;0.60;124.37;
2026-01-16 12:01:04.92;0.00:00:03:419;0.32;-0.58;0.75;6.885E-06;2.045E-06;-3.687E-06;4.745E-06;-30.49;24.19;92.20;68.92;61.24;6.885E-06;6.348E-06;5.371E-07;-51.621;-51.974;-62.699;0.66;127.85;
2026-01-16 12:01:04.97;0.00:00:03:469;0.06;-0.59;0.81;5.764E-06;3.227E-07;-3.33E-06;4.553E-06;-42.23;26.85;98.02;78.99;58.04;5.764E-06;5.65E-06;1.141E-07;-52.393;-52.480;-69.426;0.53;126.18;
2026-01-16 12:01:05.02;0.00:00:03:520;0.26;-0.55;0.79;6.597E-06;1.579E-06;-3.326E-06;4.773E-06;-32.30;26.18;91.37;72.34;55.81;6.597E-06;6.028E-06;5.694E-07;-51.806;-52.198;-62.445;0.63;124.87;
